dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss
adult,1,42,4,0,0,"[36, 2, 13, 0, 8, 3, 4, 0, 0, 0, 40, 30]",0,0,"[36.0, 2.0, 13.0, 0.0, 8.0, 3.0, 4.0, 0.0, 3368.491441301744, 0.0, 40.0, 30.0]",1,False,False,0,1.042,nn,0.8218085106382979,0.002807104272127508,0.04307021880273042
adult,1,42,4,0,1,"[36, 2, 13, 0, 8, 3, 4, 0, 0, 0, 40, 30]",0,0,"[36.0, 2.0, 13.0, 0.0, 8.0, 3.0, 4.0, 0.0, 3237.4790578238217, 0.0, 40.0, 30.0]",1,False,False,0,1.041,nn,0.8218085106382979,0.0026979261941151257,0.04301562976372423
adult,1,42,4,0,2,"[36, 2, 13, 0, 8, 3, 4, 0, 0, 0, 40, 30]",0,0,"[36.0, 2.0, 13.0, 0.0, 8.0, 3.0, 4.0, 0.0, 3262.841345771866, 0.0, 40.0, 30.0]",1,False,False,0,1.042,nn,0.8218085106382979,0.0027190616454263426,0.04302619748937984
adult,1,42,4,0,3,"[36, 2, 13, 0, 8, 3, 4, 0, 0, 0, 40, 30]",0,0,"[36.0, 2.0, 13.0, 0.0, 8.0, 3.0, 4.0, 0.0, 3279.1306815972766, 0.0, 40.0, 30.0]",1,False,False,0,1.046,nn,0.8218085106382979,0.0027326362276933404,0.04303298478051334
adult,1,42,4,0,4,"[36, 2, 13, 0, 8, 3, 4, 0, 0, 0, 40, 30]",0,0,"[36.0, 2.0, 13.0, 0.0, 8.0, 3.0, 4.0, 0.0, 3232.541179369267, 0.0, 40.0, 30.0]",1,False,False,0,1.044,nn,0.8218085106382979,0.002693811254253598,0.04301357229379346
adult,1,42,4,4,0,"[17, 2, 7, 4, 10, 3, 4, 1, 0, 0, 12, 30]",0,0,"[17.0, 2.0, 7.0, 4.0, 10.0, 3.0, 4.0, 1.0, 26837.06799367244, 0.0, 12.0, 30.0]",1,False,False,0,1.036,nn,0.8218085106382979,0.022364446972530094,0.05284889015293171
adult,1,42,4,4,1,"[17, 2, 7, 4, 10, 3, 4, 1, 0, 0, 12, 30]",0,0,"[17.0, 2.0, 7.0, 4.0, 10.0, 3.0, 4.0, 1.0, 26743.329531834832, 0.0, 12.0, 30.0]",1,False,False,0,1.036,nn,0.8218085106382979,0.02228633080650376,0.052809832069918544
adult,1,42,4,4,2,"[17, 2, 7, 4, 10, 3, 4, 1, 0, 0, 12, 30]",0,0,"[17.0, 2.0, 7.0, 4.0, 10.0, 3.0, 4.0, 1.0, 26799.464159421666, 0.0, 12.0, 30.0]",1,False,False,0,1.027,nn,0.8218085106382979,0.02233311013061936,0.05283322173197634
adult,1,42,4,4,3,"[17, 2, 7, 4, 10, 3, 4, 1, 0, 0, 12, 30]",0,0,"[17.0, 2.0, 7.0, 4.0, 10.0, 3.0, 4.0, 1.0, 26857.691605504828, 0.0, 12.0, 30.0]",1,False,False,0,1.03,nn,0.8218085106382979,0.022381633487588898,0.05285748341046111
adult,1,42,4,4,4,"[17, 2, 7, 4, 10, 3, 4, 1, 0, 0, 12, 30]",0,0,"[17.0, 2.0, 7.0, 4.0, 10.0, 3.0, 4.0, 1.0, 26781.242395382345, 0.0, 12.0, 30.0]",1,False,False,0,1.031,nn,0.8218085106382979,0.022317925175403708,0.05282562925436852
