dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss,sparsity
adult,1,42,2,1,0,"[24, 2, 10, 2, 5, 0, 4, 1, 0, 0, 40, 30]",0,0,"[24.0, 2.0, 10.0, 2.0, 5.0, 0.0, 4.0, 1.0, 15807.648030559341, 0.0, 40.0, 30.0]",1,True,False,16,14.247,nn,0.7984084880636605,0.01317317175718369,0.04825325254525851,0.9166666666666666
adult,1,42,2,1,1,"[24, 2, 10, 2, 5, 0, 4, 1, 0, 0, 40, 30]",0,0,"[24.0, 2.0, 10.0, 2.0, 5.0, 0.0, 4.0, 1.0, 17502.84885824883, 0.0, 40.0, 30.0]",1,True,False,16,14.213,nn,0.7984084880636605,0.01458585324040643,0.04895959328686988,0.9166666666666666
adult,1,42,2,1,2,"[24, 2, 10, 2, 5, 0, 4, 1, 0, 0, 40, 30]",0,0,"[24.0, 2.0, 10.0, 2.0, 5.0, 0.0, 4.0, 1.0, 16297.939720772321, 0.0, 40.0, 30.0]",1,True,False,16,14.235,nn,0.7984084880636605,0.013581752251499449,0.04845754279241639,0.9166666666666666
adult,1,42,2,1,3,"[24, 2, 10, 2, 5, 0, 4, 1, 0, 0, 40, 30]",0,0,"[24.0, 2.0, 10.0, 2.0, 5.0, 0.0, 4.0, 1.0, 16383.255264655934, 0.0, 40.0, 30.0]",1,True,False,16,14.276,nn,0.7984084880636605,0.0136528492490391,0.048493091291186216,0.9166666666666666
adult,1,42,2,1,4,"[24, 2, 10, 2, 5, 0, 4, 1, 0, 0, 40, 30]",0,0,"[24.0, 2.0, 10.0, 2.0, 5.0, 0.0, 4.0, 1.0, 17449.31287474407, 0.0, 40.0, 30.0]",1,True,False,16,14.259,nn,0.7984084880636605,0.014541239474681472,0.0489372864040074,0.9166666666666666
adult,1,42,2,2,0,"[50, 2, 10, 0, 6, 1, 4, 1, 0, 0, 45, 30]",0,0,"[50.0, 2.0, 10.0, 0.0, 6.0, 1.0, 4.0, 1.0, 15189.377289888927, 0.0, 45.0, 30.0]",1,True,False,16,14.209,nn,0.7984084880636605,0.012657940987650648,0.04799563716049199,0.9166666666666666
adult,1,42,2,2,1,"[50, 2, 10, 0, 6, 1, 4, 1, 0, 0, 45, 30]",0,0,"[50.0, 2.0, 10.0, 0.0, 6.0, 1.0, 4.0, 1.0, 16641.42528905441, 0.0, 45.0, 30.0]",1,True,False,16,14.234,nn,0.7984084880636605,0.013867993087476216,0.04860066321040477,0.9166666666666666
adult,1,42,2,2,2,"[50, 2, 10, 0, 6, 1, 4, 1, 0, 0, 45, 30]",0,0,"[50.0, 2.0, 10.0, 0.0, 6.0, 1.0, 4.0, 1.0, 16148.037273943139, 0.0, 45.0, 30.0]",1,True,False,16,14.251,nn,0.7984084880636605,0.013456832296608915,0.048395082814971124,0.9166666666666666
adult,1,42,2,2,3,"[50, 2, 10, 0, 6, 1, 4, 1, 0, 0, 45, 30]",0,0,"[50.0, 2.0, 10.0, 0.0, 6.0, 1.0, 4.0, 1.0, 16231.083215582159, 0.0, 45.0, 30.0]",1,True,False,16,14.276,nn,0.7984084880636605,0.013526037940031198,0.04842968563668226,0.9166666666666666
adult,1,42,2,2,4,"[50, 2, 10, 0, 6, 1, 4, 1, 0, 0, 45, 30]",0,0,"[50.0, 2.0, 10.0, 0.0, 6.0, 1.0, 4.0, 1.0, 15769.221588706678, 0.0, 45.0, 30.0]",1,True,False,16,14.249,nn,0.7984084880636605,0.013141149402082917,0.04823724136770812,0.9166666666666666
adult,1,42,2,3,0,"[27, 2, 13, 4, 11, 4, 2, 0, 0, 0, 40, 30]",0,0,"[27.0, 2.0, 13.0, 4.0, 11.0, 4.0, 2.0, 0.0, 19866.263943493635, 0.0, 40.0, 30.0]",1,True,False,16,14.027,nn,0.7984084880636605,0.01655538550676643,0.04994435942004988,0.9166666666666666
adult,1,42,2,3,1,"[27, 2, 13, 4, 11, 4, 2, 0, 0, 0, 40, 30]",0,0,"[27.0, 2.0, 13.0, 4.0, 11.0, 4.0, 2.0, 0.0, 20036.15287358061, 0.0, 40.0, 30.0]",1,True,False,16,14.05,nn,0.7984084880636605,0.016696961030927483,0.050015147182130404,0.9166666666666666
adult,1,42,2,3,2,"[27, 2, 13, 4, 11, 4, 2, 0, 0, 0, 40, 30]",0,0,"[27.0, 2.0, 13.0, 4.0, 11.0, 4.0, 2.0, 0.0, 19615.256653885866, 0.0, 40.0, 30.0]",1,True,False,16,14.052,nn,0.7984084880636605,0.01634621067367829,0.04983977200350581,0.9166666666666666
