dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss
adult,1,42,0,1,0,"[46, 2, 10, 0, 10, 1, 4, 0, 0, 0, 40, 30]",0,0,"[46.0, 2.0, 10.0, 0.0, 10.0, 1.0, 4.0, 0.0, 18345.384218683415, 0.0, 40.0, 30.0]",1,True,False,4,4.752,nn,0.8275862068965517,0.015287973061966798,0.049310653197650066
adult,1,42,0,1,1,"[46, 2, 10, 0, 10, 1, 4, 0, 0, 0, 40, 30]",0,0,"[46.0, 2.0, 10.0, 0.0, 10.0, 1.0, 4.0, 0.0, 20996.746968962707, 0.0, 40.0, 30.0]",1,True,False,4,4.722,nn,0.8275862068965517,0.01749746411544341,0.05041539872438837
adult,1,42,0,1,2,"[46, 2, 10, 0, 10, 1, 4, 0, 0, 0, 40, 30]",0,0,"[46.0, 2.0, 10.0, 0.0, 10.0, 1.0, 4.0, 0.0, 17589.68112845842, 0.0, 40.0, 30.0]",1,True,False,4,4.747,nn,0.8275862068965517,0.014658214189190572,0.04899577376126195
adult,1,42,0,1,3,"[46, 2, 10, 0, 10, 1, 4, 0, 0, 0, 40, 30]",0,0,"[46.0, 2.0, 10.0, 0.0, 10.0, 1.0, 4.0, 0.0, 16461.311839868962, 0.0, 40.0, 30.0]",1,True,False,4,4.736,nn,0.8275862068965517,0.013717897045527923,0.048525615189430625
adult,1,42,0,1,4,"[46, 2, 10, 0, 10, 1, 4, 0, 0, 0, 40, 30]",0,0,"[46.0, 2.0, 10.0, 0.0, 10.0, 1.0, 4.0, 0.0, 18155.527463054474, 0.0, 40.0, 30.0]",1,True,False,4,4.717,nn,0.8275862068965517,0.015129757516787228,0.04923154542506028
adult,1,42,0,4,0,"[26, 2, 9, 0, 1, 1, 4, 1, 0, 0, 55, 30]",0,0,"[26.0, 2.0, 9.0, 0.0, 1.0, 1.0, 4.0, 1.0, 19454.84431674688, 0.0, 55.0, 30.0]",1,True,False,4,4.557,nn,0.8275862068965517,0.016212532389279624,0.049772932861306476
adult,1,42,0,4,1,"[26, 2, 9, 0, 1, 1, 4, 1, 0, 0, 55, 30]",0,0,"[26.0, 2.0, 9.0, 0.0, 1.0, 1.0, 4.0, 1.0, 19618.326642485506, 0.0, 55.0, 30.0]",1,True,False,4,4.553,nn,0.8275862068965517,0.016348769023094817,0.04984105117821407
adult,1,42,0,4,2,"[26, 2, 9, 0, 1, 1, 4, 1, 0, 0, 55, 30]",0,0,"[26.0, 2.0, 9.0, 0.0, 1.0, 1.0, 4.0, 1.0, 17857.167420312362, 0.0, 55.0, 30.0]",1,True,False,4,4.555,nn,0.8275862068965517,0.014881121661476916,0.04910722749740512
adult,1,42,0,4,3,"[26, 2, 9, 0, 1, 1, 4, 1, 0, 0, 55, 30]",0,0,"[26.0, 2.0, 9.0, 0.0, 1.0, 1.0, 4.0, 1.0, 21275.03242949851, 0.0, 55.0, 30.0]",1,True,False,4,4.565,nn,0.8275862068965517,0.01772937098495861,0.05053135215914597
adult,1,42,0,4,4,"[26, 2, 9, 0, 1, 1, 4, 1, 0, 0, 55, 30]",0,0,"[26.0, 2.0, 9.0, 0.0, 1.0, 1.0, 4.0, 1.0, 20583.82196047234, 0.0, 55.0, 30.0]",1,True,False,4,4.575,nn,0.8275862068965517,0.01715335650062529,0.05024334491697931
