dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss,sparsity
adult,1,42,3,1,0,"[54, 2, 9, 0, 12, 1, 4, 1, 0, 0, 40, 30]",0,0,"[54.0, 0.0, 9.0, 0.0, 12.0, 1.0, 4.0, 1.0, 0.0, 0.0, 45.0, 30.0]",1,True,False,0,3.615,nn,0.8164893617021277,0.08758503401360543,0.12712585034013604,0.8333333333333334
adult,1,42,3,1,1,"[54, 2, 9, 0, 12, 1, 4, 1, 0, 0, 40, 30]",0,0,"[54.0, 2.0, 9.0, 0.0, 12.0, 0.0, 4.0, 1.0, 0.0, 0.0, 5.0, 30.0]",1,True,False,0,10.288,nn,0.8164893617021277,0.1130952380952381,0.13988095238095238,0.8333333333333334
adult,1,42,3,1,2,"[54, 2, 9, 0, 12, 1, 4, 1, 0, 0, 40, 30]",0,0,"[54.0, 2.0, 9.0, 6.0, 12.0, 1.0, 4.0, 1.0, 0.0, 0.0, 45.0, 30.0]",1,True,False,0,1.489,nn,0.8164893617021277,0.08758503401360543,0.12712585034013604,0.8333333333333334
adult,1,42,3,1,3,"[54, 2, 9, 0, 12, 1, 4, 1, 0, 0, 40, 30]",0,0,"[54.0, 2.0, 9.0, 0.0, 12.0, 5.0, 4.0, 1.0, 0.0, 0.0, 45.0, 30.0]",1,True,False,0,3.638,nn,0.8164893617021277,0.08758503401360543,0.12712585034013604,0.8333333333333334
adult,1,42,3,1,4,"[54, 2, 9, 0, 12, 1, 4, 1, 0, 0, 40, 30]",0,0,"[54.0, 2.0, 12.0, 0.0, 12.0, 1.0, 4.0, 1.0, 0.0, 0.0, 5.0, 30.0]",1,True,False,0,1.176,nn,0.8164893617021277,0.047619047619047616,0.10714285714285714,0.8333333333333334
adult,1,42,3,3,0,"[35, 4, 12, 4, 3, 1, 4, 1, 0, 0, 40, 30]",0,0,"[35.0, 4.0, 12.0, 2.0, 0.0, 1.0, 4.0, 1.0, 0.0, 0.0, 47.0, 30.0]",1,True,False,0,1.974,nn,0.8164893617021277,0.17261904761904762,0.2113095238095238,0.75
adult,1,42,3,3,1,"[35, 4, 12, 4, 3, 1, 4, 1, 0, 0, 40, 30]",0,0,"[35.0, 0.0, 12.0, 4.0, 3.0, 5.0, 4.0, 1.0, 0.0, 0.0, 45.0, 30.0]",1,True,False,0,1.805,nn,0.8164893617021277,0.17091836734693877,0.21045918367346939,0.75
adult,1,42,3,3,2,"[35, 4, 12, 4, 3, 1, 4, 1, 0, 0, 40, 30]",0,0,"[35.0, 0.0, 12.0, 4.0, 3.0, 5.0, 4.0, 1.0, 0.0, 0.0, 37.0, 30.0]",1,True,False,0,46.023,nn,0.8164893617021277,0.16921768707482993,0.20960884353741496,0.75
adult,1,42,3,3,3,"[35, 4, 12, 4, 3, 1, 4, 1, 0, 0, 40, 30]",0,0,"[35.0, 0.0, 12.0, 5.0, 3.0, 1.0, 4.0, 1.0, 0.0, 0.0, 45.0, 30.0]",1,True,False,0,1.602,nn,0.8164893617021277,0.17091836734693877,0.21045918367346939,0.75
adult,1,42,3,3,4,"[35, 4, 12, 4, 3, 1, 4, 1, 0, 0, 40, 30]",0,0,"[38.0, 4.0, 12.0, 4.0, 11.0, 5.0, 4.0, 1.0, 0.0, 0.0, 40.0, 30.0]",1,True,False,0,1.418,nn,0.8164893617021277,0.17009132420091325,0.2100456621004566,0.75
