dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss,sparsity
adult,1,42,2,1,0,"[24, 2, 10, 2, 5, 0, 4, 1, 0, 0, 40, 30]",0,0,"[24.0, 2.0, 10.0, 2.0, 5.0, 0.0, 4.0, 1.0, 15024.0, 0.0, 40.0, 30.0]",1,True,False,0,48.024,nn,0.7984084880636605,0.012520125201252012,0.04792672926729267,0.9166666666666666
adult,1,42,2,1,1,"[24, 2, 10, 2, 5, 0, 4, 1, 0, 0, 40, 30]",0,0,"[34.0, 2.0, 10.0, 2.0, 5.0, 0.0, 4.0, 1.0, 7298.0, 0.0, 40.0, 30.0]",1,True,False,0,47.535,nn,0.7984084880636605,0.017497252598096757,0.09208195963238171,0.8333333333333334
adult,1,42,2,1,2,"[24, 2, 10, 2, 5, 0, 4, 1, 0, 0, 40, 30]",0,0,"[24.0, 2.0, 10.0, 2.0, 5.0, 0.0, 4.0, 1.0, 39210.0, 0.0, 40.0, 30.0]",1,True,False,0,4.949,nn,0.7984084880636605,0.03267532675326753,0.058004330043300426,0.9166666666666666
adult,1,42,2,1,3,"[24, 2, 10, 2, 5, 0, 4, 1, 0, 0, 40, 30]",0,0,"[34.0, 2.0, 10.0, 2.0, 5.0, 0.0, 4.0, 1.0, 7298.0, 0.0, 40.0, 30.0]",1,True,False,0,49.096,nn,0.7984084880636605,0.017497252598096757,0.09208195963238171,0.8333333333333334
adult,1,42,2,1,4,"[24, 2, 10, 2, 5, 0, 4, 1, 0, 0, 40, 30]",0,0,"[34.0, 2.0, 10.0, 2.0, 5.0, 0.0, 4.0, 1.0, 7298.0, 0.0, 40.0, 30.0]",1,True,False,0,49.636,nn,0.7984084880636605,0.017497252598096757,0.09208195963238171,0.8333333333333334
adult,1,42,2,2,0,"[50, 2, 10, 0, 6, 1, 4, 1, 0, 0, 45, 30]",0,0,"[50.0, 2.0, 10.0, 0.0, 6.0, 0.0, 4.0, 1.0, 0.0, 0.0, 45.0, 30.0]",1,True,False,0,13.566,nn,0.7984084880636605,0.08333333333333333,0.08333333333333333,0.9166666666666666
adult,1,42,2,2,1,"[50, 2, 10, 0, 6, 1, 4, 1, 0, 0, 45, 30]",0,0,"[50.0, 2.0, 10.0, 0.0, 6.0, 0.0, 4.0, 1.0, 0.0, 0.0, 45.0, 30.0]",1,True,False,0,46.713,nn,0.7984084880636605,0.08333333333333333,0.08333333333333333,0.9166666666666666
adult,1,42,2,2,2,"[50, 2, 10, 0, 6, 1, 4, 1, 0, 0, 45, 30]",0,0,"[50.0, 2.0, 13.0, 0.0, 6.0, 1.0, 4.0, 1.0, 0.0, 0.0, 45.0, 30.0]",1,True,False,0,5.933,nn,0.7984084880636605,0.017857142857142856,0.050595238095238096,0.9166666666666666
adult,1,42,2,2,3,"[50, 2, 10, 0, 6, 1, 4, 1, 0, 0, 45, 30]",0,0,"[50.0, 2.0, 14.0, 0.0, 6.0, 1.0, 4.0, 1.0, 0.0, 0.0, 45.0, 30.0]",1,True,False,0,47.062,nn,0.7984084880636605,0.023809523809523808,0.05357142857142857,0.9166666666666666
adult,1,42,2,2,4,"[50, 2, 10, 0, 6, 1, 4, 1, 0, 0, 45, 30]",0,0,"[50.0, 2.0, 10.0, 2.0, 6.0, 1.0, 4.0, 1.0, 0.0, 0.0, 45.0, 30.0]",1,True,False,0,4.954,nn,0.7984084880636605,0.08333333333333333,0.08333333333333333,0.9166666666666666
adult,1,42,2,3,0,"[27, 2, 13, 4, 11, 4, 2, 0, 0, 0, 40, 30]",0,0,"[32.0, 2.0, 13.0, 2.0, 11.0, 0.0, 2.0, 0.0, 0.0, 0.0, 40.0, 30.0]",1,True,False,0,46.171,nn,0.7984084880636605,0.17237442922374427,0.21118721461187212,0.75
adult,1,42,2,3,1,"[27, 2, 13, 4, 11, 4, 2, 0, 0, 0, 40, 30]",0,0,"[27.0, 2.0, 13.0, 0.0, 11.0, 4.0, 2.0, 0.0, 22177.0, 0.0, 40.0, 30.0]",1,True,False,0,29.967,nn,0.7984084880636605,0.1018143514768481,0.13424050907175739,0.8333333333333334
adult,1,42,2,3,2,"[27, 2, 13, 4, 11, 4, 2, 0, 0, 0, 40, 30]",0,0,"[29.0, 2.0, 13.0, 2.0, 11.0, 4.0, 2.0, 0.0, 0.0, 0.0, 45.0, 30.0]",1,True,False,0,46.49,nn,0.7984084880636605,0.08986813903643649,0.16993406951821824,0.75
adult,1,42,2,3,3,"[27, 2, 13, 4, 11, 4, 2, 0, 0, 0, 40, 30]",0,0,"[27.0, 0.0, 13.0, 4.0, 11.0, 5.0, 2.0, 0.0, 0.0, 0.0, 43.0, 30.0]",1,True,False,0,48.493,nn,0.7984084880636605,0.16921768707482993,0.20960884353741496,0.75
adult,1,42,2,3,4,"[27, 2, 13, 4, 11, 4, 2, 0, 0, 0, 40, 30]",0,0,"[27.0, 0.0, 13.0, 2.0, 11.0, 4.0, 2.0, 0.0, 0.0, 0.0, 43.0, 30.0]",1,True,False,0,48.66,nn,0.7984084880636605,0.16921768707482993,0.20960884353741496,0.75
adult,1,42,2,4,0,"[24, 2, 9, 4, 1, 3, 4, 1, 0, 0, 40, 30]",0,0,"[24.0, 2.0, 9.0, 4.0, 2.0, 3.0, 4.0, 1.0, 32847.0, 0.0, 5.0, 30.0]",1,True,False,0,48.803,nn,0.7984084880636605,0.14046801182297536,0.19523400591148768,0.75
adult,1,42,2,4,1,"[24, 2, 9, 4, 1, 3, 4, 1, 0, 0, 40, 30]",0,0,"[24.0, 2.0, 14.0, 2.0, 1.0, 3.0, 4.0, 1.0, 0.0, 0.0, 5.0, 30.0]",1,True,False,0,48.613,nn,0.7984084880636605,0.14285714285714285,0.19642857142857142,0.75
adult,1,42,2,4,2,"[24, 2, 9, 4, 1, 3, 4, 1, 0, 0, 40, 30]",0,0,"[24.0, 2.0, 14.0, 4.0, 1.0, 5.0, 4.0, 1.0, 0.0, 0.0, 50.0, 30.0]",1,True,False,0,40.871,nn,0.7984084880636605,0.12159863945578231,0.18579931972789115,0.75
adult,1,42,2,4,3,"[24, 2, 9, 4, 1, 3, 4, 1, 0, 0, 40, 30]",0,0,"[24.0, 2.0, 9.0, 2.0, 1.0, 3.0, 4.0, 1.0, 15024.0, 0.0, 50.0, 30.0]",1,True,False,0,49.352,nn,0.7984084880636605,0.10435685989512956,0.17717842994756478,0.75
adult,1,42,2,4,4,"[24, 2, 9, 4, 1, 3, 4, 1, 0, 0, 40, 30]",0,0,"[32.0, 2.0, 9.0, 4.0, 1.0, 1.0, 4.0, 1.0, 13550.0, 0.0, 60.0, 30.0]",1,True,False,0,16.875,nn,0.7984084880636605,0.12076433573020846,0.22704883453177088,0.6666666666666667
adult,1,42,2,5,0,"[36, 4, 13, 0, 8, 1, 2, 0, 0, 0, 40, 30]",0,1,"[36.0, 4.0, 14.0, 0.0, 8.0, 1.0, 2.0, 0.0, 0.0, 0.0, 50.0, 30.0]",1,True,False,0,5.358,nn,0.7984084880636605,0.014455782312925169,0.09056122448979591,0.8333333333333334
adult,1,42,2,5,1,"[36, 4, 13, 0, 8, 1, 2, 0, 0, 0, 40, 30]",0,1,"[36.0, 4.0, 14.0, 0.0, 8.0, 1.0, 2.0, 0.0, 0.0, 0.0, 50.0, 30.0]",1,True,False,0,4.839,nn,0.7984084880636605,0.014455782312925169,0.09056122448979591,0.8333333333333334
adult,1,42,2,5,2,"[36, 4, 13, 0, 8, 1, 2, 0, 0, 0, 40, 30]",0,1,"[36.0, 4.0, 14.0, 0.0, 8.0, 1.0, 2.0, 0.0, 0.0, 0.0, 50.0, 30.0]",1,True,False,0,4.802,nn,0.7984084880636605,0.014455782312925169,0.09056122448979591,0.8333333333333334
adult,1,42,2,5,3,"[36, 4, 13, 0, 8, 1, 2, 0, 0, 0, 40, 30]",0,1,"[36.0, 4.0, 13.0, 0.0, 8.0, 5.0, 2.0, 0.0, 0.0, 0.0, 40.0, 30.0]",1,True,False,0,4.832,nn,0.7984084880636605,0.08333333333333333,0.08333333333333333,0.9166666666666666
adult,1,42,2,5,4,"[36, 4, 13, 0, 8, 1, 2, 0, 0, 0, 40, 30]",0,1,"[36.0, 4.0, 14.0, 0.0, 8.0, 1.0, 2.0, 0.0, 0.0, 0.0, 50.0, 30.0]",1,True,False,0,4.836,nn,0.7984084880636605,0.014455782312925169,0.09056122448979591,0.8333333333333334
adult,1,42,2,6,0,"[66, 2, 9, 4, 12, 1, 4, 1, 2050, 0, 55, 30]",0,0,"[66.0, 2.0, 9.0, 3.0, 12.0, 1.0, 4.0, 1.0, 27828.0, 0.0, 55.0, 30.0]",1,True,False,0,11.593,nn,0.7984084880636605,0.10481521481881485,0.13574094074274076,0.8333333333333334
adult,1,42,2,6,1,"[66, 2, 9, 4, 12, 1, 4, 1, 2050, 0, 55, 30]",0,0,"[66.0, 2.0, 9.0, 4.0, 1.0, 1.0, 4.0, 1.0, 13550.0, 0.0, 60.0, 30.0]",1,True,False,0,11.432,nn,0.7984084880636605,0.09716846318123046,0.17358423159061523,0.75
adult,1,42,2,6,2,"[66, 2, 9, 4, 12, 1, 4, 1, 2050, 0, 55, 30]",0,0,"[66.0, 2.0, 9.0, 0.0, 12.0, 1.0, 4.0, 1.0, 7688.0, 0.0, 62.0, 30.0]",1,True,False,0,10.233,nn,0.7984084880636605,0.09398409460285079,0.1719920473014254,0.75
adult,1,42,2,6,3,"[66, 2, 9, 4, 12, 1, 4, 1, 2050, 0, 55, 30]",0,0,"[66.0, 2.0, 9.0, 4.0, 12.0, 1.0, 4.0, 1.0, 15024.0, 0.0, 5.0, 30.0]",1,True,False,0,45.177,nn,0.7984084880636605,0.053328781587135596,0.10999772412690112,0.8333333333333334
adult,1,42,2,6,4,"[66, 2, 9, 4, 12, 1, 4, 1, 2050, 0, 55, 30]",0,0,"[66.0, 2.0, 9.0, 2.0, 12.0, 1.0, 4.0, 1.0, 7688.0, 0.0, 55.0, 30.0]",1,True,False,0,43.642,nn,0.7984084880636605,0.08803171365046983,0.12734919015856824,0.8333333333333334
adult,1,42,2,7,0,"[19, 2, 9, 4, 6, 3, 4, 0, 0, 0, 14, 30]",0,0,"[19.0, 2.0, 9.0, 4.0, 6.0, 0.0, 4.0, 0.0, 15024.0, 0.0, 5.0, 30.0]",1,True,False,0,48.964,nn,0.7984084880636605,0.10350651975907513,0.17675325987953755,0.75
adult,1,42,2,7,1,"[19, 2, 9, 4, 6, 3, 4, 0, 0, 0, 14, 30]",0,0,"[19.0, 0.0, 9.0, 4.0, 6.0, 3.0, 4.0, 0.0, 28693.0, 0.0, 5.0, 30.0]",1,True,False,0,6.854,nn,0.7984084880636605,0.11489746700188089,0.18244873350094043,0.75
adult,1,42,2,7,2,"[19, 2, 9, 4, 6, 3, 4, 0, 0, 0, 14, 30]",0,0,"[19.0, 2.0, 9.0, 2.0, 6.0, 3.0, 4.0, 0.0, 15024.0, 0.0, 5.0, 30.0]",1,True,False,0,48.362,nn,0.7984084880636605,0.10350651975907513,0.17675325987953755,0.75
adult,1,42,2,7,3,"[19, 2, 9, 4, 6, 3, 4, 0, 0, 0, 14, 30]",0,0,"[19.0, 2.0, 9.0, 0.0, 6.0, 3.0, 4.0, 0.0, 23411.0, 0.0, 5.0, 30.0]",1,True,False,0,25.147,nn,0.7984084880636605,0.11049575631810739,0.1802478781590537,0.75
adult,1,42,2,7,4,"[19, 2, 9, 4, 6, 3, 4, 0, 0, 0, 14, 30]",0,0,"[19.0, 0.0, 9.0, 4.0, 6.0, 3.0, 4.0, 0.0, 25750.0, 0.0, 5.0, 30.0]",1,True,False,0,19.35,nn,0.7984084880636605,0.11244494247663564,0.1812224712383178,0.75
adult,1,42,2,11,0,"[63, 2, 9, 6, 3, 1, 4, 1, 0, 0, 6, 30]",0,0,"[63.0, 2.0, 9.0, 6.0, 3.0, 4.0, 4.0, 1.0, 15024.0, 0.0, 5.0, 30.0]",1,True,False,0,12.033,nn,0.7984084880636605,0.09670379867063977,0.1733518993353199,0.75
adult,1,42,2,11,1,"[63, 2, 9, 6, 3, 1, 4, 1, 0, 0, 6, 30]",0,0,"[63.0, 2.0, 9.0, 6.0, 8.0, 1.0, 4.0, 1.0, 8614.0, 0.0, 5.0, 30.0]",1,True,False,0,12.768,nn,0.7984084880636605,0.09136207858677226,0.17068103929338613,0.75
adult,1,42,2,11,2,"[63, 2, 9, 6, 3, 1, 4, 1, 0, 0, 6, 30]",0,0,"[63.0, 0.0, 12.0, 6.0, 3.0, 1.0, 4.0, 1.0, 0.0, 0.0, 5.0, 30.0]",1,True,False,0,46.457,nn,0.7984084880636605,0.10204081632653061,0.1760204081632653,0.75
adult,1,42,2,11,3,"[63, 2, 9, 6, 3, 1, 4, 1, 0, 0, 6, 30]",0,0,"[63.0, 0.0, 9.0, 6.0, 3.0, 1.0, 4.0, 1.0, 7298.0, 0.0, 5.0, 30.0]",1,True,False,0,46.439,nn,0.7984084880636605,0.09026540095332926,0.17013270047666462,0.75
adult,1,42,2,11,4,"[63, 2, 9, 6, 3, 1, 4, 1, 0, 0, 6, 30]",0,0,"[63.0, 0.0, 9.0, 6.0, 3.0, 1.0, 4.0, 1.0, 7443.0, 0.0, 5.0, 30.0]",1,True,False,0,50.246,nn,0.7984084880636605,0.09038623549500802,0.170193117747504,0.75
adult,1,42,2,12,0,"[81, 4, 9, 2, 2, 0, 4, 1, 0, 0, 30, 30]",0,0,"[81.0, 4.0, 9.0, 2.0, 2.0, 0.0, 4.0, 1.0, 8614.0, 0.0, 5.0, 30.0]",1,True,False,0,54.45,nn,0.7984084880636605,0.02843690851874505,0.09755178759270586,0.8333333333333334
adult,1,42,2,12,1,"[81, 4, 9, 2, 2, 0, 4, 1, 0, 0, 30, 30]",0,0,"[81.0, 4.0, 14.0, 2.0, 2.0, 0.0, 4.0, 1.0, 0.0, 0.0, 45.0, 30.0]",1,True,False,0,52.874,nn,0.7984084880636605,0.04251700680272109,0.10459183673469387,0.8333333333333334
adult,1,42,2,12,2,"[81, 4, 9, 2, 2, 0, 4, 1, 0, 0, 30, 30]",0,0,"[81.0, 4.0, 14.0, 2.0, 2.0, 0.0, 4.0, 1.0, 0.0, 0.0, 45.0, 30.0]",1,True,False,0,49.802,nn,0.7984084880636605,0.04251700680272109,0.10459183673469387,0.8333333333333334
adult,1,42,2,12,3,"[81, 4, 9, 2, 2, 0, 4, 1, 0, 0, 30, 30]",0,0,"[81.0, 4.0, 9.0, 2.0, 2.0, 0.0, 4.0, 1.0, 7896.0, 0.0, 5.0, 30.0]",1,True,False,0,49.291,nn,0.7984084880636605,0.02783856920201855,0.0972526179343426,0.8333333333333334
adult,1,42,2,12,4,"[81, 4, 9, 2, 2, 0, 4, 1, 0, 0, 30, 30]",0,0,"[81.0, 4.0, 14.0, 2.0, 2.0, 0.0, 4.0, 1.0, 0.0, 0.0, 37.0, 30.0]",1,True,False,0,47.716,nn,0.7984084880636605,0.03571428571428571,0.10119047619047619,0.8333333333333334
adult,1,42,2,14,0,"[48, 0, 13, 0, 2, 4, 4, 1, 0, 0, 58, 30]",0,1,"[48.0, 0.0, 13.0, 0.0, 2.0, 4.0, 4.0, 1.0, 0.0, 0.0, 60.0, 30.0]",1,True,False,0,5.091,nn,0.7984084880636605,0.0017006802721088433,0.04251700680272109,0.9166666666666666
adult,1,42,2,14,1,"[48, 0, 13, 0, 2, 4, 4, 1, 0, 0, 58, 30]",0,1,"[48.0, 0.0, 13.0, 1.0, 2.0, 4.0, 4.0, 1.0, 0.0, 0.0, 58.0, 30.0]",1,True,False,0,4.987,nn,0.7984084880636605,0.08333333333333333,0.08333333333333333,0.9166666666666666
adult,1,42,2,14,2,"[48, 0, 13, 0, 2, 4, 4, 1, 0, 0, 58, 30]",0,1,"[48.0, 0.0, 13.0, 1.0, 2.0, 4.0, 4.0, 1.0, 0.0, 0.0, 58.0, 30.0]",1,True,False,0,5.013,nn,0.7984084880636605,0.08333333333333333,0.08333333333333333,0.9166666666666666
adult,1,42,2,14,3,"[48, 0, 13, 0, 2, 4, 4, 1, 0, 0, 58, 30]",0,1,"[48.0, 0.0, 13.0, 0.0, 2.0, 4.0, 4.0, 1.0, 10520.0, 0.0, 42.0, 30.0]",1,True,False,0,4.994,nn,0.7984084880636605,0.02237219651108075,0.0945194315888737,0.8333333333333334
adult,1,42,2,14,4,"[48, 0, 13, 0, 2, 4, 4, 1, 0, 0, 58, 30]",0,1,"[48.0, 0.0, 13.0, 0.0, 2.0, 4.0, 4.0, 1.0, 0.0, 0.0, 47.0, 30.0]",1,True,False,0,4.958,nn,0.7984084880636605,0.00935374149659864,0.04634353741496598,0.9166666666666666
adult,1,42,2,19,0,"[73, 2, 9, 6, 10, 2, 4, 0, 0, 0, 15, 30]",0,0,"[73.0, 2.0, 9.0, 6.0, 11.0, 2.0, 4.0, 0.0, 27828.0, 0.0, 5.0, 30.0]",1,True,False,0,47.401,nn,0.7984084880636605,0.11502696659619656,0.18251348329809827,0.75
adult,1,42,2,19,1,"[73, 2, 9, 6, 10, 2, 4, 0, 0, 0, 15, 30]",0,0,"[73.0, 0.0, 9.0, 6.0, 10.0, 2.0, 4.0, 0.0, 15024.0, 0.0, 5.0, 30.0]",1,True,False,0,47.429,nn,0.7984084880636605,0.10435685989512956,0.17717842994756478,0.75
adult,1,42,2,19,2,"[73, 2, 9, 6, 10, 2, 4, 0, 0, 0, 15, 30]",0,0,"[73.0, 2.0, 9.0, 6.0, 10.0, 5.0, 4.0, 0.0, 13550.0, 0.0, 5.0, 30.0]",1,True,False,0,47.754,nn,0.7984084880636605,0.10312851427834005,0.17656425713917,0.75
adult,1,42,2,19,3,"[73, 2, 9, 6, 10, 2, 4, 0, 0, 0, 15, 30]",0,0,"[73.0, 0.0, 9.0, 6.0, 0.0, 2.0, 4.0, 0.0, 15024.0, 0.0, 5.0, 30.0]",1,True,False,0,50.773,nn,0.7984084880636605,0.18769019322846286,0.2605117632808981,0.6666666666666667
adult,1,42,2,19,4,"[73, 2, 9, 6, 10, 2, 4, 0, 0, 0, 15, 30]",0,0,"[73.0, 0.0, 9.0, 6.0, 10.0, 2.0, 4.0, 0.0, 15024.0, 0.0, 5.0, 30.0]",1,True,False,0,46.276,nn,0.7984084880636605,0.10435685989512956,0.17717842994756478,0.75
adult,1,42,2,21,0,"[37, 2, 9, 0, 0, 4, 4, 0, 0, 0, 40, 30]",0,0,"[37.0, 2.0, 9.0, 0.0, 0.0, 4.0, 4.0, 0.0, 14344.0, 0.0, 5.0, 30.0]",1,True,False,0,12.11,nn,0.7984084880636605,0.041715357629766775,0.10419101214821672,0.8333333333333334
adult,1,42,2,21,1,"[37, 2, 9, 0, 0, 4, 4, 0, 0, 0, 40, 30]",0,0,"[37.0, 2.0, 13.0, 2.0, 0.0, 4.0, 4.0, 0.0, 0.0, 0.0, 40.0, 30.0]",1,True,False,0,46.239,nn,0.7984084880636605,0.10714285714285712,0.1369047619047619,0.8333333333333334
