dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss
adult,1,42,1,1,0,"[31, 1, 9, 4, 0, 1, 4, 0, 0, 0, 40, 30]",0,0,"[31.06510050674897, 0.0, 10.45723163780868, 4.0, 1.0, 0.0, 4.0, 1.0, 0.0, 0.0, 40.022430333743074, 29.0]",0,False,False,0,5.768,nn,0.8196286472148541,0.42543405357078645,1.5460503601187265
adult,1,42,1,1,1,"[31, 1, 9, 4, 0, 1, 4, 0, 0, 0, 40, 30]",0,0,"[31.171142933667376, 0.0, 10.404461740949579, 4.0, 1.0, 2.0, 3.0, 1.0, 0.0, 0.0, 40.42817194827878, 30.0]",0,False,False,0,5.693,nn,0.8196286472148541,0.4255860184203358,1.5461263425435012
adult,1,42,1,1,2,"[31, 1, 9, 4, 0, 1, 4, 0, 0, 0, 40, 30]",0,0,"[30.786566829524496, 1.0, 11.201100719343767, 4.0, 0.0, 0.0, 4.0, 1.0, 0.0, 0.0, 40.0, 30.0]",0,False,False,0,5.729,nn,0.8196286472148541,0.1800121018345362,1.2566727175839347
adult,1,42,1,1,3,"[31, 1, 9, 4, 0, 1, 4, 0, 0, 0, 40, 30]",0,0,"[31.108741367144322, 0.0, 10.634447182280724, 4.0, 1.0, 1.0, 4.0, 1.0, 0.0, 0.0, 40.33284325285265, 29.0]",0,False,False,0,5.535,nn,0.8196286472148541,0.34346934956648767,1.4634013414499105
adult,1,42,1,1,4,"[31, 1, 9, 4, 0, 1, 4, 0, 0, 0, 40, 30]",0,0,"[30.216726598871727, 0.0, 10.76029779838043, 4.0, 1.0, 1.0, 4.0, 1.0, 0.0, 0.0, 40.012972725764854, 30.0]",0,False,False,0,5.629,nn,0.8196286472148541,0.2613831420331726,1.3806915710165863
adult,1,42,1,2,0,"[31, 2, 9, 0, 8, 1, 4, 0, 0, 0, 40, 30]",0,0,"[31.366167332119815, 2.0, 10.37373266041303, 0.0, 8.0, 1.0, 4.0, 1.0, 0.0, 0.0, 39.66351735137208, 30.0]",0,False,False,0,5.829,nn,0.8196286472148541,0.09221443739363339,1.2127738853634833
adult,1,42,1,2,1,"[31, 2, 9, 0, 8, 1, 4, 0, 0, 0, 40, 30]",0,0,"[31.0, 1.0, 11.23152474518574, 0.0, 8.0, 0.0, 4.0, 1.0, 0.0, 0.0, 40.02175903647291, 30.0]",0,False,False,0,5.913,nn,0.8196286472148541,0.2633013879700451,1.3399840273183559
adult,1,42,1,2,2,"[31, 2, 9, 0, 8, 1, 4, 0, 0, 0, 40, 30]",0,0,"[31.0, 2.0, 10.956965785004172, 0.0, 8.0, 1.0, 4.0, 1.0, 0.0, 0.0, 39.63817606107179, 30.0]",0,False,False,0,5.802,nn,0.8196286472148541,0.09528961261390936,1.1726448063069546
adult,1,42,1,2,3,"[31, 2, 9, 0, 8, 1, 4, 0, 0, 0, 40, 30]",0,0,"[30.99556660014625, 1.0, 10.757583934441538, 1.0, 8.0, 1.0, 4.0, 1.0, 0.0, 0.0, 40.0, 30.0]",1,False,False,0,5.703,nn,0.8196286472148541,0.2604668700923177,0.3385667683794922
adult,1,42,1,2,4,"[31, 2, 9, 0, 8, 1, 4, 0, 0, 0, 40, 30]",0,0,"[29.995971172742575, 2.0, 10.934530224963972, 1.0, 8.0, 1.0, 4.0, 1.0, 0.0, 0.0, 40.0, 30.0]",1,False,False,0,5.96,nn,0.8196286472148541,0.17932787915883674,0.25633060624608506
adult,1,42,1,4,0,"[50, 2, 2, 3, 1, 4, 4, 1, 0, 0, 40, 30]",0,0,"[50.0, 2.0, 9.757964888589726, 1.0, 1.0, 5.0, 3.0, 1.0, 0.0, 0.0, 40.85944466649774, 30.0]",1,False,False,0,15.069,nn,0.8196286472148541,0.2969091827267226,0.3567879246966946
adult,1,42,1,4,1,"[50, 2, 2, 3, 1, 4, 4, 1, 0, 0, 40, 30]",0,0,"[50.0, 0.0, 8.300160474568589, 3.0, 4.0, 4.0, 4.0, 1.0, 0.0, 0.0, 42.24649199236028, 30.0]",0,False,False,0,14.82,nn,0.8196286472148541,0.20607790417886088,1.269705618756097
adult,1,42,1,4,2,"[50, 2, 2, 3, 1, 4, 4, 1, 0, 0, 40, 30]",0,0,"[50.0, 2.0, 9.835326406941823, 4.0, 1.0, 4.0, 4.0, 1.0, 0.0, 0.0, 40.0, 29.0]",0,False,False,0,15.251,nn,0.8196286472148541,0.21330551432703465,1.2316527571635174
adult,1,42,1,4,3,"[50, 2, 2, 3, 1, 4, 4, 1, 0, 0, 40, 30]",0,0,"[50.0, 2.0, 8.755362685471242, 2.0, 2.0, 4.0, 4.0, 1.0, 0.0, 0.0, 41.41471095507596, 30.0]",0,False,False,0,15.252,nn,0.8196286472148541,0.20808014434810768,1.2707067388407205
adult,1,42,1,4,4,"[50, 2, 2, 3, 1, 4, 4, 1, 0, 0, 40, 30]",0,0,"[50.0, 2.0, 8.447694757393686, 3.0, 1.0, 4.0, 4.0, 1.0, 0.0, 0.0, 40.0, 30.0]",0,False,False,0,14.709,nn,0.8196286472148541,0.0383791354606767,1.060856234397005
