dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss,sparsity
adult,1,42,4,0,0,"[36, 2, 13, 0, 8, 3, 4, 0, 0, 0, 40, 30]",0,0,"[36, 2, 13, 0, 8, 3, 4, 0, 4308, 0, 40, 30]",1,False,False,0,18.743,nn,0.8218085106382979,0.003590035900359003,0.043461684616846165,0.9166666666666666
adult,1,42,4,0,1,"[36, 2, 13, 0, 8, 3, 4, 0, 0, 0, 40, 30]",0,0,"[36, 2, 13, 0, 8, 3, 4, 0, 4249, 0, 40, 30]",1,False,False,0,19.324,nn,0.8218085106382979,0.0035408687420207534,0.04343710103767704,0.9166666666666666
adult,1,42,4,0,2,"[36, 2, 13, 0, 8, 3, 4, 0, 0, 0, 40, 30]",0,0,"[36, 2, 13, 0, 8, 3, 4, 0, 0, 0, 40, 30]",0,False,False,0,18.494,nn,0.8218085106382979,0.0,1.0,1.0
adult,1,42,4,4,0,"[17, 2, 7, 4, 10, 3, 4, 1, 0, 0, 12, 30]",0,0,"[24, 2, -4, 4, 10, 3, 4, 1, 2974, 0, 12, 30]",0,False,False,0,18.821,nn,0.8218085106382979,0.07594541617301365,1.1629727080865069,0.75
adult,1,42,4,4,1,"[17, 2, 7, 4, 10, 3, 4, 1, 0, 0, 12, 30]",0,0,"[17, 2, -5, 4, 10, 3, 4, 1, 11340, 818, 12, 30]",0,False,False,0,18.589,nn,0.8218085106382979,0.09602681407766457,1.1730134070388323,0.75
adult,1,42,4,4,2,"[17, 2, 7, 4, 10, 3, 4, 1, 0, 0, 12, 30]",0,0,"[17, 2, 7, 4, 10, 3, 4, 1, 7879, 0, 12, 30]",0,False,False,0,18.467,nn,0.8218085106382979,0.006565898992323256,1.0449496161628282,0.9166666666666666
adult,1,42,4,5,0,"[21, 2, 13, 4, 4, 1, 4, 1, 0, 0, 40, 30]",0,0,"[21, 2, 13, 4, 4, 1, 4, 1, 0, 0, 40, 30]",0,False,False,0,18.901,nn,0.8218085106382979,0.0,1.0,1.0
adult,1,42,4,5,1,"[21, 2, 13, 4, 4, 1, 4, 1, 0, 0, 40, 30]",0,0,"[21, 2, 13, 4, 4, 1, 4, 1, 0, 0, 40, 30]",0,False,False,0,18.488,nn,0.8218085106382979,0.0,1.0,1.0
adult,1,42,4,5,2,"[21, 2, 13, 4, 4, 1, 4, 1, 0, 0, 40, 30]",0,0,"[21, 2, 13, 4, 4, 1, 4, 1, 0, 0, 40, 30]",0,False,False,0,20.077,nn,0.8218085106382979,0.0,1.0,1.0
adult,1,42,4,6,0,"[31, 2, 9, 0, 1, 4, 4, 1, 0, 0, 55, 30]",0,0,"[31, 2, 9, 0, 1, 4, 4, 1, 3705, 0, 55, 30]",0,False,False,0,19.263,nn,0.8218085106382979,0.003087530875308753,1.043210432104321,0.9166666666666666
adult,1,42,4,6,1,"[31, 2, 9, 0, 1, 4, 4, 1, 0, 0, 55, 30]",0,0,"[31, 2, 9, 0, 1, 4, 4, 1, 7281, 0, 55, 30]",0,False,False,0,19.055,nn,0.8218085106382979,0.006067560675606756,1.04470044700447,0.9166666666666666
adult,1,42,4,6,2,"[31, 2, 9, 0, 1, 4, 4, 1, 0, 0, 55, 30]",0,0,"[31, 2, -5, 0, 1, 4, 4, 1, 6497, 0, 55, 30]",0,False,False,0,18.915,nn,0.8218085106382979,0.08874755414220808,1.1277071104044374,0.8333333333333334
adult,1,42,4,12,0,"[30, 2, 9, 2, 1, 0, 4, 1, 0, 0, 40, 30]",0,0,"[30, 2, 9, 2, 1, 0, 4, 1, 0, 0, 40, 30]",0,False,False,0,18.983,nn,0.8218085106382979,0.0,1.0,1.0
adult,1,42,4,12,1,"[30, 2, 9, 2, 1, 0, 4, 1, 0, 0, 40, 30]",0,0,"[30, 2, 12, 2, 1, 0, 4, 1, 9288, 0, 40, 30]",1,False,False,0,18.662,nn,0.8218085106382979,0.025597220257916862,0.09613194346229176,0.8333333333333334
adult,1,42,4,12,2,"[30, 2, 9, 2, 1, 0, 4, 1, 0, 0, 40, 30]",0,0,"[30, 2, 9, 2, 1, 0, 4, 1, 0, 0, 40, 30]",0,False,False,0,21.111,nn,0.8218085106382979,0.0,1.0,1.0
