dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc,blackbox,gower_dist,loss
adult,1,42,2,1,0,"[24, 2, 10, 2, 5, 0, 4, 1, 0, 0, 40, 30]",0,0,"[24.0, 2.0, 10.0, 2.0, 5.0, 0.0, 4.0, 1.0, 4310.498461209529, 0.0, 40.0, 30.0]",1,False,False,0,10.852,0.7904509283819628,rf,0.0035921179721876625,0.04346272565276049
adult,1,42,2,1,1,"[24, 2, 10, 2, 5, 0, 4, 1, 0, 0, 40, 30]",0,0,"[24.0, 2.0, 10.0, 2.0, 5.0, 0.0, 4.0, 1.0, 4345.35685823082, 0.0, 40.0, 30.0]",1,False,False,0,10.964,0.7904509283819628,rf,0.003621166926861618,0.043477250130097476
adult,1,42,2,1,2,"[24, 2, 10, 2, 5, 0, 4, 1, 0, 0, 40, 30]",0,0,"[24.0, 2.0, 10.0, 2.0, 5.0, 0.0, 4.0, 1.0, 4384.5438662271035, 0.0, 40.0, 30.0]",1,False,False,0,10.971,0.7904509283819628,rf,0.003653823093420187,0.04349357821337676
adult,1,42,2,1,3,"[24, 2, 10, 2, 5, 0, 4, 1, 0, 0, 40, 30]",0,0,"[24.0, 2.0, 10.0, 2.0, 5.0, 0.0, 4.0, 1.0, 4396.0800846441925, 0.0, 40.0, 30.0]",1,False,False,0,11.004,0.7904509283819628,rf,0.003663436704903876,0.0434983850191186
adult,1,42,2,1,4,"[24, 2, 10, 2, 5, 0, 4, 1, 0, 0, 40, 30]",0,0,"[24.0, 2.0, 10.0, 2.0, 5.0, 0.0, 4.0, 1.0, 4339.753787361638, 0.0, 40.0, 30.0]",1,False,False,0,11.02,0.7904509283819628,rf,0.0036164976544445764,0.04347491549388895
adult,1,42,2,2,0,"[50, 2, 10, 0, 6, 1, 4, 1, 0, 0, 45, 30]",0,0,"[50.0, 2.0, 10.0, 0.0, 6.0, 1.0, 4.0, 1.0, 4263.1372961008, 0.0, 45.0, 30.0]",1,False,False,0,10.433,0.7904509283819628,rf,0.0035526499399167327,0.04344299163662503
adult,1,42,2,2,1,"[50, 2, 10, 0, 6, 1, 4, 1, 0, 0, 45, 30]",0,0,"[50.0, 2.0, 10.0, 0.0, 6.0, 1.0, 4.0, 1.0, 4249.484113909064, 0.0, 45.0, 30.0]",1,False,False,0,10.509,0.7904509283819628,rf,0.0035412721743126293,0.04343730275382298
adult,1,42,2,2,2,"[50, 2, 10, 0, 6, 1, 4, 1, 0, 0, 45, 30]",0,0,"[50.0, 2.0, 10.0, 0.0, 6.0, 1.0, 4.0, 1.0, 4296.115131189755, 0.0, 45.0, 30.0]",1,False,False,0,10.517,0.7904509283819628,rf,0.003580131743975569,0.04345673253865445
adult,1,42,2,2,3,"[50, 2, 10, 0, 6, 1, 4, 1, 0, 0, 45, 30]",0,0,"[50.0, 2.0, 10.0, 0.0, 6.0, 1.0, 4.0, 1.0, 4252.277204698861, 0.0, 45.0, 30.0]",1,False,False,0,10.473,0.7904509283819628,rf,0.003543599773246783,0.043438466553290055
adult,1,42,2,2,4,"[50, 2, 10, 0, 6, 1, 4, 1, 0, 0, 45, 30]",0,0,"[50.0, 2.0, 10.0, 0.0, 6.0, 1.0, 4.0, 1.0, 4312.294162419641, 0.0, 45.0, 30.0]",1,False,False,0,10.503,0.7904509283819628,rf,0.003593614404827082,0.043463473869080206
adult,1,42,2,3,0,"[27, 2, 13, 4, 11, 4, 2, 0, 0, 0, 40, 30]",0,0,"[27.0, 2.0, 14.605315312133689, 4.0, 11.0, 4.0, 2.0, 0.0, 12905.65212757314, 0.0, 40.0, 30.0]",1,False,False,0,10.403,0.7904509283819628,rf,0.020310265940997545,0.0934884663038321
adult,1,42,2,3,1,"[27, 2, 13, 4, 11, 4, 2, 0, 0, 0, 40, 30]",0,0,"[38.61032776335829, 2.0, 13.0, 4.0, 11.0, 4.0, 2.0, 0.0, 9943.083370118602, 0.0, 40.0, 30.0]",1,False,False,0,10.517,0.7904509283819628,rf,0.021539784484907905,0.09410322557578728
adult,1,42,2,3,2,"[27, 2, 13, 4, 11, 4, 2, 0, 0, 0, 40, 30]",0,0,"[27.0, 2.0, 14.546752414030951, 4.0, 11.0, 4.0, 2.0, 0.0, 11094.187108300222, 0.0, 40.0, 30.0]",1,False,False,0,10.412,0.7904509283819628,rf,0.018452107983394368,0.09255938732503051
adult,1,42,2,3,3,"[27, 2, 13, 4, 11, 4, 2, 0, 0, 0, 40, 30]",0,0,"[39.32501419859558, 2.0, 13.0, 4.0, 11.0, 4.0, 2.0, 0.0, 9921.409670489518, 0.0, 40.0, 30.0]",1,False,False,0,10.416,0.7904509283819628,rf,0.022337574982954106,0.09450212082481038
adult,1,42,2,3,4,"[27, 2, 13, 4, 11, 4, 2, 0, 0, 0, 40, 30]",0,0,"[38.59695290721284, 2.0, 13.0, 4.0, 11.0, 4.0, 2.0, 0.0, 10818.444268156381, 0.0, 40.0, 30.0]",1,False,False,0,10.395,0.7904509283819628,rf,0.02225399109406382,0.09446032888036524
adult,1,42,2,4,0,"[24, 2, 9, 4, 1, 3, 4, 1, 0, 0, 40, 30]",0,0,"[28.098432975883632, 2.0, 9.0, 4.0, 1.0, 3.0, 4.0, 1.0, 9679.26245071509, 0.0, 40.0, 30.0]",1,False,False,0,10.569,0.7904509283819628,rf,0.012744709160077777,0.08970568791337222
adult,1,42,2,4,1,"[24, 2, 9, 4, 1, 3, 4, 1, 0, 0, 40, 30]",0,0,"[28.02503217605677, 2.0, 9.0, 4.0, 1.0, 3.0, 4.0, 1.0, 9822.355641875398, 0.0, 40.0, 30.0]",1,False,False,0,10.59,0.7904509283819628,rf,0.012780163811117618,0.08972341523889214
adult,1,42,2,4,2,"[24, 2, 9, 4, 1, 3, 4, 1, 0, 0, 40, 30]",0,0,"[29.270579253126755, 2.0, 9.0, 4.0, 1.0, 3.0, 4.0, 1.0, 8887.722457918666, 0.0, 40.0, 30.0]",1,False,False,0,10.621,0.7904509283819628,rf,0.013423152429714766,0.09004490954819071
adult,1,42,2,4,3,"[24, 2, 9, 4, 1, 3, 4, 1, 0, 0, 40, 30]",0,0,"[27.660850606660652, 2.0, 9.0, 4.0, 1.0, 3.0, 4.0, 1.0, 9645.027652559, 0.0, 40.0, 30.0]",1,False,False,0,10.6,0.7904509283819628,rf,0.01221665662378388,0.08944166164522527
adult,1,42,2,4,4,"[24, 2, 9, 4, 1, 3, 4, 1, 0, 0, 40, 30]",0,0,"[27.721153739372028, 2.0, 9.0, 4.0, 1.0, 3.0, 4.0, 1.0, 9866.426454942939, 0.0, 40.0, 30.0]",1,False,False,0,10.584,0.7904509283819628,rf,0.012469996663371861,0.08956833166501926
adult,1,42,2,5,0,"[36, 4, 13, 0, 8, 1, 2, 0, 0, 0, 40, 30]",0,1,"[36.0, 4.0, 13.0, 0.0, 8.0, 1.0, 2.0, 0.0, 4927.286895521984, 0.0, 40.0, 30.0]",1,False,False,0,10.143,0.7904509283819628,rf,0.004106113474069727,0.043719723403701526
adult,1,42,2,5,1,"[36, 4, 13, 0, 8, 1, 2, 0, 0, 0, 40, 30]",0,1,"[36.0, 4.0, 13.0, 0.0, 8.0, 1.0, 2.0, 0.0, 4902.891996405571, 0.0, 40.0, 30.0]",1,False,False,0,10.186,0.7904509283819628,rf,0.004085784188179857,0.04370955876075659
adult,1,42,2,5,2,"[36, 4, 13, 0, 8, 1, 2, 0, 0, 0, 40, 30]",0,1,"[36.0, 4.0, 13.0, 0.0, 8.0, 1.0, 2.0, 0.0, 4910.023542329973, 0.0, 40.0, 30.0]",1,False,False,0,10.194,0.7904509283819628,rf,0.0040917272025470025,0.04371253026794016
adult,1,42,2,5,3,"[36, 4, 13, 0, 8, 1, 2, 0, 0, 0, 40, 30]",0,1,"[36.0, 4.0, 13.0, 0.0, 8.0, 1.0, 2.0, 0.0, 4911.205474940857, 0.0, 40.0, 30.0]",1,False,False,0,10.218,0.7904509283819628,rf,0.004092712156238943,0.04371302274478613
adult,1,42,2,5,4,"[36, 4, 13, 0, 8, 1, 2, 0, 0, 0, 40, 30]",0,1,"[36.0, 4.0, 13.0, 0.0, 8.0, 1.0, 2.0, 0.0, 4908.626235398579, 0.0, 40.0, 30.0]",1,False,False,0,10.216,0.7904509283819628,rf,0.004090562768459834,0.04371194805089658
adult,1,42,2,6,0,"[66, 2, 9, 4, 12, 1, 4, 1, 2050, 0, 55, 30]",0,0,"[66.0, 2.0, 9.0, 4.0, 12.0, 1.0, 4.0, 1.0, 4250.442297740758, 0.0, 55.0, 30.0]",1,False,False,0,10.569,0.7904509283819628,rf,0.0018337202519864845,0.042583526792659906
adult,1,42,2,6,1,"[66, 2, 9, 4, 12, 1, 4, 1, 2050, 0, 55, 30]",0,0,"[66.0, 2.0, 9.0, 4.0, 12.0, 1.0, 4.0, 1.0, 4250.720369355986, 0.0, 55.0, 30.0]",1,False,False,0,10.554,0.7904509283819628,rf,0.0018339519806497946,0.04258364265699156
adult,1,42,2,6,2,"[66, 2, 9, 4, 12, 1, 4, 1, 2050, 0, 55, 30]",0,0,"[66.0, 2.0, 9.0, 4.0, 12.0, 1.0, 4.0, 1.0, 4304.730315795045, 0.0, 55.0, 30.0]",1,False,False,0,10.534,0.7904509283819628,rf,0.0018789607194363983,0.042606147026384864
adult,1,42,2,6,3,"[66, 2, 9, 4, 12, 1, 4, 1, 2050, 0, 55, 30]",0,0,"[66.0, 2.0, 9.0, 4.0, 12.0, 1.0, 4.0, 1.0, 4244.443471231285, 0.0, 55.0, 30.0]",1,False,False,0,10.512,0.7904509283819628,rf,0.0018287211799045363,0.042581027256618935
adult,1,42,2,6,4,"[66, 2, 9, 4, 12, 1, 4, 1, 2050, 0, 55, 30]",0,0,"[66.0, 2.0, 9.0, 4.0, 12.0, 1.0, 4.0, 1.0, 4239.428594011285, 0.0, 55.0, 30.0]",1,False,False,0,10.547,0.7904509283819628,rf,0.001824542073763475,0.042578937703548404
adult,1,42,2,7,0,"[19, 2, 9, 4, 6, 3, 4, 0, 0, 0, 14, 30]",0,0,"[37.301153740777174, 2.0, 9.0, 4.0, 6.0, 3.0, 4.0, 0.0, 16164.965857912459, 0.0, 45.568937448965805, 30.0]",1,False,False,0,9.497,0.7904509283819628,rf,0.061207002171022554,0.15560350108551127
adult,1,42,2,7,1,"[19, 2, 9, 4, 6, 3, 4, 0, 0, 0, 14, 30]",0,0,"[36.69402273372421, 2.0, 13.510739143133545, 4.0, 6.0, 3.0, 4.0, 0.0, 9167.89406750789, 0.0, 14.0, 30.0]",1,False,False,0,9.583,0.7904509283819628,rf,0.054688281968278026,0.152344140984139
adult,1,42,2,7,2,"[19, 2, 9, 4, 6, 3, 4, 0, 0, 0, 14, 30]",0,0,"[38.89451315335168, 2.0, 12.572320994525368, 4.0, 6.0, 3.0, 4.0, 0.0, 11464.405726630295, 0.0, 14.0, 30.0]",1,False,False,0,9.663,0.7904509283819628,rf,0.05352821387372954,0.15176410693686476
adult,1,42,2,7,3,"[19, 2, 9, 4, 6, 3, 4, 0, 0, 0, 14, 30]",0,0,"[38.70504946971375, 2.0, 9.0, 4.0, 6.0, 3.0, 4.0, 0.0, 12795.032986402352, 0.0, 45.464549127474015, 30.0]",1,False,False,0,9.575,0.7904509283819628,rf,0.05991255181067596,0.15495627590533798
adult,1,42,2,7,4,"[19, 2, 9, 4, 6, 3, 4, 0, 0, 0, 14, 30]",0,0,"[37.1818941386787, 2.0, 9.0, 4.0, 6.0, 3.0, 4.0, 0.0, 14612.74167885696, 0.0, 46.712704299579826, 30.0]",1,False,False,0,9.52,0.7904509283819628,rf,0.06074991884755854,0.15537495942377927
adult,1,42,2,11,0,"[63, 2, 9, 6, 3, 1, 4, 1, 0, 0, 6, 30]",0,0,"[63.0, 2.0, 9.0, 6.0, 3.0, 1.0, 4.0, 1.0, 8061.112796401406, 0.0, 6.0, 30.0]",1,False,False,0,10.46,0.7904509283819628,rf,0.006717661173612907,0.045025497253473115
adult,1,42,2,11,1,"[63, 2, 9, 6, 3, 1, 4, 1, 0, 0, 6, 30]",0,0,"[63.0, 2.0, 9.0, 6.0, 3.0, 1.0, 4.0, 1.0, 8043.906465226483, 0.0, 6.0, 30.0]",1,False,False,0,10.417,0.7904509283819628,rf,0.006703322420912945,0.045018327877123135
adult,1,42,2,11,2,"[63, 2, 9, 6, 3, 1, 4, 1, 0, 0, 6, 30]",0,0,"[63.0, 2.0, 9.0, 6.0, 3.0, 1.0, 4.0, 1.0, 8037.995691829352, 0.0, 6.0, 30.0]",1,False,False,0,10.482,0.7904509283819628,rf,0.006698396727158398,0.045015865030245863
adult,1,42,2,11,3,"[63, 2, 9, 6, 3, 1, 4, 1, 0, 0, 6, 30]",0,0,"[63.0, 2.0, 9.0, 6.0, 3.0, 1.0, 4.0, 1.0, 8113.1065677963925, 0.0, 6.0, 30.0]",1,False,False,0,10.438,0.7904509283819628,rf,0.006760989749727824,0.04504716154153058
adult,1,42,2,11,4,"[63, 2, 9, 6, 3, 1, 4, 1, 0, 0, 6, 30]",0,0,"[63.0, 2.0, 9.0, 6.0, 3.0, 1.0, 4.0, 1.0, 8039.161228825662, 0.0, 6.0, 30.0]",1,False,False,0,10.434,0.7904509283819628,rf,0.006699368017701561,0.045016350675517444
adult,1,42,2,12,0,"[81, 4, 9, 2, 2, 0, 4, 1, 0, 0, 30, 30]",0,0,"[81.0, 4.0, 9.0, 2.0, 2.0, 0.0, 4.0, 1.0, 4235.129624237782, 0.0, 30.0, 30.0]",1,False,False,0,10.677,0.7904509283819628,rf,0.003529309979964618,0.04343132165664897
adult,1,42,2,12,1,"[81, 4, 9, 2, 2, 0, 4, 1, 0, 0, 30, 30]",0,0,"[81.0, 4.0, 9.0, 2.0, 2.0, 0.0, 4.0, 1.0, 4309.137907178054, 0.0, 30.0, 30.0]",1,False,False,0,10.73,0.7904509283819628,rf,0.0035909841658233695,0.04346215874957835
adult,1,42,2,12,2,"[81, 4, 9, 2, 2, 0, 4, 1, 0, 0, 30, 30]",0,0,"[81.0, 4.0, 9.0, 2.0, 2.0, 0.0, 4.0, 1.0, 4257.279817221597, 0.0, 30.0, 30.0]",1,False,False,0,10.797,0.7904509283819628,rf,0.0035477686587045846,0.043440550996018956
adult,1,42,2,12,3,"[81, 4, 9, 2, 2, 0, 4, 1, 0, 0, 30, 30]",0,0,"[81.0, 4.0, 9.0, 2.0, 2.0, 0.0, 4.0, 1.0, 4231.324729608629, 0.0, 30.0, 30.0]",1,False,False,0,10.718,0.7904509283819628,rf,0.0035261392027325514,0.04342973626803294
adult,1,42,2,12,4,"[81, 4, 9, 2, 2, 0, 4, 1, 0, 0, 30, 30]",0,0,"[81.0, 4.0, 9.0, 2.0, 2.0, 0.0, 4.0, 1.0, 4231.389258977335, 0.0, 30.0, 30.0]",1,False,False,0,10.757,0.7904509283819628,rf,0.0035261929777442233,0.04342976315553877
adult,1,42,2,14,0,"[48, 0, 13, 0, 2, 4, 4, 1, 0, 0, 58, 30]",0,1,"[48.0, 0.0, 13.507246027109707, 0.0, 2.0, 4.0, 4.0, 1.0, 0.0, 0.0, 58.0, 30.0]",1,False,False,0,10.085,0.7904509283819628,rf,0.003019321589938731,0.04317632746163603
adult,1,42,2,14,1,"[48, 0, 13, 0, 2, 4, 4, 1, 0, 0, 58, 30]",0,1,"[48.0, 0.0, 13.500231326637225, 0.0, 2.0, 4.0, 4.0, 1.0, 0.0, 0.0, 58.0, 30.0]",1,False,False,0,10.059,0.7904509283819628,rf,0.002977567420459673,0.0431554503768965
adult,1,42,2,14,2,"[48, 0, 13, 0, 2, 4, 4, 1, 0, 0, 58, 30]",0,1,"[48.0, 0.0, 13.549432097510316, 0.0, 2.0, 4.0, 4.0, 1.0, 0.0, 0.0, 58.0, 30.0]",1,False,False,0,10.054,0.7904509283819628,rf,0.0032704291518471174,0.043301881242590226
adult,1,42,2,14,3,"[48, 0, 13, 0, 2, 4, 4, 1, 0, 0, 58, 30]",0,1,"[48.0, 0.0, 13.0, 0.0, 2.0, 4.0, 4.0, 1.0, 3969.2263139777333, 0.0, 58.0, 30.0]",1,False,False,0,10.051,0.7904509283819628,rf,0.0033077216721981665,0.04332052750276575
adult,1,42,2,14,4,"[48, 0, 13, 0, 2, 4, 4, 1, 0, 0, 58, 30]",0,1,"[48.0, 0.0, 13.530931537806444, 0.0, 2.0, 4.0, 4.0, 1.0, 0.0, 0.0, 58.0, 30.0]",1,False,False,0,10.086,0.7904509283819628,rf,0.0031603067726574023,0.04324682005299536
adult,1,42,2,19,0,"[73, 2, 9, 6, 10, 2, 4, 0, 0, 0, 15, 30]",0,0,"[73.0, 2.0, 9.0, 6.0, 10.0, 2.0, 4.0, 0.0, 8038.669518631242, 0.0, 15.0, 30.0]",1,False,False,0,9.927,0.7904509283819628,rf,0.006698958255108586,0.04501614579422096
adult,1,42,2,19,1,"[73, 2, 9, 6, 10, 2, 4, 0, 0, 0, 15, 30]",0,0,"[73.0, 2.0, 9.0, 6.0, 10.0, 2.0, 4.0, 0.0, 8058.456793113807, 0.0, 15.0, 30.0]",1,False,False,0,9.892,0.7904509283819628,rf,0.006715447815406326,0.04502439057436983
adult,1,42,2,19,2,"[73, 2, 9, 6, 10, 2, 4, 0, 0, 0, 15, 30]",0,0,"[73.0, 2.0, 9.0, 6.0, 10.0, 2.0, 4.0, 0.0, 8049.0010793479705, 0.0, 15.0, 30.0]",1,False,False,0,9.92,0.7904509283819628,rf,0.006707567975136394,0.045020450654234864
adult,1,42,2,19,3,"[73, 2, 9, 6, 10, 2, 4, 0, 0, 0, 15, 30]",0,0,"[73.0, 2.0, 9.0, 6.0, 10.0, 2.0, 4.0, 0.0, 8092.482614522946, 0.0, 15.0, 30.0]",1,False,False,0,9.932,0.7904509283819628,rf,0.006743802950131957,0.04503856814173264
adult,1,42,2,19,4,"[73, 2, 9, 6, 10, 2, 4, 0, 0, 0, 15, 30]",0,0,"[73.0, 2.0, 9.0, 6.0, 10.0, 2.0, 4.0, 0.0, 8041.668221866214, 0.0, 15.0, 30.0]",1,False,False,0,9.898,0.7904509283819628,rf,0.0067014571994605055,0.04501739526639692
adult,1,42,2,21,0,"[37, 2, 9, 0, 0, 4, 4, 0, 0, 0, 40, 30]",0,0,"[37.0, 2.0, 9.0, 0.0, 0.0, 4.0, 4.0, 0.0, 9034.30094672928, 0.0, 41.547193689667935, 30.0]",1,False,False,0,9.991,0.7904509283819628,rf,0.008844300301443262,0.08775548348405496
adult,1,42,2,21,1,"[37, 2, 9, 0, 0, 4, 4, 0, 0, 0, 40, 30]",0,0,"[37.0, 2.0, 9.0, 0.0, 0.0, 4.0, 4.0, 0.0, 9288.66247800763, 0.0, 41.54610522096269, 30.0]",1,False,False,0,9.961,0.7904509283819628,rf,0.009055344795248936,0.0878610057309578
adult,1,42,2,21,2,"[37, 2, 9, 0, 0, 4, 4, 0, 0, 0, 40, 30]",0,0,"[37.0, 2.0, 9.0, 0.0, 0.0, 4.0, 4.0, 0.0, 8039.861426007514, 0.0, 42.646202056141114, 30.0]",1,False,False,0,9.969,0.7904509283819628,rf,0.008950123337634664,0.08780839500215067
adult,1,42,2,21,3,"[37, 2, 9, 0, 0, 4, 4, 0, 0, 0, 40, 30]",0,0,"[37.0, 2.0, 9.0, 0.0, 0.0, 4.0, 4.0, 0.0, 9125.808998318502, 0.0, 41.558182774472634, 30.0]",1,False,False,0,9.984,0.7904509283819628,rf,0.008929902233543612,0.08779828445010514
adult,1,42,2,21,4,"[37, 2, 9, 0, 0, 4, 4, 0, 0, 0, 40, 30]",0,0,"[37.0, 2.0, 9.0, 0.0, 0.0, 4.0, 4.0, 0.0, 9142.933913271547, 0.0, 41.505427451396, 30.0]",1,False,False,0,10.029,0.7904509283819628,rf,0.008899313170110956,0.0877829899183888
adult,1,42,2,23,0,"[37, 1, 9, 0, 0, 4, 2, 0, 0, 0, 35, 30]",0,0,"[37.0, 1.0, 9.0, 0.0, 0.0, 4.0, 2.0, 0.0, 9304.157037361569, 0.0, 46.09430516854261, 30.0]",1,False,False,0,9.86,0.7904509283819628,rf,0.017187474699666437,0.09192707068316655
adult,1,42,2,23,1,"[37, 1, 9, 0, 0, 4, 2, 0, 0, 0, 35, 30]",0,0,"[37.0, 1.0, 9.0, 0.0, 0.0, 4.0, 2.0, 0.0, 9977.806293752725, 0.0, 49.210811902789445, 30.0]",1,False,False,0,9.854,0.7904509283819628,rf,0.020398945454206317,0.09353280606043649
adult,1,42,2,23,2,"[37, 1, 9, 0, 0, 4, 2, 0, 0, 0, 35, 30]",0,0,"[37.0, 1.0, 9.0, 0.0, 0.0, 4.0, 2.0, 0.0, 9086.769042599488, 0.0, 46.49773953477167, 30.0]",1,False,False,0,9.647,0.7904509283819628,rf,0.01734937265964821,0.09200801966315743
adult,1,42,2,23,3,"[37, 1, 9, 0, 0, 4, 2, 0, 0, 0, 35, 30]",0,0,"[37.0, 1.0, 9.0, 0.0, 0.0, 4.0, 2.0, 0.0, 9139.835494712726, 0.0, 46.206344039668885, 30.0]",1,False,False,0,9.704,0.7904509283819628,rf,0.017145809860349418,0.09190623826350804
adult,1,42,2,23,4,"[37, 1, 9, 0, 0, 4, 2, 0, 0, 0, 35, 30]",0,0,"[37.0, 1.0, 9.0, 0.0, 0.0, 4.0, 2.0, 0.0, 9183.387413287766, 0.0, 46.00708342782906, 30.0]",1,False,False,0,9.691,0.7904509283819628,rf,0.017012664192982738,0.09183966542982469
adult,1,42,2,24,0,"[52, 2, 9, 6, 10, 1, 4, 0, 0, 0, 40, 30]",0,0,"[52.0, 2.0, 9.0, 6.0, 10.0, 1.0, 4.0, 0.0, 8063.523490811604, 0.0, 40.0, 30.0]",1,False,False,0,10.236,0.7904509283819628,rf,0.006719670105710726,0.04502650171952203
adult,1,42,2,24,1,"[52, 2, 9, 6, 10, 1, 4, 0, 0, 0, 40, 30]",0,0,"[52.0, 2.0, 9.0, 6.0, 10.0, 1.0, 4.0, 0.0, 8037.319684249779, 0.0, 40.0, 30.0]",1,False,False,0,10.22,0.7904509283819628,rf,0.006697833381875301,0.04501558335760431
adult,1,42,2,24,2,"[52, 2, 9, 6, 10, 1, 4, 0, 0, 0, 40, 30]",0,0,"[52.0, 2.0, 9.0, 6.0, 10.0, 1.0, 4.0, 0.0, 8035.039839017798, 0.0, 40.0, 30.0]",1,False,False,0,10.176,0.7904509283819628,rf,0.0066959334918497496,0.04501463341259154
adult,1,42,2,24,3,"[52, 2, 9, 6, 10, 1, 4, 0, 0, 0, 40, 30]",0,0,"[52.0, 2.0, 9.0, 6.0, 10.0, 1.0, 4.0, 0.0, 8128.152386462396, 0.0, 40.0, 30.0]",1,False,False,0,10.221,0.7904509283819628,rf,0.00677352805733257,0.04505343069533295
adult,1,42,2,24,4,"[52, 2, 9, 6, 10, 1, 4, 0, 0, 0, 40, 30]",0,0,"[52.0, 2.0, 9.0, 6.0, 10.0, 1.0, 4.0, 0.0, 8029.531906488557, 0.0, 40.0, 30.0]",1,False,False,0,10.451,0.7904509283819628,rf,0.006691343502175486,0.045012338417754406
