dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc
adult,1,42,1,1,0,"[31, 1, 9, 4, 0, 1, 4, 0, 0, 0, 40, 30]",0,0,"[31.0, 1.0, 9.0, 4.0, 0.0, 1.0, 4.0, 0.0, 10895.30070241765, 0.0, 40.0, 30.0]",1,True,False,0,10.306,0.8249336870026526
adult,1,42,1,1,1,"[31, 1, 9, 4, 0, 1, 4, 0, 0, 0, 40, 30]",0,0,"[31.0, 1.0, 9.0, 4.0, 0.0, 1.0, 4.0, 0.0, 10920.466670396909, 0.0, 40.0, 30.0]",1,True,False,0,10.366,0.8249336870026526
adult,1,42,1,1,2,"[31, 1, 9, 4, 0, 1, 4, 0, 0, 0, 40, 30]",0,0,"[31.0, 1.0, 9.0, 4.0, 0.0, 1.0, 4.0, 0.0, 10900.899841662067, 0.0, 40.0, 30.0]",1,True,False,0,10.537,0.8249336870026526
adult,1,42,1,1,3,"[31, 1, 9, 4, 0, 1, 4, 0, 0, 0, 40, 30]",0,0,"[31.0, 1.0, 9.0, 4.0, 0.0, 1.0, 4.0, 0.0, 10922.476944076127, 0.0, 40.0, 30.0]",1,True,False,0,10.538,0.8249336870026526
adult,1,42,1,1,4,"[31, 1, 9, 4, 0, 1, 4, 0, 0, 0, 40, 30]",0,0,"[31.0, 1.0, 9.0, 4.0, 0.0, 1.0, 4.0, 0.0, 10909.920559221038, 0.0, 40.0, 30.0]",1,True,False,0,10.509,0.8249336870026526
adult,1,42,1,2,0,"[31, 2, 9, 0, 8, 1, 4, 0, 0, 0, 40, 30]",0,0,"[31.0, 2.0, 9.0, 0.0, 8.0, 1.0, 4.0, 0.0, 7623.036223202972, 0.0, 40.0, 30.0]",1,True,False,0,10.205,0.8249336870026526
adult,1,42,1,2,1,"[31, 2, 9, 0, 8, 1, 4, 0, 0, 0, 40, 30]",0,0,"[31.0, 2.0, 9.0, 0.0, 8.0, 1.0, 4.0, 0.0, 7573.295101778418, 0.0, 40.0, 30.0]",1,True,False,0,10.285,0.8249336870026526
adult,1,42,1,2,2,"[31, 2, 9, 0, 8, 1, 4, 0, 0, 0, 40, 30]",0,0,"[31.0, 2.0, 9.0, 0.0, 8.0, 1.0, 4.0, 0.0, 7570.1985118374105, 0.0, 40.0, 30.0]",1,True,False,0,10.519,0.8249336870026526
adult,1,42,1,2,3,"[31, 2, 9, 0, 8, 1, 4, 0, 0, 0, 40, 30]",0,0,"[31.0, 2.0, 9.0, 0.0, 8.0, 1.0, 4.0, 0.0, 7567.6472532213, 0.0, 40.0, 30.0]",1,True,False,0,10.274,0.8249336870026526
adult,1,42,1,2,4,"[31, 2, 9, 0, 8, 1, 4, 0, 0, 0, 40, 30]",0,0,"[31.0, 2.0, 9.0, 0.0, 8.0, 1.0, 4.0, 0.0, 7658.5918927309485, 0.0, 40.0, 30.0]",1,True,False,0,10.226,0.8249336870026526
adult,1,42,1,4,0,"[50, 2, 2, 3, 1, 4, 4, 1, 0, 0, 40, 30]",0,0,"[50.0, 2.0, 2.0, 3.0, 1.0, 4.0, 4.0, 1.0, 7721.362057227727, 0.0, 40.0, 30.0]",1,True,False,0,10.284,0.8249336870026526
adult,1,42,1,4,1,"[50, 2, 2, 3, 1, 4, 4, 1, 0, 0, 40, 30]",0,0,"[50.0, 2.0, 2.0, 3.0, 1.0, 4.0, 4.0, 1.0, 7725.728630740841, 0.0, 40.0, 30.0]",1,True,False,0,10.391,0.8249336870026526
adult,1,42,1,4,2,"[50, 2, 2, 3, 1, 4, 4, 1, 0, 0, 40, 30]",0,0,"[50.0, 2.0, 2.0, 3.0, 1.0, 4.0, 4.0, 1.0, 7685.199309459653, 0.0, 40.0, 30.0]",1,True,False,0,10.366,0.8249336870026526
adult,1,42,1,4,3,"[50, 2, 2, 3, 1, 4, 4, 1, 0, 0, 40, 30]",0,0,"[50.0, 2.0, 2.0, 3.0, 1.0, 4.0, 4.0, 1.0, 7779.788611963642, 0.0, 40.0, 30.0]",1,True,False,0,10.361,0.8249336870026526
adult,1,42,1,4,4,"[50, 2, 2, 3, 1, 4, 4, 1, 0, 0, 40, 30]",0,0,"[50.0, 2.0, 2.0, 3.0, 1.0, 4.0, 4.0, 1.0, 7711.84578441655, 0.0, 40.0, 30.0]",1,True,False,0,10.356,0.8249336870026526
adult,1,42,1,5,0,"[42, 2, 12, 0, 8, 4, 4, 0, 8614, 0, 40, 30]",0,1,"[42.0, 2.0, 12.0, 0.0, 8.0, 4.0, 4.0, 0.0, 9087.353242795005, 0.0, 40.0, 30.0]",1,True,False,0,9.642,0.8249336870026526
adult,1,42,1,5,1,"[42, 2, 12, 0, 8, 4, 4, 0, 8614, 0, 40, 30]",0,1,"[42.0, 2.0, 12.0, 0.0, 8.0, 4.0, 4.0, 0.0, 9285.017884335004, 0.0, 40.0, 30.0]",1,True,False,0,10.435,0.8249336870026526
adult,1,42,1,5,2,"[42, 2, 12, 0, 8, 4, 4, 0, 8614, 0, 40, 30]",0,1,"[42.0, 2.0, 12.0, 0.0, 8.0, 4.0, 4.0, 0.0, 9150.328492497047, 0.0, 40.0, 30.0]",1,True,False,0,9.676,0.8249336870026526
