dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc,blackbox,gower_dist,loss,sparsity
adult,1,42,2,1,0,"[24, 2, 10, 2, 5, 0, 4, 1, 0, 0, 40, 30]",0,0,"[43.490880019762294, 2.0, 10.0, 2.0, 5.0, 0.0, 4.0, 1.0, 8771.487707885786, 0.0, 40.0, 30.0]",1,True,False,64,294.553,0.7904509283819628,rf,0.029559509222625006,0.09811308794464584,0.8333333333333334
adult,1,42,2,1,1,"[24, 2, 10, 2, 5, 0, 4, 1, 0, 0, 40, 30]",0,0,"[36.79362627418601, 2.0, 10.0, 2.0, 5.0, 0.0, 4.0, 1.0, 9353.816743252086, 0.0, 40.0, 30.0]",1,True,False,64,293.777,0.7904509283819628,rf,0.022399521438704443,0.09453309405268555,0.8333333333333334
adult,1,42,2,1,2,"[24, 2, 10, 2, 5, 0, 4, 1, 0, 0, 40, 30]",0,0,"[38.581236380514596, 2.0, 10.0, 2.0, 5.0, 0.0, 4.0, 1.0, 10874.484255385989, 0.0, 40.0, 30.0]",1,True,False,64,290.657,0.7904509283819628,rf,0.025707407844149856,0.09618703725540825,0.8333333333333334
adult,1,42,2,1,3,"[24, 2, 10, 2, 5, 0, 4, 1, 0, 0, 40, 30]",0,0,"[42.862800725396255, 2.0, 10.0, 2.0, 5.0, 0.0, 4.0, 1.0, 8403.415478421963, 0.0, 40.0, 30.0]",1,True,False,64,291.929,0.7904509283819628,rf,0.028535793801587595,0.09760123023412713,0.8333333333333334
adult,1,42,2,1,4,"[24, 2, 10, 2, 5, 0, 4, 1, 0, 0, 40, 30]",0,0,"[43.41044232413608, 2.0, 10.0, 2.0, 5.0, 0.0, 4.0, 1.0, 10401.999863445752, 0.0, 40.0, 30.0]",1,True,False,64,292.171,0.7904509283819628,rf,0.030826459086540903,0.09874656287660379,0.8333333333333334
adult,1,42,2,2,0,"[50, 2, 10, 0, 6, 1, 4, 1, 0, 0, 45, 30]",0,0,"[50.0, 2.0, 10.0, 0.0, 6.0, 1.0, 4.0, 1.0, 7730.369201789392, 0.0, 45.0, 30.0]",1,True,False,64,295.772,0.7904509283819628,rf,0.006442038755212045,0.044887686044272686,0.9166666666666666
adult,1,42,2,2,1,"[50, 2, 10, 0, 6, 1, 4, 1, 0, 0, 45, 30]",0,0,"[50.0, 2.0, 10.0, 0.0, 6.0, 1.0, 4.0, 1.0, 8081.044288469149, 0.0, 45.0, 30.0]",1,True,False,64,295.247,0.7904509283819628,rf,0.006734270916433455,0.04503380212488339,0.9166666666666666
adult,1,42,2,2,2,"[50, 2, 10, 0, 6, 1, 4, 1, 0, 0, 45, 30]",0,0,"[50.0, 2.0, 10.0, 0.0, 6.0, 1.0, 4.0, 1.0, 8029.336522839936, 0.0, 45.0, 30.0]",1,True,False,64,290.796,0.7904509283819628,rf,0.006691180680840088,0.045012257007086706,0.9166666666666666
adult,1,42,2,2,3,"[50, 2, 10, 0, 6, 1, 4, 1, 0, 0, 45, 30]",0,0,"[50.0, 2.0, 10.0, 0.0, 6.0, 1.0, 4.0, 1.0, 8588.218855627698, 0.0, 45.0, 30.0]",1,True,False,64,290.272,0.7904509283819628,rf,0.00715692061556257,0.04524512697444795,0.9166666666666666
adult,1,42,2,2,4,"[50, 2, 10, 0, 6, 1, 4, 1, 0, 0, 45, 30]",0,0,"[50.0, 2.0, 10.0, 0.0, 6.0, 1.0, 4.0, 1.0, 8466.579243917651, 0.0, 45.0, 30.0]",1,True,False,64,290.723,0.7904509283819628,rf,0.007055553258797297,0.04519444329606531,0.9166666666666666
adult,1,42,2,3,0,"[27, 2, 13, 4, 11, 4, 2, 0, 0, 0, 40, 30]",0,0,"[43.23675683973862, 2.0, 13.0, 4.0, 11.0, 4.0, 2.0, 0.0, 11044.83762928695, 0.0, 40.0, 30.0]",1,True,False,64,280.497,0.7904509283819628,rf,0.02773923394661994,0.0972029503066433,0.8333333333333334
adult,1,42,2,3,1,"[27, 2, 13, 4, 11, 4, 2, 0, 0, 0, 40, 30]",0,0,"[45.510956592036614, 2.0, 13.0, 4.0, 11.0, 4.0, 2.0, 0.0, 16789.573621749256, 0.0, 40.0, 30.0]",1,True,False,64,282.346,0.7904509283819628,rf,0.035122680252313535,0.1008946734594901,0.8333333333333334
adult,1,42,2,3,2,"[27, 2, 13, 4, 11, 4, 2, 0, 0, 0, 40, 30]",0,0,"[45.71715317921037, 2.0, 13.0, 4.0, 11.0, 4.0, 2.0, 0.0, 17112.02907521608, 0.0, 40.0, 30.0]",1,True,False,64,276.876,0.7904509283819628,rf,0.03562678004929172,0.1011467233579792,0.8333333333333334
adult,1,42,2,3,3,"[27, 2, 13, 4, 11, 4, 2, 0, 0, 0, 40, 30]",0,0,"[46.07995047226757, 2.0, 13.0, 4.0, 11.0, 4.0, 2.0, 0.0, 12430.313066967883, 0.0, 40.0, 30.0]",1,True,False,64,277.742,0.7904509283819628,rf,0.0321394631887522,0.09940306492770942,0.8333333333333334
adult,1,42,2,3,4,"[27, 2, 13, 4, 11, 4, 2, 0, 0, 0, 40, 30]",0,0,"[57.517727724654996, 2.0, 13.0, 4.0, 11.0, 4.0, 2.0, 0.0, 10192.610754650026, 0.0, 40.0, 30.0]",1,True,False,64,278.784,0.7904509283819628,rf,0.04333151596158914,0.10499909131412791,0.8333333333333334
adult,1,42,2,4,0,"[24, 2, 9, 4, 1, 3, 4, 1, 0, 0, 40, 30]",0,0,"[45.24180578649235, 2.0, 9.0, 4.0, 1.0, 3.0, 4.0, 1.0, 12785.070296573485, 0.0, 40.0, 30.0]",1,True,False,64,291.544,0.7904509283819628,rf,0.03490296853303365,0.10078481759985015,0.8333333333333334
adult,1,42,2,4,1,"[24, 2, 9, 4, 1, 3, 4, 1, 0, 0, 40, 30]",0,0,"[42.2579544774047, 2.0, 9.0, 4.0, 1.0, 3.0, 4.0, 1.0, 14327.175528391926, 0.0, 40.0, 30.0]",1,True,False,64,289.986,0.7904509283819628,rf,0.03278184612164162,0.09972425639415414,0.8333333333333334
