dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc,blackbox,gower_dist,loss
adult,1,42,3,0,0,"[45, 2, 11, 6, 2, 1, 4, 0, 0, 0, 45, 30]",0,0,"[45.0, 2.0, 11.0, 6.0, 2.0, 1.0, 4.0, 0.0, 14338.736605491053, 0.0, 45.0, 30.0]",1,True,False,64,289.965,0.8218085106382979,rf,0.011949066661909162,0.047641199997621245
adult,1,42,3,0,1,"[45, 2, 11, 6, 2, 1, 4, 0, 0, 0, 45, 30]",0,0,"[45.0, 2.0, 11.0, 6.0, 2.0, 1.0, 4.0, 0.0, 11578.15868588872, 0.0, 45.0, 30.0]",1,True,False,64,289.874,0.8218085106382979,rf,0.009648562057194505,0.04649094769526392
adult,1,42,3,0,2,"[45, 2, 11, 6, 2, 1, 4, 0, 0, 0, 45, 30]",0,0,"[45.0, 2.0, 11.0, 6.0, 2.0, 1.0, 4.0, 0.0, 11112.667363672357, 0.0, 45.0, 30.0]",1,True,False,64,290.678,0.8218085106382979,rf,0.009260648742881059,0.046296991038107194
adult,1,42,3,0,3,"[45, 2, 11, 6, 2, 1, 4, 0, 0, 0, 45, 30]",0,0,"[45.0, 2.0, 11.0, 6.0, 2.0, 1.0, 4.0, 0.0, 15166.903213507941, 0.0, 45.0, 30.0]",1,True,False,64,286.237,0.8218085106382979,rf,0.012639212403380652,0.047986272868356994
adult,1,42,3,0,4,"[45, 2, 11, 6, 2, 1, 4, 0, 0, 0, 45, 30]",0,0,"[45.0, 2.0, 11.0, 6.0, 2.0, 1.0, 4.0, 0.0, 9535.29140942849, 0.0, 45.0, 30.0]",1,True,False,64,287.702,0.8218085106382979,rf,0.007946155636080102,0.045639744484706715
adult,1,42,3,1,0,"[54, 2, 9, 0, 12, 1, 4, 1, 0, 0, 40, 30]",0,0,"[54.0, 2.0, 9.0, 0.0, 12.0, 1.0, 4.0, 1.0, 10611.787808645566, 0.0, 40.0, 30.0]",1,True,False,64,294.106,0.8218085106382979,rf,0.008843244939654034,0.04608828913649368
adult,1,42,3,1,1,"[54, 2, 9, 0, 12, 1, 4, 1, 0, 0, 40, 30]",0,0,"[54.0, 2.0, 9.0, 0.0, 12.0, 1.0, 4.0, 1.0, 11580.81270763376, 0.0, 40.0, 30.0]",1,True,False,64,291.099,0.8218085106382979,rf,0.009650773764099108,0.04649205354871622
adult,1,42,3,1,2,"[54, 2, 9, 0, 12, 1, 4, 1, 0, 0, 40, 30]",0,0,"[54.0, 2.0, 9.0, 0.0, 12.0, 1.0, 4.0, 1.0, 11116.46203777302, 0.0, 40.0, 30.0]",1,True,False,64,290.055,0.8218085106382979,rf,0.009263811002920879,0.046298572168127106
adult,1,42,3,1,3,"[54, 2, 9, 0, 12, 1, 4, 1, 0, 0, 40, 30]",0,0,"[54.0, 2.0, 9.0, 0.0, 12.0, 1.0, 4.0, 1.0, 11628.5589410394, 0.0, 40.0, 30.0]",1,True,False,64,289.973,0.8218085106382979,rf,0.009690562689826397,0.04651194801157986
adult,1,42,3,1,4,"[54, 2, 9, 0, 12, 1, 4, 1, 0, 0, 40, 30]",0,0,"[54.0, 2.0, 9.0, 0.0, 12.0, 1.0, 4.0, 1.0, 11131.805584333202, 0.0, 40.0, 30.0]",1,True,False,64,289.618,0.8218085106382979,rf,0.009276597419585197,0.04630496537645926
adult,1,42,3,3,0,"[35, 4, 12, 4, 3, 1, 4, 1, 0, 0, 40, 30]",0,0,"[35.0, 4.0, 12.0, 4.0, 3.0, 1.0, 4.0, 1.0, 11463.20776896356, 0.0, 40.0, 30.0]",1,True,False,64,290.502,0.8218085106382979,rf,0.009552768668489652,0.04644305100091149
adult,1,42,3,3,1,"[35, 4, 12, 4, 3, 1, 4, 1, 0, 0, 40, 30]",0,0,"[35.0, 4.0, 12.0, 4.0, 3.0, 1.0, 4.0, 1.0, 11289.550966415165, 0.0, 40.0, 30.0]",1,True,False,64,288.433,0.8218085106382979,rf,0.009408053219211496,0.04637069327627241
adult,1,42,3,3,2,"[35, 4, 12, 4, 3, 1, 4, 1, 0, 0, 40, 30]",0,0,"[35.0, 4.0, 12.0, 4.0, 3.0, 1.0, 4.0, 1.0, 11708.373074432708, 0.0, 40.0, 30.0]",1,True,False,64,286.874,0.8218085106382979,rf,0.009757075132778584,0.046545204233055956
adult,1,42,3,3,3,"[35, 4, 12, 4, 3, 1, 4, 1, 0, 0, 40, 30]",0,0,"[35.0, 4.0, 12.0, 4.0, 3.0, 1.0, 4.0, 1.0, 10869.892757459393, 0.0, 40.0, 30.0]",1,True,False,64,286.587,0.8218085106382979,rf,0.009058334547894972,0.04619583394061415
adult,1,42,3,3,4,"[35, 4, 12, 4, 3, 1, 4, 1, 0, 0, 40, 30]",0,0,"[35.0, 4.0, 12.0, 4.0, 3.0, 1.0, 4.0, 1.0, 11044.859385460779, 0.0, 40.0, 30.0]",1,True,False,64,288.036,0.8218085106382979,rf,0.009204141529299275,0.0462687374313163
adult,1,42,3,4,0,"[48, 2, 9, 4, 0, 4, 2, 0, 0, 0, 37, 30]",0,0,"[48.0, 2.0, 9.0, 4.0, 0.0, 0.0, 2.0, 0.0, 10125.432492378935, 0.0, 37.0, 30.0]",1,True,False,64,278.23,0.8218085106382979,rf,0.091771278123097,0.12921897239488184
adult,1,42,3,4,1,"[48, 2, 9, 4, 0, 4, 2, 0, 0, 0, 37, 30]",0,0,"[48.0, 2.0, 16.0, 4.0, 0.0, 4.0, 2.0, 0.0, 10469.751266856068, 0.0, 39.441478073088135, 30.0]",1,True,False,64,280.965,0.8218085106382979,rf,0.05246763343469008,0.15123381671734504
adult,1,42,3,4,2,"[48, 2, 9, 4, 0, 4, 2, 0, 0, 0, 37, 30]",0,0,"[48.0, 2.0, 9.0, 4.0, 0.0, 0.0, 2.0, 0.0, 10222.65103718219, 0.0, 37.0, 30.0]",1,True,False,64,274.379,0.8218085106382979,rf,0.09185229438726236,0.1292594805269645
adult,1,42,3,4,3,"[48, 2, 9, 4, 0, 4, 2, 0, 0, 0, 37, 30]",0,0,"[48.0, 2.0, 9.0, 4.0, 0.0, 0.0, 2.0, 0.0, 11988.202883194412, 0.0, 37.0, 30.0]",1,True,False,64,273.934,0.8218085106382979,rf,0.09332360230535172,0.1299951344860092
adult,1,42,3,4,4,"[48, 2, 9, 4, 0, 4, 2, 0, 0, 0, 37, 30]",0,0,"[48.0, 2.0, 9.0, 4.0, 0.0, 0.0, 2.0, 0.0, 11844.069250486893, 0.0, 37.0, 30.0]",1,True,False,64,274.017,0.8218085106382979,rf,0.09320348974363651,0.1299350782051516
adult,1,42,3,6,0,"[26, 2, 10, 4, 3, 1, 4, 0, 0, 0, 38, 30]",0,0,"[55.1232409725796, 2.0, 10.0, 4.0, 3.0, 1.0, 4.0, 0.0, 10002.355238114986, 0.0, 38.0, 30.0]",1,True,False,64,291.547,0.8218085106382979,rf,0.04158108825836411,0.10412387746251539
adult,1,42,3,6,1,"[26, 2, 10, 4, 3, 1, 4, 0, 0, 0, 38, 30]",0,0,"[54.36736479063467, 2.0, 10.0, 4.0, 3.0, 1.0, 4.0, 0.0, 38002.192666728246, 0.0, 38.0, 30.0]",1,True,False,64,290.156,0.8218085106382979,rf,0.06405164709603531,0.11535915688135098
adult,1,42,3,6,2,"[26, 2, 10, 4, 3, 1, 4, 0, 0, 0, 38, 30]",0,0,"[72.99864287113658, 2.0, 10.0, 4.0, 3.0, 1.0, 4.0, 0.0, 24833.03547957503, 0.0, 38.0, 30.0]",1,True,False,64,287.743,0.8218085106382979,rf,0.07434582197967829,0.12050624432317247
adult,1,42,3,6,3,"[26, 2, 10, 4, 3, 1, 4, 0, 0, 0, 38, 30]",0,0,"[63.78783305090485, 2.0, 10.0, 4.0, 3.0, 1.0, 4.0, 0.0, 21792.728411151344, 0.0, 38.0, 30.0]",1,True,False,64,291.312,0.8218085106382979,rf,0.06129758433738997,0.11398212550202831
adult,1,42,3,6,4,"[26, 2, 10, 4, 3, 1, 4, 0, 0, 0, 38, 30]",0,0,"[67.82560755765361, 2.0, 10.0, 4.0, 3.0, 1.0, 4.0, 0.0, 14661.283276619237, 0.0, 38.0, 30.0]",1,True,False,64,291.452,0.8218085106382979,rf,0.05996398559135144,0.11331532612900905
adult,1,42,3,11,0,"[43, 1, 11, 4, 0, 1, 4, 0, 0, 0, 35, 30]",0,0,"[43.0, 1.0, 13.122677562939117, 4.0, 0.0, 1.0, 4.0, 0.0, 8307.105900903263, 0.0, 35.0, 30.0]",1,True,False,64,288.505,0.8218085106382979,rf,0.019557642971012715,0.09311215481883969
adult,1,42,3,11,1,"[43, 1, 11, 4, 0, 1, 4, 0, 0, 0, 35, 30]",0,0,"[43.0, 1.0, 12.916258452047302, 4.0, 0.0, 1.0, 4.0, 0.0, 11227.282497512408, 0.0, 35.0, 30.0]",1,True,False,64,288.81,0.8218085106382979,rf,0.02076246261935547,0.09371456464301106
adult,1,42,3,11,2,"[43, 1, 11, 4, 0, 1, 4, 0, 0, 0, 35, 30]",0,0,"[43.0, 1.0, 13.115707195310595, 4.0, 0.0, 1.0, 4.0, 0.0, 13199.059364624005, 0.0, 35.0, 30.0]",1,True,False,64,285.367,0.8218085106382979,rf,0.023592821340630083,0.09512974400364838
adult,1,42,3,11,3,"[43, 1, 11, 4, 0, 1, 4, 0, 0, 0, 35, 30]",0,0,"[43.0, 1.0, 13.254645913771014, 4.0, 0.0, 1.0, 4.0, 0.0, 13248.630370382463, 0.0, 35.0, 30.0]",1,True,False,64,282.859,0.8218085106382979,rf,0.024461147106503336,0.095563906886585
adult,1,42,3,11,4,"[43, 1, 11, 4, 0, 1, 4, 0, 0, 0, 35, 30]",0,0,"[43.0, 1.0, 13.306052358776626, 4.0, 0.0, 1.0, 4.0, 0.0, 11816.15637025611, 0.0, 35.0, 30.0]",1,True,False,64,285.064,0.8218085106382979,rf,0.023573397579743017,0.09512003212320484
adult,1,42,3,15,0,"[50, 5, 14, 4, 8, 1, 4, 1, 0, 0, 38, 30]",0,0,"[50.0, 5.0, 14.0, 4.0, 8.0, 1.0, 4.0, 1.0, 7587.059318064942, 0.0, 38.0, 30.0]",1,True,False,64,291.335,0.8218085106382979,rf,0.006322612657847363,0.04482797299559035
adult,1,42,3,15,1,"[50, 5, 14, 4, 8, 1, 4, 1, 0, 0, 38, 30]",0,0,"[50.0, 5.0, 14.0, 4.0, 8.0, 1.0, 4.0, 1.0, 7674.910904510911, 0.0, 38.0, 30.0]",1,True,False,64,289.54,0.8218085106382979,rf,0.006395823045322879,0.044864578189328104
adult,1,42,3,15,2,"[50, 5, 14, 4, 8, 1, 4, 1, 0, 0, 38, 30]",0,0,"[50.0, 5.0, 14.0, 4.0, 8.0, 1.0, 4.0, 1.0, 8140.571572944943, 0.0, 38.0, 30.0]",1,True,False,64,283.198,0.8218085106382979,rf,0.006783877482895615,0.045058605408114474
adult,1,42,3,15,3,"[50, 5, 14, 4, 8, 1, 4, 1, 0, 0, 38, 30]",0,0,"[50.0, 5.0, 14.0, 4.0, 8.0, 1.0, 4.0, 1.0, 6434.592669536822, 0.0, 38.0, 30.0]",1,True,False,64,282.564,0.8218085106382979,rf,0.0053622141800891525,0.04434777375671124
adult,1,42,3,15,4,"[50, 5, 14, 4, 8, 1, 4, 1, 0, 0, 38, 30]",0,0,"[50.0, 5.0, 14.0, 4.0, 8.0, 1.0, 4.0, 1.0, 7513.750117804197, 0.0, 38.0, 30.0]",1,True,False,64,284.248,0.8218085106382979,rf,0.006261521046713963,0.04479742719002364
adult,1,42,3,16,0,"[73, 1, 4, 2, 9, 0, 4, 1, 2228, 0, 10, 30]",0,0,"[73.0, 1.0, 4.0, 2.0, 9.0, 0.0, 4.0, 1.0, 13154.784733739654, 0.0, 10.0, 30.0]",1,True,False,64,283.172,0.8218085106382979,rf,0.009105745002233066,0.046219539167783194
