dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss,sparsity
adult,1,42,4,0,0,"[36, 2, 13, 0, 8, 3, 4, 0, 0, 0, 40, 30]",0,0,"[36.0, 2.0, 13.0, 4.0, 8.0, 3.0, 4.0, 0.0, 7298.0, 0.0, 40.0, 30.0]",1,True,False,0,1.632,rf,0.8271276595744681,0.08941506081727482,0.12804086374197074,0.8333333333333334
adult,1,42,4,0,1,"[36, 2, 13, 0, 8, 3, 4, 0, 0, 0, 40, 30]",0,0,"[36.0, 2.0, 13.0, 0.0, 8.0, 0.0, 4.0, 0.0, 5178.0, 0.0, 40.0, 30.0]",1,True,False,0,1.581,rf,0.8271276595744681,0.08764837648376483,0.12715752157521576,0.8333333333333334
adult,1,42,4,0,2,"[36, 2, 13, 0, 8, 3, 4, 0, 0, 0, 40, 30]",0,0,"[36.0, 2.0, 13.0, 0.0, 8.0, 4.0, 4.0, 0.0, 7298.0, 0.0, 5.0, 30.0]",1,True,False,0,1.345,rf,0.8271276595744681,0.11917696557917959,0.18458848278958978,0.75
adult,1,42,4,0,3,"[36, 2, 13, 0, 8, 3, 4, 0, 0, 0, 40, 30]",0,0,"[36.0, 2.0, 13.0, 0.0, 8.0, 2.0, 4.0, 0.0, 4865.0, 0.0, 50.0, 30.0]",1,True,False,0,1.448,rf,0.8271276595744681,0.0958909419026163,0.17294547095130813,0.75
adult,1,42,4,0,4,"[36, 2, 13, 0, 8, 3, 4, 0, 0, 0, 40, 30]",0,0,"[36.0, 2.0, 13.0, 0.0, 8.0, 0.0, 4.0, 0.0, 7298.0, 0.0, 40.0, 30.0]",1,True,False,0,1.583,rf,0.8271276595744681,0.08941506081727482,0.12804086374197074,0.8333333333333334
adult,1,42,4,1,0,"[31, 2, 9, 2, 12, 0, 4, 1, 0, 0, 45, 30]",0,1,"[31.0, 2.0, 9.0, 2.0, 12.0, 0.0, 4.0, 1.0, 7298.0, 0.0, 5.0, 30.0]",1,True,False,0,1.517,rf,0.8271276595744681,0.040095332926118374,0.10338099979639251,0.8333333333333334
adult,1,42,4,1,1,"[31, 2, 9, 2, 12, 0, 4, 1, 0, 0, 45, 30]",0,1,"[39.0, 2.0, 9.0, 2.0, 12.0, 0.0, 4.0, 1.0, 7298.0, 0.0, 48.0, 30.0]",1,True,False,0,1.254,rf,0.8271276595744681,0.017765167983428972,0.1338825839917145,0.75
adult,1,42,4,1,2,"[31, 2, 9, 2, 12, 0, 4, 1, 0, 0, 45, 30]",0,1,"[31.0, 2.0, 15.0, 2.0, 12.0, 0.0, 4.0, 1.0, 0.0, 0.0, 55.0, 30.0]",1,True,False,0,1.256,rf,0.8271276595744681,0.044217687074829926,0.10544217687074829,0.8333333333333334
adult,1,42,4,1,3,"[31, 2, 9, 2, 12, 0, 4, 1, 0, 0, 45, 30]",0,1,"[31.0, 2.0, 9.0, 2.0, 12.0, 0.0, 4.0, 1.0, 5178.0, 0.0, 40.0, 30.0]",1,True,False,0,1.488,rf,0.8271276595744681,0.008566743830703613,0.08761670524868513,0.8333333333333334
adult,1,42,4,1,4,"[31, 2, 9, 2, 12, 0, 4, 1, 0, 0, 45, 30]",0,1,"[39.0, 2.0, 9.0, 2.0, 12.0, 0.0, 4.0, 1.0, 7298.0, 0.0, 48.0, 30.0]",1,True,False,0,1.238,rf,0.8271276595744681,0.017765167983428972,0.1338825839917145,0.75
adult,1,42,4,4,0,"[17, 2, 7, 4, 10, 3, 4, 1, 0, 0, 12, 30]",0,0,"[40.0, 2.0, 14.0, 4.0, 10.0, 1.0, 4.0, 1.0, 0.0, 0.0, 50.0, 30.0]",1,True,False,0,1.598,rf,0.8271276595744681,0.18356863293262507,0.2584509831329792,0.6666666666666667
adult,1,42,4,4,1,"[17, 2, 7, 4, 10, 3, 4, 1, 0, 0, 12, 30]",0,0,"[17.0, 2.0, 7.0, 0.0, 10.0, 3.0, 4.0, 1.0, 7298.0, 0.0, 5.0, 30.0]",1,True,False,0,51.98,rf,0.8271276595744681,0.0953674417696558,0.1726837208848279,0.75
adult,1,42,4,4,2,"[17, 2, 7, 4, 10, 3, 4, 1, 0, 0, 12, 30]",0,0,"[17.0, 2.0, 7.0, 0.0, 10.0, 3.0, 4.0, 1.0, 5178.0, 0.0, 45.0, 30.0]",1,True,False,0,52.563,rf,0.8271276595744681,0.11570960097356076,0.18285480048678038,0.75
adult,1,42,4,4,3,"[17, 2, 7, 4, 10, 3, 4, 1, 0, 0, 12, 30]",0,0,"[17.0, 2.0, 7.0, 3.0, 10.0, 3.0, 4.0, 1.0, 7298.0, 0.0, 5.0, 30.0]",1,True,False,0,3.817,rf,0.8271276595744681,0.0953674417696558,0.1726837208848279,0.75
adult,1,42,4,4,4,"[17, 2, 7, 4, 10, 3, 4, 1, 0, 0, 12, 30]",0,0,"[17.0, 2.0, 7.0, 2.0, 10.0, 5.0, 4.0, 1.0, 7298.0, 0.0, 5.0, 30.0]",1,True,False,0,1.441,rf,0.8271276595744681,0.17870077510298912,0.25601705421816123,0.6666666666666667
adult,1,42,4,5,0,"[21, 2, 13, 4, 4, 1, 4, 1, 0, 0, 40, 30]",0,0,"[39.0, 2.0, 13.0, 4.0, 8.0, 1.0, 4.0, 1.0, 0.0, 0.0, 50.0, 30.0]",1,True,False,0,1.258,rf,0.8271276595744681,0.11238467989935699,0.18119233994967848,0.75
adult,1,42,4,5,1,"[21, 2, 13, 4, 4, 1, 4, 1, 0, 0, 40, 30]",0,0,"[21.0, 2.0, 13.0, 4.0, 11.0, 1.0, 4.0, 1.0, 7298.0, 0.0, 60.0, 30.0]",1,True,False,0,1.233,rf,0.8271276595744681,0.10642186353836328,0.17821093176918162,0.75
adult,1,42,4,5,2,"[21, 2, 13, 4, 4, 1, 4, 1, 0, 0, 40, 30]",0,0,"[21.0, 2.0, 13.0, 6.0, 4.0, 0.0, 4.0, 1.0, 7298.0, 0.0, 40.0, 30.0]",1,True,False,0,1.229,rf,0.8271276595744681,0.17274839415060816,0.21137419707530408,0.75
adult,1,42,4,5,3,"[21, 2, 13, 4, 4, 1, 4, 1, 0, 0, 40, 30]",0,0,"[21.0, 2.0, 13.0, 0.0, 4.0, 0.0, 4.0, 1.0, 7298.0, 0.0, 40.0, 30.0]",1,True,False,0,1.212,rf,0.8271276595744681,0.17274839415060816,0.21137419707530408,0.75
adult,1,42,4,5,4,"[21, 2, 13, 4, 4, 1, 4, 1, 0, 0, 40, 30]",0,0,"[21.0, 2.0, 13.0, 4.0, 12.0, 1.0, 4.0, 1.0, 4787.0, 0.0, 50.0, 30.0]",1,True,False,0,1.201,rf,0.8271276595744681,0.0958259412526098,0.1729129706263049,0.75
adult,1,42,4,6,0,"[31, 2, 9, 0, 1, 4, 4, 1, 0, 0, 55, 30]",0,0,"[31.0, 2.0, 9.0, 0.0, 1.0, 0.0, 4.0, 1.0, 5178.0, 0.0, 55.0, 30.0]",1,True,False,0,1.505,rf,0.8271276595744681,0.08764837648376483,0.12715752157521576,0.8333333333333334
adult,1,42,4,6,1,"[31, 2, 9, 0, 1, 4, 4, 1, 0, 0, 55, 30]",0,0,"[31.0, 2.0, 9.0, 0.0, 8.0, 4.0, 4.0, 1.0, 4787.0, 0.0, 52.0, 30.0]",1,True,False,0,1.476,rf,0.8271276595744681,0.08987356030022886,0.16993678015011443,0.75
adult,1,42,4,6,2,"[31, 2, 9, 0, 1, 4, 4, 1, 0, 0, 55, 30]",0,0,"[31.0, 2.0, 9.0, 0.0, 2.0, 0.0, 4.0, 1.0, 4787.0, 0.0, 55.0, 30.0]",1,True,False,0,1.59,rf,0.8271276595744681,0.1706558732253989,0.21032793661269944,0.75
adult,1,42,4,6,3,"[31, 2, 9, 0, 1, 4, 4, 1, 0, 0, 55, 30]",0,0,"[31.0, 2.0, 9.0, 2.0, 1.0, 0.0, 4.0, 1.0, 7298.0, 0.0, 55.0, 30.0]",1,True,False,0,1.477,rf,0.8271276595744681,0.17274839415060816,0.21137419707530408,0.75
adult,1,42,4,6,4,"[31, 2, 9, 0, 1, 4, 4, 1, 0, 0, 55, 30]",0,0,"[31.0, 2.0, 9.0, 0.0, 0.0, 4.0, 4.0, 1.0, 4787.0, 0.0, 50.0, 30.0]",1,True,False,0,3.193,rf,0.8271276595744681,0.09157424057233768,0.17078712028616883,0.75
adult,1,42,4,15,0,"[40, 2, 6, 0, 1, 1, 0, 1, 0, 0, 40, 30]",0,0,"[40.0, 2.0, 6.0, 2.0, 1.0, 1.0, 0.0, 1.0, 7298.0, 0.0, 5.0, 30.0]",1,True,False,0,1.687,rf,0.8271276595744681,0.11917696557917959,0.18458848278958978,0.75
adult,1,42,4,15,1,"[40, 2, 6, 0, 1, 1, 0, 1, 0, 0, 40, 30]",0,0,"[40.0, 0.0, 6.0, 0.0, 5.0, 1.0, 0.0, 1.0, 7298.0, 0.0, 40.0, 30.0]",1,True,False,0,1.769,rf,0.8271276595744681,0.17274839415060816,0.21137419707530408,0.75
adult,1,42,4,15,2,"[40, 2, 6, 0, 1, 1, 0, 1, 0, 0, 40, 30]",0,0,"[40.0, 2.0, 6.0, 0.0, 1.0, 3.0, 0.0, 1.0, 4934.0, 0.0, 47.0, 30.0]",1,True,False,0,1.522,rf,0.8271276595744681,0.09339742206945878,0.1716987110347294,0.75
adult,1,42,4,15,3,"[40, 2, 6, 0, 1, 1, 0, 1, 0, 0, 40, 30]",0,0,"[40.0, 2.0, 6.0, 0.0, 8.0, 2.0, 0.0, 1.0, 7298.0, 0.0, 40.0, 30.0]",1,True,False,0,1.533,rf,0.8271276595744681,0.17274839415060816,0.21137419707530408,0.75
adult,1,42,4,15,4,"[40, 2, 6, 0, 1, 1, 0, 1, 0, 0, 40, 30]",0,0,"[40.0, 2.0, 6.0, 2.0, 8.0, 1.0, 0.0, 1.0, 5178.0, 0.0, 45.0, 30.0]",1,True,False,0,1.655,rf,0.8271276595744681,0.1752334104973703,0.2542833719153518,0.6666666666666667
adult,1,42,4,17,0,"[27, 2, 6, 4, 5, 4, 4, 0, 0, 0, 40, 30]",0,0,"[27.0, 2.0, 6.0, 2.0, 2.0, 4.0, 4.0, 0.0, 7298.0, 0.0, 50.0, 30.0]",1,True,False,0,1.515,rf,0.8271276595744681,0.1812517955111524,0.25729256442224285,0.6666666666666667
adult,1,42,4,17,1,"[27, 2, 6, 4, 5, 4, 4, 0, 0, 0, 40, 30]",0,0,"[27.0, 5.0, 6.0, 2.0, 5.0, 5.0, 4.0, 0.0, 7298.0, 0.0, 40.0, 30.0]",1,True,False,0,1.869,rf,0.8271276595744681,0.2560817274839415,0.2947075304086374,0.6666666666666667
adult,1,42,4,17,2,"[27, 2, 6, 4, 5, 4, 4, 0, 0, 0, 40, 30]",0,0,"[27.0, 2.0, 6.0, 4.0, 11.0, 0.0, 4.0, 0.0, 5178.0, 0.0, 45.0, 30.0]",1,True,False,0,3.311,rf,0.8271276595744681,0.1752334104973703,0.2542833719153518,0.6666666666666667
adult,1,42,4,17,3,"[27, 2, 6, 4, 5, 4, 4, 0, 0, 0, 40, 30]",0,0,"[27.0, 2.0, 6.0, 2.0, 8.0, 1.0, 4.0, 0.0, 7298.0, 0.0, 40.0, 30.0]",1,True,False,0,54.854,rf,0.8271276595744681,0.2560817274839415,0.2947075304086374,0.6666666666666667
adult,1,42,4,17,4,"[27, 2, 6, 4, 5, 4, 4, 0, 0, 0, 40, 30]",0,0,"[27.0, 2.0, 6.0, 4.0, 8.0, 0.0, 4.0, 0.0, 4865.0, 0.0, 50.0, 30.0]",1,True,False,0,7.116,rf,0.8271276595744681,0.17922427523594964,0.25627880428464145,0.6666666666666667
