dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc
adult,1,42,4,0,0,"[36, 2, 13, 0, 8, 3, 4, 0, 0, 0, 40, 30]",0,0,"[36.0, 2.0, 13.0, 0.0, 8.0, 3.0, 4.0, 0.0, 4621.868058094749, 0.0, 40.0, 30.0]",1,True,False,4,6.043,0.8271276595744681
adult,1,42,4,0,1,"[36, 2, 13, 0, 8, 3, 4, 0, 0, 0, 40, 30]",0,0,"[36.0, 2.0, 13.0, 0.0, 8.0, 3.0, 4.0, 0.0, 4826.323666439327, 0.0, 40.0, 30.0]",1,True,False,4,6.043,0.8271276595744681
adult,1,42,4,0,2,"[36, 2, 13, 0, 8, 3, 4, 0, 0, 0, 40, 30]",0,0,"[36.0, 2.0, 13.0, 0.0, 8.0, 3.0, 4.0, 0.0, 5857.681813507312, 0.0, 40.0, 30.0]",1,True,False,4,6.042,0.8271276595744681
adult,1,42,4,0,3,"[36, 2, 13, 0, 8, 3, 4, 0, 0, 0, 40, 30]",0,0,"[36.0, 2.0, 13.0, 0.0, 8.0, 3.0, 4.0, 0.0, 5376.757228555603, 0.0, 40.0, 30.0]",1,True,False,4,6.045,0.8271276595744681
adult,1,42,4,0,4,"[36, 2, 13, 0, 8, 3, 4, 0, 0, 0, 40, 30]",0,0,"[36.0, 2.0, 13.0, 0.0, 8.0, 3.0, 4.0, 0.0, 5740.914736857312, 0.0, 40.0, 30.0]",1,True,False,4,6.03,0.8271276595744681
adult,1,42,4,1,0,"[31, 2, 9, 2, 12, 0, 4, 1, 0, 0, 45, 30]",0,1,"[31.0, 2.0, 9.0, 2.0, 12.0, 0.0, 4.0, 1.0, 5916.165781245763, 0.0, 45.0, 30.0]",1,True,False,4,6.223,0.8271276595744681
adult,1,42,4,1,1,"[31, 2, 9, 2, 12, 0, 4, 1, 0, 0, 45, 30]",0,1,"[31.0, 2.0, 9.0, 2.0, 12.0, 0.0, 4.0, 1.0, 6582.753387870602, 0.0, 45.0, 30.0]",1,True,False,4,6.248,0.8271276595744681
adult,1,42,4,1,2,"[31, 2, 9, 2, 12, 0, 4, 1, 0, 0, 45, 30]",0,1,"[31.0, 2.0, 9.0, 2.0, 12.0, 0.0, 4.0, 1.0, 6624.829609605224, 0.0, 45.0, 30.0]",1,True,False,4,6.25,0.8271276595744681
adult,1,42,4,1,3,"[31, 2, 9, 2, 12, 0, 4, 1, 0, 0, 45, 30]",0,1,"[31.0, 2.0, 9.0, 2.0, 12.0, 0.0, 4.0, 1.0, 6080.952003195336, 0.0, 45.0, 30.0]",1,True,False,4,6.241,0.8271276595744681
adult,1,42,4,1,4,"[31, 2, 9, 2, 12, 0, 4, 1, 0, 0, 45, 30]",0,1,"[31.0, 2.0, 9.0, 2.0, 12.0, 0.0, 4.0, 1.0, 6271.915961932215, 0.0, 45.0, 30.0]",1,True,False,4,6.237,0.8271276595744681
adult,1,42,4,4,0,"[17, 2, 7, 4, 10, 3, 4, 1, 0, 0, 12, 30]",0,0,"[45.00228167489667, 2.0, 7.0, 4.0, 10.0, 3.0, 4.0, 1.0, 11603.593843847917, 0.0, 12.0, 30.0]",1,True,False,4,5.909,0.8271276595744681
adult,1,42,4,4,1,"[17, 2, 7, 4, 10, 3, 4, 1, 0, 0, 12, 30]",0,0,"[56.33303366639451, 2.0, 7.0, 4.0, 10.0, 3.0, 4.0, 1.0, 12306.452866198239, 0.0, 12.0, 30.0]",1,True,False,4,5.9,0.8271276595744681
adult,1,42,4,4,2,"[17, 2, 7, 4, 10, 3, 4, 1, 0, 0, 12, 30]",0,0,"[45.994505537026455, 2.0, 7.0, 4.0, 10.0, 3.0, 4.0, 1.0, 28260.45090195665, 0.0, 12.0, 30.0]",1,True,False,4,5.982,0.8271276595744681
adult,1,42,4,4,3,"[17, 2, 7, 4, 10, 3, 4, 1, 0, 0, 12, 30]",0,0,"[17.0, 2.0, 7.0, 4.0, 10.0, 3.0, 4.0, 1.0, 9919.934112186314, 0.0, 45.89281449692996, 30.0]",1,True,False,4,6.02,0.8271276595744681
adult,1,42,4,4,4,"[17, 2, 7, 4, 10, 3, 4, 1, 0, 0, 12, 30]",0,0,"[17.0, 2.0, 7.0, 0.0, 10.0, 3.0, 4.0, 1.0, 7142.7880543737265, 0.0, 12.0, 30.0]",1,True,False,4,5.74,0.8271276595744681
adult,1,42,4,5,0,"[21, 2, 13, 4, 4, 1, 4, 1, 0, 0, 40, 30]",0,0,"[21.0, 2.0, 13.0, 4.0, 4.0, 1.0, 4.0, 1.0, 10112.12914606253, 0.0, 40.0, 30.0]",1,True,False,4,5.806,0.8271276595744681
adult,1,42,4,5,1,"[21, 2, 13, 4, 4, 1, 4, 1, 0, 0, 40, 30]",0,0,"[21.0, 2.0, 13.0, 4.0, 4.0, 1.0, 4.0, 1.0, 9006.407712268956, 0.0, 40.0, 30.0]",1,True,False,4,5.825,0.8271276595744681
