dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss
boston,0,42,2,4,0,"[0.01432, 100.0, 1.32, 0.0, 0.411, 6.816, 40.5, 8.3248, 5.0, 256.0, 15.1, 392.9, 3.95]",1,1,"[0.01432, 100.0, 1.32, 0.0, 0.411, 6.333194582053858, 40.5, 8.3248, 5.0, 256.0, 15.1, 392.9, 3.95]",0,False,False,0,0.989,nn,0.9108910891089108,0.00464235978794367,0.0407827183555103
boston,0,42,2,4,1,"[0.01432, 100.0, 1.32, 0.0, 0.411, 6.816, 40.5, 8.3248, 5.0, 256.0, 15.1, 392.9, 3.95]",1,1,"[0.01432, 100.0, 1.32, 0.0, 0.411, 6.338817490758011, 40.5, 8.3248, 5.0, 256.0, 15.1, 392.9, 3.95]",0,False,False,0,0.978,nn,0.9108910891089108,0.004588293358096049,0.04075568514058649
boston,0,42,2,4,2,"[0.01432, 100.0, 1.32, 0.0, 0.411, 6.816, 40.5, 8.3248, 5.0, 256.0, 15.1, 392.9, 3.95]",1,1,"[0.01432, 100.0, 1.32, 0.0, 0.411, 6.330306522912008, 40.5, 8.3248, 5.0, 256.0, 15.1, 392.9, 3.95]",0,False,False,0,0.965,nn,0.9108910891089108,0.004670129587384536,0.04079660325523073
boston,0,42,2,4,3,"[0.01432, 100.0, 1.32, 0.0, 0.411, 6.816, 40.5, 8.3248, 5.0, 256.0, 15.1, 392.9, 3.95]",1,1,"[0.01432, 100.0, 1.32, 0.0, 0.411, 6.340300075821567, 40.5, 8.3248, 5.0, 256.0, 15.1, 392.9, 3.95]",0,False,False,0,0.963,nn,0.9108910891089108,0.0045740377324849325,0.04074855732778093
boston,0,42,2,4,4,"[0.01432, 100.0, 1.32, 0.0, 0.411, 6.816, 40.5, 8.3248, 5.0, 256.0, 15.1, 392.9, 3.95]",1,1,"[0.01432, 100.0, 1.32, 0.0, 0.411, 6.341835546004025, 40.5, 8.3248, 5.0, 256.0, 15.1, 392.9, 3.95]",0,False,False,0,0.956,nn,0.9108910891089108,0.004559273596115145,0.04074117525959604
boston,0,42,2,13,0,"[0.12204, 0.0, 2.89, 0.0, 0.445, 6.625, 57.8, 3.4952, 2.0, 276.0, 18.0, 357.98, 6.65]",1,1,"[0.12204, 0.0, 2.89, 0.0, 0.445, 6.552029238609131, 57.8, 3.4952, 2.0, 276.0, 18.0, 357.98, 6.65]",0,False,False,0,0.968,nn,0.9108910891089108,0.0007016419364506656,0.0388123594297638
boston,0,42,2,13,1,"[0.12204, 0.0, 2.89, 0.0, 0.445, 6.625, 57.8, 3.4952, 2.0, 276.0, 18.0, 357.98, 6.65]",1,1,"[0.12204, 0.0, 2.89, 0.0, 0.445, 6.5471280512315095, 57.8, 3.4952, 2.0, 276.0, 18.0, 357.98, 6.65]",0,False,False,0,0.966,nn,0.9108910891089108,0.0007487687381585622,0.03883592283061774
boston,0,42,2,13,2,"[0.12204, 0.0, 2.89, 0.0, 0.445, 6.625, 57.8, 3.4952, 2.0, 276.0, 18.0, 357.98, 6.65]",1,1,"[0.12204, 0.0, 2.89, 0.0, 0.445, 6.552154964558356, 57.8, 3.4952, 2.0, 276.0, 18.0, 357.98, 6.65]",0,False,False,0,0.966,nn,0.9108910891089108,0.000700433033092734,0.03881175497808483
boston,0,42,2,13,3,"[0.12204, 0.0, 2.89, 0.0, 0.445, 6.625, 57.8, 3.4952, 2.0, 276.0, 18.0, 357.98, 6.65]",1,1,"[0.12204, 0.0, 2.89, 0.0, 0.445, 6.552775584686007, 57.8, 3.4952, 2.0, 276.0, 18.0, 357.98, 6.65]",0,False,False,0,0.964,nn,0.9108910891089108,0.0006944655318653199,0.038808771227471124
boston,0,42,2,13,4,"[0.12204, 0.0, 2.89, 0.0, 0.445, 6.625, 57.8, 3.4952, 2.0, 276.0, 18.0, 357.98, 6.65]",1,1,"[0.12204, 0.0, 2.89, 0.0, 0.445, 6.551860994888598, 57.8, 3.4952, 2.0, 276.0, 18.0, 357.98, 6.65]",0,False,False,0,0.964,nn,0.9108910891089108,0.000703259664532714,0.03881316829380482
