dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss,sparsity
boston,0,42,3,0,0,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.575, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",1,0,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.206732843356413, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",0,False,False,0,0.766,nn,0.9108910891089108,0.003541030352342186,0.040232053637709556,0.9230769230769231
boston,0,42,3,0,1,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.575, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",1,0,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.417688002674703, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",0,False,False,0,0.752,nn,0.9108910891089108,0.0015126153588970865,0.03921784614098701,0.9230769230769231
boston,0,42,3,0,2,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.575, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",1,0,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.422194844599016, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",0,False,False,0,0.754,nn,0.9108910891089108,0.0014692803403940807,0.0391961786317355,0.9230769230769231
boston,0,42,3,0,3,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.575, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",1,0,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.402291139416499, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",0,False,False,0,0.771,nn,0.9108910891089108,0.0016606621209952063,0.03929186952203607,0.9230769230769231
boston,0,42,3,0,4,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.575, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",1,0,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.4108626036362555, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",0,False,False,0,0.77,nn,0.9108910891089108,0.0015782441958052376,0.03925066055944108,0.9230769230769231
boston,0,42,3,8,0,"[0.03359, 75.0, 2.95, 0.0, 0.428, 7.024, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",1,1,"[0.03359, 75.0, 2.95, 0.0, 0.428, 6.3418194308388705, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",0,False,False,0,0.752,nn,0.9108910891089108,0.006559428549626246,0.04174125273635158,0.9230769230769231
boston,0,42,3,8,1,"[0.03359, 75.0, 2.95, 0.0, 0.428, 7.024, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",1,1,"[0.03359, 75.0, 2.95, 0.0, 0.428, 6.340948273351936, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",0,False,False,0,0.752,nn,0.9108910891089108,0.006567805063923695,0.04174544099350031,0.9230769230769231
boston,0,42,3,8,2,"[0.03359, 75.0, 2.95, 0.0, 0.428, 7.024, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",1,1,"[0.03359, 75.0, 2.95, 0.0, 0.428, 6.339647416042593, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",0,False,False,0,0.751,nn,0.9108910891089108,0.006580313307282763,0.04175169511517984,0.9230769230769231
boston,0,42,3,8,3,"[0.03359, 75.0, 2.95, 0.0, 0.428, 7.024, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",1,1,"[0.03359, 75.0, 2.95, 0.0, 0.428, 6.333184193621673, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",0,False,False,0,0.75,nn,0.9108910891089108,0.006642459676714687,0.04178276829989581,0.9230769230769231
boston,0,42,3,8,4,"[0.03359, 75.0, 2.95, 0.0, 0.428, 7.024, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",1,1,"[0.03359, 75.0, 2.95, 0.0, 0.428, 6.335567191299722, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",0,False,False,0,0.748,nn,0.9108910891089108,0.006619546237502673,0.0417713115802898,0.9230769230769231
boston,0,42,3,14,0,"[0.0566, 0.0, 3.41, 0.0, 0.489, 7.007, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",1,0,"[0.0566, 0.0, 3.41, 0.0, 0.489, 6.701961740428899, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",0,False,False,0,0.762,nn,0.9108910891089108,0.002933060188183657,0.03992806855563029,0.9230769230769231
boston,0,42,3,14,1,"[0.0566, 0.0, 3.41, 0.0, 0.489, 7.007, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",1,0,"[0.0566, 0.0, 3.41, 0.0, 0.489, 6.7039691048287064, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",0,False,False,0,0.761,nn,0.9108910891089108,0.002913758607416281,0.03991841776524661,0.9230769230769231
boston,0,42,3,14,2,"[0.0566, 0.0, 3.41, 0.0, 0.489, 7.007, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",1,0,"[0.0566, 0.0, 3.41, 0.0, 0.489, 6.699653963356325, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",0,False,False,0,0.761,nn,0.9108910891089108,0.002955250352343026,0.039939163637709975,0.9230769230769231
boston,0,42,3,14,3,"[0.0566, 0.0, 3.41, 0.0, 0.489, 7.007, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",1,0,"[0.0566, 0.0, 3.41, 0.0, 0.489, 6.70047223386425, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",0,False,False,0,0.762,nn,0.9108910891089108,0.002947382366689899,0.03993522964488341,0.9230769230769231
