dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss,sparsity
boston,0,42,0,0,0,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02729, 0.0, 7.07, 0.0, 0.469, 6.220361007887478, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",0,True,False,0,0.813,nn,0.9411764705882352,0.009275374924158863,0.043099225923617895,0.9230769230769231
boston,0,42,0,0,1,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02729, 0.0, 7.07, 0.0, 0.469, 6.516719252413774, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",0,True,False,0,0.802,nn,0.9411764705882352,0.0064257764190983275,0.04167442667108763,0.9230769230769231
boston,0,42,0,0,2,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02729, 0.0, 7.07, 0.0, 0.469, 6.5166558716117, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",0,True,False,0,0.805,nn,0.9411764705882352,0.006426385849887494,0.041674731386482214,0.9230769230769231
boston,0,42,0,0,3,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02729, 0.0, 7.07, 0.0, 0.469, 6.509128375919687, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",0,True,False,0,0.802,nn,0.9411764705882352,0.006498765616156853,0.04171092126961689,0.9230769230769231
boston,0,42,0,0,4,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02729, 0.0, 7.07, 0.0, 0.469, 6.520369402431759, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",0,True,False,0,0.801,nn,0.9411764705882352,0.006390678822771548,0.041656877872924235,0.9230769230769231
boston,0,42,0,1,0,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.300613151062728, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",0,True,False,0,0.798,nn,0.9411764705882352,0.006705642778243003,0.04181435985065997,0.9230769230769231
boston,0,42,0,1,1,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.312137782659031, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",0,True,False,0,0.797,nn,0.9411764705882352,0.006594829012893937,0.04175895296798543,0.9230769230769231
boston,0,42,0,1,2,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.307367816316285, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",0,True,False,0,0.799,nn,0.9411764705882352,0.006640694073881878,0.0417818854984794,0.9230769230769231
boston,0,42,0,1,3,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.310193895458778, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",0,True,False,0,0.8,nn,0.9411764705882352,0.006613520235973289,0.04176829857952511,0.9230769230769231
boston,0,42,0,1,4,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.3110799868218255, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",0,True,False,0,0.799,nn,0.9411764705882352,0.006605000126713219,0.041764038524895075,0.9230769230769231
boston,0,42,0,24,0,"[0.0686, 0.0, 2.89, 0.0, 0.445, 7.416, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",1,1,"[0.0686, 0.0, 2.89, 0.0, 0.445, 6.435552876469194, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",0,True,False,0,0.801,nn,0.9411764705882352,0.009427376187796219,0.043175226555436576,0.9230769230769231
