dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss
boston,0,42,2,4,0,"[0.01432, 100.0, 1.32, 0.0, 0.411, 6.816, 40.5, 8.3248, 5.0, 256.0, 15.1, 392.9, 3.95]",1,1,"[0.01432, 100.0, 1.32, 0.0, 0.411, 6.335661396648934, 40.5, 8.3248, 5.0, 256.0, 15.1, 392.9, 3.95]",0,True,False,0,0.77,nn,0.9108910891089108,0.004618640416837171,0.04077085866995705
boston,0,42,2,4,1,"[0.01432, 100.0, 1.32, 0.0, 0.411, 6.816, 40.5, 8.3248, 5.0, 256.0, 15.1, 392.9, 3.95]",1,1,"[0.01432, 100.0, 1.32, 0.0, 0.411, 6.342800102506915, 40.5, 8.3248, 5.0, 256.0, 15.1, 392.9, 3.95]",0,True,False,0,0.767,nn,0.9108910891089108,0.004549999014356582,0.040736537968716756
boston,0,42,2,4,2,"[0.01432, 100.0, 1.32, 0.0, 0.411, 6.816, 40.5, 8.3248, 5.0, 256.0, 15.1, 392.9, 3.95]",1,1,"[0.01432, 100.0, 1.32, 0.0, 0.411, 6.341600946926453, 40.5, 8.3248, 5.0, 256.0, 15.1, 392.9, 3.95]",0,True,False,0,0.777,nn,0.9108910891089108,0.004561529356476408,0.04074230313977667
boston,0,42,2,4,3,"[0.01432, 100.0, 1.32, 0.0, 0.411, 6.816, 40.5, 8.3248, 5.0, 256.0, 15.1, 392.9, 3.95]",1,1,"[0.01432, 100.0, 1.32, 0.0, 0.411, 6.3354288494148605, 40.5, 8.3248, 5.0, 256.0, 15.1, 392.9, 3.95]",0,True,False,0,0.767,nn,0.9108910891089108,0.004620876447934032,0.04077197668550548
boston,0,42,2,4,4,"[0.01432, 100.0, 1.32, 0.0, 0.411, 6.816, 40.5, 8.3248, 5.0, 256.0, 15.1, 392.9, 3.95]",1,1,"[0.01432, 100.0, 1.32, 0.0, 0.411, 6.340874389223296, 40.5, 8.3248, 5.0, 256.0, 15.1, 392.9, 3.95]",0,True,False,0,0.765,nn,0.9108910891089108,0.00456851548823754,0.040745796205657235
boston,0,42,2,13,0,"[0.12204, 0.0, 2.89, 0.0, 0.445, 6.625, 57.8, 3.4952, 2.0, 276.0, 18.0, 357.98, 6.65]",1,1,"[0.12204, 0.0, 2.89, 0.0, 0.445, 6.553744231094447, 57.8, 3.4952, 2.0, 276.0, 18.0, 357.98, 6.65]",0,True,False,0,0.771,nn,0.9108910891089108,0.0006851516240918586,0.03880411427358439
boston,0,42,2,13,1,"[0.12204, 0.0, 2.89, 0.0, 0.445, 6.625, 57.8, 3.4952, 2.0, 276.0, 18.0, 357.98, 6.65]",1,1,"[0.12204, 0.0, 2.89, 0.0, 0.445, 6.542857970134133, 57.8, 3.4952, 2.0, 276.0, 18.0, 357.98, 6.65]",0,True,False,0,0.77,nn,0.9108910891089108,0.0007898272102487238,0.03885645206666283
boston,0,42,2,13,2,"[0.12204, 0.0, 2.89, 0.0, 0.445, 6.625, 57.8, 3.4952, 2.0, 276.0, 18.0, 357.98, 6.65]",1,1,"[0.12204, 0.0, 2.89, 0.0, 0.445, 6.552348876457173, 57.8, 3.4952, 2.0, 276.0, 18.0, 357.98, 6.65]",0,True,False,0,0.773,nn,0.9108910891089108,0.0006985684956041068,0.03881082270934052
boston,0,42,2,13,3,"[0.12204, 0.0, 2.89, 0.0, 0.445, 6.625, 57.8, 3.4952, 2.0, 276.0, 18.0, 357.98, 6.65]",1,1,"[0.12204, 0.0, 2.89, 0.0, 0.445, 6.5468861711151085, 57.8, 3.4952, 2.0, 276.0, 18.0, 357.98, 6.65]",0,True,False,0,0.776,nn,0.9108910891089108,0.0007510945085085721,0.03883708571579275
boston,0,42,2,13,4,"[0.12204, 0.0, 2.89, 0.0, 0.445, 6.625, 57.8, 3.4952, 2.0, 276.0, 18.0, 357.98, 6.65]",1,1,"[0.12204, 0.0, 2.89, 0.0, 0.445, 6.546230835476626, 57.8, 3.4952, 2.0, 276.0, 18.0, 357.98, 6.65]",0,True,False,0,0.767,nn,0.9108910891089108,0.000757395812724749,0.038840236367900835
boston,0,42,2,14,0,"[0.08187, 0.0, 2.89, 0.0, 0.445, 7.82, 36.9, 3.4952, 2.0, 276.0, 18.0, 393.53, 3.57]",1,1,"[0.08187, 0.0, 2.89, 0.0, 0.445, 6.420087245708891, 36.9, 3.4952, 2.0, 276.0, 18.0, 393.53, 3.57]",0,True,False,0,0.77,nn,0.9108910891089108,0.013460699560491436,0.04519188824178418
