dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss,sparsity
boston,0,42,4,0,0,"[0.06905, 0.0, 2.18, 0.0, 0.458, 7.147, 54.2, 6.0622, 3.0, 222.0, 18.7, 396.9, 5.33]",1,1,"[0.06905, 0.0, 2.18, 0.0, 0.458, 5.928758087264638, 54.2, 6.0622, 3.0, 222.0, 18.7, 396.9, 5.33]",0,True,True,64,34.444,nn,0.9603960396039604,0.011713864545532327,0.04431847073430463,0.9230769230769231
boston,0,42,4,0,1,"[0.06905, 0.0, 2.18, 0.0, 0.458, 7.147, 54.2, 6.0622, 3.0, 222.0, 18.7, 396.9, 5.33]",1,1,"[0.06905, 0.0, 2.18, 0.0, 0.458, 6.530361831530689, 54.2, 6.0622, 3.0, 222.0, 18.7, 396.9, 5.33]",0,True,True,64,34.362,nn,0.9603960396039604,0.005929213158358764,0.04142614504071784,0.9230769230769231
boston,0,42,4,0,2,"[0.06905, 0.0, 2.18, 0.0, 0.458, 7.147, 54.2, 6.0622, 3.0, 222.0, 18.7, 396.9, 5.33]",1,1,"[0.06905, 0.0, 2.18, 0.0, 0.458, 6.512425834188701, 54.2, 6.0622, 3.0, 222.0, 18.7, 396.9, 5.33]",0,True,True,64,35.195,nn,0.9603960396039604,0.006101674671262496,0.04151237579716971,0.9230769230769231
boston,0,42,4,0,3,"[0.06905, 0.0, 2.18, 0.0, 0.458, 7.147, 54.2, 6.0622, 3.0, 222.0, 18.7, 396.9, 5.33]",1,1,"[0.06905, 0.0, 2.18, 0.0, 0.458, 6.361671804907504, 54.2, 6.0622, 3.0, 222.0, 18.7, 396.9, 5.33]",0,True,True,64,34.337,nn,0.9603960396039604,0.00755123264512016,0.04223715478409854,0.9230769230769231
boston,0,42,4,0,4,"[0.06905, 0.0, 2.18, 0.0, 0.458, 7.147, 54.2, 6.0622, 3.0, 222.0, 18.7, 396.9, 5.33]",1,1,"[0.06905, 0.0, 2.18, 0.0, 0.458, 6.162059974101062, 54.2, 6.0622, 3.0, 222.0, 18.7, 396.9, 5.33]",0,True,True,64,34.336,nn,0.9603960396039604,0.009470577172105175,0.04319682704759105,0.9230769230769231
boston,0,42,4,9,0,"[0.12744, 0.0, 6.91, 0.0, 0.448, 6.77, 2.9, 5.7209, 3.0, 233.0, 17.9, 385.41, 4.84]",1,1,"[0.12744, 0.0, 6.91, 0.0, 0.448, 6.280329159248003, 2.9, 5.7209, 3.0, 233.0, 17.9, 385.41, 4.84]",0,True,True,64,34.388,nn,0.9603960396039604,0.004708373468769195,0.04081572519592306,0.9230769230769231
boston,0,42,4,9,1,"[0.12744, 0.0, 6.91, 0.0, 0.448, 6.77, 2.9, 5.7209, 3.0, 233.0, 17.9, 385.41, 4.84]",1,1,"[0.12744, 0.0, 6.91, 0.0, 0.448, 6.449940589374024, 2.9, 5.7209, 3.0, 233.0, 17.9, 385.41, 4.84]",0,True,True,64,34.572,nn,0.9603960396039604,0.003077494332942073,0.0400002856280095,0.9230769230769231
boston,0,42,4,9,2,"[0.12744, 0.0, 6.91, 0.0, 0.448, 6.77, 2.9, 5.7209, 3.0, 233.0, 17.9, 385.41, 4.84]",1,1,"[0.12744, 0.0, 6.91, 0.0, 0.448, 6.32431372159133, 2.9, 5.7209, 3.0, 233.0, 17.9, 385.41, 4.84]",0,True,True,64,35.144,nn,0.9603960396039604,0.004285444984698747,0.04060426095388784,0.9230769230769231
boston,0,42,4,9,3,"[0.12744, 0.0, 6.91, 0.0, 0.448, 6.77, 2.9, 5.7209, 3.0, 233.0, 17.9, 385.41, 4.84]",1,1,"[0.12744, 0.0, 6.91, 0.0, 0.448, 6.366834067966124, 2.9, 5.7209, 3.0, 233.0, 17.9, 385.41, 4.84]",0,True,True,64,34.597,nn,0.9603960396039604,0.0038765955003257253,0.040399836211701325,0.9230769230769231
boston,0,42,4,9,4,"[0.12744, 0.0, 6.91, 0.0, 0.448, 6.77, 2.9, 5.7209, 3.0, 233.0, 17.9, 385.41, 4.84]",1,1,"[0.12744, 0.0, 6.91, 0.0, 0.448, 6.327511246119057, 2.9, 5.7209, 3.0, 233.0, 17.9, 385.41, 4.84]",0,True,True,64,34.505,nn,0.9603960396039604,0.004254699556547525,0.04058888823981223,0.9230769230769231
