dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss,sparsity
boston,0,42,1,9,0,"[0.02763, 75.0, 2.95, 0.0, 0.428, 6.595, 21.8, 5.4011, 3.0, 252.0, 18.3, 395.63, 4.32]",1,1,"[0.05059, 80.0, 2.0, 0.0, 0.435, 6.389, 21.8, 5.4011, 3.0, 280.0, 18.5, 395.6, 9.62]",0,True,False,0,0.468,nn,0.9306930693069309,0.02384838145956606,0.35807803688362916,0.3076923076923077
boston,0,42,1,9,1,"[0.02763, 75.0, 2.95, 0.0, 0.428, 6.595, 21.8, 5.4011, 3.0, 252.0, 18.3, 395.63, 4.32]",1,1,"[0.10612, 30.0, 0.5, 0.0, 0.428, 6.095, 21.8, 5.4011, 3.0, 193.0, 12.6, 395.6, 13.15]",0,True,False,0,0.445,nn,0.9306930693069309,0.09940046568047337,0.3573925405325444,0.3846153846153846
boston,0,42,1,9,2,"[0.02763, 75.0, 2.95, 0.0, 0.428, 6.595, 21.8, 5.4011, 3.0, 252.0, 18.3, 395.63, 4.32]",1,1,"[0.00632, 80.0, 11.9, 0.0, 0.428, 6.358, 21.8, 5.4011, 3.0, 187.0, 17.8, 395.6, 11.22]",0,True,False,0,0.466,nn,0.9306930693069309,0.05296175719921105,0.3341731862919132,0.3846153846153846
boston,0,42,1,9,3,"[0.02763, 75.0, 2.95, 0.0, 0.428, 6.595, 21.8, 5.4011, 3.0, 252.0, 18.3, 395.63, 4.32]",1,1,"[0.05188, 0.0, 4.9, 0.0, 0.428, 6.015, 21.8, 5.4011, 3.0, 247.0, 16.6, 395.6, 12.86]",0,True,False,0,7.049,nn,0.9306930693069309,0.09444749999999999,0.3549160576923077,0.3846153846153846
boston,0,42,1,9,4,"[0.02763, 75.0, 2.95, 0.0, 0.428, 6.595, 21.8, 5.4011, 3.0, 252.0, 18.3, 395.63, 4.32]",1,1,"[0.00632, 80.0, 0.5, 0.0, 0.385, 6.12, 21.8, 5.4011, 3.0, 187.0, 18.5, 395.6, 4.5]",0,True,False,0,0.312,nn,0.9306930693069309,0.028515927387996607,0.36041180984784443,0.3076923076923077
boston,0,42,1,14,0,"[0.0536, 21.0, 5.64, 0.0, 0.439, 6.511, 21.1, 6.8147, 4.0, 243.0, 16.8, 396.9, 5.28]",1,0,"[0.04337, 21.0, 5.6, 0.0, 0.439, 6.115, 10.5, 6.8147, 4.0, 243.0, 16.8, 396.9, 9.43]",0,True,False,0,0.488,nn,0.9306930693069309,0.020423781157670167,0.2025195828865274,0.6153846153846154
boston,0,42,1,14,1,"[0.0536, 21.0, 5.64, 0.0, 0.439, 6.511, 21.1, 6.8147, 4.0, 243.0, 16.8, 396.9, 5.28]",1,0,"[0.04337, 21.0, 5.6, 0.0, 0.439, 6.115, 14.0, 6.8147, 4.0, 243.0, 16.8, 396.9, 9.43]",0,True,False,0,7.406,nn,0.9306930693069309,0.017676528410417423,0.20114595651290104,0.6153846153846154
boston,0,42,1,14,2,"[0.0536, 21.0, 5.64, 0.0, 0.439, 6.511, 21.1, 6.8147, 4.0, 243.0, 16.8, 396.9, 5.28]",1,0,"[0.04981, 21.0, 5.6, 0.0, 0.439, 5.998, 15.6, 6.8147, 4.0, 243.0, 16.8, 396.9, 8.43]",0,True,False,0,0.308,nn,0.9306930693069309,0.015568301006319687,0.20009184281085216,0.6153846153846154
boston,0,42,1,14,3,"[0.0536, 21.0, 5.64, 0.0, 0.439, 6.511, 21.1, 6.8147, 4.0, 243.0, 16.8, 396.9, 5.28]",1,0,"[0.04337, 21.0, 5.6, 0.0, 0.439, 6.115, 16.9, 6.8147, 4.0, 243.0, 16.8, 396.9, 9.43]",0,True,False,0,0.304,nn,0.9306930693069309,0.015400233276979432,0.20000780894618203,0.6153846153846154
boston,0,42,1,14,4,"[0.0536, 21.0, 5.64, 0.0, 0.439, 6.511, 21.1, 6.8147, 4.0, 243.0, 16.8, 396.9, 5.28]",1,0,"[0.04981, 21.0, 5.6, 0.0, 0.439, 5.998, 8.7, 6.8147, 4.0, 243.0, 16.8, 396.9, 8.43]",0,True,False,0,0.307,nn,0.9306930693069309,0.02098431356518939,0.202799849090287,0.6153846153846154
