dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss,sparsity
boston,0,42,2,4,0,"[0.01432, 100.0, 1.32, 0.0, 0.411, 6.816, 40.5, 8.3248, 5.0, 256.0, 15.1, 392.9, 3.95]",1,1,"[0.03041, 80.0, 1.8, 0.0, 0.385, 5.895, 40.5, 8.3248, 5.0, 187.0, 20.2, 392.9, 10.56]",0,True,False,0,2.945,nn,0.9108910891089108,0.07569767559876021,0.3455411454916878,0.3846153846153846
boston,0,42,2,4,1,"[0.01432, 100.0, 1.32, 0.0, 0.411, 6.816, 40.5, 8.3248, 5.0, 256.0, 15.1, 392.9, 3.95]",1,1,"[0.00632, 98.6, 0.5, 0.0, 0.493, 5.708, 40.5, 8.3248, 5.0, 230.3, 19.6, 392.9, 11.74]",0,True,False,0,2.843,nn,0.9108910891089108,0.06433371090448015,0.3398591631445478,0.3846153846153846
boston,0,42,2,4,2,"[0.01432, 100.0, 1.32, 0.0, 0.411, 6.816, 40.5, 8.3248, 5.0, 256.0, 15.1, 392.9, 3.95]",1,1,"[0.00632, 90.0, 1.2, 0.0, 0.41, 6.49, 40.5, 8.3248, 5.0, 187.0, 19.7, 392.9, 1.73]",0,True,False,0,2.856,nn,0.9108910891089108,0.04738478162862779,0.3313846985066216,0.3846153846153846
boston,0,42,2,4,3,"[0.01432, 100.0, 1.32, 0.0, 0.411, 6.816, 40.5, 8.3248, 5.0, 256.0, 15.1, 392.9, 3.95]",1,1,"[0.00632, 60.0, 0.5, 0.0, 0.411, 5.859, 40.5, 8.3248, 5.0, 187.0, 18.3, 392.9, 1.73]",0,True,False,0,3.088,nn,0.9108910891089108,0.07103450690335307,0.30474802268244583,0.46153846153846145
boston,0,42,2,4,4,"[0.01432, 100.0, 1.32, 0.0, 0.411, 6.816, 40.5, 8.3248, 5.0, 256.0, 15.1, 392.9, 3.95]",1,1,"[0.00632, 55.0, 5.6, 0.0, 0.484, 6.696, 40.5, 8.3248, 5.0, 243.0, 17.6, 392.9, 7.18]",0,True,False,0,7.711,nn,0.9108910891089108,0.07550150464919697,0.34544306001690617,0.3846153846153846
boston,0,42,2,13,0,"[0.12204, 0.0, 2.89, 0.0, 0.445, 6.625, 57.8, 3.4952, 2.0, 276.0, 18.0, 357.98, 6.65]",1,1,"[0.11504, 0.0, 2.9, 0.0, 0.445, 6.163, 57.8, 3.4952, 2.0, 276.0, 18.0, 358.0, 11.34]",0,True,False,0,3.105,nn,0.9108910891089108,0.013727672583826423,0.19917152859960552,0.6153846153846154
boston,0,42,2,13,1,"[0.12204, 0.0, 2.89, 0.0, 0.445, 6.625, 57.8, 3.4952, 2.0, 276.0, 18.0, 357.98, 6.65]",1,1,"[0.11504, 0.0, 2.9, 0.0, 0.445, 6.163, 57.8, 3.4952, 2.0, 276.0, 18.0, 358.0, 11.34]",0,True,False,0,2.964,nn,0.9108910891089108,0.013727672583826423,0.19917152859960552,0.6153846153846154
boston,0,42,2,13,2,"[0.12204, 0.0, 2.89, 0.0, 0.445, 6.625, 57.8, 3.4952, 2.0, 276.0, 18.0, 357.98, 6.65]",1,1,"[0.11504, 0.0, 2.9, 0.0, 0.445, 6.163, 57.8, 3.4952, 2.0, 276.0, 18.0, 358.0, 11.34]",0,True,False,0,3.226,nn,0.9108910891089108,0.013727672583826423,0.19917152859960552,0.6153846153846154
boston,0,42,2,13,3,"[0.12204, 0.0, 2.89, 0.0, 0.445, 6.625, 57.8, 3.4952, 2.0, 276.0, 18.0, 357.98, 6.65]",1,1,"[0.11504, 0.0, 2.9, 0.0, 0.445, 6.163, 57.8, 3.4952, 2.0, 276.0, 18.0, 358.0, 11.34]",0,True,False,0,3.054,nn,0.9108910891089108,0.013727672583826423,0.19917152859960552,0.6153846153846154
boston,0,42,2,13,4,"[0.12204, 0.0, 2.89, 0.0, 0.445, 6.625, 57.8, 3.4952, 2.0, 276.0, 18.0, 357.98, 6.65]",1,1,"[0.11504, 0.0, 2.9, 0.0, 0.445, 6.163, 57.8, 3.4952, 2.0, 276.0, 18.0, 358.0, 11.34]",0,True,False,0,3.15,nn,0.9108910891089108,0.013727672583826423,0.19917152859960552,0.6153846153846154
