dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss,sparsity
boston,0,42,0,0,0,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02729, 0.0, 7.07, 0.0, 0.7424393702204177, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",0,False,False,0,0.417,nn,0.9411764705882352,0.030048282441804155,0.05348567968244054,0.9230769230769231
boston,0,42,0,0,1,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02729, 0.0, 7.07, 0.0, 0.7367789351394812, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",0,False,False,0,0.397,nn,0.9411764705882352,0.029426256608734207,0.05317466676590557,0.9230769230769231
boston,0,42,0,0,2,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02729, 0.0, 7.07, 0.0, 0.7753557096345463, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",0,False,False,0,0.418,nn,0.9411764705882352,0.03366546259720289,0.05529426976013991,0.9230769230769231
boston,0,42,0,0,3,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02729, 0.0, 7.07, 0.0, 0.7399067756439774, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",0,False,False,0,0.398,nn,0.9411764705882352,0.029769975345492035,0.05334652613428448,0.9230769230769231
boston,0,42,0,0,4,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02729, 0.0, 7.07, 0.0, 0.7245048201157414, 7.080962074809624, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",0,False,False,0,0.438,nn,0.9411764705882352,0.02907781742526366,0.09146198563570876,0.8461538461538461
boston,0,42,0,1,0,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.03237, 0.0, 2.2743067600357385, 0.0, 0.6612168324733005, 6.788426962939911, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",0,False,False,0,0.421,nn,0.9411764705882352,0.024588457613577898,0.12767884419140435,0.7692307692307692
boston,0,42,0,1,1,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.03237, 0.0, 2.196358152263492, 0.0, 0.7223175698780262, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",0,False,False,0,0.423,nn,0.9411764705882352,0.029087830779945898,0.09146699231304987,0.8461538461538461
boston,0,42,0,1,2,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.03237, 0.0, 2.1978114692374753, 0.0, 0.6700341967346894, 6.876217584500861, 45.8, 6.109491288583558, 3.0, 222.0, 18.7, 394.63, 3.0395513301807093]",1,False,False,0,0.38,nn,0.9411764705882352,0.0249643522539885,1.2047898684346865,0.6153846153846154
boston,0,42,0,1,3,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.03237, 0.0, 2.215825038297679, 0.0, 0.7181576575255119, 6.947609645387995, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",0,False,False,0,0.38,nn,0.9411764705882352,0.02916513528729027,0.12996718302826052,0.7692307692307692
boston,0,42,0,1,4,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.03237, 0.0, 2.1745969732836907, 0.0, 0.6905885249364523, 6.824423602441389, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",0,False,False,0,0.38,nn,0.9411764705882352,0.02724203630178147,0.12900563353550612,0.7692307692307692
