dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss,sparsity
boston,0,42,4,0,0,"[0.06905, 0.0, 2.18, 0.0, 0.458, 7.147, 54.2, 6.0622, 3.0, 222.0, 18.7, 396.9, 5.33]",1,1,"[0.06905, 0.0, 2.18, 0.0, 0.458, 6.674, 54.2, 6.0622, 3.0, 222.0, 18.7, 396.9, 5.33]",0,False,False,0,8.978,nn,0.9603960396039604,0.004548076923076922,0.04073557692307692,0.9230769230769231
boston,0,42,4,0,1,"[0.06905, 0.0, 2.18, 0.0, 0.458, 7.147, 54.2, 6.0622, 3.0, 222.0, 18.7, 396.9, 5.33]",1,1,"[0.06905, 0.0, 2.18, 0.0, 0.458, 6.763612, 54.2, 6.0622, 3.0, 222.0, 18.7, 395.63, 9.756127]",0,False,False,0,9.814,nn,0.9603960396039604,0.012660687376725835,0.1217149590729783,0.7692307692307692
boston,0,42,4,0,2,"[0.06905, 0.0, 2.18, 0.0, 0.458, 7.147, 54.2, 6.0622, 3.0, 222.0, 18.7, 396.9, 5.33]",1,1,"[0.06905, 0.0, 2.18, 0.0, 0.458, 6.693064, 54.2, 6.0622, 3.0, 222.0, 18.7, 396.9, 5.33]",0,False,False,0,9.078,nn,0.9603960396039604,0.004364769230769236,0.040643923076923084,0.9230769230769231
boston,0,42,4,9,0,"[0.12744, 0.0, 6.91, 0.0, 0.448, 6.77, 2.9, 5.7209, 3.0, 233.0, 17.9, 385.41, 4.84]",1,1,"[0.62976, 0.0, 6.91, 0.0, 0.448, 6.733794, 2.9, 5.7209, 3.0, 247.0, 18.084679, 385.64, 4.84]",0,False,False,0,10.157,nn,0.9603960396039604,0.0033826419132149963,0.19399901326429983,0.6153846153846154
boston,0,42,4,9,1,"[0.12744, 0.0, 6.91, 0.0, 0.448, 6.77, 2.9, 5.7209, 3.0, 233.0, 17.9, 385.41, 4.84]",1,1,"[0.12744, -2.195867, 6.91, 0.0, 0.448, 6.671657, 2.9, 5.7209, 3.0, 233.0, 17.9, 385.41, 4.84]",0,False,False,0,9.571,nn,0.9603960396039604,0.0026347342307692294,0.07824044403846155,0.8461538461538461
boston,0,42,4,9,2,"[0.12744, 0.0, 6.91, 0.0, 0.448, 6.77, 2.9, 5.7209, 3.0, 233.0, 17.9, 385.41, 4.84]",1,1,"[0.56846, 0.0, 6.143219, 0.0, -0.064, 6.77, 2.9, 5.224605, 3.0, 233.0, 17.387999999999998, 385.636622, 4.327999999999999]",0,False,False,0,9.597,nn,0.9603960396039604,0.064881036379699,0.30167128742061877,0.46153846153846145
boston,0,42,4,12,0,"[0.01311, 90.0, 1.22, 0.0, 0.403, 7.249, 21.9, 8.6966, 5.0, 226.0, 17.9, 395.93, 4.81]",1,1,"[0.01311, 90.0, 1.22, 0.0, 0.403, 23.058592, 21.9, 8.6966, 5.0, 226.0, 17.9, 395.93, 4.81]",1,False,False,0,10.078,nn,0.9603960396039604,0.15201530769230773,1.1144691923076924,0.9230769230769231
boston,0,42,4,12,1,"[0.01311, 90.0, 1.22, 0.0, 0.403, 7.249, 21.9, 8.6966, 5.0, 226.0, 17.9, 395.93, 4.81]",1,1,"[0.01311, 90.0, 1.22, 0.0, 0.403, 23.162698, 21.9, 8.6966, 5.0, 226.0, 17.9, 395.93, 4.81]",1,False,False,0,10.624,nn,0.9603960396039604,0.15301632692307693,1.1149697019230769,0.9230769230769231
boston,0,42,4,12,2,"[0.01311, 90.0, 1.22, 0.0, 0.403, 7.249, 21.9, 8.6966, 5.0, 226.0, 17.9, 395.93, 4.81]",1,1,"[0.01311, 90.0, 1.22, 0.0, 0.403, 23.115651, 21.9, 8.6966, 5.0, 226.0, 17.9, 395.93, 4.81]",1,False,False,0,10.309,nn,0.9603960396039604,0.15256395192307695,1.1147435144230768,0.9230769230769231
boston,0,42,4,17,0,"[0.05302, 0.0, 3.41, 0.0, 0.489, 7.079, 63.1, 3.4145, 2.0, 270.0, 17.8, 396.06, 5.7]",1,1,"[0.03705, 0.0, 3.41, 0.0, 0.446456, 6.861662, 63.1, 4.089415, 2.0, 337.0, 19.1, 396.06, 7.101362]",0,False,False,0,9.765,nn,0.9603960396039604,0.02771737720338901,0.28308945783246375,0.46153846153846145
