dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc,blackbox,gower_dist,loss
boston,0,42,1,17,0,"[0.01951, 17.5, 1.38, 0.0, 0.4161, 7.104, 59.5, 9.2229, 3.0, 216.0, 18.6, 393.24, 8.05]",1,1,"[0.01951, 17.5, 1.38, 0.0, 0.4161, 6.509243596990421, 59.5, 9.2229, 3.0, 216.0, 18.6, 393.24, 8.05]",0,True,True,4,36.136,0.900990099009901,rf,0.005718811567399797,0.04132094424523836
boston,0,42,1,17,1,"[0.01951, 17.5, 1.38, 0.0, 0.4161, 7.104, 59.5, 9.2229, 3.0, 216.0, 18.6, 393.24, 8.05]",1,1,"[0.01951, 17.5, 1.38, 0.0, 0.4161, 6.554456761466449, 59.5, 9.2229, 3.0, 216.0, 18.6, 393.24, 8.05]",0,True,True,4,36.151,0.900990099009901,rf,0.005284069601284145,0.04110357326218054
boston,0,42,1,17,2,"[0.01951, 17.5, 1.38, 0.0, 0.4161, 7.104, 59.5, 9.2229, 3.0, 216.0, 18.6, 393.24, 8.05]",1,1,"[0.01951, 17.5, 1.38, 0.0, 0.4161, 6.391018501459621, 59.5, 9.2229, 3.0, 216.0, 18.6, 393.24, 8.05]",0,True,True,4,36.45,0.900990099009901,rf,0.006855591332119028,0.041889334127597974
boston,0,42,1,17,3,"[0.01951, 17.5, 1.38, 0.0, 0.4161, 7.104, 59.5, 9.2229, 3.0, 216.0, 18.6, 393.24, 8.05]",1,1,"[0.01951, 17.5, 1.38, 0.0, 0.4161, 5.743773305306596, 59.5, 9.2229, 3.0, 216.0, 18.6, 393.24, 8.05]",0,True,True,4,36.321,0.900990099009901,rf,0.013079102833590425,0.04500108987833368
boston,0,42,1,17,4,"[0.01951, 17.5, 1.38, 0.0, 0.4161, 7.104, 59.5, 9.2229, 3.0, 216.0, 18.6, 393.24, 8.05]",1,1,"[0.01951, 17.5, 1.38, 0.0, 0.4161, 6.56628335727255, 59.5, 9.2229, 3.0, 216.0, 18.6, 393.24, 8.05]",0,True,True,4,36.074,0.900990099009901,rf,0.005170352333917793,0.04104671462849736
boston,0,42,1,24,0,"[0.12083, 0.0, 2.89, 0.0, 0.445, 8.069, 76.0, 3.4952, 2.0, 276.0, 18.0, 396.9, 4.21]",1,1,"[0.12083, 0.0, 2.89, 0.0, 0.445, 6.548464277311314, 76.0, 3.4952, 2.0, 276.0, 18.0, 396.9, 4.21]",0,True,True,4,35.781,0.900990099009901,rf,0.014620535795083524,0.04577180635908022
boston,0,42,1,24,1,"[0.12083, 0.0, 2.89, 0.0, 0.445, 8.069, 76.0, 3.4952, 2.0, 276.0, 18.0, 396.9, 4.21]",1,1,"[0.12083, 0.0, 2.89, 0.0, 0.445, 6.492667192856411, 76.0, 3.4952, 2.0, 276.0, 18.0, 396.9, 4.21]",0,True,True,4,35.943,0.900990099009901,rf,0.01515704622253452,0.04604006157280573
boston,0,42,1,24,2,"[0.12083, 0.0, 2.89, 0.0, 0.445, 8.069, 76.0, 3.4952, 2.0, 276.0, 18.0, 396.9, 4.21]",1,1,"[0.12083, 0.0, 2.89, 0.0, 0.445, 6.555157137918982, 76.0, 3.4952, 2.0, 276.0, 18.0, 396.9, 4.21]",0,True,True,4,35.937,0.900990099009901,rf,0.01455618136616364,0.045739629144620285
boston,0,42,1,24,3,"[0.12083, 0.0, 2.89, 0.0, 0.445, 8.069, 76.0, 3.4952, 2.0, 276.0, 18.0, 396.9, 4.21]",1,1,"[0.12083, 0.0, 2.89, 0.0, 0.445, 6.436696474432032, 76.0, 3.4952, 2.0, 276.0, 18.0, 396.9, 4.21]",0,True,True,4,35.986,0.900990099009901,rf,0.015695226207384318,0.04630915156523062
boston,0,42,1,24,4,"[0.12083, 0.0, 2.89, 0.0, 0.445, 8.069, 76.0, 3.4952, 2.0, 276.0, 18.0, 396.9, 4.21]",1,1,"[0.12083, 0.0, 2.89, 0.0, 0.445, 5.677302485827639, 76.0, 3.4952, 2.0, 276.0, 18.0, 396.9, 4.21]",0,True,True,4,35.796,0.900990099009901,rf,0.02299709148242656,0.04996008420275175
