dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc
boston,0,42,3,0,0,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.575, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",1,0,"[0.00632, 18.0, 4.302461864805588, 0.0, 0.538, 6.448784630718961, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",0,True,True,4,52.69,0.9108910891089109
boston,0,42,3,0,1,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.575, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",1,0,"[0.00632, 18.0, 4.134690967608259, 0.0, 0.538, 6.425111870727912, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",0,True,True,4,52.879,0.9108910891089109
boston,0,42,3,0,2,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.575, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",1,0,"[0.00632, 18.0, 1.831811200940297, 0.0, 0.538, 6.404655184766306, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",0,True,True,4,52.789,0.9108910891089109
boston,0,42,3,0,3,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.575, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",1,0,"[0.00632, 18.0, 3.779655368913688, 0.0, 0.538, 6.404380961107308, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",0,True,True,4,52.866,0.9108910891089109
boston,0,42,3,0,4,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.575, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",1,0,"[0.00632, 18.0, 5.565541794527132, 0.0, 0.538, 6.524976208822718, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",0,True,True,4,52.728,0.9108910891089109
boston,0,42,3,8,0,"[0.03359, 75.0, 2.95, 0.0, 0.428, 7.024, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",1,1,"[0.03359, 75.0, 6.247312603589302, 0.0, 0.428, 6.207714110872862, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",0,True,True,4,50.396,0.9108910891089109
boston,0,42,3,8,1,"[0.03359, 75.0, 2.95, 0.0, 0.428, 7.024, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",1,1,"[0.03359, 75.0, 5.310540799111695, 0.0, 0.428, 6.145025143749721, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",0,True,True,4,50.775,0.9108910891089109
boston,0,42,3,8,2,"[0.03359, 75.0, 2.95, 0.0, 0.428, 7.024, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",1,1,"[0.03359, 75.0, 7.0012274661188805, 0.0, 0.428, 6.220343757359189, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",0,True,True,4,50.686,0.9108910891089109
boston,0,42,3,8,3,"[0.03359, 75.0, 2.95, 0.0, 0.428, 7.024, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",1,1,"[0.03359, 75.0, 7.682850709299989, 0.0, 0.428, 6.313791243954447, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",0,True,True,4,50.457,0.9108910891089109
boston,0,42,3,8,4,"[0.03359, 75.0, 2.95, 0.0, 0.428, 7.024, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",1,1,"[0.03359, 75.0, 7.126280108499986, 0.0, 0.428, 6.20958273816869, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",0,True,True,4,50.498,0.9108910891089109
boston,0,42,3,14,0,"[0.0566, 0.0, 3.41, 0.0, 0.489, 7.007, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",1,0,"[0.0566, 0.0, 3.41, 0.0, 0.489, 6.35454746351317, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",0,True,True,4,54.35,0.9108910891089109
boston,0,42,3,14,1,"[0.0566, 0.0, 3.41, 0.0, 0.489, 7.007, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",1,0,"[0.0566, 0.0, 3.41, 0.0, 0.489, 6.0350936293064565, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",0,True,True,4,54.343,0.9108910891089109
boston,0,42,3,14,2,"[0.0566, 0.0, 3.41, 0.0, 0.489, 7.007, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",1,0,"[0.0566, 0.0, 3.41, 0.0, 0.489, 6.319854981069023, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",0,True,True,4,54.33,0.9108910891089109
boston,0,42,3,14,3,"[0.0566, 0.0, 3.41, 0.0, 0.489, 7.007, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",1,0,"[0.0566, 0.0, 3.41, 0.0, 0.489, 6.078550612821024, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",0,True,True,4,54.048,0.9108910891089109
boston,0,42,3,14,4,"[0.0566, 0.0, 3.41, 0.0, 0.489, 7.007, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",1,0,"[0.0566, 0.0, 3.41, 0.0, 0.489, 6.129082640976555, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",0,True,True,4,53.507,0.9108910891089109
boston,0,42,3,25,0,"[1.51902, 0.0, 19.58, 1.0, 0.605, 8.375, 93.9, 2.162, 5.0, 403.0, 14.7, 388.45, 3.32]",1,1,"[1.51902, 0.0, 19.58, 1.0, 0.605, 6.4820161750601955, 93.9, 2.162, 5.0, 403.0, 14.7, 388.45, 5.79503787276497]",0,True,True,4,51.811,0.9108910891089109
boston,0,42,3,25,1,"[1.51902, 0.0, 19.58, 1.0, 0.605, 8.375, 93.9, 2.162, 5.0, 403.0, 14.7, 388.45, 3.32]",1,1,"[1.51902, 0.0, 19.58, 1.0, 0.605, 4.742309537886918, 93.9, 2.162, 5.0, 403.0, 14.7, 388.45, 5.617299527668535]",0,True,True,4,51.913,0.9108910891089109
boston,0,42,3,25,2,"[1.51902, 0.0, 19.58, 1.0, 0.605, 8.375, 93.9, 2.162, 5.0, 403.0, 14.7, 388.45, 3.32]",1,1,"[1.51902, 0.0, 19.58, 1.0, 0.605, 6.433359114416069, 93.9, 2.162, 5.0, 403.0, 14.7, 388.45, 5.864107435320179]",0,True,True,4,51.991,0.9108910891089109
boston,0,42,3,25,3,"[1.51902, 0.0, 19.58, 1.0, 0.605, 8.375, 93.9, 2.162, 5.0, 403.0, 14.7, 388.45, 3.32]",1,1,"[1.51902, 0.0, 19.58, 1.0, 0.605, 5.578511743607355, 93.9, 2.162, 5.0, 403.0, 14.7, 388.45, 5.7574533007204955]",0,True,True,4,51.893,0.9108910891089109
boston,0,42,3,25,4,"[1.51902, 0.0, 19.58, 1.0, 0.605, 8.375, 93.9, 2.162, 5.0, 403.0, 14.7, 388.45, 3.32]",1,1,"[1.51902, 0.0, 19.58, 1.0, 0.605, 6.286367848061108, 93.9, 2.162, 5.0, 403.0, 14.7, 388.45, 5.719434410839451]",0,True,True,4,52.03,0.9108910891089109
boston,0,42,3,27,0,"[0.09103, 0.0, 2.46, 0.0, 0.488, 7.155, 92.2, 2.7006, 3.0, 193.0, 17.8, 394.12, 4.82]",1,1,"[0.09103, 0.0, 5.131139077584653, 0.0, 0.5409137182759417, 5.88466567342124, 92.2, 2.7006, 3.0, 193.0, 17.8, 394.12, 4.82]",0,True,True,4,52.903,0.9108910891089109
boston,0,42,3,27,1,"[0.09103, 0.0, 2.46, 0.0, 0.488, 7.155, 92.2, 2.7006, 3.0, 193.0, 17.8, 394.12, 4.82]",1,1,"[0.09103, 0.0, 4.97585101049312, 0.0, 0.5525628990446697, 6.008458143597496, 92.2, 2.7006, 3.0, 193.0, 17.8, 394.12, 4.82]",0,True,True,4,52.728,0.9108910891089109
boston,0,42,3,27,2,"[0.09103, 0.0, 2.46, 0.0, 0.488, 7.155, 92.2, 2.7006, 3.0, 193.0, 17.8, 394.12, 4.82]",1,1,"[0.09103, 0.0, 5.689025181896964, 0.0, 0.5489292824405546, 6.052054555324736, 92.2, 2.7006, 3.0, 193.0, 17.8, 394.12, 4.82]",0,True,True,4,52.912,0.9108910891089109
boston,0,42,3,27,3,"[0.09103, 0.0, 2.46, 0.0, 0.488, 7.155, 92.2, 2.7006, 3.0, 193.0, 17.8, 394.12, 4.82]",1,1,"[0.09103, 0.0, 5.327350063486381, 0.0, 0.524902836162388, 5.861028859344531, 92.2, 2.7006, 3.0, 193.0, 17.8, 394.12, 4.82]",0,True,True,4,53.015,0.9108910891089109
boston,0,42,3,27,4,"[0.09103, 0.0, 2.46, 0.0, 0.488, 7.155, 92.2, 2.7006, 3.0, 193.0, 17.8, 394.12, 4.82]",1,1,"[0.09103, 0.0, 5.6005343367746745, 0.0, 0.5447478731291016, 6.227844297488815, 92.2, 2.7006, 3.0, 193.0, 17.8, 394.12, 4.82]",0,True,True,4,52.952,0.9108910891089109
boston,0,42,3,28,0,"[0.08308, 0.0, 2.46, 0.0, 0.488, 5.604, 89.8, 2.9879, 3.0, 193.0, 17.8, 391.0, 13.98]",1,1,"[0.08308, 0.0, 5.973330517380642, 0.0, 0.488, 5.604, 89.8, 2.9879, 3.0, 193.0, 17.8, 391.0, 13.98]",0,True,True,4,50.61,0.9108910891089109
boston,0,42,3,28,1,"[0.08308, 0.0, 2.46, 0.0, 0.488, 5.604, 89.8, 2.9879, 3.0, 193.0, 17.8, 391.0, 13.98]",1,1,"[0.08308, 0.0, 3.400551010083025, 0.0, 0.488, 5.604, 89.8, 2.9879, 3.0, 193.0, 17.8, 391.0, 13.98]",0,True,True,4,50.368,0.9108910891089109
boston,0,42,3,28,2,"[0.08308, 0.0, 2.46, 0.0, 0.488, 5.604, 89.8, 2.9879, 3.0, 193.0, 17.8, 391.0, 13.98]",1,1,"[0.08308, 0.0, 4.362076910770208, 0.0, 0.488, 5.604, 89.8, 2.9879, 3.0, 193.0, 17.8, 391.0, 13.98]",0,True,True,4,50.298,0.9108910891089109
boston,0,42,3,28,3,"[0.08308, 0.0, 2.46, 0.0, 0.488, 5.604, 89.8, 2.9879, 3.0, 193.0, 17.8, 391.0, 13.98]",1,1,"[0.08308, 0.0, 3.6753659294880165, 0.0, 0.488, 5.604, 89.8, 2.9879, 3.0, 193.0, 17.8, 391.0, 13.98]",0,True,True,4,50.137,0.9108910891089109
