dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc,blackbox,gower_dist,loss
boston,0,42,0,0,0,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02731, 0.0, 7.1, 0.0, 0.469, 6.421, 78.9, 4.9671, 2.0, 242.0, 17.8, 396.9, 9.14]",0,False,False,0,34.414,0.931372549019608,rf,0.03225642262206658,0.24689744208026407
boston,0,42,0,0,1,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02731, 0.0, 7.1, 0.0, 0.469, 6.421, 78.9, 4.9671, 2.0, 242.0, 17.8, 396.9, 9.14]",0,False,False,0,35.337,0.931372549019608,rf,0.03225642262206658,0.24689744208026407
boston,0,42,0,0,2,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02731, 0.0, 7.1, 0.0, 0.469, 6.421, 78.9, 4.9671, 2.0, 242.0, 17.8, 396.9, 9.14]",0,False,False,0,51.702,0.931372549019608,rf,0.03225642262206658,0.24689744208026407
boston,0,42,0,0,3,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02731, 0.0, 7.1, 0.0, 0.469, 6.421, 78.9, 4.9671, 2.0, 242.0, 17.8, 396.9, 9.14]",0,False,False,0,35.375,0.931372549019608,rf,0.03225642262206658,0.24689744208026407
boston,0,42,0,0,4,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02731, 0.0, 7.1, 0.0, 0.469, 6.421, 78.9, 4.9671, 2.0, 242.0, 17.8, 396.9, 9.14]",0,False,False,0,51.483,0.931372549019608,rf,0.03225642262206658,0.24689744208026407
boston,0,42,0,1,0,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.00632, 0.0, 12.8, 0.0, 0.437, 6.14, 45.8, 1.1296, 1.0, 289.0, 18.7, 394.3, 1.73]",0,False,False,0,34.782,0.931372549019608,rf,0.08104414586050171,0.386675919084097
boston,0,42,0,1,1,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.08707, 0.0, 12.8, 0.0, 0.437, 6.14, 45.8, 4.0905, 5.0, 398.0, 18.7, 387.0, 10.27]",0,False,False,0,50.909,0.931372549019608,rf,0.09173275236937746,0.3920202223385349
boston,0,42,0,1,2,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.08707, 0.0, 12.8, 0.0, 0.437, 6.14, 45.8, 4.0905, 5.0, 398.0, 18.7, 387.0, 10.27]",0,False,False,0,35.105,0.931372549019608,rf,0.09173275236937746,0.3920202223385349
boston,0,42,0,1,3,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.00632, 0.0, 3.4, 0.0, 0.489, 5.898, 45.8, 1.1296, 1.0, 398.0, 18.7, 389.4, 8.81]",0,False,False,0,34.962,0.931372549019608,rf,0.08340044340910695,0.3878540678583996
boston,0,42,0,1,4,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.00632, 0.0, 0.5, 0.0, 0.437, 3.561, 27.3, 9.4, 3.0, 304.0, 18.7, 396.9, 1.73]",0,False,False,0,35.384,0.931372549019608,rf,0.08443912314091113,0.38837340772430173
