dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc
boston,0,42,1,17,0,"[0.01951, 17.5, 1.38, 0.0, 0.4161, 7.104, 59.5, 9.2229, 3.0, 216.0, 18.6, 393.24, 8.05]",1,1,"[0.01951, 17.5, 1.38, 0.0, 0.4161, 6.6019759232447734, 59.5, 9.2229, 3.0, 216.0, 18.6, 393.24, 8.05]",0,False,False,0,4.153,0.900990099009901
boston,0,42,1,17,1,"[0.01951, 17.5, 1.38, 0.0, 0.4161, 7.104, 59.5, 9.2229, 3.0, 216.0, 18.6, 393.24, 8.05]",1,1,"[0.01951, 17.5, 1.38, 0.0, 0.4161, 6.561248432580941, 59.5, 9.2229, 3.0, 216.0, 18.6, 393.24, 8.05]",0,False,False,0,4.829,0.900990099009901
boston,0,42,1,17,2,"[0.01951, 17.5, 1.38, 0.0, 0.4161, 7.104, 59.5, 9.2229, 3.0, 216.0, 18.6, 393.24, 8.05]",1,1,"[0.01951, 17.5, 1.38, 0.0, 0.4161, 6.602888768297644, 59.5, 9.2229, 3.0, 216.0, 18.6, 393.24, 8.05]",0,False,False,0,4.707,0.900990099009901
boston,0,42,1,17,3,"[0.01951, 17.5, 1.38, 0.0, 0.4161, 7.104, 59.5, 9.2229, 3.0, 216.0, 18.6, 393.24, 8.05]",1,1,"[0.01951, 17.5, 1.38, 0.0, 0.4161, 6.550469855143236, 59.5, 9.2229, 3.0, 216.0, 18.6, 393.24, 8.05]",0,False,False,0,4.971,0.900990099009901
boston,0,42,1,17,4,"[0.01951, 17.5, 1.38, 0.0, 0.4161, 7.104, 59.5, 9.2229, 3.0, 216.0, 18.6, 393.24, 8.05]",1,1,"[0.01951, 17.5, 1.38, 0.0, 0.4161, 6.603729408586937, 59.5, 9.2229, 3.0, 216.0, 18.6, 393.24, 8.05]",0,False,False,0,4.585,0.900990099009901
boston,0,42,1,24,0,"[0.12083, 0.0, 2.89, 0.0, 0.445, 8.069, 76.0, 3.4952, 2.0, 276.0, 18.0, 396.9, 4.21]",1,1,"[0.12083, 0.0, 2.89, 0.0, 0.445, 6.552172212166635, 76.0, 3.4952, 2.0, 276.0, 18.0, 396.9, 4.21]",0,False,False,0,12.302,0.900990099009901
boston,0,42,1,24,1,"[0.12083, 0.0, 2.89, 0.0, 0.445, 8.069, 76.0, 3.4952, 2.0, 276.0, 18.0, 396.9, 4.21]",1,1,"[0.12083, 0.0, 2.89, 0.0, 0.445, 6.5444237885907555, 76.0, 3.4952, 2.0, 276.0, 18.0, 396.9, 4.21]",0,False,False,0,11.839,0.900990099009901
boston,0,42,1,24,2,"[0.12083, 0.0, 2.89, 0.0, 0.445, 8.069, 76.0, 3.4952, 2.0, 276.0, 18.0, 396.9, 4.21]",1,1,"[0.12083, 0.0, 2.89, 0.0, 0.445, 6.566382357488545, 76.0, 3.4952, 2.0, 276.0, 18.0, 396.9, 4.21]",0,False,False,0,9.39,0.900990099009901
boston,0,42,1,24,3,"[0.12083, 0.0, 2.89, 0.0, 0.445, 8.069, 76.0, 3.4952, 2.0, 276.0, 18.0, 396.9, 4.21]",1,1,"[0.12083, 0.0, 2.89, 0.0, 0.445, 6.602652921546146, 76.0, 3.4952, 2.0, 276.0, 18.0, 396.9, 4.21]",0,False,False,0,7.359,0.900990099009901
boston,0,42,1,24,4,"[0.12083, 0.0, 2.89, 0.0, 0.445, 8.069, 76.0, 3.4952, 2.0, 276.0, 18.0, 396.9, 4.21]",1,1,"[0.12083, 0.0, 2.89, 0.0, 0.445, 6.585171561648812, 76.0, 3.4952, 2.0, 276.0, 18.0, 396.9, 4.21]",0,False,False,0,7.205,0.900990099009901
boston,0,42,1,38,0,"[0.06642, 0.0, 4.05, 0.0, 0.51, 6.86, 74.4, 2.9153, 5.0, 296.0, 16.6, 391.27, 6.92]",1,1,"[0.00894432152973007, 0.0, 4.05, 0.0, 0.51, 6.627266473230968, 74.4, 2.9153, 5.0, 296.0, 16.6, 391.27, 6.92]",0,False,False,0,2.197,0.900990099009901
boston,0,42,1,38,1,"[0.06642, 0.0, 4.05, 0.0, 0.51, 6.86, 74.4, 2.9153, 5.0, 296.0, 16.6, 391.27, 6.92]",1,1,"[-0.015410394083445564, 0.0, 4.05, 0.0, 0.51, 6.622464763388069, 74.4, 2.9153, 5.0, 296.0, 16.6, 391.27, 6.92]",0,False,False,0,2.438,0.900990099009901
