dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,run_time,blackbox_test_acc,opt_C_robust,opt_K_robust
boston,0,42,3,0,0,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.575, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",1,0,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.398326, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 6.86]",0,False,1504.042,0.9108910891089108,False,0
boston,0,42,3,0,1,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.575, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",1,0,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.431, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 6.279089]",0,False,1354.226,0.9108910891089108,False,0
boston,0,42,3,0,2,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.575, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",1,0,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.473041, 65.2, 4.09, 1.0, 296.0, 15.3, 393.36, 5.28]",0,False,1385.419,0.9108910891089108,False,0
boston,0,42,3,8,0,"[0.03359, 75.0, 2.95, 0.0, 0.428, 7.024, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",1,1,"[0.03359, 75.0, 2.95, 0.0, 0.428, 22.948062, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",1,False,1517.219,0.9108910891089108,False,0
boston,0,42,3,8,1,"[0.03359, 75.0, 2.95, 0.0, 0.428, 7.024, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",1,1,"[0.03359, 75.0, 2.95, 0.0, 0.428, 22.900891, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",1,False,1920.726,0.9108910891089108,False,0
boston,0,42,3,8,2,"[0.03359, 75.0, 2.95, 0.0, 0.428, 7.024, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",1,1,"[0.03359, 75.0, 2.95, 0.0, 0.428, 23.032446, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",1,False,1500.792,0.9108910891089108,False,0
boston,0,42,3,14,0,"[0.0566, 0.0, 3.41, 0.0, 0.489, 7.007, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",1,0,"[0.0566, 0.0, 3.41, 0.0, 0.489, 22.893958, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",1,False,1428.51,0.9108910891089108,False,0
boston,0,42,3,14,1,"[0.0566, 0.0, 3.41, 0.0, 0.489, 7.007, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",1,0,"[0.0566, 0.0, 3.41, 0.0, 0.489, 6.477164, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",0,False,1505.182,0.9108910891089108,False,0
boston,0,42,3,14,2,"[0.0566, 0.0, 3.41, 0.0, 0.489, 7.007, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",1,0,"[0.0566, 0.0, 3.41, 0.0, 0.489, 6.441388, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",0,False,1977.145,0.9108910891089108,False,0
boston,0,42,3,25,0,"[1.51902, 0.0, 19.58, 1.0, 0.605, 8.375, 93.9, 2.162, 5.0, 403.0, 14.7, 388.45, 3.32]",1,1,"[16.47652, 0.0, 19.58, 1.0, 0.605, 8.375, 93.9, 2.162, 5.0, 403.0, 14.7, 388.45, -11.844000000000001]",1,False,1914.826,0.9108910891089108,False,0
boston,0,42,3,25,1,"[1.51902, 0.0, 19.58, 1.0, 0.605, 8.375, 93.9, 2.162, 5.0, 403.0, 14.7, 388.45, 3.32]",1,1,"[1.51902, 0.0, 19.58, 1.0, 0.605, 23.004219, 93.9, 2.162, 5.0, 403.0, 14.7, 388.45, 3.32]",1,False,1940.057,0.9108910891089108,False,0
boston,0,42,3,25,2,"[1.51902, 0.0, 19.58, 1.0, 0.605, 8.375, 93.9, 2.162, 5.0, 403.0, 14.7, 388.45, 3.32]",1,1,"[1.51902, 0.0, 19.58, 1.0, 0.605, 23.105699, 93.9, 2.162, 5.0, 403.0, 14.7, 388.45, 3.32]",1,False,1872.623,0.9108910891089108,False,0
boston,0,42,3,27,0,"[0.09103, 0.0, 2.46, 0.0, 0.488, 7.155, 92.2, 2.7006, 3.0, 193.0, 17.8, 394.12, 4.82]",1,1,"[0.09103, 0.0, 2.46, 0.0, 0.488, 22.871037, 92.2, 2.7006, 3.0, 193.0, 17.8, 394.12, 4.82]",1,False,1776.73,0.9108910891089108,False,0
boston,0,42,3,27,1,"[0.09103, 0.0, 2.46, 0.0, 0.488, 7.155, 92.2, 2.7006, 3.0, 193.0, 17.8, 394.12, 4.82]",1,1,"[0.09103, 0.0, 2.46, 0.0, 0.488, 22.810000000000002, 92.2, 2.7006, 3.0, 193.0, 17.8, 394.12, 4.82]",1,False,1782.971,0.9108910891089108,False,0
boston,0,42,3,27,2,"[0.09103, 0.0, 2.46, 0.0, 0.488, 7.155, 92.2, 2.7006, 3.0, 193.0, 17.8, 394.12, 4.82]",1,1,"[0.09103, 0.0, 2.46, 0.0, 0.488, 23.050644, 92.2, 2.7006, 3.0, 193.0, 17.8, 394.12, 4.82]",1,False,1817.651,0.9108910891089108,False,0
