dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,run_time,blackbox_test_acc,opt_C_robust,opt_K_robust,blackbox,gower_dist,loss,sparsity
boston,0,42,4,0,0,"[0.06905, 0.0, 2.18, 0.0, 0.458, 7.147, 54.2, 6.0622, 3.0, 222.0, 18.7, 396.9, 5.33]",1,1,"[0.06905, 0.0, 2.18, 0.0, 0.458, 22.88684, 54.2, 6.0622, 3.0, 222.0, 18.7, 396.9, 5.33]",1,False,236.545,0.9702970297029704,False,0,rf,0.15134461538461538,1.1141338461538461,0.9230769230769231
boston,0,42,4,0,1,"[0.06905, 0.0, 2.18, 0.0, 0.458, 7.147, 54.2, 6.0622, 3.0, 222.0, 18.7, 396.9, 5.33]",1,1,"[0.06905, 0.0, -11.894, 0.0, 0.458, 22.897, 54.2, 6.0622, 3.0, 222.0, 18.7, 412.594, 5.33]",1,False,241.039,0.9702970297029704,False,0,rf,0.1905475641025641,1.2106583974358975,0.7692307692307692
boston,0,42,4,0,2,"[0.06905, 0.0, 2.18, 0.0, 0.458, 7.147, 54.2, 6.0622, 3.0, 222.0, 18.7, 396.9, 5.33]",1,1,"[0.06905, 0.0, 2.18, 0.0, 0.458, 22.868000000000002, 54.2, 6.0622, 3.0, 222.0, 18.7, 396.9, 5.33]",1,False,174.727,0.9702970297029704,False,0,rf,0.15116346153846155,1.1140432692307694,0.9230769230769231
boston,0,42,4,9,0,"[0.12744, 0.0, 6.91, 0.0, 0.448, 6.77, 2.9, 5.7209, 3.0, 233.0, 17.9, 385.41, 4.84]",1,1,"[0.12744, 0.0, 6.480196, 0.0, 0.448, 6.37807, 2.9, 5.7209, 3.0, 233.0, 17.9, 385.41, 5.631881]",0,False,175.175,0.9702970297029704,False,0,rf,0.006432514694280074,0.11860087273175543,0.7692307692307692
boston,0,42,4,9,1,"[0.12744, 0.0, 6.91, 0.0, 0.448, 6.77, 2.9, 5.7209, 3.0, 233.0, 17.9, 385.41, 4.84]",1,1,"[0.12744, 0.0, 6.91, 0.0, 0.448, 6.474, 2.9, 5.7209, 3.0, 233.0, 17.9, 385.41, 6.62]",0,False,240.617,0.9702970297029704,False,0,rf,0.006357001972386583,0.08010157790927022,0.8461538461538461
boston,0,42,4,9,2,"[0.12744, 0.0, 6.91, 0.0, 0.448, 6.77, 2.9, 5.7209, 3.0, 233.0, 17.9, 385.41, 4.84]",1,1,"[0.12744, 0.0, 6.91, 0.0, 0.448, 6.461, 2.9, 5.7209, 3.0, 233.0, 17.9, 385.41, 4.84]",0,False,241.831,0.9702970297029704,False,0,rf,0.0029711538461538395,0.039947115384615386,0.9230769230769231
boston,0,42,4,12,0,"[0.01311, 90.0, 1.22, 0.0, 0.403, 7.249, 21.9, 8.6966, 5.0, 226.0, 17.9, 395.93, 4.81]",1,1,"[0.01311, 90.0, 1.22, 0.0, 0.403, 6.316262, 21.9, 8.6966, 5.0, 226.0, 17.9, 395.93, 4.81]",0,False,246.836,0.9702970297029704,False,0,rf,0.008968634615384613,0.04294585576923077,0.9230769230769231
boston,0,42,4,12,1,"[0.01311, 90.0, 1.22, 0.0, 0.403, 7.249, 21.9, 8.6966, 5.0, 226.0, 17.9, 395.93, 4.81]",1,1,"[0.01311, 90.0, 1.22, 0.0, 0.403, 6.418416, 21.9, 8.6966, 5.0, 226.0, 17.9, 395.93, 4.81]",0,False,189.665,0.9702970297029704,False,0,rf,0.007986384615384616,0.04245473076923077,0.9230769230769231
boston,0,42,4,12,2,"[0.01311, 90.0, 1.22, 0.0, 0.403, 7.249, 21.9, 8.6966, 5.0, 226.0, 17.9, 395.93, 4.81]",1,1,"[0.01311, 90.0, 1.22, 0.0, 0.403, 6.376, 21.9, 8.6966, 5.0, 226.0, 17.9, 395.93, 4.81]",0,False,231.071,0.9702970297029704,False,0,rf,0.008394230769230763,0.042658653846153846,0.9230769230769231
boston,0,42,4,17,0,"[0.05302, 0.0, 3.41, 0.0, 0.489, 7.079, 63.1, 3.4145, 2.0, 270.0, 17.8, 396.06, 5.7]",1,1,"[0.05302, 0.0, 4.436403, 0.0, 0.489, 6.606, 63.1, 3.4145, 2.0, 270.0, 17.8, 396.06, 5.7]",0,False,213.684,0.9702970297029704,False,0,rf,0.007179879487179488,0.08051301666666667,0.8461538461538461
