dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc
boston,0,42,0,0,0,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02729, 0.0, 7.07, 0.0, 0.469, 6.367547972350449, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",0,True,False,16,68.632,0.9313725490196079
boston,0,42,0,0,1,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02729, 0.0, 7.07, 0.0, 0.469, 6.51500901857072, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",0,True,False,16,68.655,0.9313725490196079
boston,0,42,0,0,2,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02729, 0.0, 7.07, 0.0, 0.469, 6.492699055411796, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",0,True,False,16,68.576,0.9313725490196079
boston,0,42,0,0,3,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02729, 0.0, 7.07, 0.0, 0.469, 6.496100668503461, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",0,True,False,16,69.345,0.9313725490196079
boston,0,42,0,0,4,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02729, 0.0, 7.07, 0.0, 0.469, 6.475687401047672, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",0,True,False,16,67.273,0.9313725490196079
boston,0,42,0,1,0,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.325340376920755, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 6.054286712232576]",0,True,False,16,67.273,0.9313725490196079
boston,0,42,0,1,1,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.357208171754657, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 6.112852707320255]",0,True,False,16,67.28,0.9313725490196079
boston,0,42,0,1,2,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.328368906781455, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 6.822529869296735]",0,True,False,16,67.164,0.9313725490196079
boston,0,42,0,1,3,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.32765869215395, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 6.235320217549959]",0,True,False,16,68.278,0.9313725490196079
boston,0,42,0,1,4,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.413737993262975, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 6.761894860790153]",0,True,False,16,66.619,0.9313725490196079
boston,0,42,0,24,0,"[0.0686, 0.0, 2.89, 0.0, 0.445, 7.416, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",1,1,"[0.0686, 0.0, 2.89, 0.0, 0.445, 6.398582476800166, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",0,True,False,16,70.433,0.9313725490196079
boston,0,42,0,24,1,"[0.0686, 0.0, 2.89, 0.0, 0.445, 7.416, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",1,1,"[0.0686, 0.0, 2.89, 0.0, 0.445, 6.300124666205871, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",0,True,False,16,70.336,0.9313725490196079
boston,0,42,0,24,2,"[0.0686, 0.0, 2.89, 0.0, 0.445, 7.416, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",1,1,"[0.0686, 0.0, 2.89, 0.0, 0.445, 6.30407956569548, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",0,True,False,16,70.272,0.9313725490196079
boston,0,42,0,24,3,"[0.0686, 0.0, 2.89, 0.0, 0.445, 7.416, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",1,1,"[0.0686, 0.0, 2.89, 0.0, 0.445, 6.325552426140912, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",0,True,False,16,71.098,0.9313725490196079
boston,0,42,0,24,4,"[0.0686, 0.0, 2.89, 0.0, 0.445, 7.416, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",1,1,"[0.0686, 0.0, 2.89, 0.0, 0.445, 6.30291662414492, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",0,True,False,16,68.213,0.9313725490196079
boston,0,42,0,34,0,"[1.22358, 0.0, 19.58, 0.0, 0.605, 6.943, 97.4, 1.8773, 5.0, 403.0, 14.7, 363.43, 4.59]",1,1,"[1.22358, 0.0, 19.58, 0.0, 0.605, 6.451065240657736, 97.4, 1.8773, 5.0, 403.0, 14.7, 363.43, 4.59]",0,True,False,16,67.36,0.9313725490196079
boston,0,42,0,34,1,"[1.22358, 0.0, 19.58, 0.0, 0.605, 6.943, 97.4, 1.8773, 5.0, 403.0, 14.7, 363.43, 4.59]",1,1,"[1.22358, 0.0, 19.58, 0.0, 0.605, 6.943, 97.4, 1.8773, 5.0, 403.0, 14.7, 363.43, 13.098249319750128]",0,True,False,16,67.701,0.9313725490196079
