dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc
boston,0,42,0,0,0,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02729, 0.0, 7.07, 0.0, 0.469, 6.237125920863835, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",0,True,True,64,217.84,0.9313725490196079
boston,0,42,0,0,1,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02729, 0.0, 7.07, 0.0, 0.469, 6.464287279029494, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",0,True,True,64,215.098,0.9313725490196079
boston,0,42,0,0,2,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02729, 0.0, 7.07, 0.0, 0.469, 6.472034569576555, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",0,True,True,64,214.631,0.9313725490196079
boston,0,42,0,0,3,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02729, 0.0, 7.07, 0.0, 0.469, 6.390416725779049, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",0,True,True,64,215.927,0.9313725490196079
boston,0,42,0,0,4,"[0.02729, 0.0, 7.07, 0.0, 0.469, 7.185, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",1,1,"[0.02729, 0.0, 7.07, 0.0, 0.469, 6.327962591175766, 61.1, 4.9671, 2.0, 242.0, 17.8, 392.83, 4.03]",0,True,True,64,214.893,0.9313725490196079
boston,0,42,0,1,0,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.03237, 0.0, 6.885637516750249, 0.0, 0.5291079484087065, 6.329368457767, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",0,True,True,64,212.371,0.9313725490196079
boston,0,42,0,1,1,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.03237, 0.0, 7.326532429184069, 0.0, 0.5361844940395685, 6.397468292822051, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",0,True,True,64,209.898,0.9313725490196079
boston,0,42,0,1,2,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[11.824181977420881, 0.0, 7.238150647967375, 0.0, 0.458, 5.88485277467302, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",0,True,True,64,209.064,0.9313725490196079
boston,0,42,0,1,3,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.03237, 0.0, 5.890440555723014, 0.0, 0.587120309274648, 6.343182301700463, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",0,True,True,64,209.898,0.9313725490196079
boston,0,42,0,1,4,"[0.03237, 0.0, 2.18, 0.0, 0.458, 6.998, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",1,1,"[0.03237, 0.0, 10.766545960933428, 0.0, 0.5556825535379134, 6.478992277890314, 45.8, 6.0622, 3.0, 222.0, 18.7, 394.63, 2.94]",0,True,True,64,208.744,0.9313725490196079
boston,0,42,0,24,0,"[0.0686, 0.0, 2.89, 0.0, 0.445, 7.416, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",1,1,"[0.0686, 0.0, 2.89, 0.0, 0.445, 5.509711115783715, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",0,True,True,64,224.458,0.9313725490196079
boston,0,42,0,24,1,"[0.0686, 0.0, 2.89, 0.0, 0.445, 7.416, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",1,1,"[0.0686, 0.0, 2.89, 0.0, 0.445, 5.979651928350595, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",0,True,True,64,222.493,0.9313725490196079
boston,0,42,0,24,2,"[0.0686, 0.0, 2.89, 0.0, 0.445, 7.416, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",1,1,"[0.0686, 0.0, 2.89, 0.0, 0.445, 6.028351404850227, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",0,True,True,64,223.177,0.9313725490196079
boston,0,42,0,24,3,"[0.0686, 0.0, 2.89, 0.0, 0.445, 7.416, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",1,1,"[0.0686, 0.0, 2.89, 0.0, 0.445, 5.450780970943041, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",0,True,True,64,221.792,0.9313725490196079
boston,0,42,0,24,4,"[0.0686, 0.0, 2.89, 0.0, 0.445, 7.416, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",1,1,"[0.0686, 0.0, 2.89, 0.0, 0.445, 6.164008857419469, 62.5, 3.4952, 2.0, 276.0, 18.0, 396.9, 6.19]",0,True,True,64,216.772,0.9313725490196079
