dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc
boston,0,42,3,0,0,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.575, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",1,0,"[0.00632, 0.0, 4.5, 0.0, 0.449, 6.02, 48.0, 1.1296, 1.0, 296.0, 16.6, 396.9, 9.62]",0,False,False,0,41.539,0.9108910891089109
boston,0,42,3,0,1,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.575, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",1,0,"[0.00632, 0.0, 8.1, 0.0, 0.538, 5.966, 93.6, 2.5961, 1.0, 279.0, 19.7, 396.9, 6.73]",0,False,False,0,55.848,0.9108910891089109
boston,0,42,3,0,2,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.575, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",1,0,"[0.00632, 0.0, 0.5, 0.0, 0.493, 6.193, 2.9, 1.1296, 1.0, 296.0, 19.6, 396.9, 9.04]",0,False,False,0,58.711,0.9108910891089109
boston,0,42,3,0,3,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.575, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",1,0,"[0.00632, 0.0, 0.5, 0.0, 0.385, 6.312, 80.8, 5.4159, 1.0, 296.0, 19.6, 396.9, 9.62]",0,False,False,0,57.364,0.9108910891089109
boston,0,42,3,0,4,"[0.00632, 18.0, 2.31, 0.0, 0.538, 6.575, 65.2, 4.09, 1.0, 296.0, 15.3, 396.9, 4.98]",1,0,"[0.00632, 0.0, 0.5, 0.0, 0.544, 6.137, 44.8, 1.1296, 1.0, 296.0, 12.6, 396.9, 13.44]",0,False,False,0,41.037,0.9108910891089109
boston,0,42,3,8,0,"[0.03359, 75.0, 2.95, 0.0, 0.428, 7.024, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",1,1,"[0.0136, 75.0, 4.0, 0.0, 0.41, 5.888, 47.6, 7.3197, 3.0, 469.0, 21.1, 396.9, 14.8]",0,False,False,0,59.694,0.9108910891089109
boston,0,42,3,8,1,"[0.03359, 75.0, 2.95, 0.0, 0.428, 7.024, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",1,1,"[0.00632, 75.0, 4.0, 0.0, 0.428, 5.888, 47.6, 7.3197, 6.0, 187.0, 16.6, 304.2, 1.73]",0,False,False,0,57.509,0.9108910891089109
boston,0,42,3,8,2,"[0.03359, 75.0, 2.95, 0.0, 0.428, 7.024, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",1,1,"[0.0136, 75.0, 4.0, 0.0, 0.41, 5.888, 47.6, 7.3197, 3.0, 469.0, 21.1, 396.9, 14.8]",0,False,False,0,40.623,0.9108910891089109
boston,0,42,3,8,3,"[0.03359, 75.0, 2.95, 0.0, 0.428, 7.024, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",1,1,"[0.0136, 75.0, 4.0, 0.0, 0.41, 5.888, 47.6, 7.3197, 3.0, 469.0, 21.1, 396.9, 14.8]",0,False,False,0,58.863,0.9108910891089109
boston,0,42,3,8,4,"[0.03359, 75.0, 2.95, 0.0, 0.428, 7.024, 15.8, 5.4011, 3.0, 252.0, 18.3, 395.62, 1.98]",1,1,"[0.0136, 75.0, 4.0, 0.0, 0.41, 5.888, 47.6, 7.3197, 3.0, 469.0, 21.1, 396.9, 14.8]",0,False,False,0,42.466,0.9108910891089109
boston,0,42,3,14,0,"[0.0566, 0.0, 3.41, 0.0, 0.489, 7.007, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",1,0,"[0.03932, 0.0, 3.4, 0.0, 0.489, 6.405, 73.9, 3.0921, 2.0, 270.0, 17.8, 393.5, 8.2]",0,False,False,0,41.468,0.9108910891089109
boston,0,42,3,14,1,"[0.0566, 0.0, 3.41, 0.0, 0.489, 7.007, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",1,0,"[0.03932, 0.0, 3.4, 0.0, 0.489, 6.405, 73.9, 3.0921, 2.0, 270.0, 17.8, 393.5, 8.2]",0,False,False,0,41.944,0.9108910891089109
boston,0,42,3,14,2,"[0.0566, 0.0, 3.41, 0.0, 0.489, 7.007, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",1,0,"[0.03932, 0.0, 3.4, 0.0, 0.489, 6.405, 73.9, 3.0921, 2.0, 270.0, 17.8, 393.5, 8.2]",0,False,False,0,40.094,0.9108910891089109
boston,0,42,3,14,3,"[0.0566, 0.0, 3.41, 0.0, 0.489, 7.007, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",1,0,"[0.03932, 0.0, 3.4, 0.0, 0.489, 6.405, 73.9, 3.0921, 2.0, 270.0, 17.8, 393.5, 8.2]",0,False,False,0,42.135,0.9108910891089109
boston,0,42,3,14,4,"[0.0566, 0.0, 3.41, 0.0, 0.489, 7.007, 86.3, 3.4217, 2.0, 270.0, 17.8, 396.9, 5.5]",1,0,"[0.03932, 0.0, 3.4, 0.0, 0.489, 6.405, 73.9, 3.0921, 2.0, 270.0, 17.8, 393.5, 8.2]",0,False,False,0,58.554,0.9108910891089109
boston,0,42,3,25,0,"[1.51902, 0.0, 19.58, 1.0, 0.605, 8.375, 93.9, 2.162, 5.0, 403.0, 14.7, 388.45, 3.32]",1,1,"[2.44953, 0.0, 0.5, 1.0, 0.605, 6.402, 94.9, 1.1296, 5.0, 403.0, 14.7, 351.9, 21.45]",0,False,False,0,59.921,0.9108910891089109
boston,0,42,3,25,1,"[1.51902, 0.0, 19.58, 1.0, 0.605, 8.375, 93.9, 2.162, 5.0, 403.0, 14.7, 388.45, 3.32]",1,1,"[1.41385, 0.0, 19.6, 1.0, 0.871, 6.129, 96.0, 1.7494, 5.0, 403.0, 14.7, 321.0, 15.12]",0,False,False,0,59.111,0.9108910891089109
