dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss,sparsity
compas,0,42,2,3,0,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[27.0, 1.0, 0.0, 8.0, 1.1053935776714319, 0.0, 1.0, 1.0, 0.0, 167.61993214408574]",0,True,True,16,15.691,nn,0.75,0.11256044381014643,0.20628022190507322,0.7
compas,0,42,2,3,1,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[27.0, 1.0, 0.0, 8.0, 0.8305372270445268, 0.0, 1.0, 1.0, 0.0, 168.67209418109678]",0,True,True,16,15.968,nn,0.75,0.11265346307950436,0.2063267315397522,0.7
compas,0,42,2,3,2,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[27.0, 1.0, 0.0, 8.0, 0.0, 0.0, 1.0, 1.0, 0.0, 175.15305731615317]",0,True,True,16,15.893,nn,0.75,0.11326275477634612,0.20663137738817308,0.7
compas,0,42,2,3,3,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[27.0, 1.0, 0.0, 8.0, 1.530446994275792, 0.0, 1.0, 1.0, 0.0, 171.93761580310985]",0,True,True,16,15.635,nn,0.75,0.11295567189978213,0.20647783594989108,0.7
compas,0,42,2,3,4,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[27.0, 1.0, 0.0, 8.0, 0.0, 0.0, 1.0, 1.0, 0.0, 165.60227815569968]",0,True,True,16,15.401,nn,0.75,0.11246685651297497,0.2062334282564875,0.7
compas,0,42,2,5,0,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[21.0, 0.0, 5.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 79.74341144073905]",0,True,True,16,15.847,nn,0.75,0.10006195095339493,0.15003097547669747,0.8
compas,0,42,2,5,1,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[21.0, 0.0, 5.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 79.91808782845092]",0,True,True,16,15.968,nn,0.75,0.10015984065237092,0.2000799203261855,0.7
compas,0,42,2,5,2,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[21.0, 0.0, 5.0, 2.0, 0.6171395381939959, 0.0, 0.0, 0.0, 0.0, 97.36414307605024]",0,True,True,16,15.886,nn,0.75,0.10156225029482135,0.2007811251474107,0.7
compas,0,42,2,5,3,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[21.0, 0.0, 5.0, 2.0, 0.05706177412598823, 0.0, 0.0, 0.0, 0.0, 79.69101726276783]",0,True,True,16,15.634,nn,0.75,0.10013616295738681,0.20006808147869343,0.7
compas,0,42,2,5,4,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[21.0, 0.0, 5.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 85.28779794236516]",0,True,True,16,15.401,nn,0.75,0.10060731649519711,0.20030365824759858,0.7
compas,0,42,2,8,0,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[28.903240923272072, 1.0, 5.0, 2.0, 108.98486590110929, 0.0, 1.0, 0.0, 1.0, 239.53357363623138]",0,True,True,16,15.571,nn,0.75,0.12129512311990694,0.2606475615599535,0.6
compas,0,42,2,8,1,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[31.045849656981527, 1.0, 5.0, 2.0, 89.82591886330275, 0.0, 1.0, 0.0, 1.0, 139.52478531229636]",0,True,True,16,15.598,nn,0.75,0.11397741598656196,0.256988707993281,0.6
compas,0,42,2,8,2,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[27.424983291779842, 1.0, 5.0, 2.0, 105.97677432861653, 0.0, 1.0, 0.0, 1.0, 133.28028901994128]",0,True,True,16,15.554,nn,0.75,0.1103872552283715,0.25519362761418574,0.6
compas,0,42,2,8,3,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[33.32763704138446, 1.0, 5.0, 2.0, 43.29388848828174, 0.0, 1.0, 0.0, 1.0, 172.4155858516768]",0,True,True,16,15.349,nn,0.75,0.12007433296083309,0.2600371664804165,0.6
compas,0,42,2,8,4,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[28.69524323053504, 1.0, 5.0, 2.0, 115.51826747005788, 0.0, 1.0, 0.0, 1.0, 203.80763666383083]",0,True,True,16,15.112,nn,0.75,0.11860875611343591,0.25930437805671797,0.6
compas,0,42,2,15,0,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[30.0, 1.0, 0.0, 8.0, 37.510650056102094, 1.0, 1.0, 1.0, 0.0, 269.7241020736497]",0,True,True,16,15.689,nn,0.75,0.12543622934414597,0.21271811467207302,0.7
compas,0,42,2,15,1,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[30.0, 1.0, 0.0, 8.0, 25.665797821508363, 1.0, 1.0, 1.0, 0.0, 281.334756811004]",0,True,True,16,15.967,nn,0.75,0.1254167128860427,0.21270835644302138,0.7
compas,0,42,2,15,2,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[30.0, 1.0, 0.0, 8.0, 4.052087639096243, 1.0, 1.0, 1.0, 0.0, 270.6525386733547]",0,True,True,16,15.587,nn,0.75,0.12272538552603758,0.2113626927630188,0.7
compas,0,42,2,15,3,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[30.0, 1.0, 0.0, 8.0, 12.065162171732888, 1.0, 1.0, 1.0, 0.0, 333.48064840152085]",0,True,True,16,15.284,nn,0.75,0.12862881754777114,0.21431440877388558,0.7
compas,0,42,2,15,4,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[30.0, 1.0, 0.0, 8.0, 3.6892312806867693, 1.0, 1.0, 1.0, 0.0, 270.04537146470057]",0,True,True,16,15.063,nn,0.75,0.12264455022878229,0.21132227511439117,0.7
compas,0,42,2,19,0,"[36, 1, 0, 9, 0, 0, 1, 0, 1, 3]",1,1,"[38.52898454273276, 1.0, 5.0, 9.0, 0.0, 0.0, 1.0, 0.0, 0.0, 3.0]",0,True,True,16,15.222,nn,0.75,0.20308412749113752,0.25154206374556876,0.7
compas,0,42,2,19,1,"[36, 1, 0, 9, 0, 0, 1, 0, 1, 3]",1,1,"[45.25991291189204, 1.0, 5.0, 9.0, 0.0, 0.0, 1.0, 0.0, 0.0, 3.0]",0,True,True,16,15.34,nn,0.75,0.21129257672181956,0.2556462883609098,0.7
compas,0,42,2,19,2,"[36, 1, 0, 9, 0, 0, 1, 0, 1, 3]",1,1,"[41.55915901184425, 1.0, 5.0, 9.0, 0.0, 0.0, 1.0, 0.0, 0.0, 3.0]",0,True,True,16,15.287,nn,0.75,0.2067794622095662,0.25338973110478313,0.7
compas,0,42,2,19,3,"[36, 1, 0, 9, 0, 0, 1, 0, 1, 3]",1,1,"[40.998371381309255, 1.0, 5.0, 9.0, 0.0, 0.0, 1.0, 0.0, 0.0, 3.0]",0,True,True,16,15.055,nn,0.75,0.2060955748552552,0.2530477874276276,0.7
compas,0,42,2,19,4,"[36, 1, 0, 9, 0, 0, 1, 0, 1, 3]",1,1,"[51.806941387762855, 1.0, 5.0, 9.0, 0.0, 0.0, 1.0, 0.0, 0.0, 3.0]",0,True,True,16,14.999,nn,0.75,0.2192767577899547,0.2596383788949774,0.7
compas,0,42,2,22,0,"[59, 1, 0, 14, 178, 0, 1, 1, 1, 109]",1,1,"[59.0, 1.0, 0.0, 14.0, 177.07782143312386, 0.0, 1.0, 1.0, 0.0, 209.22958984235493]",0,True,True,16,15.533,nn,0.75,0.1084293140341026,0.20421465701705133,0.7
compas,0,42,2,22,1,"[59, 1, 0, 14, 178, 0, 1, 1, 1, 109]",1,1,"[59.0, 1.0, 0.0, 13.99542849015433, 184.39143436263635, 0.0, 1.0, 1.0, 0.0, 114.68473627549575]",0,True,True,16,15.179,nn,0.75,0.10101091906302335,0.2505054595315117,0.6
compas,0,42,2,22,2,"[59, 1, 0, 14, 178, 0, 1, 1, 1, 109]",1,1,"[59.0, 1.0, 0.0, 13.98920193779438, 178.1486741964949, 0.0, 1.0, 1.0, 0.0, 148.15928019852726]",0,True,True,16,15.17,nn,0.75,0.10328646092845746,0.25164323046422876,0.6
