dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss,sparsity
compas,0,42,2,3,0,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[27.0, 1.0, 0.0, 6.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",0,True,False,0,1.036,nn,0.75,0.002,0.051000000000000004,0.9
compas,0,42,2,3,1,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[27.0, 1.0, 0.0, 6.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",0,True,False,0,1.006,nn,0.75,0.002,0.051000000000000004,0.9
compas,0,42,2,3,2,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[27.0, 1.0, 0.0, 6.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",0,True,False,0,1.022,nn,0.75,0.002,0.051000000000000004,0.9
compas,0,42,2,3,3,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[27.0, 1.0, 0.0, 6.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",0,True,False,0,1.043,nn,0.75,0.002,0.051000000000000004,0.9
compas,0,42,2,3,4,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[27.0, 1.0, 0.0, 6.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",0,True,False,0,1.006,nn,0.75,0.002,0.051000000000000004,0.9
compas,0,42,2,5,0,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[25.0, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 79.0]",0,True,False,0,0.89,nn,0.75,0.004878048780487806,0.05243902439024391,0.9
compas,0,42,2,5,1,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[21.0, 0.0, 0.0, 2.0, 22.0, 0.0, 0.0, 0.0, 0.0, 79.0]",0,True,False,0,0.862,nn,0.75,0.0017500000000000003,0.050875000000000004,0.9
compas,0,42,2,5,2,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[21.0, 0.0, 0.0, 2.0, 36.0, 0.0, 0.0, 0.0, 0.0, 79.0]",0,True,False,0,0.851,nn,0.75,0.002916666666666667,0.051458333333333335,0.9
compas,0,42,2,5,3,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[21.0, 0.0, 0.0, 2.0, 13.0, 0.0, 0.0, 0.0, 0.0, 79.0]",0,True,False,0,1.899,nn,0.75,0.001,0.0505,0.9
compas,0,42,2,5,4,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[21.0, 0.0, 0.0, 2.0, 37.0, 0.0, 0.0, 0.0, 0.0, 79.0]",0,True,False,0,0.88,nn,0.75,0.003,0.051500000000000004,0.9
compas,0,42,2,8,0,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[22.0, 1.0, 0.0, 2.0, 36.0, 0.0, 1.0, 0.0, 1.0, 124.0]",0,True,False,0,1.299,nn,0.75,0.0028333333333333335,0.051416666666666666,0.9
compas,0,42,2,8,1,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[22.0, 1.0, 0.0, 2.0, 86.0, 0.0, 1.0, 0.0, 1.0, 124.0]",0,True,False,0,1.332,nn,0.75,0.0013333333333333335,0.05066666666666667,0.9
compas,0,42,2,8,2,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[22.0, 1.0, 0.0, 2.0, 48.0, 0.0, 1.0, 0.0, 1.0, 124.0]",0,True,False,0,1.263,nn,0.75,0.0018333333333333335,0.05091666666666667,0.9
compas,0,42,2,8,3,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[22.0, 1.0, 0.0, 2.0, 68.0, 0.0, 1.0, 0.0, 1.0, 124.0]",0,True,False,0,1.048,nn,0.75,0.0001666666666666667,0.050083333333333334,0.9
compas,0,42,2,8,4,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[22.0, 1.0, 0.0, 2.0, 107.0, 0.0, 1.0, 0.0, 1.0, 124.0]",0,True,False,0,1.414,nn,0.75,0.0030833333333333338,0.051541666666666666,0.9
compas,0,42,2,15,0,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[30.0, 1.0, 0.0, 7.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,True,False,0,1.102,nn,0.75,0.001,0.0505,0.9
compas,0,42,2,15,1,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[30.0, 1.0, 0.0, 6.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,True,False,0,1.084,nn,0.75,0.002,0.051000000000000004,0.9
compas,0,42,2,15,2,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[30.0, 1.0, 0.0, 6.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,True,False,0,1.092,nn,0.75,0.002,0.051000000000000004,0.9
compas,0,42,2,15,3,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[30.0, 1.0, 0.0, 7.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,True,False,0,0.992,nn,0.75,0.001,0.0505,0.9
compas,0,42,2,15,4,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[30.0, 1.0, 0.0, 7.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,True,False,0,1.074,nn,0.75,0.001,0.0505,0.9
compas,0,42,2,19,0,"[36, 1, 0, 9, 0, 0, 1, 0, 1, 3]",1,1,"[36.0, 1.0, 0.0, 4.0, 0.0, 0.0, 1.0, 0.0, 1.0, 3.0]",0,True,False,0,1.277,nn,0.75,0.005000000000000001,0.052500000000000005,0.9
compas,0,42,2,19,1,"[36, 1, 0, 9, 0, 0, 1, 0, 1, 3]",1,1,"[36.0, 1.0, 0.0, 4.0, 0.0, 0.0, 1.0, 0.0, 1.0, 3.0]",0,True,False,0,1.109,nn,0.75,0.005000000000000001,0.052500000000000005,0.9
compas,0,42,2,19,2,"[36, 1, 0, 9, 0, 0, 1, 0, 1, 3]",1,1,"[36.0, 1.0, 0.0, 4.0, 0.0, 0.0, 1.0, 0.0, 1.0, 3.0]",0,True,False,0,1.254,nn,0.75,0.005000000000000001,0.052500000000000005,0.9
compas,0,42,2,19,3,"[36, 1, 0, 9, 0, 0, 1, 0, 1, 3]",1,1,"[36.0, 1.0, 0.0, 3.0, 0.0, 0.0, 1.0, 0.0, 1.0, 3.0]",0,True,False,0,1.317,nn,0.75,0.006,0.053000000000000005,0.9
compas,0,42,2,19,4,"[36, 1, 0, 9, 0, 0, 1, 0, 1, 3]",1,1,"[36.0, 1.0, 0.0, 4.0, 0.0, 0.0, 1.0, 0.0, 1.0, 3.0]",0,True,False,0,1.323,nn,0.75,0.005000000000000001,0.052500000000000005,0.9
compas,0,42,2,22,0,"[59, 1, 0, 14, 178, 0, 1, 1, 1, 109]",1,1,"[59.0, 1.0, 0.0, 6.0, 205.0, 0.0, 1.0, 1.0, 1.0, 109.0]",0,True,False,0,0.929,nn,0.75,0.010250000000000002,0.10512500000000001,0.8
compas,0,42,2,22,1,"[59, 1, 0, 14, 178, 0, 1, 1, 1, 109]",1,1,"[59.0, 1.0, 0.0, 17.0, 65.0, 0.0, 1.0, 1.0, 1.0, 109.0]",0,True,False,0,0.88,nn,0.75,0.012416666666666666,0.10620833333333334,0.8
compas,0,42,2,22,2,"[59, 1, 0, 14, 178, 0, 1, 1, 1, 109]",1,1,"[59.0, 1.0, 0.0, 17.0, 65.0, 0.0, 1.0, 1.0, 1.0, 109.0]",0,True,False,0,0.85,nn,0.75,0.012416666666666666,0.10620833333333334,0.8
compas,0,42,2,22,3,"[59, 1, 0, 14, 178, 0, 1, 1, 1, 109]",1,1,"[59.0, 1.0, 0.0, 17.0, 65.0, 0.0, 1.0, 1.0, 1.0, 109.0]",0,True,False,0,0.855,nn,0.75,0.012416666666666666,0.10620833333333334,0.8
compas,0,42,2,22,4,"[59, 1, 0, 14, 178, 0, 1, 1, 1, 109]",1,1,"[59.0, 1.0, 0.0, 9.0, 107.0, 0.0, 1.0, 1.0, 1.0, 109.0]",0,True,False,0,0.871,nn,0.75,0.010916666666666667,0.10545833333333333,0.8
compas,0,42,2,23,0,"[21, 1, 0, 3, 1, 0, 1, 0, 1, 6]",1,1,"[22.0, 1.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0, 1.0, 6.0]",0,True,False,0,1.534,nn,0.75,0.002219512195121951,0.10110975609756098,0.8
compas,0,42,2,23,1,"[21, 1, 0, 3, 1, 0, 1, 0, 1, 6]",1,1,"[22.0, 1.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0, 1.0, 6.0]",0,True,False,0,1.391,nn,0.75,0.002219512195121951,0.10110975609756098,0.8
compas,0,42,2,23,2,"[21, 1, 0, 3, 1, 0, 1, 0, 1, 6]",1,1,"[22.0, 1.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0, 1.0, 6.0]",0,True,False,0,1.495,nn,0.75,0.002219512195121951,0.10110975609756098,0.8
compas,0,42,2,23,3,"[21, 1, 0, 3, 1, 0, 1, 0, 1, 6]",1,1,"[22.0, 1.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0, 1.0, 6.0]",0,True,False,0,1.351,nn,0.75,0.002219512195121951,0.10110975609756098,0.8
compas,0,42,2,23,4,"[21, 1, 0, 3, 1, 0, 1, 0, 1, 6]",1,1,"[22.0, 1.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0, 1.0, 6.0]",0,True,False,0,1.251,nn,0.75,0.002219512195121951,0.10110975609756098,0.8
compas,0,42,2,24,0,"[33, 1, 0, 5, 0, 0, 1, 0, 1, 0]",1,0,"[33.0, 1.0, 0.0, 5.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,True,False,0,1.218,nn,0.75,8.333333333333334e-05,0.05004166666666667,0.9
compas,0,42,2,24,1,"[33, 1, 0, 5, 0, 0, 1, 0, 1, 0]",1,0,"[33.0, 1.0, 0.0, 5.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,True,False,0,1.079,nn,0.75,8.333333333333334e-05,0.05004166666666667,0.9
compas,0,42,2,24,2,"[33, 1, 0, 5, 0, 0, 1, 0, 1, 0]",1,0,"[33.0, 1.0, 0.0, 5.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,True,False,0,1.051,nn,0.75,8.333333333333334e-05,0.05004166666666667,0.9
compas,0,42,2,24,3,"[33, 1, 0, 5, 0, 0, 1, 0, 1, 0]",1,0,"[33.0, 1.0, 0.0, 4.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,True,False,0,1.145,nn,0.75,0.001,0.0505,0.9
compas,0,42,2,24,4,"[33, 1, 0, 5, 0, 0, 1, 0, 1, 0]",1,0,"[33.0, 1.0, 0.0, 5.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,True,False,0,1.056,nn,0.75,8.333333333333334e-05,0.05004166666666667,0.9
compas,0,42,2,28,0,"[31, 1, 2, 13, 1, 0, 1, 1, 1, 471]",1,1,"[32.0, 1.0, 2.0, 5.0, 1.0, 0.0, 1.0, 1.0, 1.0, 471.0]",0,True,False,0,0.961,nn,0.75,0.00921951219512195,0.10460975609756099,0.8
compas,0,42,2,28,1,"[31, 1, 2, 13, 1, 0, 1, 1, 1, 471]",1,1,"[32.0, 1.0, 2.0, 5.0, 1.0, 0.0, 1.0, 1.0, 1.0, 471.0]",0,True,False,0,0.926,nn,0.75,0.00921951219512195,0.10460975609756099,0.8
