dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss
compas,0,42,1,0,0,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[24.0, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",1,False,False,0,1.363,nn,0.79,0.0,1.0
compas,0,42,1,0,1,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[24.0, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",1,False,False,0,1.366,nn,0.79,0.0,1.0
compas,0,42,1,0,2,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[24.0, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",1,False,False,0,1.358,nn,0.79,0.0,1.0
compas,0,42,1,0,3,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[24.0, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",1,False,False,0,1.363,nn,0.79,0.0,1.0
compas,0,42,1,0,4,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[24.0, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",1,False,False,0,1.362,nn,0.79,0.0,1.0
compas,0,42,1,3,0,"[23, 1, 0, 3, 0, 1, 1, 0, 1, 4]",1,0,"[23.0, 1.0, 0.0, 3.0, 0.0, 1.0, 1.0, 0.0, 1.0, 4.0]",1,False,False,0,1.354,nn,0.79,0.0,1.0
compas,0,42,1,3,1,"[23, 1, 0, 3, 0, 1, 1, 0, 1, 4]",1,0,"[23.0, 1.0, 0.0, 3.0, 0.0, 1.0, 1.0, 0.0, 1.0, 4.0]",1,False,False,0,1.355,nn,0.79,0.0,1.0
compas,0,42,1,3,2,"[23, 1, 0, 3, 0, 1, 1, 0, 1, 4]",1,0,"[23.0, 1.0, 0.0, 3.0, 0.0, 1.0, 1.0, 0.0, 1.0, 4.0]",1,False,False,0,1.362,nn,0.79,0.0,1.0
compas,0,42,1,3,3,"[23, 1, 0, 3, 0, 1, 1, 0, 1, 4]",1,0,"[23.0, 1.0, 0.0, 3.0, 0.0, 1.0, 1.0, 0.0, 1.0, 4.0]",1,False,False,0,1.355,nn,0.79,0.0,1.0
compas,0,42,1,3,4,"[23, 1, 0, 3, 0, 1, 1, 0, 1, 4]",1,0,"[23.0, 1.0, 0.0, 3.0, 0.0, 1.0, 1.0, 0.0, 1.0, 4.0]",1,False,False,0,1.356,nn,0.79,0.0,1.0
compas,0,42,1,8,0,"[25, 1, 2, 9, 1, 1, 1, 1, 1, 6]",1,1,"[25.046765887731603, 1.0, 2.0, 9.049918539787376, 1.0, 1.0, 1.0, 1.0, 1.0, 6.0]",0,False,False,0,1.021,nn,0.79,0.00010695011019176904,0.10005347505509589
compas,0,42,1,8,1,"[25, 1, 2, 9, 1, 1, 1, 1, 1, 6]",1,1,"[25.0, 1.0, 2.0, 8.97955957659425, 1.0, 1.0, 1.0, 1.0, 1.0, 6.0]",0,False,False,0,0.991,nn,0.79,2.0440423405750254e-05,0.05001022021170288
