dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss,sparsity
compas,0,42,2,3,0,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[27.11771965876891, 1.0, 0.0, 8.0, 1.0, 0.0, 1.0, 0.0, 1.0, 17.0]",1,False,False,0,1.711,nn,0.75,0.10014356055947429,1.150071780279737,0.8
compas,0,42,2,3,1,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[26.95801111587185, 1.0, 0.0, 8.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",1,False,False,0,1.63,nn,0.75,5.1205956253839495e-05,1.050025602978127,0.9
compas,0,42,2,3,2,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[26.959216853989865, 1.0, 0.0, 8.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",1,False,False,0,1.632,nn,0.75,4.973554391479864e-05,1.0500248677719575,0.9
compas,0,42,2,3,3,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[27.0, 1.0, 0.0, 8.0, 1.0, 0.0, 1.0, 0.0, 1.0, 17.0]",1,False,False,0,1.577,nn,0.75,0.1,1.1,0.9
compas,0,42,2,3,4,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[26.98672024418155, 1.0, 0.0, 8.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",1,False,False,0,1.661,nn,0.75,1.619482416883968e-05,1.0500080974120845,0.9
compas,0,42,2,5,0,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[20.999999999999996, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 79.0]",1,False,False,0,0.774,nn,0.75,4.3325776570737824e-18,1.05,0.9
compas,0,42,2,5,1,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[21.000000000000004, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 79.0]",1,False,False,0,0.772,nn,0.75,4.3325776570737824e-18,1.05,0.9
compas,0,42,2,5,2,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[21.000000000000004, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 79.0]",1,False,False,0,0.769,nn,0.75,4.3325776570737824e-18,1.05,0.9
compas,0,42,2,5,3,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[21.000000000000004, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 79.0]",1,False,False,0,0.801,nn,0.75,4.3325776570737824e-18,1.05,0.9
compas,0,42,2,5,4,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[20.999999999999996, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 79.0]",1,False,False,0,0.77,nn,0.75,4.3325776570737824e-18,1.05,0.9
compas,0,42,2,8,0,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[22.04095702037299, 1.0, 0.0, 2.0, 70.03795945724798, 0.0, 1.0, 1.0, 0.0, 124.0]",0,False,False,0,1.86,nn,0.75,0.20005311087392472,0.3000265554369624,0.6
compas,0,42,2,8,1,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[21.859432763847174, 1.0, 0.0, 2.0, 69.98580531759353, 0.0, 1.0, 0.0, 0.0, 124.0]",1,False,False,0,1.713,nn,0.75,0.1001726063489235,1.2000863031744617,0.7
compas,0,42,2,8,2,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[22.124980571374543, 1.0, 0.0, 2.0, 70.17231652291065, 0.0, 1.0, 0.0, 0.0, 124.0]",1,False,False,0,1.804,nn,0.75,0.10016677504118712,1.2000833875205936,0.7
compas,0,42,2,8,3,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[22.0020865796155, 1.0, 0.0, 2.0, 70.31268718720892, 0.0, 1.0, 0.0, 0.0, 124.0]",1,False,False,0,1.831,nn,0.75,0.10002860187488793,1.200014300937444,0.7
compas,0,42,2,8,4,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[22.226043472808094, 1.0, 0.0, 2.0, 69.865900516651, 0.0, 1.0, 1.0, 0.0, 124.0]",0,False,False,0,1.744,nn,0.75,0.20028683772866296,0.3001434188643315,0.6
compas,0,42,2,15,0,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[29.989344701696314, 1.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,False,False,0,1.158,nn,0.75,1.2994266224006845e-05,1.050006497133112,0.9
compas,0,42,2,15,1,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[30.005804734310633, 1.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,False,False,0,1.187,nn,0.75,7.078944281259889e-06,1.0500035394721405,0.9
