dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss
compas,0,42,2,3,0,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[27.0, 1.0, 0.0, 8.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",1,False,False,0,1.165,nn,0.75,0.0,1.0
compas,0,42,2,3,1,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[27.0, 1.0, 0.0, 8.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",1,False,False,0,1.164,nn,0.75,0.0,1.0
compas,0,42,2,3,2,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[27.0, 1.0, 0.0, 8.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",1,False,False,0,1.163,nn,0.75,0.0,1.0
compas,0,42,2,3,3,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[27.0, 1.0, 0.0, 8.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",1,False,False,0,1.163,nn,0.75,0.0,1.0
compas,0,42,2,3,4,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[27.0, 1.0, 0.0, 8.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",1,False,False,0,1.162,nn,0.75,0.0,1.0
compas,0,42,2,5,0,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[20.999741039770285, 0.0, 0.0, 2.0009664507984564, 1.0100351745512581, 0.0, 0.0, 0.0, 0.0, 78.99686469196617]",1,False,False,0,0.206,nn,0.75,2.3797961720696182e-06,1.200001189898086
compas,0,42,2,5,1,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[20.999741039770285, 0.0, 0.0, 2.0009664507984564, 1.0100351745512581, 0.0, 0.0, 0.0, 0.0, 78.99686469196617]",1,False,False,0,0.204,nn,0.75,2.3797961720696182e-06,1.200001189898086
compas,0,42,2,5,2,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[20.999741039770285, 0.0, 0.0, 2.0009664507984564, 1.0100351745512581, 0.0, 0.0, 0.0, 0.0, 78.99686469196617]",1,False,False,0,0.203,nn,0.75,2.3797961720696182e-06,1.200001189898086
compas,0,42,2,5,3,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[20.999741039770285, 0.0, 0.0, 2.0009664507984564, 1.0100351745512581, 0.0, 0.0, 0.0, 0.0, 78.99686469196617]",1,False,False,0,0.203,nn,0.75,2.3797961720696182e-06,1.200001189898086
compas,0,42,2,5,4,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[20.999741039770285, 0.0, 0.0, 2.0009664507984564, 1.0100351745512581, 0.0, 0.0, 0.0, 0.0, 78.99686469196617]",1,False,False,0,0.203,nn,0.75,2.3797961720696182e-06,1.200001189898086
compas,0,42,2,8,0,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[22.0, 1.0, 0.0, 2.0, 70.0, 0.0, 1.0, 0.0, 1.0, 124.0]",1,False,False,0,1.172,nn,0.75,0.0,1.0
compas,0,42,2,8,1,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[22.0, 1.0, 0.0, 2.0, 70.0, 0.0, 1.0, 0.0, 1.0, 124.0]",1,False,False,0,1.171,nn,0.75,0.0,1.0
compas,0,42,2,8,2,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[22.0, 1.0, 0.0, 2.0, 70.0, 0.0, 1.0, 0.0, 1.0, 124.0]",1,False,False,0,1.169,nn,0.75,0.0,1.0
compas,0,42,2,8,3,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[22.0, 1.0, 0.0, 2.0, 70.0, 0.0, 1.0, 0.0, 1.0, 124.0]",1,False,False,0,1.17,nn,0.75,0.0,1.0
compas,0,42,2,8,4,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[22.0, 1.0, 0.0, 2.0, 70.0, 0.0, 1.0, 0.0, 1.0, 124.0]",1,False,False,0,1.168,nn,0.75,0.0,1.0
compas,0,42,2,15,0,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[30.000000000000004, 1.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,False,False,0,1.116,nn,0.75,4.3325776570737824e-18,1.05
compas,0,42,2,15,1,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[30.000000000000004, 1.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,False,False,0,1.118,nn,0.75,4.3325776570737824e-18,1.05
compas,0,42,2,15,2,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[30.000000000000004, 1.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,False,False,0,1.114,nn,0.75,4.3325776570737824e-18,1.05
compas,0,42,2,15,3,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[30.000000000000004, 1.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,False,False,0,1.116,nn,0.75,4.3325776570737824e-18,1.05
compas,0,42,2,15,4,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[30.000000000000004, 1.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,False,False,0,1.115,nn,0.75,4.3325776570737824e-18,1.05
compas,0,42,2,19,0,"[36, 1, 0, 9, 0, 0, 1, 0, 1, 3]",1,1,"[35.99978751858479, 1.0, 0.0, 8.99937116586065, 7.891735833628486e-05, 0.0, 1.0, 0.0, 1.0, 3.01643524041467]",1,False,False,0,0.222,nn,0.75,2.26413763085426e-06,1.2000011320688155
compas,0,42,2,19,1,"[36, 1, 0, 9, 0, 0, 1, 0, 1, 3]",1,1,"[35.99978751858479, 1.0, 0.0, 8.99937116586065, 7.891735833628486e-05, 0.0, 1.0, 0.0, 1.0, 3.01643524041467]",1,False,False,0,0.221,nn,0.75,2.26413763085426e-06,1.2000011320688155
