dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc
compas,0,42,3,0,0,"[41, 1, 2, 14, 1, 0, 1, 0, 1, 6]",1,0,"[41.0, 1.0, 2.0, 14.0, 1.05, 0.0, 1.0, 0.0, 1.0, 6.0]",0,False,False,0,0.81,nn,0.78
compas,0,42,3,0,1,"[41, 1, 2, 14, 1, 0, 1, 0, 1, 6]",1,0,"[41.0, 1.0, 2.0, 14.0, 1.05, 0.0, 1.0, 0.0, 1.0, 6.0]",0,False,False,0,0.806,nn,0.78
compas,0,42,3,0,2,"[41, 1, 2, 14, 1, 0, 1, 0, 1, 6]",1,0,"[41.0, 1.0, 2.0, 14.0, 1.05, 0.0, 1.0, 0.0, 1.0, 6.0]",0,False,False,0,0.808,nn,0.78
compas,0,42,3,0,3,"[41, 1, 2, 14, 1, 0, 1, 0, 1, 6]",1,0,"[41.0, 1.0, 2.0, 14.0, 1.05, 0.0, 1.0, 0.0, 1.0, 6.0]",0,False,False,0,0.807,nn,0.78
compas,0,42,3,0,4,"[41, 1, 2, 14, 1, 0, 1, 0, 1, 6]",1,0,"[41.0, 1.0, 2.0, 14.0, 1.05, 0.0, 1.0, 0.0, 1.0, 6.0]",0,False,False,0,0.806,nn,0.78
compas,0,42,3,1,0,"[31, 1, 0, 7, 22, 0, 1, 0, 1, 3]",1,0,"[32.550000000000004, 1.0, 0.0, 7.0, 22.0, 0.0, 1.0, 0.0, 1.0, 3.0]",0,False,False,0,1.033,nn,0.78
compas,0,42,3,1,1,"[31, 1, 0, 7, 22, 0, 1, 0, 1, 3]",1,0,"[32.550000000000004, 1.0, 0.0, 7.0, 22.0, 0.0, 1.0, 0.0, 1.0, 3.0]",0,False,False,0,1.031,nn,0.78
compas,0,42,3,1,2,"[31, 1, 0, 7, 22, 0, 1, 0, 1, 3]",1,0,"[32.550000000000004, 1.0, 0.0, 7.0, 22.0, 0.0, 1.0, 0.0, 1.0, 3.0]",0,False,False,0,1.03,nn,0.78
compas,0,42,3,1,3,"[31, 1, 0, 7, 22, 0, 1, 0, 1, 3]",1,0,"[32.550000000000004, 1.0, 0.0, 7.0, 22.0, 0.0, 1.0, 0.0, 1.0, 3.0]",0,False,False,0,1.032,nn,0.78
compas,0,42,3,1,4,"[31, 1, 0, 7, 22, 0, 1, 0, 1, 3]",1,0,"[32.550000000000004, 1.0, 0.0, 7.0, 22.0, 0.0, 1.0, 0.0, 1.0, 3.0]",0,False,False,0,1.029,nn,0.78
compas,0,42,3,3,0,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[34.0, 1.0, 0.0, 21.0, 0.0, 0.0, 1.0, 0.0, 1.0, 33.0]",1,False,False,0,1.323,nn,0.78
compas,0,42,3,3,1,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[34.0, 1.0, 0.0, 21.0, 0.0, 0.0, 1.0, 0.0, 1.0, 33.0]",1,False,False,0,1.332,nn,0.78
compas,0,42,3,3,2,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[34.0, 1.0, 0.0, 21.0, 0.0, 0.0, 1.0, 0.0, 1.0, 33.0]",1,False,False,0,1.325,nn,0.78
compas,0,42,3,3,3,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[34.0, 1.0, 0.0, 21.0, 0.0, 0.0, 1.0, 0.0, 1.0, 33.0]",1,False,False,0,1.327,nn,0.78
compas,0,42,3,3,4,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[34.0, 1.0, 0.0, 21.0, 0.0, 0.0, 1.0, 0.0, 1.0, 33.0]",1,False,False,0,1.322,nn,0.78
compas,0,42,3,6,0,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[35.0003120623986, 1.0, 0.0, 13.000959042875682, 1.0041748821728183, 0.0, 1.0, 1.0, 1.0, 9.612661673587521e-05]",1,False,False,0,0.266,nn,0.78
compas,0,42,3,6,1,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[35.0003120623986, 1.0, 0.0, 13.000959042875682, 1.0041748821728183, 0.0, 1.0, 1.0, 1.0, 9.612661673587521e-05]",1,False,False,0,0.264,nn,0.78
compas,0,42,3,6,2,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[35.0003120623986, 1.0, 0.0, 13.000959042875682, 1.0041748821728183, 0.0, 1.0, 1.0, 1.0, 9.612661673587521e-05]",1,False,False,0,0.264,nn,0.78
compas,0,42,3,6,3,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[35.0003120623986, 1.0, 0.0, 13.000959042875682, 1.0041748821728183, 0.0, 1.0, 1.0, 1.0, 9.612661673587521e-05]",1,False,False,0,0.264,nn,0.78
compas,0,42,3,6,4,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[35.0003120623986, 1.0, 0.0, 13.000959042875682, 1.0041748821728183, 0.0, 1.0, 1.0, 1.0, 9.612661673587521e-05]",1,False,False,0,0.264,nn,0.78
compas,0,42,3,10,0,"[63, 1, 0, 10, 38, 1, 1, 0, 1, 35]",1,1,"[63.0, 1.0, 0.0, 10.0, 38.0, 1.0, 1.0, 0.0, 1.0, 35.0]",1,False,False,0,1.337,nn,0.78
compas,0,42,3,10,1,"[63, 1, 0, 10, 38, 1, 1, 0, 1, 35]",1,1,"[63.0, 1.0, 0.0, 10.0, 38.0, 1.0, 1.0, 0.0, 1.0, 35.0]",1,False,False,0,1.339,nn,0.78
compas,0,42,3,10,2,"[63, 1, 0, 10, 38, 1, 1, 0, 1, 35]",1,1,"[63.0, 1.0, 0.0, 10.0, 38.0, 1.0, 1.0, 0.0, 1.0, 35.0]",1,False,False,0,1.339,nn,0.78
compas,0,42,3,10,3,"[63, 1, 0, 10, 38, 1, 1, 0, 1, 35]",1,1,"[63.0, 1.0, 0.0, 10.0, 38.0, 1.0, 1.0, 0.0, 1.0, 35.0]",1,False,False,0,1.343,nn,0.78
compas,0,42,3,10,4,"[63, 1, 0, 10, 38, 1, 1, 0, 1, 35]",1,1,"[63.0, 1.0, 0.0, 10.0, 38.0, 1.0, 1.0, 0.0, 1.0, 35.0]",1,False,False,0,1.341,nn,0.78
compas,0,42,3,13,0,"[27, 1, 0, 6, 0, 0, 1, 0, 1, 30]",1,0,"[27.0, 1.0, 0.0, 6.0, 0.0, 0.0, 1.0, 0.0, 1.0, 30.0]",1,False,False,0,1.336,nn,0.78
compas,0,42,3,13,1,"[27, 1, 0, 6, 0, 0, 1, 0, 1, 30]",1,0,"[27.0, 1.0, 0.0, 6.0, 0.0, 0.0, 1.0, 0.0, 1.0, 30.0]",1,False,False,0,1.347,nn,0.78
compas,0,42,3,13,2,"[27, 1, 0, 6, 0, 0, 1, 0, 1, 30]",1,0,"[27.0, 1.0, 0.0, 6.0, 0.0, 0.0, 1.0, 0.0, 1.0, 30.0]",1,False,False,0,1.345,nn,0.78
