dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc
compas,0,42,0,4,0,"[21, 1, 0, 1, 1, 0, 1, 0, 1, 3]",1,1,"[24.60884463925054, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 3.0]",0,True,True,0,10.462,0.8025
compas,0,42,0,4,1,"[21, 1, 0, 1, 1, 0, 1, 0, 1, 3]",1,1,"[23.823760636025014, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 3.0]",0,True,True,0,10.772,0.8025
compas,0,42,0,4,2,"[21, 1, 0, 1, 1, 0, 1, 0, 1, 3]",1,1,"[23.883779241600543, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 3.0]",0,True,True,0,10.42,0.8025
compas,0,42,0,4,3,"[21, 1, 0, 1, 1, 0, 1, 0, 1, 3]",1,1,"[24.19970783710403, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 3.0]",0,True,True,0,10.464,0.8025
compas,0,42,0,4,4,"[21, 1, 0, 1, 1, 0, 1, 0, 1, 3]",1,1,"[23.350779988359506, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 3.0]",0,True,True,0,10.366,0.8025
compas,0,42,0,9,0,"[30, 1, 2, 9, 0, 0, 1, 0, 1, 44]",1,1,"[30.0, 1.0, 2.0, 9.0, 141.82023890085114, 0.0, 1.0, 0.0, 1.0, 44.0]",0,True,True,0,9.728,0.8025
compas,0,42,0,9,1,"[30, 1, 2, 9, 0, 0, 1, 0, 1, 44]",1,1,"[37.764120172945574, 1.0, 2.0, 9.0, 0.0, 0.0, 1.0, 0.0, 1.0, 44.0]",0,True,True,0,9.826,0.8025
compas,0,42,0,9,2,"[30, 1, 2, 9, 0, 0, 1, 0, 1, 44]",1,1,"[39.15933815954051, 1.0, 2.0, 9.0, 0.0, 0.0, 1.0, 0.0, 1.0, 44.0]",0,True,True,0,9.86,0.8025
compas,0,42,0,9,3,"[30, 1, 2, 9, 0, 0, 1, 0, 1, 44]",1,1,"[30.0, 1.0, 2.0, 9.0, 128.36276999093508, 0.0, 1.0, 0.0, 1.0, 44.0]",0,True,True,0,9.832,0.8025
compas,0,42,0,9,4,"[30, 1, 2, 9, 0, 0, 1, 0, 1, 44]",1,1,"[39.2501538250922, 1.0, 2.0, 9.0, 0.0, 0.0, 1.0, 0.0, 1.0, 44.0]",0,True,True,0,9.805,0.8025
compas,0,42,0,15,0,"[27, 1, 0, 15, 1, 0, 1, 0, 1, 1]",1,1,"[54.649478639954204, 1.0, 0.0, 15.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",0,True,True,0,9.524,0.8025
compas,0,42,0,15,1,"[27, 1, 0, 15, 1, 0, 1, 0, 1, 1]",1,1,"[57.93593595359651, 1.0, 0.0, 15.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",0,True,True,0,9.573,0.8025
compas,0,42,0,15,2,"[27, 1, 0, 15, 1, 0, 1, 0, 1, 1]",1,1,"[53.435817647995385, 1.0, 0.0, 15.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",0,True,True,0,9.519,0.8025
compas,0,42,0,15,3,"[27, 1, 0, 15, 1, 0, 1, 0, 1, 1]",1,1,"[52.268576137515915, 1.0, 0.0, 15.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",0,True,True,0,9.623,0.8025
compas,0,42,0,15,4,"[27, 1, 0, 15, 1, 0, 1, 0, 1, 1]",1,1,"[54.301741208860506, 1.0, 0.0, 15.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",0,True,True,0,9.584,0.8025
compas,0,42,0,18,0,"[25, 1, 0, 14, 1, 0, 1, 1, 1, 7]",1,1,"[60.11073062149877, 1.0, 0.0, 14.0, 0.0, 0.0, 1.0, 1.0, 1.0, 7.0]",0,True,True,0,10.384,0.8025
compas,0,42,0,18,1,"[25, 1, 0, 14, 1, 0, 1, 1, 1, 7]",1,1,"[79.03432110357379, 1.0, 0.0, 14.0, 0.0, 0.0, 1.0, 1.0, 1.0, 7.0]",0,True,True,0,10.369,0.8025
compas,0,42,0,18,2,"[25, 1, 0, 14, 1, 0, 1, 1, 1, 7]",1,1,"[61.57088268760054, 1.0, 0.0, 14.0, 0.0, 0.0, 1.0, 1.0, 1.0, 7.0]",0,True,True,0,10.393,0.8025
compas,0,42,0,18,3,"[25, 1, 0, 14, 1, 0, 1, 1, 1, 7]",1,1,"[72.95961600153682, 1.0, 0.0, 14.0, 0.0, 0.0, 1.0, 1.0, 1.0, 7.0]",0,True,True,0,10.373,0.8025
compas,0,42,0,18,4,"[25, 1, 0, 14, 1, 0, 1, 1, 1, 7]",1,1,"[78.20788463990047, 1.0, 0.0, 14.0, 0.0, 0.0, 1.0, 1.0, 1.0, 7.0]",0,True,True,0,10.445,0.8025
compas,0,42,0,27,0,"[26, 0, 0, 2, 1, 1, 1, 0, 1, 0]",1,0,"[26.0, 0.0, 0.0, 2.0, 11.261519868263584, 1.0, 1.0, 0.0, 1.0, 0.0]",0,True,True,0,11.615,0.8025
compas,0,42,0,27,1,"[26, 0, 0, 2, 1, 1, 1, 0, 1, 0]",1,0,"[26.0, 0.0, 0.0, 2.0, 11.42688317079893, 1.0, 1.0, 0.0, 1.0, 0.0]",0,True,True,0,11.546,0.8025
compas,0,42,0,27,2,"[26, 0, 0, 2, 1, 1, 1, 0, 1, 0]",1,0,"[26.0, 0.0, 0.0, 2.0, 12.224134561224858, 1.0, 1.0, 0.0, 1.0, 0.0]",0,True,True,0,11.466,0.8025
compas,0,42,0,27,3,"[26, 0, 0, 2, 1, 1, 1, 0, 1, 0]",1,0,"[26.0, 0.0, 0.0, 2.0, 14.277768355886565, 1.0, 1.0, 0.0, 1.0, 0.0]",0,True,True,0,11.051,0.8025
compas,0,42,0,27,4,"[26, 0, 0, 2, 1, 1, 1, 0, 1, 0]",1,0,"[26.0, 0.0, 0.0, 2.0, 11.383117769623674, 1.0, 1.0, 0.0, 1.0, 0.0]",0,True,True,0,11.578,0.8025
compas,0,42,0,33,0,"[28, 1, 0, 6, 1, 1, 1, 1, 1, 0]",1,0,"[41.30001300024009, 1.0, 0.0, 6.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",0,True,True,0,10.259,0.8025
compas,0,42,0,33,1,"[28, 1, 0, 6, 1, 1, 1, 1, 1, 0]",1,0,"[40.821547067528506, 1.0, 0.0, 6.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",0,True,True,0,10.279,0.8025
compas,0,42,0,33,2,"[28, 1, 0, 6, 1, 1, 1, 1, 1, 0]",1,0,"[48.384145194931705, 1.0, 0.0, 6.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",0,True,True,0,10.222,0.8025
compas,0,42,0,33,3,"[28, 1, 0, 6, 1, 1, 1, 1, 1, 0]",1,0,"[37.29295848348339, 1.0, 0.0, 6.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",0,True,True,0,10.284,0.8025
compas,0,42,0,33,4,"[28, 1, 0, 6, 1, 1, 1, 1, 1, 0]",1,0,"[37.65514283936901, 1.0, 0.0, 6.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",0,True,True,0,10.261,0.8025
compas,0,42,0,35,0,"[38, 1, 0, 22, 34, 0, 1, 0, 1, 33]",1,1,"[62.5799036911223, 1.0, 2.0, 22.0, 34.0, 0.0, 1.0, 0.0, 1.0, 33.0]",0,True,True,0,10.252,0.8025
compas,0,42,0,35,1,"[38, 1, 0, 22, 34, 0, 1, 0, 1, 33]",1,1,"[38.0, 1.0, 2.0, 22.0, 103.7144582754389, 0.0, 1.0, 0.0, 1.0, 33.0]",0,True,True,0,10.293,0.8025
compas,0,42,0,35,2,"[38, 1, 0, 22, 34, 0, 1, 0, 1, 33]",1,1,"[38.0, 1.0, 2.0, 22.0, 93.2317940672458, 0.0, 1.0, 0.0, 1.0, 33.0]",0,True,True,0,10.361,0.8025
compas,0,42,0,35,3,"[38, 1, 0, 22, 34, 0, 1, 0, 1, 33]",1,1,"[38.0, 1.0, 2.0, 22.0, 304.5836858596814, 0.0, 1.0, 0.0, 1.0, 33.0]",0,True,True,0,10.148,0.8025
compas,0,42,0,35,4,"[38, 1, 0, 22, 34, 0, 1, 0, 1, 33]",1,1,"[50.08911822169591, 1.0, 2.0, 22.0, 34.0, 0.0, 1.0, 0.0, 1.0, 33.0]",0,True,True,0,10.19,0.8025
compas,0,42,0,40,0,"[38, 1, 0, 15, 1, 0, 0, 0, 0, 1]",1,1,"[50.53986144300887, 1.0, 0.0, 15.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0,True,True,0,9.621,0.8025
compas,0,42,0,40,1,"[38, 1, 0, 15, 1, 0, 0, 0, 0, 1]",1,1,"[51.08869176537368, 1.0, 0.0, 15.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0,True,True,0,9.57,0.8025
compas,0,42,0,40,2,"[38, 1, 0, 15, 1, 0, 0, 0, 0, 1]",1,1,"[50.55287185623596, 1.0, 0.0, 15.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0,True,True,0,9.598,0.8025
compas,0,42,0,40,3,"[38, 1, 0, 15, 1, 0, 0, 0, 0, 1]",1,1,"[50.543267840048266, 1.0, 0.0, 15.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0,True,True,0,9.637,0.8025
compas,0,42,0,40,4,"[38, 1, 0, 15, 1, 0, 0, 0, 0, 1]",1,1,"[50.867557184371854, 1.0, 0.0, 15.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0,True,True,0,9.501,0.8025
compas,0,42,0,46,0,"[54, 1, 0, 11, 1, 0, 0, 0, 0, 129]",1,1,"[54.0, 1.0, 2.0, 11.0, 1.0, 0.0, 0.0, 0.0, 0.0, 129.0]",0,True,True,0,9.243,0.8025
compas,0,42,0,46,1,"[54, 1, 0, 11, 1, 0, 0, 0, 0, 129]",1,1,"[54.0, 1.0, 2.0, 11.0, 1.0, 0.0, 0.0, 0.0, 0.0, 129.0]",0,True,True,0,9.251,0.8025
compas,0,42,0,46,2,"[54, 1, 0, 11, 1, 0, 0, 0, 0, 129]",1,1,"[54.0, 1.0, 2.0, 11.0, 1.0, 0.0, 0.0, 0.0, 0.0, 129.0]",0,True,True,0,9.213,0.8025
compas,0,42,0,46,3,"[54, 1, 0, 11, 1, 0, 0, 0, 0, 129]",1,1,"[54.0, 1.0, 2.0, 11.0, 1.0, 0.0, 0.0, 0.0, 0.0, 129.0]",0,True,True,0,9.253,0.8025
compas,0,42,0,46,4,"[54, 1, 0, 11, 1, 0, 0, 0, 0, 129]",1,1,"[54.0, 1.0, 2.0, 11.0, 1.0, 0.0, 0.0, 0.0, 0.0, 129.0]",0,True,True,0,9.21,0.8025
compas,0,42,0,59,0,"[24, 1, 5, 9, 1, 0, 1, 1, 1, 4]",1,1,"[39.87577251340451, 1.0, 5.0, 9.0, 1.0, 0.0, 1.0, 1.0, 1.0, 4.0]",0,True,True,0,10.058,0.8025
