dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc,blackbox,gower_dist,loss
compas,0,42,1,0,0,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[56.133015821186795, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.0, 11.697112743855117]",0,True,True,16,108.584,0.8175,rf,0.04007803072197183,0.12003901536098592
compas,0,42,1,0,1,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[53.698231502895695, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.0, 30.92260714190121]",0,True,True,16,107.526,0.8175,rf,0.03871090608649465,0.11935545304324732
compas,0,42,1,0,2,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[57.41895178995153, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.0, 11.777502520290115]",0,True,True,16,103.827,0.8175,rf,0.04165294446606263,0.12082647223303132
compas,0,42,1,0,3,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[52.634924507598924, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.0, 25.074873657429208]",0,True,True,16,105.033,0.8175,rf,0.03692687911486575,0.11846343955743288
compas,0,42,1,0,4,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[54.86103759950765, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.0, 11.671938900200365]",0,True,True,16,105.246,0.8175,rf,0.03852473994840001,0.1192623699742
compas,0,42,1,8,0,"[25, 1, 2, 9, 1, 1, 1, 1, 1, 6]",1,1,"[77.68601817536091, 1.0, 2.0, 9.0, 161.43912090581932, 0.0, 1.0, 1.0, 1.0, 6.0]",0,True,True,16,95.062,0.8175,rf,0.17762116841942102,0.23881058420971052
compas,0,42,1,8,1,"[25, 1, 2, 9, 1, 1, 1, 1, 1, 6]",1,1,"[83.68557888016717, 1.0, 2.0, 9.0, 140.41847425094127, 0.0, 1.0, 1.0, 1.0, 6.0]",0,True,True,16,97.235,0.8175,rf,0.1831859853097335,0.24159299265486678
compas,0,42,1,8,2,"[25, 1, 2, 9, 1, 1, 1, 1, 1, 6]",1,1,"[75.36266680106758, 1.0, 2.0, 9.0, 191.9745563479387, 0.0, 1.0, 1.0, 1.0, 6.0]",0,True,True,16,95.016,0.8175,rf,0.17733243270509358,0.2386662163525468
compas,0,42,1,8,3,"[25, 1, 2, 9, 1, 1, 1, 1, 1, 6]",1,1,"[66.3031026302942, 1.0, 2.0, 9.0, 307.05706962158916, 0.0, 1.0, 1.0, 1.0, 6.0]",0,True,True,16,96.307,0.8175,rf,0.17587439315581643,0.23793719657790824
compas,0,42,1,8,4,"[25, 1, 2, 9, 1, 1, 1, 1, 1, 6]",1,1,"[83.20518578954358, 1.0, 2.0, 9.0, 214.5858203856592, 0.0, 1.0, 1.0, 1.0, 6.0]",0,True,True,16,94.9,0.8175,rf,0.1887807522551589,0.24439037612757947
