dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc,blackbox,gower_dist,loss,sparsity
compas,0,42,1,0,0,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[53.04580208517765, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.0, 3.589973177728321]",0,True,True,4,65.359,0.8175,rf,0.03563754095811677,0.1178187704790584,0.8
compas,0,42,1,0,1,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[53.65758038700772, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.0, 25.319185769459803]",0,True,True,4,64.716,0.8175,rf,0.03819437977388716,0.1190971898869436,0.8
compas,0,42,1,0,2,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[65.1734186699233, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",0,True,True,4,65.106,0.8175,rf,0.05021148618283329,0.07510574309141665,0.9
compas,0,42,1,0,3,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[56.77869647027813, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.0, 11.970518619922508]",0,True,True,4,64.89,0.8175,rf,0.040888229970698575,0.1204441149853493,0.8
compas,0,42,1,0,4,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[53.967836551178834, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.0, 3.678732910019811]",0,True,True,4,63.659,0.8175,rf,0.036769369878085593,0.1183846849390428,0.8
compas,0,42,1,8,0,"[25, 1, 2, 9, 1, 1, 1, 1, 1, 6]",1,1,"[83.39109321225965, 1.0, 2.0, 9.0, 60.38530348651291, 0.0, 1.0, 1.0, 1.0, 6.0]",0,True,True,4,59.254,0.8175,rf,0.17615742554939598,0.238078712774698,0.7
compas,0,42,1,8,1,"[25, 1, 2, 9, 1, 1, 1, 1, 1, 6]",1,1,"[71.93775466569572, 1.0, 2.0, 9.0, 178.57980072008382, 1.0, 1.0, 1.0, 1.0, 19.92168289089914]",0,True,True,4,59.693,0.8175,rf,0.07319962119404011,0.18659981059702008,0.7
compas,0,42,1,8,2,"[25, 1, 2, 9, 1, 1, 1, 1, 1, 6]",1,1,"[62.51384391786606, 1.0, 2.0, 9.0, 104.3878272489111, 0.0, 1.0, 1.0, 1.0, 6.0]",0,True,True,4,59.55,0.8175,rf,0.15436424241448168,0.22718212120724085,0.7
compas,0,42,1,8,3,"[25, 1, 2, 9, 1, 1, 1, 1, 1, 6]",1,1,"[66.42532177713225, 1.0, 2.0, 9.0, 140.03127016025337, 0.0, 1.0, 1.0, 1.0, 6.0]",0,True,True,4,59.669,0.8175,rf,0.16210462427408484,0.23105231213704244,0.7
compas,0,42,1,8,4,"[25, 1, 2, 9, 1, 1, 1, 1, 1, 6]",1,1,"[76.05021517150391, 1.0, 2.0, 9.0, 172.2281634046777, 1.0, 1.0, 1.0, 1.0, 11.300789025610671]",0,True,True,4,60.013,0.8175,rf,0.07696710600110603,0.18848355300055303,0.7
compas,0,42,1,15,0,"[41, 1, 0, 10, 0, 0, 1, 0, 1, 176]",1,1,"[41.0, 1.0, 0.0, 10.0, 67.42460033982435, 0.0, 1.0, 0.0, 0.0, 176.0]",0,True,True,4,57.087,0.8175,rf,0.10561871669498538,0.1528093583474927,0.8
compas,0,42,1,15,1,"[41, 1, 0, 10, 0, 0, 1, 0, 1, 176]",1,1,"[41.0, 1.0, 0.0, 10.0, 73.66013795518562, 0.0, 1.0, 0.0, 0.0, 176.0]",0,True,True,4,56.801,0.8175,rf,0.10613834482959882,0.15306917241479942,0.8
compas,0,42,1,15,2,"[41, 1, 0, 10, 0, 0, 1, 0, 1, 176]",1,1,"[41.0, 1.0, 0.0, 10.0, 69.8754170268216, 0.0, 1.0, 0.0, 0.0, 176.0]",0,True,True,4,57.015,0.8175,rf,0.1058229514189018,0.1529114757094509,0.8
compas,0,42,1,15,3,"[41, 1, 0, 10, 0, 0, 1, 0, 1, 176]",1,1,"[41.0, 1.0, 0.0, 10.0, 70.39773879324048, 0.0, 1.0, 0.0, 0.0, 176.0]",0,True,True,4,57.604,0.8175,rf,0.10586647823277005,0.15293323911638504,0.8
compas,0,42,1,15,4,"[41, 1, 0, 10, 0, 0, 1, 0, 1, 176]",1,1,"[41.0, 1.0, 0.0, 10.0, 62.657046008369974, 0.0, 1.0, 0.0, 0.0, 176.0]",0,True,True,4,57.061,0.8175,rf,0.1052214205006975,0.15261071025034875,0.8
compas,0,42,1,22,0,"[38, 1, 0, 9, 1, 0, 1, 0, 1, 13]",1,1,"[38.0, 1.0, 0.0, 9.0, 67.28771342876246, 0.0, 1.0, 0.0, 0.0, 13.0]",0,True,True,4,60.813,0.8175,rf,0.10552397611906356,0.15276198805953178,0.8
compas,0,42,1,22,1,"[38, 1, 0, 9, 1, 0, 1, 0, 1, 13]",1,1,"[38.0, 1.0, 0.0, 9.0, 63.50817599815065, 0.0, 1.0, 0.0, 0.0, 13.0]",0,True,True,4,60.537,0.8175,rf,0.10520901466651256,0.15260450733325628,0.8
compas,0,42,1,22,2,"[38, 1, 0, 9, 1, 0, 1, 0, 1, 13]",1,1,"[38.0, 1.0, 0.0, 9.0, 59.325176298162425, 0.0, 1.0, 0.0, 0.0, 13.0]",0,True,True,4,60.704,0.8175,rf,0.1048604313581802,0.1524302156790901,0.8
compas,0,42,1,22,3,"[38, 1, 0, 9, 1, 0, 1, 0, 1, 13]",1,1,"[38.0, 1.0, 0.0, 9.0, 61.21603792785673, 0.0, 1.0, 0.0, 0.0, 13.0]",0,True,True,4,59.934,0.8175,rf,0.10501800316065474,0.15250900158032737,0.8
compas,0,42,1,22,4,"[38, 1, 0, 9, 1, 0, 1, 0, 1, 13]",1,1,"[39.228890479986646, 1.0, 0.0, 9.0, 55.519740781846984, 0.0, 1.0, 0.0, 0.0, 13.0]",0,True,True,4,57.787,0.8175,rf,0.10604195865863358,0.20302097932931681,0.7
compas,0,42,1,23,0,"[33, 0, 0, 7, 1, 0, 1, 0, 1, 26]",1,1,"[44.64364127545215, 0.0, 0.0, 7.0, 1.0, 0.0, 1.0, 0.0, 0.0, 26.0]",0,True,True,4,58.917,0.8175,rf,0.1141995625310392,0.1570997812655196,0.8
compas,0,42,1,23,1,"[33, 0, 0, 7, 1, 0, 1, 0, 1, 26]",1,1,"[57.066139943256566, 0.0, 0.0, 7.0, 1.0, 0.0, 1.0, 0.0, 0.0, 26.0]",0,True,True,4,58.699,0.8175,rf,0.1293489511503129,0.16467447557515646,0.8
compas,0,42,1,23,2,"[33, 0, 0, 7, 1, 0, 1, 0, 1, 26]",1,1,"[52.10454410789816, 0.0, 0.0, 7.0, 1.0, 0.0, 1.0, 0.0, 0.0, 26.0]",0,True,True,4,58.867,0.8175,rf,0.12329822452182702,0.16164911226091352,0.8
compas,0,42,1,23,3,"[33, 0, 0, 7, 1, 0, 1, 0, 1, 26]",1,1,"[33.0, 0.0, 0.0, 7.0, 1.0, 0.0, 1.0, 0.0, 0.0, 26.0]",0,True,True,4,57.362,0.8175,rf,0.1,0.1,0.9
compas,0,42,1,23,4,"[33, 0, 0, 7, 1, 0, 1, 0, 1, 26]",1,1,"[33.0, 0.0, 0.0, 7.0, 0.0, 0.0, 1.0, 0.0, 0.0, 26.0]",0,True,True,4,57.156,0.8175,rf,0.10008333333333333,0.15004166666666668,0.8
compas,0,42,1,33,0,"[26, 1, 0, 9, 0, 0, 1, 0, 1, 79]",1,1,"[37.77107815787831, 1.0, 0.0, 9.0, 66.40020114054668, 0.0, 1.0, 0.0, 0.0, 79.0]",0,True,True,4,58.079,0.8175,rf,0.11988832345831178,0.20994416172915592,0.7
compas,0,42,1,33,1,"[26, 1, 0, 9, 0, 0, 1, 0, 1, 79]",1,1,"[49.9723191733839, 1.0, 0.0, 9.0, 2.6244254933868376, 0.0, 1.0, 0.0, 0.0, 79.0]",0,True,True,4,57.597,0.8175,rf,0.12945323770174635,0.21472661885087319,0.7
compas,0,42,1,33,2,"[26, 1, 0, 9, 0, 0, 1, 0, 1, 79]",1,1,"[42.43965132939851, 1.0, 0.0, 9.0, 58.19537838925859, 0.0, 1.0, 0.0, 0.0, 79.0]",0,True,True,4,57.979,0.8175,rf,0.12489797014552582,0.21244898507276294,0.7
compas,0,42,1,33,3,"[26, 1, 0, 9, 0, 0, 1, 0, 1, 79]",1,1,"[40.77168482950846, 1.0, 0.0, 9.0, 74.44513405417172, 0.0, 1.0, 0.0, 0.0, 79.0]",0,True,True,4,58.539,0.8175,rf,0.12421801096326446,0.21210900548163225,0.7
compas,0,42,1,33,4,"[26, 1, 0, 9, 0, 0, 1, 0, 1, 79]",1,1,"[39.77929546629188, 1.0, 0.0, 9.0, 61.07688721288923, 0.0, 1.0, 0.0, 0.0, 79.0]",0,True,True,4,58.235,0.8175,rf,0.12189375946240566,0.21094687973120285,0.7
compas,0,42,1,37,0,"[43, 1, 2, 11, 49, 0, 1, 1, 1, 121]",1,0,"[94.05595686493932, 1.0, 2.0, 11.0, 49.0, 0.0, 1.0, 1.0, 1.0, 173.13541801347344]",0,True,True,4,58.29,0.8175,rf,0.06660798019820326,0.13330399009910163,0.8
compas,0,42,1,37,1,"[43, 1, 2, 11, 49, 0, 1, 1, 1, 121]",1,0,"[89.50262425322846, 1.0, 2.0, 11.0, 108.57543230976569, 0.0, 1.0, 1.0, 1.0, 121.0]",0,True,True,4,59.257,0.8175,rf,0.06167513674113306,0.13083756837056654,0.8
compas,0,42,1,37,2,"[43, 1, 2, 11, 49, 0, 1, 1, 1, 121]",1,0,"[68.99082523418014, 1.0, 2.0, 11.524451672069908, 49.0, 0.0, 1.0, 1.0, 1.0, 121.0]",0,True,True,4,59.826,0.8175,rf,0.03222058000643593,0.11611029000321797,0.8
compas,0,42,1,37,3,"[43, 1, 2, 11, 49, 0, 1, 1, 1, 121]",1,0,"[68.76697076787056, 1.0, 2.0, 11.867658801946188, 49.0, 0.0, 1.0, 1.0, 1.0, 121.0]",0,True,True,4,59.646,0.8175,rf,0.03229079388471517,0.11614539694235759,0.8
compas,0,42,1,37,4,"[43, 1, 2, 11, 49, 0, 1, 1, 1, 121]",1,0,"[81.80496220805375, 1.0, 2.0, 10.97859594888321, 49.0, 0.0, 1.0, 1.0, 1.0, 121.0]",0,True,True,4,57.231,0.8175,rf,0.047344528695084785,0.1236722643475424,0.8
compas,0,42,1,40,0,"[43, 1, 2, 13, 0, 0, 1, 0, 1, 51]",1,0,"[72.19417460659962, 1.0, 2.0, 13.0, 137.09637767293546, 0.0, 1.0, 0.0, 1.0, 51.0]",0,True,True,4,54.8,0.8175,rf,0.047027350098679116,0.12351367504933956,0.8
compas,0,42,1,40,1,"[43, 1, 2, 13, 0, 0, 1, 0, 1, 51]",1,0,"[66.57341123884244, 1.0, 2.0, 13.0, 141.42960579523813, 0.0, 1.0, 0.0, 1.0, 51.0]",0,True,True,4,54.846,0.8175,rf,0.04053386296932973,0.12026693148466487,0.8
compas,0,42,1,40,2,"[43, 1, 2, 13, 0, 0, 1, 0, 1, 51]",1,0,"[100.0, 1.0, 2.0, 13.0, 0.0, 0.0, 1.0, 0.0, 1.0, 51.0]",0,True,True,4,54.953,0.8175,rf,0.06951219512195121,0.0847560975609756,0.9
compas,0,42,1,40,3,"[43, 1, 2, 13, 0, 0, 1, 0, 1, 51]",1,0,"[66.88919737142177, 1.0, 2.0, 13.0, 53.38652792975555, 0.0, 1.0, 0.0, 1.0, 51.0]",0,True,True,4,55.254,0.8175,rf,0.03358204485360374,0.11679102242680188,0.8
compas,0,42,1,40,4,"[43, 1, 2, 13, 0, 0, 1, 0, 1, 51]",1,0,"[72.62217220447887, 1.0, 2.0, 13.0, 45.844015886435265, 0.0, 1.0, 0.0, 1.0, 51.0]",0,True,True,4,57.868,0.8175,rf,0.03994493490656742,0.11997246745328372,0.8
compas,0,42,1,41,0,"[30, 1, 0, 11, 1, 1, 1, 1, 1, 1]",1,1,"[46.84094680287546, 1.0, 0.0, 8.456148915495278, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]",0,True,True,4,62.006,0.8175,rf,0.12308159108801138,0.2115407955440057,0.7
compas,0,42,1,41,1,"[30, 1, 0, 11, 1, 1, 1, 1, 1, 1]",1,1,"[51.92048264692132, 1.0, 0.0, 8.446218813978163, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]",0,True,True,4,61.943,0.8175,rf,0.1292860770969015,0.2146430385484508,0.7
compas,0,42,1,41,2,"[30, 1, 0, 11, 1, 1, 1, 1, 1, 1]",1,1,"[90.30145269079699, 1.0, 0.0, 10.44026093112966, 1.0, 0.0, 1.0, 1.0, 1.0, 21.79771426494413]",0,True,True,4,61.624,0.8175,rf,0.17583123886427868,0.28791561943213934,0.6
compas,0,42,1,41,3,"[30, 1, 0, 11, 1, 1, 1, 1, 1, 1]",1,1,"[80.4294082420143, 1.0, 0.0, 9.990883365745043, 1.0, 0.0, 1.0, 1.0, 1.0, 10.029828959160437]",0,True,True,4,62.094,0.8175,rf,0.16326088072477155,0.28163044036238577,0.6
compas,0,42,1,41,4,"[30, 1, 0, 11, 1, 1, 1, 1, 1, 1]",1,1,"[49.565179477974866, 1.0, 0.0, 8.484034528159606, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]",0,True,True,4,62.889,0.8175,rf,0.12637594044498046,0.21318797022249025,0.7
compas,0,42,1,44,0,"[31, 1, 2, 0, 1, 0, 1, 0, 1, 30]",1,1,"[55.658918058804716, 1.0, 2.0, 0.0, 77.24340376140155, 0.0, 1.0, 0.0, 1.0, 30.0]",0,True,True,4,63.667,0.8175,rf,0.03642546827134206,0.11821273413567104,0.8
