dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc,blackbox,gower_dist,loss
compas,0,42,3,3,0,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[31.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 16.0]",0,False,False,0,2.416,0.7725,rf,0.025075203252032524,0.16253760162601627
compas,0,42,3,3,1,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[46.0, 1.0, 0.0, 2.0, 0.0, 0.0, 1.0, 0.0, 1.0, 9.0]",0,False,False,0,76.167,0.7725,rf,0.03563414634146341,0.16781707317073172
compas,0,42,3,3,2,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[28.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 15.0]",0,False,False,0,2.38,0.7725,rf,0.029817073170731706,0.16490853658536586
compas,0,42,3,3,3,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[28.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,False,False,0,2.395,0.7725,rf,0.030067073170731713,0.16503353658536588
compas,0,42,3,3,4,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[32.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,False,False,0,2.417,0.7725,rf,0.026189024390243905,0.16309451219512197
compas,0,42,3,6,0,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[28.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]",0,False,False,0,3.496,0.7725,rf,0.021536585365853664,0.11076829268292684
compas,0,42,3,6,1,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[30.0, 1.0, 0.0, 6.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0]",0,False,False,0,3.446,0.7725,rf,0.013264227642276425,0.15663211382113823
compas,0,42,3,6,2,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[32.0, 1.0, 0.0, 6.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0]",0,False,False,0,3.143,0.7725,rf,0.010741869918699189,0.15537093495934962
compas,0,42,3,6,3,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[30.0, 1.0, 0.0, 6.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0]",0,False,False,0,4.011,0.7725,rf,0.013264227642276425,0.15663211382113823
compas,0,42,3,6,4,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[30.0, 1.0, 0.0, 6.0, 1.0, 0.0, 1.0, 1.0, 1.0, 2.0]",0,False,False,0,3.907,0.7725,rf,0.013264227642276425,0.15663211382113823
