dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss,sparsity
compas,0,42,3,3,0,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[34.0, 1.0, 0.0, 4.0, 0.0, 0.0, 1.0, 0.0, 1.0, 33.0]",0,True,False,0,11.982,rf,0.7725,0.017,0.0585,0.9
compas,0,42,3,3,1,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[34.0, 1.0, 0.0, 4.0, 0.0, 0.0, 1.0, 0.0, 1.0, 33.0]",0,True,False,0,13.227,rf,0.7725,0.017,0.0585,0.9
compas,0,42,3,3,2,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[34.0, 1.0, 0.0, 4.0, 0.0, 0.0, 1.0, 0.0, 1.0, 33.0]",0,True,False,0,15.049,rf,0.7725,0.017,0.0585,0.9
compas,0,42,3,3,3,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[34.0, 1.0, 0.0, 4.0, 0.0, 0.0, 1.0, 0.0, 1.0, 33.0]",0,True,False,0,11.904,rf,0.7725,0.017,0.0585,0.9
compas,0,42,3,3,4,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[34.0, 1.0, 0.0, 4.0, 0.0, 0.0, 1.0, 0.0, 1.0, 33.0]",0,True,False,0,16.712,rf,0.7725,0.017,0.0585,0.9
compas,0,42,3,6,0,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[35.0, 1.0, 0.0, 7.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]",0,True,False,0,8.291,rf,0.7725,0.006,0.053000000000000005,0.9
compas,0,42,3,6,1,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[35.0, 1.0, 0.0, 7.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]",0,True,False,0,9.408,rf,0.7725,0.006,0.053000000000000005,0.9
compas,0,42,3,6,2,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[35.0, 1.0, 0.0, 7.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]",0,True,False,0,8.781,rf,0.7725,0.006,0.053000000000000005,0.9
compas,0,42,3,6,3,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[35.0, 1.0, 0.0, 7.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]",0,True,False,0,8.607,rf,0.7725,0.006,0.053000000000000005,0.9
compas,0,42,3,6,4,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[35.0, 1.0, 0.0, 7.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]",0,True,False,0,10.046,rf,0.7725,0.006,0.053000000000000005,0.9
