dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss,sparsity
compas,0,42,4,5,0,"[26, 1, 0, 5, 1, 0, 1, 0, 1, 0]",1,1,"[26.0, 1.0, 0.0, 3.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,True,False,0,10.844,rf,0.8025,0.002,0.051000000000000004,0.9
compas,0,42,4,5,1,"[26, 1, 0, 5, 1, 0, 1, 0, 1, 0]",1,1,"[26.0, 1.0, 0.0, 3.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,True,False,0,10.257,rf,0.8025,0.002,0.051000000000000004,0.9
compas,0,42,4,5,2,"[26, 1, 0, 5, 1, 0, 1, 0, 1, 0]",1,1,"[26.0, 1.0, 0.0, 3.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,True,False,0,10.492,rf,0.8025,0.002,0.051000000000000004,0.9
compas,0,42,4,5,3,"[26, 1, 0, 5, 1, 0, 1, 0, 1, 0]",1,1,"[26.0, 1.0, 0.0, 3.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,True,False,0,11.038,rf,0.8025,0.002,0.051000000000000004,0.9
compas,0,42,4,5,4,"[26, 1, 0, 5, 1, 0, 1, 0, 1, 0]",1,1,"[26.0, 1.0, 0.0, 3.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,True,False,0,10.885,rf,0.8025,0.002,0.051000000000000004,0.9
compas,0,42,4,6,0,"[33, 1, 0, 0, 0, 0, 1, 1, 1, 37]",1,1,"[33.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 37.0]",0,True,False,0,16.614,rf,0.8025,8.333333333333334e-05,0.05004166666666667,0.9
compas,0,42,4,6,1,"[33, 1, 0, 0, 0, 0, 1, 1, 1, 37]",1,1,"[33.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 37.0]",0,True,False,0,15.927,rf,0.8025,8.333333333333334e-05,0.05004166666666667,0.9
compas,0,42,4,6,2,"[33, 1, 0, 0, 0, 0, 1, 1, 1, 37]",1,1,"[33.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 37.0]",0,True,False,0,17.008,rf,0.8025,8.333333333333334e-05,0.05004166666666667,0.9
compas,0,42,4,6,3,"[33, 1, 0, 0, 0, 0, 1, 1, 1, 37]",1,1,"[33.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 37.0]",0,True,False,0,15.838,rf,0.8025,8.333333333333334e-05,0.05004166666666667,0.9
compas,0,42,4,6,4,"[33, 1, 0, 0, 0, 0, 1, 1, 1, 37]",1,1,"[33.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 37.0]",0,True,False,0,16.737,rf,0.8025,8.333333333333334e-05,0.05004166666666667,0.9
