dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc,blackbox,gower_dist,loss,sparsity
compas,0,42,4,5,0,"[26, 1, 0, 5, 1, 0, 1, 0, 1, 0]",1,1,"[26.0, 1.0, 0.0, 5.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",1,False,False,0,0.415,0.8025,rf,0.0,1.0,1.0
compas,0,42,4,5,1,"[26, 1, 0, 5, 1, 0, 1, 0, 1, 0]",1,1,"[26.0, 1.0, 0.0, 5.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",1,False,False,0,0.262,0.8025,rf,0.0,1.0,1.0
compas,0,42,4,5,2,"[26, 1, 0, 5, 1, 0, 1, 0, 1, 0]",1,1,"[26.0, 1.0, 0.0, 5.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",1,False,False,0,0.247,0.8025,rf,0.0,1.0,1.0
compas,0,42,4,5,3,"[26, 1, 0, 5, 1, 0, 1, 0, 1, 0]",1,1,"[26.0, 1.0, 0.0, 5.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",1,False,False,0,0.246,0.8025,rf,0.0,1.0,1.0
compas,0,42,4,5,4,"[26, 1, 0, 5, 1, 0, 1, 0, 1, 0]",1,1,"[26.0, 1.0, 0.0, 5.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",1,False,False,0,0.247,0.8025,rf,0.0,1.0,1.0
compas,0,42,4,6,0,"[33, 1, 0, 0, 0, 0, 1, 1, 1, 37]",1,1,"[33.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 37.0]",1,False,False,0,0.379,0.8025,rf,0.0,1.0,1.0
compas,0,42,4,6,1,"[33, 1, 0, 0, 0, 0, 1, 1, 1, 37]",1,1,"[33.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 37.0]",1,False,False,0,0.271,0.8025,rf,0.0,1.0,1.0
compas,0,42,4,6,2,"[33, 1, 0, 0, 0, 0, 1, 1, 1, 37]",1,1,"[33.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 37.0]",1,False,False,0,0.245,0.8025,rf,0.0,1.0,1.0
compas,0,42,4,6,3,"[33, 1, 0, 0, 0, 0, 1, 1, 1, 37]",1,1,"[33.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 37.0]",1,False,False,0,0.246,0.8025,rf,0.0,1.0,1.0
compas,0,42,4,6,4,"[33, 1, 0, 0, 0, 0, 1, 1, 1, 37]",1,1,"[33.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 37.0]",1,False,False,0,0.247,0.8025,rf,0.0,1.0,1.0
compas,0,42,4,11,0,"[31, 1, 0, 15, 1, 0, 1, 0, 0, 135]",1,0,"[30.0, 1.0, 0.0, 7.0, 1.0, 0.0, 1.0, 0.0, 0.0, 133.0]",1,False,False,0,0.287,0.8025,rf,0.009386178861788618,1.1546930894308942,0.7
compas,0,42,4,11,1,"[31, 1, 0, 15, 1, 0, 1, 0, 0, 135]",1,0,"[30.0, 1.0, 0.0, 6.0, 1.0, 0.0, 1.0, 0.0, 0.0, 127.0]",1,False,False,0,0.28,0.8025,rf,0.010886178861788618,1.1554430894308942,0.7
compas,0,42,4,11,2,"[31, 1, 0, 15, 1, 0, 1, 0, 0, 135]",1,0,"[57.0, 1.0, 0.0, 11.0, 1.0, 0.0, 0.0, 0.0, 0.0, 140.0]",0,False,False,0,0.244,0.8025,rf,0.13612398373983742,0.26806199186991875,0.6
compas,0,42,4,11,3,"[31, 1, 0, 15, 1, 0, 1, 0, 0, 135]",1,0,"[57.0, 1.0, 0.0, 11.0, 1.0, 0.0, 0.0, 0.0, 0.0, 140.0]",0,False,False,0,0.246,0.8025,rf,0.13612398373983742,0.26806199186991875,0.6
compas,0,42,4,11,4,"[31, 1, 0, 15, 1, 0, 1, 0, 0, 135]",1,0,"[57.0, 1.0, 0.0, 11.0, 1.0, 0.0, 0.0, 0.0, 0.0, 140.0]",0,False,False,0,0.246,0.8025,rf,0.13612398373983742,0.26806199186991875,0.6
compas,0,42,4,17,0,"[22, 1, 0, 1, 0, 1, 1, 0, 1, 16]",1,0,"[22.0, 1.0, 4.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0]",0,False,False,0,0.331,0.8025,rf,0.20133333333333334,0.2506666666666667,0.7
compas,0,42,4,17,1,"[22, 1, 0, 1, 0, 1, 1, 0, 1, 16]",1,0,"[22.0, 1.0, 2.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0]",0,False,False,0,0.278,0.8025,rf,0.10233333333333335,0.2011666666666667,0.7
compas,0,42,4,17,2,"[22, 1, 0, 1, 0, 1, 1, 0, 1, 16]",1,0,"[23.0, 1.0, 0.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 15.0]",1,False,False,0,0.242,0.8025,rf,0.10138617886178863,1.2506930894308943,0.6
compas,0,42,4,17,3,"[22, 1, 0, 1, 0, 1, 1, 0, 1, 16]",1,0,"[23.0, 1.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,False,False,0,0.259,0.8025,rf,0.1025528455284553,0.20127642276422766,0.7
compas,0,42,4,17,4,"[22, 1, 0, 1, 0, 1, 1, 0, 1, 16]",1,0,"[23.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 15.0]",1,False,False,0,0.26,0.8025,rf,0.001386178861788618,1.1506930894308942,0.7
compas,0,42,4,19,0,"[25, 1, 2, 9, 1, 0, 1, 1, 1, 0]",1,1,"[23.0, 1.0, 2.0, 6.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,False,False,0,0.274,0.8025,rf,0.10543902439024391,0.20271951219512196,0.7
compas,0,42,4,19,1,"[25, 1, 2, 9, 1, 0, 1, 1, 1, 0]",1,1,"[23.0, 1.0, 2.0, 6.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,False,False,0,0.244,0.8025,rf,0.10543902439024391,0.20271951219512196,0.7
compas,0,42,4,19,2,"[25, 1, 2, 9, 1, 0, 1, 1, 1, 0]",1,1,"[23.0, 1.0, 2.0, 6.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,False,False,0,0.244,0.8025,rf,0.10543902439024391,0.20271951219512196,0.7
compas,0,42,4,19,3,"[25, 1, 2, 9, 1, 0, 1, 1, 1, 0]",1,1,"[23.0, 1.0, 2.0, 6.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,False,False,0,0.244,0.8025,rf,0.10543902439024391,0.20271951219512196,0.7
compas,0,42,4,19,4,"[25, 1, 2, 9, 1, 0, 1, 1, 1, 0]",1,1,"[23.0, 1.0, 2.0, 6.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,False,False,0,0.242,0.8025,rf,0.10543902439024391,0.20271951219512196,0.7
compas,0,42,4,22,0,"[19, 1, 0, 1, 10, 1, 1, 1, 1, 9]",1,0,"[21.0, 0.0, 0.0, 1.0, 11.0, 1.0, 1.0, 0.0, 1.0, 1.0]",0,False,False,0,0.289,0.8025,rf,0.2031890243902439,0.35159451219512194,0.5
compas,0,42,4,22,1,"[19, 1, 0, 1, 10, 1, 1, 1, 1, 9]",1,0,"[19.0, 1.0, 0.0, 1.0, 11.0, 1.0, 0.0, 1.0, 1.0, 0.0]",1,False,False,0,0.364,0.8025,rf,0.10083333333333333,1.2004166666666667,0.7
compas,0,42,4,22,2,"[19, 1, 0, 1, 10, 1, 1, 1, 1, 9]",1,0,"[19.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",0,False,False,0,0.276,0.8025,rf,0.10149999999999999,0.20075,0.7
compas,0,42,4,22,3,"[19, 1, 0, 1, 10, 1, 1, 1, 1, 9]",1,0,"[19.0, 0.0, 0.0, 1.0, 5.0, 0.0, 1.0, 1.0, 1.0, 0.0]",0,False,False,0,0.298,0.8025,rf,0.2011666666666667,0.30058333333333337,0.6
compas,0,42,4,22,4,"[19, 1, 0, 1, 10, 1, 1, 1, 1, 9]",1,0,"[19.0, 1.0, 0.0, 1.0, 11.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,False,False,0,0.287,0.8025,rf,0.0007500000000000001,1.100375,0.8
compas,0,42,4,24,0,"[24, 1, 2, 8, 1, 0, 1, 0, 1, 12]",1,0,"[23.0, 1.0, 2.0, 3.0, 1.0, 0.0, 1.0, 0.0, 1.0, 9.0]",0,False,False,0,0.274,0.8025,rf,0.006469512195121952,0.153234756097561,0.7
compas,0,42,4,24,1,"[24, 1, 2, 8, 1, 0, 1, 0, 1, 12]",1,0,"[24.0, 1.0, 2.0, 2.0, 1.0, 1.0, 1.0, 0.0, 1.0, 12.0]",0,False,False,0,0.262,0.8025,rf,0.10600000000000001,0.15300000000000002,0.8
compas,0,42,4,24,2,"[24, 1, 2, 8, 1, 0, 1, 0, 1, 12]",1,0,"[23.0, 1.0, 2.0, 3.0, 1.0, 0.0, 1.0, 0.0, 1.0, 13.0]",1,False,False,0,0.243,0.8025,rf,0.006302845528455285,1.1531514227642277,0.7
compas,0,42,4,24,3,"[24, 1, 2, 8, 1, 0, 1, 0, 1, 12]",1,0,"[23.0, 1.0, 2.0, 3.0, 1.0, 0.0, 1.0, 0.0, 1.0, 12.0]",1,False,False,0,0.262,0.8025,rf,0.0062195121951219515,1.103109756097561,0.8
compas,0,42,4,24,4,"[24, 1, 2, 8, 1, 0, 1, 0, 1, 12]",1,0,"[23.0, 1.0, 2.0, 3.0, 1.0, 0.0, 1.0, 0.0, 1.0, 13.0]",1,False,False,0,0.245,0.8025,rf,0.006302845528455285,1.1531514227642277,0.7
compas,0,42,4,27,0,"[22, 1, 2, 4, 36, 0, 1, 0, 1, 14]",1,0,"[22.0, 1.0, 2.0, 2.0, 40.0, 0.0, 1.0, 1.0, 1.0, 27.0]",0,False,False,0,0.321,0.8025,rf,0.10341666666666667,0.25170833333333337,0.6
compas,0,42,4,27,1,"[22, 1, 2, 4, 36, 0, 1, 0, 1, 14]",1,0,"[22.0, 1.0, 2.0, 2.0, 40.0, 0.0, 1.0, 1.0, 1.0, 27.0]",0,False,False,0,0.243,0.8025,rf,0.10341666666666667,0.25170833333333337,0.6
compas,0,42,4,27,2,"[22, 1, 2, 4, 36, 0, 1, 0, 1, 14]",1,0,"[22.0, 1.0, 2.0, 0.0, 40.0, 0.0, 1.0, 0.0, 1.0, 11.0]",0,False,False,0,0.279,0.8025,rf,0.004583333333333334,0.1522916666666667,0.7
compas,0,42,4,27,3,"[22, 1, 2, 4, 36, 0, 1, 0, 1, 14]",1,0,"[22.0, 1.0, 2.0, 2.0, 40.0, 0.0, 1.0, 1.0, 1.0, 27.0]",0,False,False,0,0.243,0.8025,rf,0.10341666666666667,0.25170833333333337,0.6
compas,0,42,4,27,4,"[22, 1, 2, 4, 36, 0, 1, 0, 1, 14]",1,0,"[22.0, 1.0, 2.0, 2.0, 40.0, 0.0, 1.0, 1.0, 1.0, 27.0]",0,False,False,0,0.248,0.8025,rf,0.10341666666666667,0.25170833333333337,0.6
