dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc
compas,0,42,3,3,0,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[39.23664392999378, 1.0, 0.0, 19.226546262282465, 0.0, 0.0, 1.0, 0.0, 0.0, 33.0]",1,False,False,0,70.856,0.7725
compas,0,42,3,3,1,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[39.04457088990464, 1.0, 0.0, 20.30121066415373, 0.8342793116538926, 0.0, 1.0, 0.0, 0.0, 33.0]",1,False,False,0,67.727,0.7725
compas,0,42,3,3,2,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[38.75867319058697, 1.0, 1.0, 20.332094558832193, 0.0, 0.0, 1.0, 0.0, 0.0, 30.81178534210799]",1,False,False,0,68.948,0.7725
compas,0,42,3,3,3,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[39.35591789815341, 1.0, 0.0, 21.0, 1.4961401770446674, 0.0, 1.0, 0.0, 0.0, 33.0]",1,False,False,0,66.649,0.7725
compas,0,42,3,3,4,"[34, 1, 0, 21, 0, 0, 1, 0, 1, 33]",1,1,"[39.1650547771274, 1.0, 0.0, 21.0, 1.144775841533799, 0.0, 1.0, 0.0, 0.0, 33.0]",1,False,False,0,51.817,0.7725
compas,0,42,3,6,0,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[35.0, 1.0, 0.0, 13.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",1,False,False,0,9.096,0.7725
compas,0,42,3,6,1,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[35.0, 1.0, 0.0, 13.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",1,False,False,0,8.849,0.7725
compas,0,42,3,6,2,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[35.0, 1.0, 0.0, 13.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",1,False,False,0,8.879,0.7725
compas,0,42,3,6,3,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[35.0, 1.0, 0.0, 13.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",1,False,False,0,8.886,0.7725
compas,0,42,3,6,4,"[35, 1, 0, 13, 1, 0, 1, 1, 1, 0]",1,1,"[35.0, 1.0, 0.0, 13.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",1,False,False,0,8.947,0.7725
compas,0,42,3,7,0,"[34, 1, 0, 4, 59, 1, 1, 0, 1, 51]",1,0,"[34.0, 1.0, 0.0, 4.0, 59.0, 1.0, 1.0, 0.0, 1.0, 51.0]",1,False,False,0,7.658,0.7725
compas,0,42,3,7,1,"[34, 1, 0, 4, 59, 1, 1, 0, 1, 51]",1,0,"[34.0, 1.0, 0.0, 4.0, 59.0, 1.0, 1.0, 0.0, 1.0, 51.0]",1,False,False,0,7.674,0.7725
