dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc,blackbox,gower_dist,loss,sparsity
compas,0,42,4,5,0,"[26, 1, 0, 5, 1, 0, 1, 0, 1, 0]",1,1,"[26.0, 1.0, 0.0, 5.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",1,False,False,0,1.7,0.8025,rf,0.0,1.0,1.0
compas,0,42,4,5,1,"[26, 1, 0, 5, 1, 0, 1, 0, 1, 0]",1,1,"[26.0, 1.0, 0.0, 5.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",1,False,False,0,1.703,0.8025,rf,0.0,1.0,1.0
compas,0,42,4,5,2,"[26, 1, 0, 5, 1, 0, 1, 0, 1, 0]",1,1,"[26.0, 1.0, 0.0, 5.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",1,False,False,0,1.699,0.8025,rf,0.0,1.0,1.0
compas,0,42,4,5,3,"[26, 1, 0, 5, 1, 0, 1, 0, 1, 0]",1,1,"[26.0, 1.0, 0.0, 5.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",1,False,False,0,1.693,0.8025,rf,0.0,1.0,1.0
compas,0,42,4,5,4,"[26, 1, 0, 5, 1, 0, 1, 0, 1, 0]",1,1,"[26.0, 1.0, 0.0, 5.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",1,False,False,0,1.694,0.8025,rf,0.0,1.0,1.0
compas,0,42,4,6,0,"[33, 1, 0, 0, 0, 0, 1, 1, 1, 37]",1,1,"[33.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 37.0]",1,False,False,0,1.668,0.8025,rf,0.0,1.0,1.0
compas,0,42,4,6,1,"[33, 1, 0, 0, 0, 0, 1, 1, 1, 37]",1,1,"[33.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 37.0]",1,False,False,0,1.668,0.8025,rf,0.0,1.0,1.0
compas,0,42,4,6,2,"[33, 1, 0, 0, 0, 0, 1, 1, 1, 37]",1,1,"[33.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 37.0]",1,False,False,0,1.662,0.8025,rf,0.0,1.0,1.0
compas,0,42,4,6,3,"[33, 1, 0, 0, 0, 0, 1, 1, 1, 37]",1,1,"[33.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 37.0]",1,False,False,0,1.663,0.8025,rf,0.0,1.0,1.0
compas,0,42,4,6,4,"[33, 1, 0, 0, 0, 0, 1, 1, 1, 37]",1,1,"[33.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 37.0]",1,False,False,0,1.687,0.8025,rf,0.0,1.0,1.0
compas,0,42,4,11,0,"[31, 1, 0, 15, 1, 0, 1, 0, 0, 135]",1,0,"[35.69107344955388, 1.0, 0.0, 13.091418778717482, -0.3430995476938701, 0.0, 0.0, 0.0, 1.0, 135.0]",1,False,False,0,10.04,0.8025,rf,0.20774132746353413,1.353870663731767,0.5
compas,0,42,4,11,1,"[31, 1, 0, 15, 1, 0, 1, 0, 0, 135]",1,0,"[35.55826935002331, 0.0, 1.0, 13.281282784851653, -0.9255298449239051, 0.0, 1.0, 0.0, 1.0, 135.0]",0,False,False,0,9.804,0.8025,rf,0.30743804309656275,0.4537190215482814,0.3999999999999999
compas,0,42,4,11,2,"[31, 1, 0, 15, 1, 0, 1, 0, 0, 135]",1,0,"[35.92517142663513, 0.0, 0.0, 13.029103111921582, -0.6736469616941012, 0.0, 1.0, 0.0, 1.0, 135.0]",1,False,False,0,10.314,0.8025,rf,0.20811667408606735,1.3540583370430337,0.5
