dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc,blackbox,gower_dist,loss
compas,0,42,1,0,0,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[24.0, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",1,False,False,0,8.096,0.8175,rf,0.0,1.0
compas,0,42,1,0,1,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[24.0, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",1,False,False,0,8.219,0.8175,rf,0.0,1.0
compas,0,42,1,0,2,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[24.0, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",1,False,False,0,8.204,0.8175,rf,0.0,1.0
compas,0,42,1,0,3,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[24.0, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",1,False,False,0,8.231,0.8175,rf,0.0,1.0
compas,0,42,1,0,4,"[24, 1, 0, 4, 1, 0, 1, 0, 1, 1]",1,0,"[24.0, 1.0, 0.0, 4.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",1,False,False,0,8.196,0.8175,rf,0.0,1.0
compas,0,42,1,8,0,"[25, 1, 2, 9, 1, 1, 1, 1, 1, 6]",1,1,"[25.0, 1.0, 2.0, 9.0, 1.0, 1.0, 1.0, 1.0, 1.0, 6.0]",1,False,False,0,28.282,0.8175,rf,0.0,1.0
compas,0,42,1,8,1,"[25, 1, 2, 9, 1, 1, 1, 1, 1, 6]",1,1,"[25.0, 1.0, 2.0, 9.0, 1.0, 1.0, 1.0, 1.0, 1.0, 6.0]",1,False,False,0,28.233,0.8175,rf,0.0,1.0
compas,0,42,1,8,2,"[25, 1, 2, 9, 1, 1, 1, 1, 1, 6]",1,1,"[25.0, 1.0, 2.0, 9.0, 1.0, 1.0, 1.0, 1.0, 1.0, 6.0]",1,False,False,0,28.263,0.8175,rf,0.0,1.0
compas,0,42,1,8,3,"[25, 1, 2, 9, 1, 1, 1, 1, 1, 6]",1,1,"[25.0, 1.0, 2.0, 9.0, 1.0, 1.0, 1.0, 1.0, 1.0, 6.0]",1,False,False,0,28.269,0.8175,rf,0.0,1.0
compas,0,42,1,8,4,"[25, 1, 2, 9, 1, 1, 1, 1, 1, 6]",1,1,"[25.0, 1.0, 2.0, 9.0, 1.0, 1.0, 1.0, 1.0, 1.0, 6.0]",1,False,False,0,28.194,0.8175,rf,0.0,1.0
compas,0,42,1,15,0,"[41, 1, 0, 10, 0, 0, 1, 0, 1, 176]",1,1,"[41.0, 1.0, 0.0, 10.0, 0.0, 0.0, 1.0, 0.0, 1.0, 176.0]",1,False,False,0,55.255,0.8175,rf,0.0,1.0
