dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc
compas,0,42,2,3,0,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[51.02430944578493, 1.0, 0.0, 8.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",0,False,False,0,10.986,0.7825
compas,0,42,2,3,1,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[51.152801306993894, 1.0, 0.0, 8.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",0,False,False,0,11.196,0.7825
compas,0,42,2,3,2,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[51.01834993798104, 1.0, 0.0, 8.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",0,False,False,0,11.18,0.7825
compas,0,42,2,3,3,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[51.067526382444804, 1.0, 0.0, 8.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",0,False,False,0,11.152,0.7825
compas,0,42,2,3,4,"[27, 1, 0, 8, 1, 0, 1, 1, 1, 17]",1,0,"[51.001872057120906, 1.0, 0.0, 8.0, 1.0, 0.0, 1.0, 1.0, 1.0, 17.0]",0,False,False,0,11.328,0.7825
compas,0,42,2,5,0,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[21.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 79.0]",0,False,False,0,10.066,0.7825
compas,0,42,2,5,1,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[24.50121746892, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 79.0]",0,False,False,0,10.105,0.7825
compas,0,42,2,5,2,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[24.500430362618047, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 79.0]",0,False,False,0,10.074,0.7825
compas,0,42,2,5,3,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[24.50473534953705, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 79.0]",0,False,False,0,10.139,0.7825
compas,0,42,2,5,4,"[21, 0, 0, 2, 1, 0, 0, 0, 0, 79]",1,1,"[24.50723282272181, 0.0, 0.0, 2.0, 1.0, 0.0, 0.0, 0.0, 0.0, 79.0]",0,False,False,0,10.104,0.7825
compas,0,42,2,8,0,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[25.502852116949338, 1.0, 0.0, 2.0, 70.0, 0.0, 1.0, 0.0, 1.0, 124.0]",0,False,False,0,11.132,0.7825
compas,0,42,2,8,1,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[25.51385937932883, 1.0, 0.0, 2.0, 70.0, 0.0, 1.0, 0.0, 1.0, 124.0]",0,False,False,0,11.109,0.7825
compas,0,42,2,8,2,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[25.50856895840451, 1.0, 0.0, 2.0, 70.0, 0.0, 1.0, 0.0, 1.0, 124.0]",0,False,False,0,11.024,0.7825
compas,0,42,2,8,3,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[25.510364037815528, 1.0, 0.0, 2.0, 70.0, 0.0, 1.0, 0.0, 1.0, 124.0]",0,False,False,0,11.155,0.7825
compas,0,42,2,8,4,"[22, 1, 0, 2, 70, 0, 1, 0, 1, 124]",1,1,"[25.513940915167645, 1.0, 0.0, 2.0, 70.0, 0.0, 1.0, 0.0, 1.0, 124.0]",0,False,False,0,11.053,0.7825
compas,0,42,2,15,0,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[30.0, 1.0, 0.0, 8.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,False,False,0,11.402,0.7825
compas,0,42,2,15,1,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[30.00419692213787, 1.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,False,False,0,11.713,0.7825
compas,0,42,2,15,2,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[30.054224718029843, 1.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,False,False,0,11.922,0.7825
compas,0,42,2,15,3,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[30.0, 1.0, 0.0, 8.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,False,False,0,11.762,0.7825
compas,0,42,2,15,4,"[30, 1, 0, 8, 1, 1, 1, 1, 1, 1]",1,1,"[30.02766083135156, 1.0, 0.0, 8.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0,False,False,0,11.777,0.7825
compas,0,42,2,19,0,"[36, 1, 0, 9, 0, 0, 1, 0, 1, 3]",1,1,"[36.04272649329318, 1.0, 0.0, 9.0, 0.0, 0.0, 1.0, 0.0, 1.0, 3.0]",0,False,False,0,11.216,0.7825
compas,0,42,2,19,1,"[36, 1, 0, 9, 0, 0, 1, 0, 1, 3]",1,1,"[36.01794141033854, 1.0, 0.0, 9.0, 0.0, 0.0, 1.0, 0.0, 1.0, 3.0]",0,False,False,0,11.373,0.7825
compas,0,42,2,19,2,"[36, 1, 0, 9, 0, 0, 1, 0, 1, 3]",1,1,"[36.00666779948439, 1.0, 0.0, 9.0, 0.0, 0.0, 1.0, 0.0, 1.0, 3.0]",0,False,False,0,11.408,0.7825
compas,0,42,2,19,3,"[36, 1, 0, 9, 0, 0, 1, 0, 1, 3]",1,1,"[36.008037355341706, 1.0, 0.0, 9.0, 0.0, 0.0, 1.0, 0.0, 1.0, 3.0]",0,False,False,0,11.324,0.7825
compas,0,42,2,19,4,"[36, 1, 0, 9, 0, 0, 1, 0, 1, 3]",1,1,"[36.02546795506156, 1.0, 0.0, 9.0, 0.0, 0.0, 1.0, 0.0, 1.0, 3.0]",0,False,False,0,10.935,0.7825
compas,0,42,2,22,0,"[59, 1, 0, 14, 178, 0, 1, 1, 1, 109]",1,1,"[59.0, 1.0, 0.0, 11.490539543031883, 178.0, 0.0, 1.0, 1.0, 1.0, 109.0]",0,False,False,0,10.643,0.7825
compas,0,42,2,22,1,"[59, 1, 0, 14, 178, 0, 1, 1, 1, 109]",1,1,"[59.0, 1.0, 0.0, 11.484035191944306, 178.0, 0.0, 1.0, 1.0, 1.0, 109.0]",0,False,False,0,10.619,0.7825
compas,0,42,2,22,2,"[59, 1, 0, 14, 178, 0, 1, 1, 1, 109]",1,1,"[59.0, 1.0, 0.0, 11.475985570118102, 178.0, 0.0, 1.0, 1.0, 1.0, 109.0]",0,False,False,0,10.591,0.7825
compas,0,42,2,22,3,"[59, 1, 0, 14, 178, 0, 1, 1, 1, 109]",1,1,"[59.0, 1.0, 0.0, 11.480192229300744, 178.0, 0.0, 1.0, 1.0, 1.0, 109.0]",0,False,False,0,10.621,0.7825
compas,0,42,2,22,4,"[59, 1, 0, 14, 178, 0, 1, 1, 1, 109]",1,1,"[59.0, 1.0, 0.0, 11.492690645866453, 178.0, 0.0, 1.0, 1.0, 1.0, 109.0]",0,False,False,0,10.629,0.7825
compas,0,42,2,23,0,"[21, 1, 0, 3, 1, 0, 1, 0, 1, 6]",1,1,"[22.500900973276025, 1.0, 0.0, 3.0, 1.0, 0.0, 1.0, 0.0, 1.0, 6.0]",0,False,False,0,11.718,0.7825
compas,0,42,2,23,1,"[21, 1, 0, 3, 1, 0, 1, 0, 1, 6]",1,1,"[22.511189259082997, 1.0, 0.0, 3.0, 1.0, 0.0, 1.0, 0.0, 1.0, 6.0]",0,False,False,0,11.62,0.7825
compas,0,42,2,23,2,"[21, 1, 0, 3, 1, 0, 1, 0, 1, 6]",1,1,"[22.500516625265973, 1.0, 0.0, 3.0, 1.0, 0.0, 1.0, 0.0, 1.0, 6.0]",0,False,False,0,11.12,0.7825
compas,0,42,2,23,3,"[21, 1, 0, 3, 1, 0, 1, 0, 1, 6]",1,1,"[22.506404545090028, 1.0, 0.0, 3.0, 1.0, 0.0, 1.0, 0.0, 1.0, 6.0]",0,False,False,0,11.573,0.7825
compas,0,42,2,23,4,"[21, 1, 0, 3, 1, 0, 1, 0, 1, 6]",1,1,"[22.5627322128244, 1.0, 0.0, 3.0, 1.0, 0.0, 1.0, 0.0, 1.0, 6.0]",0,False,False,0,11.598,0.7825
compas,0,42,2,28,0,"[31, 1, 2, 13, 1, 0, 1, 1, 1, 471]",1,1,"[53.530756012379605, 1.0, 2.0, 13.0, 1.0, 0.0, 1.0, 1.0, 1.0, 471.0]",0,False,False,0,10.427,0.7825
compas,0,42,2,28,1,"[31, 1, 2, 13, 1, 0, 1, 1, 1, 471]",1,1,"[31.0, 1.0, 2.0, 13.0, 323.11180441091767, 0.0, 1.0, 1.0, 1.0, 471.0]",0,False,False,0,10.482,0.7825
compas,0,42,2,28,2,"[31, 1, 2, 13, 1, 0, 1, 1, 1, 471]",1,1,"[53.51394495771669, 1.0, 2.0, 13.0, 1.0, 0.0, 1.0, 1.0, 1.0, 471.0]",0,False,False,0,10.46,0.7825
compas,0,42,2,28,3,"[31, 1, 2, 13, 1, 0, 1, 1, 1, 471]",1,1,"[53.513871739552634, 1.0, 2.0, 13.0, 1.0, 0.0, 1.0, 1.0, 1.0, 471.0]",0,False,False,0,10.477,0.7825
compas,0,42,2,28,4,"[31, 1, 2, 13, 1, 0, 1, 1, 1, 471]",1,1,"[53.515327602926476, 1.0, 2.0, 13.0, 1.0, 0.0, 1.0, 1.0, 1.0, 471.0]",0,False,False,0,10.518,0.7825
compas,0,42,2,30,0,"[33, 1, 0, 19, 1, 0, 1, 0, 1, 0]",1,1,"[58.00029795195003, 1.0, 0.0, 19.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,False,False,0,10.305,0.7825
compas,0,42,2,30,1,"[33, 1, 0, 19, 1, 0, 1, 0, 1, 0]",1,1,"[58.00822854802349, 1.0, 0.0, 19.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,False,False,0,10.33,0.7825
compas,0,42,2,30,2,"[33, 1, 0, 19, 1, 0, 1, 0, 1, 0]",1,1,"[33.0, 1.0, 0.0, 6.211798154921977, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,False,False,0,10.408,0.7825
compas,0,42,2,30,3,"[33, 1, 0, 19, 1, 0, 1, 0, 1, 0]",1,1,"[58.02758707650758, 1.0, 0.0, 19.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,False,False,0,10.316,0.7825
compas,0,42,2,30,4,"[33, 1, 0, 19, 1, 0, 1, 0, 1, 0]",1,1,"[58.004346395983625, 1.0, 0.0, 19.0, 1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,False,False,0,10.38,0.7825
compas,0,42,2,41,0,"[32, 1, 0, 13, 289, 0, 1, 0, 1, 97]",1,1,"[58.501554300353796, 1.0, 0.0, 13.0, 289.0, 0.0, 1.0, 0.0, 1.0, 97.0]",0,False,False,0,9.785,0.7825
compas,0,42,2,41,1,"[32, 1, 0, 13, 289, 0, 1, 0, 1, 97]",1,1,"[58.501087344593785, 1.0, 0.0, 13.0, 289.0, 0.0, 1.0, 0.0, 1.0, 97.0]",0,False,False,0,9.822,0.7825
compas,0,42,2,41,2,"[32, 1, 0, 13, 289, 0, 1, 0, 1, 97]",1,1,"[32.0, 1.0, 0.0, 2.0838096035357245, 289.0, 0.0, 1.0, 0.0, 1.0, 97.0]",0,False,False,0,9.825,0.7825
compas,0,42,2,41,3,"[32, 1, 0, 13, 289, 0, 1, 0, 1, 97]",1,1,"[32.0, 1.0, 0.0, 4.045772642998957, 289.0, 0.0, 1.0, 0.0, 1.0, 97.0]",0,False,False,0,9.831,0.7825
compas,0,42,2,41,4,"[32, 1, 0, 13, 289, 0, 1, 0, 1, 97]",1,1,"[32.0, 1.0, 0.0, 0.4021026654884463, 289.0, 0.0, 1.0, 0.0, 1.0, 97.0]",0,False,False,0,9.818,0.7825
compas,0,42,2,54,0,"[37, 1, 2, 0, 1, 0, 1, 0, 1, 35]",1,0,"[37.0, 1.0, 2.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 29.464782823946976]",0,False,False,0,12.253,0.7825
compas,0,42,2,54,1,"[37, 1, 2, 0, 1, 0, 1, 0, 1, 35]",1,0,"[37.0, 1.0, 2.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 29.3947661456518]",0,False,False,0,12.328,0.7825
compas,0,42,2,54,2,"[37, 1, 2, 0, 1, 0, 1, 0, 1, 35]",1,0,"[37.0, 1.0, 2.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 29.354644147721952]",0,False,False,0,12.291,0.7825
compas,0,42,2,54,3,"[37, 1, 2, 0, 1, 0, 1, 0, 1, 35]",1,0,"[37.0, 1.0, 2.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 29.3297388880545]",0,False,False,0,12.065,0.7825
compas,0,42,2,54,4,"[37, 1, 2, 0, 1, 0, 1, 0, 1, 35]",1,0,"[37.0, 1.0, 2.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 29.24765052921948]",0,False,False,0,12.116,0.7825
compas,0,42,2,55,0,"[26, 1, 0, 4, 649, 1, 0, 0, 0, 75]",1,1,"[37.519827545593586, 1.0, 0.0, 4.0, 649.0, 1.0, 0.0, 0.0, 0.0, 75.0]",0,False,False,0,10.001,0.7825
compas,0,42,2,55,1,"[26, 1, 0, 4, 649, 1, 0, 0, 0, 75]",1,1,"[37.504637114324886, 1.0, 0.0, 4.0, 649.0, 1.0, 0.0, 0.0, 0.0, 75.0]",0,False,False,0,9.973,0.7825
compas,0,42,2,55,2,"[26, 1, 0, 4, 649, 1, 0, 0, 0, 75]",1,1,"[37.50330936079414, 1.0, 0.0, 4.0, 649.0, 1.0, 0.0, 0.0, 0.0, 75.0]",0,False,False,0,9.942,0.7825
compas,0,42,2,55,3,"[26, 1, 0, 4, 649, 1, 0, 0, 0, 75]",1,1,"[37.502566203467595, 1.0, 0.0, 4.0, 649.0, 1.0, 0.0, 0.0, 0.0, 75.0]",0,False,False,0,9.991,0.7825
compas,0,42,2,55,4,"[26, 1, 0, 4, 649, 1, 0, 0, 0, 75]",1,1,"[37.51263700069935, 1.0, 0.0, 4.0, 649.0, 1.0, 0.0, 0.0, 0.0, 75.0]",0,False,False,0,9.986,0.7825
compas,0,42,2,62,0,"[44, 1, 0, 24, 53, 1, 0, 0, 0, 117]",1,1,"[44.0, 1.0, 0.0, 9.495918096178226, 53.0, 1.0, 0.0, 0.0, 0.0, 117.0]",0,False,False,0,10.437,0.7825
compas,0,42,2,62,1,"[44, 1, 0, 24, 53, 1, 0, 0, 0, 117]",1,1,"[44.0, 1.0, 0.0, 9.491850608596774, 53.0, 1.0, 0.0, 0.0, 0.0, 117.0]",0,False,False,0,10.356,0.7825
compas,0,42,2,62,2,"[44, 1, 0, 24, 53, 1, 0, 0, 0, 117]",1,1,"[44.0, 1.0, 0.0, 9.475564271784506, 53.0, 1.0, 0.0, 0.0, 0.0, 117.0]",0,False,False,0,10.509,0.7825
compas,0,42,2,62,3,"[44, 1, 0, 24, 53, 1, 0, 0, 0, 117]",1,1,"[44.0, 1.0, 0.0, 9.499097937810774, 53.0, 1.0, 0.0, 0.0, 0.0, 117.0]",0,False,False,0,10.453,0.7825
compas,0,42,2,62,4,"[44, 1, 0, 24, 53, 1, 0, 0, 0, 117]",1,1,"[44.0, 1.0, 0.0, 9.484466032256154, 53.0, 1.0, 0.0, 0.0, 0.0, 117.0]",0,False,False,0,10.444,0.7825
compas,0,42,2,72,0,"[19, 1, 0, 2, 1, 0, 1, 0, 1, 1]",1,1,"[21.520800659372483, 1.0, 0.0, 2.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",0,False,False,0,12.203,0.7825
