dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss,sparsity
credit,1,42,0,0,0,"[2, 48, 3, 9, 7582, 2, 1, 2, 2, 0, 4, 4, 31, 2, 2, 1, 4, 2, 1, 1]",0,1,"[2.0, 34.59357108956393, 3.0, 9.0, 7582.0, 2.0, 1.0, 2.0, 2.0, 0.0, 4.0, 4.0, 31.0, 2.0, 2.0, 1.0, 4.0, 2.0, 1.0, 1.0]",1,True,False,0,2.847,nn,0.74,0.009310020076691716,0.02965501003834586,0.95
credit,1,42,0,0,1,"[2, 48, 3, 9, 7582, 2, 1, 2, 2, 0, 4, 4, 31, 2, 2, 1, 4, 2, 1, 1]",0,1,"[2.0, 34.6951276737436, 3.0, 9.0, 7582.0, 2.0, 1.0, 2.0, 2.0, 0.0, 4.0, 4.0, 31.0, 2.0, 2.0, 1.0, 4.0, 2.0, 1.0, 1.0]",1,True,False,0,2.821,nn,0.74,0.00923949467101139,0.029619747335505694,0.95
credit,1,42,0,0,2,"[2, 48, 3, 9, 7582, 2, 1, 2, 2, 0, 4, 4, 31, 2, 2, 1, 4, 2, 1, 1]",0,1,"[2.0, 34.658073202662585, 3.0, 9.0, 7582.0, 2.0, 1.0, 2.0, 2.0, 0.0, 4.0, 4.0, 31.0, 2.0, 2.0, 1.0, 4.0, 2.0, 1.0, 1.0]",1,True,False,0,2.781,nn,0.74,0.009265226942595427,0.029632613471297715,0.95
credit,1,42,0,0,3,"[2, 48, 3, 9, 7582, 2, 1, 2, 2, 0, 4, 4, 31, 2, 2, 1, 4, 2, 1, 1]",0,1,"[2.0, 34.69307249117384, 3.0, 9.0, 7582.0, 2.0, 1.0, 2.0, 2.0, 0.0, 4.0, 4.0, 31.0, 2.0, 2.0, 1.0, 4.0, 2.0, 1.0, 1.0]",1,True,False,0,2.765,nn,0.74,0.00924092188112928,0.02962046094056464,0.95
credit,1,42,0,0,4,"[2, 48, 3, 9, 7582, 2, 1, 2, 2, 0, 4, 4, 31, 2, 2, 1, 4, 2, 1, 1]",0,1,"[2.0, 34.637600778548055, 3.0, 9.0, 7582.0, 2.0, 1.0, 2.0, 2.0, 0.0, 4.0, 4.0, 31.0, 2.0, 2.0, 1.0, 4.0, 2.0, 1.0, 1.0]",1,True,False,0,2.772,nn,0.74,0.009279443903786072,0.029639721951893037,0.95
credit,1,42,0,23,0,"[2, 30, 0, 8, 4221, 1, 3, 2, 1, 0, 1, 3, 28, 2, 2, 2, 3, 2, 0, 1]",0,1,"[2.0, 19.912242094458023, 0.0, 8.0, 4221.0, 1.0, 3.0, 2.0, 1.0, 0.0, 1.0, 3.0, 28.0, 2.0, 2.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,True,False,0,2.848,nn,0.74,0.007005387434404151,0.028502693717202078,0.95
credit,1,42,0,23,1,"[2, 30, 0, 8, 4221, 1, 3, 2, 1, 0, 1, 3, 28, 2, 2, 2, 3, 2, 0, 1]",0,1,"[2.0, 19.832572473012377, 0.0, 8.0, 4221.0, 1.0, 3.0, 2.0, 1.0, 0.0, 1.0, 3.0, 28.0, 2.0, 2.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,True,False,0,2.826,nn,0.74,0.007060713560408072,0.028530356780204037,0.95
credit,1,42,0,23,2,"[2, 30, 0, 8, 4221, 1, 3, 2, 1, 0, 1, 3, 28, 2, 2, 2, 3, 2, 0, 1]",0,1,"[2.0, 20.085839023209687, 0.0, 8.0, 4221.0, 1.0, 3.0, 2.0, 1.0, 0.0, 1.0, 3.0, 28.0, 2.0, 2.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,True,False,0,2.79,nn,0.74,0.006884834011659941,0.028442417005829973,0.95
credit,1,42,0,23,3,"[2, 30, 0, 8, 4221, 1, 3, 2, 1, 0, 1, 3, 28, 2, 2, 2, 3, 2, 0, 1]",0,1,"[2.0, 19.893614324222, 0.0, 8.0, 4221.0, 1.0, 3.0, 2.0, 1.0, 0.0, 1.0, 3.0, 28.0, 2.0, 2.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,True,False,0,2.791,nn,0.74,0.007018323385956944,0.028509161692978475,0.95
credit,1,42,0,23,4,"[2, 30, 0, 8, 4221, 1, 3, 2, 1, 0, 1, 3, 28, 2, 2, 2, 3, 2, 0, 1]",0,1,"[2.0, 20.010660107896744, 0.0, 8.0, 4221.0, 1.0, 3.0, 2.0, 1.0, 0.0, 1.0, 3.0, 28.0, 2.0, 2.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,True,False,0,2.8,nn,0.74,0.006937041591738373,0.028468520795869187,0.95
