dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc
credit,1,42,0,0,0,"[2, 48, 3, 9, 7582, 2, 1, 2, 2, 0, 4, 4, 31, 2, 2, 1, 4, 2, 1, 1]",0,1,"[2.0, 22.264945369253518, 3.0, 9.0, 7582.0, 2.0, 1.0, 2.0, 2.0, 0.0, 4.0, 4.0, 31.0, 2.0, 2.0, 1.0, 4.0, 2.0, 1.0, 1.0]",1,True,False,16,38.479,nn,0.74
credit,1,42,0,0,1,"[2, 48, 3, 9, 7582, 2, 1, 2, 2, 0, 4, 4, 31, 2, 2, 1, 4, 2, 1, 1]",0,1,"[2.0, 25.66199397615887, 3.0, 9.0, 7582.0, 2.0, 1.0, 2.0, 2.0, 0.0, 4.0, 4.0, 31.0, 2.0, 2.0, 1.0, 4.0, 2.0, 1.0, 1.0]",1,True,False,16,39.481,nn,0.74
credit,1,42,0,0,2,"[2, 48, 3, 9, 7582, 2, 1, 2, 2, 0, 4, 4, 31, 2, 2, 1, 4, 2, 1, 1]",0,1,"[2.0, 21.442704026061477, 3.0, 9.0, 7582.0, 2.0, 1.0, 2.0, 2.0, 0.0, 4.0, 4.0, 31.0, 2.0, 2.0, 1.0, 4.0, 2.0, 1.0, 1.0]",1,True,False,16,38.475,nn,0.74
credit,1,42,0,0,3,"[2, 48, 3, 9, 7582, 2, 1, 2, 2, 0, 4, 4, 31, 2, 2, 1, 4, 2, 1, 1]",0,1,"[2.0, 22.543818617979852, 3.0, 9.0, 7582.0, 2.0, 1.0, 2.0, 2.0, 0.0, 4.0, 4.0, 31.0, 2.0, 2.0, 1.0, 4.0, 2.0, 1.0, 1.0]",1,True,False,16,38.753,nn,0.74
credit,1,42,0,0,4,"[2, 48, 3, 9, 7582, 2, 1, 2, 2, 0, 4, 4, 31, 2, 2, 1, 4, 2, 1, 1]",0,1,"[2.0, 18.07494255766936, 3.0, 9.0, 7582.0, 2.0, 1.0, 2.0, 2.0, 0.0, 4.0, 4.0, 31.0, 2.0, 2.0, 1.0, 4.0, 2.0, 1.0, 1.0]",1,True,False,16,38.976,nn,0.74
credit,1,42,0,23,0,"[2, 30, 0, 8, 4221, 1, 3, 2, 1, 0, 1, 3, 28, 2, 2, 2, 3, 2, 0, 1]",0,1,"[2.0312320368731838, 18.104098234900473, 0.0, 8.0, 4221.0, 1.0, 3.0, 2.0, 1.0, 0.0, 1.0, 3.0, 28.0, 2.0, 2.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,True,False,16,38.803,nn,0.74
credit,1,42,0,23,1,"[2, 30, 0, 8, 4221, 1, 3, 2, 1, 0, 1, 3, 28, 2, 2, 2, 3, 2, 0, 1]",0,1,"[1.9557929642736105, 18.328295111348936, 0.0, 8.0, 4221.0, 1.0, 3.0, 2.0, 1.0, 0.0, 1.0, 3.0, 28.0, 2.0, 2.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,True,False,16,39.516,nn,0.74
credit,1,42,0,23,2,"[2, 30, 0, 8, 4221, 1, 3, 2, 1, 0, 1, 3, 28, 2, 2, 2, 3, 2, 0, 1]",0,1,"[2.0401727000455514, 17.369076574374, 0.0, 8.0, 4221.0, 1.0, 3.0, 2.0, 1.0, 0.0, 1.0, 3.0, 28.0, 2.0, 2.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,True,False,16,39.566,nn,0.74
credit,1,42,0,23,3,"[2, 30, 0, 8, 4221, 1, 3, 2, 1, 0, 1, 3, 28, 2, 2, 2, 3, 2, 0, 1]",0,1,"[2.188440082892269, 21.558683112953858, 0.0, 8.0, 4221.0, 1.0, 3.0, 2.0, 1.0, 0.0, 1.0, 3.0, 28.0, 2.0, 2.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,True,False,16,39.297,nn,0.74
credit,1,42,0,23,4,"[2, 30, 0, 8, 4221, 1, 3, 2, 1, 0, 1, 3, 28, 2, 2, 2, 3, 2, 0, 1]",0,1,"[2.1571976943600757, 13.871377079310008, 0.0, 8.0, 4221.0, 1.0, 3.0, 2.0, 1.0, 0.0, 1.0, 3.0, 28.0, 2.0, 2.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,True,False,16,38.2,nn,0.74
credit,1,42,0,26,0,"[4, 24, 2, 3, 1533, 1, 2, 4, 1, 0, 3, 3, 38, 1, 2, 1, 3, 2, 1, 1]",0,1,"[4.0, 18.726144588291962, 2.0, 3.0, 1533.0, 1.0, 2.0, 4.0, 1.0, 0.0, 3.0, 3.0, 38.0, 1.0, 2.0, 1.0, 3.0, 2.0, 1.0, 1.0]",1,True,False,16,38.804,nn,0.74
credit,1,42,0,26,1,"[4, 24, 2, 3, 1533, 1, 2, 4, 1, 0, 3, 3, 38, 1, 2, 1, 3, 2, 1, 1]",0,1,"[4.0, 17.631560432297114, 2.0, 3.0, 1533.0, 1.0, 2.0, 4.0, 1.0, 0.0, 3.0, 3.0, 38.0, 1.0, 2.0, 1.0, 3.0, 2.0, 1.0, 1.0]",1,True,False,16,39.905,nn,0.74
credit,1,42,0,26,2,"[4, 24, 2, 3, 1533, 1, 2, 4, 1, 0, 3, 3, 38, 1, 2, 1, 3, 2, 1, 1]",0,1,"[4.0, 17.98480618455099, 2.0, 3.0, 1533.0, 1.0, 2.0, 4.0, 1.0, 0.0, 3.0, 3.0, 38.0, 1.0, 2.0, 1.0, 3.0, 2.0, 1.0, 1.0]",1,True,False,16,39.962,nn,0.74
credit,1,42,0,26,3,"[4, 24, 2, 3, 1533, 1, 2, 4, 1, 0, 3, 3, 38, 1, 2, 1, 3, 2, 1, 1]",0,1,"[4.0, 17.41603448586899, 2.0, 3.0, 1533.0, 1.0, 2.0, 4.0, 1.0, 0.0, 3.0, 3.0, 38.0, 1.0, 2.0, 1.0, 3.0, 2.0, 1.0, 1.0]",1,True,False,16,39.124,nn,0.74
credit,1,42,0,26,4,"[4, 24, 2, 3, 1533, 1, 2, 4, 1, 0, 3, 3, 38, 1, 2, 1, 3, 2, 1, 1]",0,1,"[4.0, 16.353830457327902, 2.0, 3.0, 1533.0, 1.0, 2.0, 4.0, 1.0, 0.0, 3.0, 3.0, 38.0, 1.0, 2.0, 1.0, 3.0, 2.0, 1.0, 1.0]",1,True,False,16,37.979,nn,0.74
credit,1,42,0,36,0,"[1, 24, 1, 0, 2325, 2, 4, 2, 2, 0, 3, 3, 32, 0, 2, 1, 3, 2, 0, 1]",0,1,"[3.595533896518627, 24.0, 1.0, 0.0, 2325.0, 2.0, 4.0, 2.0, 2.0, 0.0, 3.0, 3.0, 32.0, 0.0, 2.0, 1.0, 3.0, 2.0, 0.0, 1.0]",1,True,False,16,39.119,nn,0.74
credit,1,42,0,36,1,"[1, 24, 1, 0, 2325, 2, 4, 2, 2, 0, 3, 3, 32, 0, 2, 1, 3, 2, 0, 1]",0,1,"[3.657962029069567, 24.0, 1.0, 0.0, 2325.0, 2.0, 4.0, 2.0, 2.0, 0.0, 3.0, 3.0, 32.0, 0.0, 2.0, 1.0, 3.0, 2.0, 0.0, 1.0]",1,True,False,16,38.507,nn,0.74
credit,1,42,0,36,2,"[1, 24, 1, 0, 2325, 2, 4, 2, 2, 0, 3, 3, 32, 0, 2, 1, 3, 2, 0, 1]",0,1,"[3.519880845104522, 24.0, 1.0, 0.0, 2325.0, 2.0, 4.0, 2.0, 2.0, 0.0, 3.0, 3.0, 32.0, 0.0, 2.0, 1.0, 3.0, 2.0, 0.0, 1.0]",1,True,False,16,38.662,nn,0.74
