dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss,sparsity
credit,1,42,2,4,0,"[2, 24, 2, 3, 3758, 3, 1, 1, 1, 0, 4, 4, 23, 2, 1, 1, 1, 2, 0, 1]",0,1,"[2, 24, 2, 3, 3758, 4, 1, 1, 1, 0, 4, 4, 23, 2, 1, 1, 1, 2, 0, 1]",1,False,False,0,20.399,nn,0.73,0.0125,0.03125,0.95
credit,1,42,2,4,1,"[2, 24, 2, 3, 3758, 3, 1, 1, 1, 0, 4, 4, 23, 2, 1, 1, 1, 2, 0, 1]",0,1,"[2, 24, 2, 3, 3758, 3, 1, 1, 1, 0, 4, 4, 23, 2, 1, 1, 1, 2, 0, 1]",0,False,False,0,20.622,nn,0.73,0.0,1.0,1.0
credit,1,42,2,4,2,"[2, 24, 2, 3, 3758, 3, 1, 1, 1, 0, 4, 4, 23, 2, 1, 1, 1, 2, 0, 1]",0,1,"[2, 24, 2, 3, 3758, 3, 2, 1, 1, 0, 4, 3, 23, 2, 1, 1, 1, 2, 0, 1]",1,False,False,0,20.923,nn,0.73,0.029166666666666664,0.06458333333333334,0.9
credit,1,42,2,10,0,"[1, 12, 2, 2, 652, 1, 5, 4, 1, 0, 4, 2, 24, 2, 1, 1, 3, 2, 0, 1]",0,1,"[1, 12, 2, 2, 652, 1, 5, 4, 1, 0, 4, 2, 24, 2, -15, 1, 3, 2, 0, 1]",0,False,False,0,21.38,nn,0.73,0.4,1.225,0.95
credit,1,42,2,10,1,"[1, 12, 2, 2, 652, 1, 5, 4, 1, 0, 4, 2, 24, 2, 1, 1, 3, 2, 0, 1]",0,1,"[1, 3, 2, 2, 779, 1, 5, 4, 1, 0, 4, 2, 24, 2, 1, 1, 3, 2, 0, 1]",1,False,False,0,20.718,nn,0.73,0.006571518987341773,0.05328575949367089,0.9
credit,1,42,2,10,2,"[1, 12, 2, 2, 652, 1, 5, 4, 1, 0, 4, 2, 24, 2, 1, 1, 3, 2, 0, 1]",0,1,"[1, 6, 2, 2, 652, 1, 5, 4, 1, 0, 4, 2, 24, 2, 1, 1, 3, 2, 0, 1]",1,False,False,0,20.212,nn,0.73,0.004166666666666667,0.027083333333333334,0.95
credit,1,42,2,13,0,"[1, 12, 3, 0, 1344, 1, 3, 4, 2, 0, 2, 1, 43, 2, 2, 2, 2, 1, 0, 1]",0,1,"[1, 12, 3, 0, 1382, 1, 3, 4, 2, 0, 2, 1, 43, 2, 2, 2, 2, 1, 0, 1]",1,False,False,0,20.391,nn,0.73,9.620253164556962e-05,0.025048101265822787,0.95
credit,1,42,2,13,1,"[1, 12, 3, 0, 1344, 1, 3, 4, 2, 0, 2, 1, 43, 2, 2, 2, 2, 1, 0, 1]",0,1,"[1, 12, 3, 0, 1344, 1, 3, 4, 2, 0, 2, 1, 43, 2, 2, 2, 2, 1, 0, 1]",0,False,False,0,19.4,nn,0.73,0.0,1.0,1.0
credit,1,42,2,13,2,"[1, 12, 3, 0, 1344, 1, 3, 4, 2, 0, 2, 1, 43, 2, 2, 2, 2, 1, 0, 1]",0,1,"[1, 12, 3, 0, 2030, 1, 3, 4, 2, 0, 2, 1, 43, 2, 2, 2, 2, 1, 0, 1]",1,False,False,0,19.518,nn,0.73,0.0017367088607594936,0.02586835443037975,0.95
credit,1,42,2,20,0,"[2, 36, 2, 3, 4795, 1, 2, 4, 1, 0, 1, 4, 30, 2, 2, 1, 4, 2, 1, 1]",0,1,"[-14, 47, 2, 3, 4795, 1, -14, 4, 1, 0, 1, 4, 30, 2, 2, 1, 4, 2, 1, 1]",0,False,False,0,21.041,nn,0.73,0.47430555555555554,1.3121527777777777,0.85
credit,1,42,2,20,1,"[2, 36, 2, 3, 4795, 1, 2, 4, 1, 0, 1, 4, 30, 2, 2, 1, 4, 2, 1, 1]",0,1,"[-14, 44, 2, 3, 3489, -15, -13, 4, 1, 0, 1, 4, 30, 2, 2, 1, 4, 2, 1, 1]",0,False,False,0,20.775,nn,0.73,0.6630285513361462,1.4565142756680731,0.75
credit,1,42,2,20,2,"[2, 36, 2, 3, 4795, 1, 2, 4, 1, 0, 1, 4, 30, 2, 2, 1, 4, 2, 1, 1]",0,1,"[-14, 46, 2, 3, 4795, 1, 2, 4, 1, 0, 1, 4, 30, 2, 2, 1, 4, 2, 1, 1]",0,False,False,0,20.736,nn,0.73,0.27361111111111114,1.1868055555555554,0.9
credit,1,42,2,37,0,"[2, 36, 2, 6, 2273, 1, 4, 3, 2, 0, 1, 3, 32, 2, 2, 2, 3, 1, 0, 1]",0,1,"[2, 38, 2, 6, 2273, 1, -12, 3, 2, 0, 1, 3, 32, 2, 2, 2, 3, 1, 0, 1]",0,False,False,0,21.013,nn,0.73,0.2013888888888889,1.1506944444444445,0.9
credit,1,42,2,37,1,"[2, 36, 2, 6, 2273, 1, 4, 3, 2, 0, 1, 3, 32, 2, 2, 2, 3, 1, 0, 1]",0,1,"[2, 43, -13, 6, 2273, 1, 4, 3, 2, 0, -14, 3, 32, 2, 2, 2, 3, 1, 0, 1]",0,False,False,0,20.441,nn,0.73,0.4423611111111111,1.2961805555555554,0.85
credit,1,42,2,37,2,"[2, 36, 2, 6, 2273, 1, 4, 3, 2, 0, 1, 3, 32, 2, 2, 2, 3, 1, 0, 1]",0,1,"[-13, 48, 2, 6, 2273, 1, -12, 3, 2, 0, 1, 3, 32, 2, -14, 2, 3, -15, 0, 1]",0,False,False,0,21.767,nn,0.73,1.6583333333333337,1.9541666666666668,0.75
