dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc,blackbox,gower_dist,loss,sparsity
credit,1,42,0,1,0,"[2, 36, 2, 5, 2384, 1, 2, 4, 2, 0, 1, 4, 33, 2, 1, 1, 2, 2, 0, 1]",0,0,"[2.0, 36.0, 2.0, 5.0, 2384.0, 1.730674067306123, 2.0, 4.0, 2.0, 0.0, 1.0, 4.0, 33.0, 2.0, 1.0, 1.0, 2.0, 2.0, 0.0, 1.0]",1,True,True,0,14.931,0.71,rf,0.009133425841326537,0.02956671292066327,0.95
credit,1,42,0,1,1,"[2, 36, 2, 5, 2384, 1, 2, 4, 2, 0, 1, 4, 33, 2, 1, 1, 2, 2, 0, 1]",0,0,"[2.0, 36.0, 2.0, 5.0, 2384.0, 1.0, 2.0, 4.0, 2.0, 0.0, 1.0, 4.0, 33.0, 2.0, 1.7899393721909915, 1.0, 2.0, 2.0, 0.0, 1.0]",1,True,True,0,15.368,0.71,rf,0.01974848430477479,0.034874242152387394,0.95
credit,1,42,0,1,2,"[2, 36, 2, 5, 2384, 1, 2, 4, 2, 0, 1, 4, 33, 2, 1, 1, 2, 2, 0, 1]",0,0,"[2.0, 36.0, 2.0, 5.0, 2384.0, 1.6649762825367564, 2.0, 4.0, 2.0, 0.0, 1.0, 4.0, 33.0, 2.0, 1.0, 1.0, 2.0, 2.0, 0.0, 1.0]",1,True,True,0,15.131,0.71,rf,0.008312203531709457,0.02915610176585473,0.95
credit,1,42,0,1,3,"[2, 36, 2, 5, 2384, 1, 2, 4, 2, 0, 1, 4, 33, 2, 1, 1, 2, 2, 0, 1]",0,0,"[2.5019096099905687, 36.0, 2.0, 5.0, 2384.0, 1.0, 2.0, 4.0, 2.0, 0.0, 1.0, 4.0, 33.0, 2.0, 1.0, 1.0, 2.0, 2.0, 0.0, 1.0]",1,True,True,0,15.402,0.71,rf,0.008365160166509478,0.02918258008325474,0.95
credit,1,42,0,1,4,"[2, 36, 2, 5, 2384, 1, 2, 4, 2, 0, 1, 4, 33, 2, 1, 1, 2, 2, 0, 1]",0,0,"[2.0, 36.0, 2.0, 5.0, 2384.0, 1.5895994331590129, 2.0, 4.0, 2.0, 0.0, 1.0, 4.0, 33.0, 2.0, 1.0, 1.0, 2.0, 2.0, 0.0, 1.0]",1,True,True,0,15.311,0.71,rf,0.0073699929144876615,0.02868499645724383,0.95
credit,1,42,0,23,0,"[2, 30, 0, 8, 4221, 1, 3, 2, 1, 0, 1, 3, 28, 2, 2, 2, 3, 2, 0, 1]",0,1,"[2.501544550267849, 30.0, 0.0, 8.0, 4221.0, 1.0, 3.0, 2.0, 1.0, 0.0, 1.0, 3.0, 28.0, 2.0, 2.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,True,True,0,14.927,0.71,rf,0.008359075837797485,0.029179537918898744,0.95
credit,1,42,0,23,1,"[2, 30, 0, 8, 4221, 1, 3, 2, 1, 0, 1, 3, 28, 2, 2, 2, 3, 2, 0, 1]",0,1,"[2.0, 30.0, 0.0, 8.0, 4221.0, 2.5096548147191564, 3.0, 2.0, 1.0, 0.0, 1.0, 3.0, 28.0, 2.0, 2.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,True,True,0,14.646,0.71,rf,0.018870685183989457,0.03443534259199473,0.95
credit,1,42,0,23,2,"[2, 30, 0, 8, 4221, 1, 3, 2, 1, 0, 1, 3, 28, 2, 2, 2, 3, 2, 0, 1]",0,1,"[2.0, 30.0, 0.0, 8.0, 4221.0, 2.506375638525959, 3.0, 2.0, 1.0, 0.0, 1.0, 3.0, 28.0, 2.0, 2.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,True,True,0,14.64,0.71,rf,0.01882969548157449,0.03441484774078725,0.95
credit,1,42,0,23,3,"[2, 30, 0, 8, 4221, 1, 3, 2, 1, 0, 1, 3, 28, 2, 2, 2, 3, 2, 0, 1]",0,1,"[2.0, 30.0, 0.0, 8.0, 4221.0, 2.5038121310167853, 3.0, 2.0, 1.0, 0.0, 1.0, 3.0, 28.0, 2.0, 2.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,True,True,0,14.715,0.71,rf,0.018797651637709818,0.03439882581885491,0.95
credit,1,42,0,23,4,"[2, 30, 0, 8, 4221, 1, 3, 2, 1, 0, 1, 3, 28, 2, 2, 2, 3, 2, 0, 1]",0,1,"[2.5007367613277296, 30.0, 0.0, 8.0, 4221.0, 1.0, 3.0, 2.0, 1.0, 0.0, 1.0, 3.0, 28.0, 2.0, 2.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,True,True,0,14.855,0.71,rf,0.008345612688795493,0.02917280634439775,0.95
credit,1,42,0,36,0,"[1, 24, 1, 0, 2325, 2, 4, 2, 2, 0, 3, 3, 32, 0, 2, 1, 3, 2, 0, 1]",0,1,"[2.5002803975340386, 24.0, 1.0, 0.0, 2325.0, 2.0, 4.0, 2.0, 2.0, 0.0, 3.0, 3.0, 32.0, 0.0, 2.0, 1.0, 3.0, 2.0, 0.0, 1.0]",1,True,True,0,14.17,0.71,rf,0.025004673292233978,0.03750233664611699,0.95
credit,1,42,0,36,1,"[1, 24, 1, 0, 2325, 2, 4, 2, 2, 0, 3, 3, 32, 0, 2, 1, 3, 2, 0, 1]",0,1,"[2.5065680024068606, 24.0, 1.0, 0.0, 2325.0, 2.0, 4.0, 2.0, 2.0, 0.0, 3.0, 3.0, 32.0, 0.0, 2.0, 1.0, 3.0, 2.0, 0.0, 1.0]",1,True,True,0,14.207,0.71,rf,0.02510946670678101,0.037554733353390504,0.95
credit,1,42,0,36,2,"[1, 24, 1, 0, 2325, 2, 4, 2, 2, 0, 3, 3, 32, 0, 2, 1, 3, 2, 0, 1]",0,1,"[2.502937913103078, 24.0, 1.0, 0.0, 2325.0, 2.0, 4.0, 2.0, 2.0, 0.0, 3.0, 3.0, 32.0, 0.0, 2.0, 1.0, 3.0, 2.0, 0.0, 1.0]",1,True,True,0,14.188,0.71,rf,0.02504896521838463,0.03752448260919232,0.95
credit,1,42,0,36,3,"[1, 24, 1, 0, 2325, 2, 4, 2, 2, 0, 3, 3, 32, 0, 2, 1, 3, 2, 0, 1]",0,1,"[2.5029136985216582, 24.0, 1.0, 0.0, 2325.0, 2.0, 4.0, 2.0, 2.0, 0.0, 3.0, 3.0, 32.0, 0.0, 2.0, 1.0, 3.0, 2.0, 0.0, 1.0]",1,True,True,0,14.248,0.71,rf,0.02504856164202764,0.03752428082101382,0.95
credit,1,42,0,36,4,"[1, 24, 1, 0, 2325, 2, 4, 2, 2, 0, 3, 3, 32, 0, 2, 1, 3, 2, 0, 1]",0,1,"[2.5001800596231583, 24.0, 1.0, 0.0, 2325.0, 2.0, 4.0, 2.0, 2.0, 0.0, 3.0, 3.0, 32.0, 0.0, 2.0, 1.0, 3.0, 2.0, 0.0, 1.0]",1,True,True,0,14.249,0.71,rf,0.025003000993719306,0.03750150049685966,0.95
credit,1,42,0,53,0,"[1, 24, 1, 2, 2828, 3, 3, 4, 2, 0, 4, 1, 22, 1, 2, 1, 3, 2, 1, 1]",0,1,"[1.500027077469467, 24.0, 1.0, 2.0, 2828.0, 3.0, 3.0, 4.0, 2.0, 0.0, 4.0, 1.0, 22.0, 1.0, 2.0, 1.0, 3.0, 2.0, 1.0, 1.0]",1,True,True,0,15.289,0.71,rf,0.008333784624491119,0.029166892312245563,0.95
credit,1,42,0,53,1,"[1, 24, 1, 2, 2828, 3, 3, 4, 2, 0, 4, 1, 22, 1, 2, 1, 3, 2, 1, 1]",0,1,"[1.0, 24.0, 1.0, 2.0, 2828.0, 3.0, 3.0, 4.0, 2.0, 0.0, 4.0, 1.0, 35.78006493495065, 1.0, 2.0, 1.0, 2.4193615539424878, 2.0, 1.0, 1.0]",1,True,True,0,15.007,0.71,rf,0.021765083693020514,0.06088254184651026,0.9
credit,1,42,0,53,2,"[1, 24, 1, 2, 2828, 3, 3, 4, 2, 0, 4, 1, 22, 1, 2, 1, 3, 2, 1, 1]",0,1,"[1.501975727512936, 24.0, 1.0, 2.0, 2828.0, 3.0, 3.0, 4.0, 2.0, 0.0, 4.0, 1.0, 22.0, 1.0, 2.0, 1.0, 3.0, 2.0, 1.0, 1.0]",1,True,True,0,15.136,0.71,rf,0.0083662621252156,0.029183131062607802,0.95
