dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc,blackbox,gower_dist,loss
credit,1,42,4,4,0,"[2, 18, 2, 6, 1239, 5, 3, 4, 2, 0, 4, 4, 61, 2, 3, 1, 3, 2, 0, 1]",0,1,"[2.5006275650771888, 18.0, 2.0, 6.0, 1239.0, 5.0, 3.0, 4.0, 2.0, 0.0, 4.0, 4.0, 61.0, 2.0, 3.0, 1.0, 3.0, 2.0, 0.0, 1.0]",1,True,True,64,211.454,0.755,rf,0.008343792751286478,0.02917189637564324
credit,1,42,4,4,1,"[2, 18, 2, 6, 1239, 5, 3, 4, 2, 0, 4, 4, 61, 2, 3, 1, 3, 2, 0, 1]",0,1,"[2.503889401711174, 18.0, 2.0, 6.0, 1239.0, 5.0, 3.0, 4.0, 2.0, 0.0, 4.0, 4.0, 61.0, 2.0, 3.0, 1.0, 3.0, 2.0, 0.0, 1.0]",1,True,True,64,212.929,0.755,rf,0.008398156695186237,0.02919907834759312
credit,1,42,4,4,2,"[2, 18, 2, 6, 1239, 5, 3, 4, 2, 0, 4, 4, 61, 2, 3, 1, 3, 2, 0, 1]",0,1,"[1.9999717803450052, 18.0, 2.0, 6.0, 1239.0, 5.0, 3.6196048942289245, 4.0, 2.0, 0.0, 4.0, 4.0, 61.0, 2.0, 3.0, 1.0, 3.0, 2.0, 0.0, 1.0]",1,True,True,64,209.494,0.755,rf,0.007745531505444803,0.0538727657527224
credit,1,42,4,4,3,"[2, 18, 2, 6, 1239, 5, 3, 4, 2, 0, 4, 4, 61, 2, 3, 1, 3, 2, 0, 1]",0,1,"[1.9891457656109264, 18.0, 2.0, 6.0, 1239.0, 5.0, 3.7783520596143165, 4.0, 2.0, 0.0, 4.0, 4.0, 61.0, 2.0, 3.0, 1.0, 3.0, 2.0, 0.0, 1.0]",1,True,True,64,209.68,0.755,rf,0.009910304651663517,0.05495515232583176
credit,1,42,4,4,4,"[2, 18, 2, 6, 1239, 5, 3, 4, 2, 0, 4, 4, 61, 2, 3, 1, 3, 2, 0, 1]",0,1,"[2.5030095460584474, 18.0, 2.0, 6.0, 1239.0, 5.0, 3.0, 4.0, 2.0, 0.0, 4.0, 4.0, 61.0, 2.0, 3.0, 1.0, 3.0, 2.0, 0.0, 1.0]",1,True,True,64,210.918,0.755,rf,0.008383492434307456,0.02919174621715373
credit,1,42,4,12,0,"[1, 21, 4, 0, 1602, 1, 5, 4, 3, 0, 3, 3, 30, 2, 2, 2, 3, 2, 1, 1]",0,1,"[1.0, 21.0, 4.0, 0.0, 1602.0, 1.0, 5.0, 4.0, 3.0, 0.0, 3.0, 3.0, 38.21969222933689, 2.0, 2.0, 2.0, 3.0, 2.0, 1.0, 1.0]",1,True,True,64,226.187,0.755,rf,0.00721025634152359,0.028605128170761798
credit,1,42,4,12,1,"[1, 21, 4, 0, 1602, 1, 5, 4, 3, 0, 3, 3, 30, 2, 2, 2, 3, 2, 1, 1]",0,1,"[1.0, 21.0, 4.0, 0.0, 1602.0, 1.0, 5.0, 4.0, 3.0, 0.0, 3.0, 3.0, 35.86050148369688, 2.0, 2.0, 2.0, 3.0, 2.0, 1.0, 1.0]",1,True,True,64,228.068,0.755,rf,0.005140790775172701,0.027570395387586353
credit,1,42,4,12,2,"[1, 21, 4, 0, 1602, 1, 5, 4, 3, 0, 3, 3, 30, 2, 2, 2, 3, 2, 1, 1]",0,1,"[1.0, 21.0, 4.0, 0.0, 1602.0, 1.0, 5.0, 4.0, 3.0, 0.0, 3.0, 3.0, 40.64974041501568, 2.0, 2.0, 2.0, 3.0, 2.0, 1.0, 1.0]",1,True,True,64,225.737,0.755,rf,0.009341877557031298,0.02967093877851565
credit,1,42,4,12,3,"[1, 21, 4, 0, 1602, 1, 5, 4, 3, 0, 3, 3, 30, 2, 2, 2, 3, 2, 1, 1]",0,1,"[1.0, 21.0, 4.0, 0.0, 1602.0, 1.0, 5.0, 4.0, 3.0, 0.0, 3.0, 3.0, 37.91182259591995, 2.0, 2.0, 2.0, 3.0, 2.0, 1.0, 1.0]",1,True,True,64,226.127,0.755,rf,0.006940195259578905,0.028470097629789453
credit,1,42,4,12,4,"[1, 21, 4, 0, 1602, 1, 5, 4, 3, 0, 3, 3, 30, 2, 2, 2, 3, 2, 1, 1]",0,1,"[1.0, 21.0, 4.0, 0.0, 1602.0, 1.0, 5.0, 4.0, 3.0, 0.0, 3.0, 3.0, 43.1197164001908, 2.0, 2.0, 2.0, 3.0, 2.0, 1.0, 1.0]",1,True,True,64,225.535,0.755,rf,0.01150852315806211,0.030754261579031057
