dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox_test_acc,blackbox,gower_dist,loss
credit,1,42,4,4,0,"[2, 18, 2, 6, 1239, 5, 3, 4, 2, 0, 4, 4, 61, 2, 3, 1, 3, 2, 0, 1]",0,1,"[1.0, 18.0, 2.0, 3.0, 2600.0, 1.0, 3.0, 4.0, 2.0, 0.0, 4.0, 4.0, 65.0, 2.0, 3.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,False,False,0,18.145,0.755,rf,0.14028767488341107,0.22014383744170557
credit,1,42,4,4,1,"[2, 18, 2, 6, 1239, 5, 3, 4, 2, 0, 4, 4, 61, 2, 3, 1, 3, 2, 0, 1]",0,1,"[1.0, 18.0, 2.0, 3.0, 2600.0, 1.0, 3.0, 4.0, 2.0, 0.0, 4.0, 4.0, 65.0, 2.0, 3.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,False,False,0,61.74,0.755,rf,0.14028767488341107,0.22014383744170557
credit,1,42,4,4,2,"[2, 18, 2, 6, 1239, 5, 3, 4, 2, 0, 4, 4, 61, 2, 3, 1, 3, 2, 0, 1]",0,1,"[1.0, 18.0, 2.0, 3.0, 2600.0, 1.0, 3.0, 4.0, 2.0, 0.0, 4.0, 4.0, 65.0, 2.0, 3.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,False,False,0,17.936,0.755,rf,0.14028767488341107,0.22014383744170557
credit,1,42,4,4,3,"[2, 18, 2, 6, 1239, 5, 3, 4, 2, 0, 4, 4, 61, 2, 3, 1, 3, 2, 0, 1]",0,1,"[1.0, 18.0, 2.0, 3.0, 2600.0, 1.0, 3.0, 4.0, 2.0, 0.0, 4.0, 4.0, 65.0, 2.0, 3.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,False,False,0,18.757,0.755,rf,0.14028767488341107,0.22014383744170557
credit,1,42,4,4,4,"[2, 18, 2, 6, 1239, 5, 3, 4, 2, 0, 4, 4, 61, 2, 3, 1, 3, 2, 0, 1]",0,1,"[1.0, 18.0, 2.0, 3.0, 2600.0, 1.0, 3.0, 4.0, 2.0, 0.0, 4.0, 4.0, 65.0, 2.0, 3.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,False,False,0,18.01,0.755,rf,0.14028767488341107,0.22014383744170557
credit,1,42,4,12,0,"[1, 21, 4, 0, 1602, 1, 5, 4, 3, 0, 3, 3, 30, 2, 2, 2, 3, 2, 1, 1]",0,1,"[1.0, 4.0, 4.0, 2.0, 1602.0, 1.0, 3.0, 4.0, 3.0, 0.0, 3.0, 3.0, 19.0, 2.0, 2.0, 2.0, 3.0, 2.0, 1.0, 1.0]",1,False,False,0,17.829,0.755,rf,0.0964546783625731,0.14822733918128655
credit,1,42,4,12,1,"[1, 21, 4, 0, 1602, 1, 5, 4, 3, 0, 3, 3, 30, 2, 2, 2, 3, 2, 1, 1]",0,1,"[1.0, 12.0, 4.0, 0.0, 691.0, 1.0, 5.0, 4.0, 2.0, 0.0, 3.0, 2.0, 35.0, 2.0, 2.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,False,False,0,17.572,0.755,rf,0.12960896069287142,0.21480448034643573
credit,1,42,4,12,2,"[1, 21, 4, 0, 1602, 1, 5, 4, 3, 0, 3, 3, 30, 2, 2, 2, 3, 2, 1, 1]",0,1,"[2.0, 10.0, 4.0, 0.0, 2181.0, 1.0, 5.0, 4.0, 3.0, 0.0, 4.0, 1.0, 19.0, 2.0, 2.0, 2.0, 3.0, 2.0, 1.0, 1.0]",1,False,False,0,17.678,0.755,rf,0.08542050114738321,0.19271025057369162
credit,1,42,4,12,3,"[1, 21, 4, 0, 1602, 1, 5, 4, 3, 0, 3, 3, 30, 2, 2, 2, 3, 2, 1, 1]",0,1,"[1.0, 12.0, 4.0, 0.0, 691.0, 1.0, 5.0, 4.0, 2.0, 0.0, 3.0, 2.0, 35.0, 2.0, 2.0, 2.0, 3.0, 2.0, 0.0, 1.0]",1,False,False,0,61.545,0.755,rf,0.12960896069287142,0.21480448034643573
credit,1,42,4,12,4,"[1, 21, 4, 0, 1602, 1, 5, 4, 3, 0, 3, 3, 30, 2, 2, 2, 3, 2, 1, 1]",0,1,"[1.0, 21.0, 4.0, 3.0, 1602.0, 1.0, 3.0, 4.0, 2.0, 0.0, 3.0, 2.0, 30.0, 2.0, 2.0, 2.0, 2.0, 2.0, 1.0, 1.0]",1,False,False,0,18.127,0.755,rf,0.15833333333333333,0.20416666666666666
credit,1,42,4,40,0,"[1, 47, 2, 0, 10722, 1, 2, 1, 1, 0, 1, 1, 35, 2, 2, 1, 2, 2, 1, 1]",0,1,"[1.0, 4.0, 2.0, 0.0, 250.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 31.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0, 1.0]",1,False,False,0,19.494,0.755,rf,0.07238127544599897,0.1361906377229995
credit,1,42,4,40,1,"[1, 47, 2, 0, 10722, 1, 2, 1, 1, 0, 1, 1, 35, 2, 2, 1, 2, 2, 1, 1]",0,1,"[1.0, 4.0, 0.0, 0.0, 250.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 39.0, 2.0, 2.0, 1.0, 2.0, 2.0, 1.0, 1.0]",1,False,False,0,59.552,0.755,rf,0.09738127544599896,0.17369063772299947
credit,1,42,4,40,2,"[1, 47, 2, 0, 10722, 1, 2, 1, 1, 0, 1, 1, 35, 2, 2, 1, 2, 2, 1, 1]",0,1,"[1.0, 4.0, 2.0, 0.0, 250.0, 1.0, 2.0, 1.0, 3.0, 0.0, 1.0, 1.0, 28.0, 2.0, 1.0, 1.0, 2.0, 2.0, 1.0, 1.0]",1,False,False,0,18.945,0.755,rf,0.13751285439336738,0.19375642719668368
credit,1,42,4,40,3,"[1, 47, 2, 0, 10722, 1, 2, 1, 1, 0, 1, 1, 35, 2, 2, 1, 2, 2, 1, 1]",0,1,"[1.0, 6.0, 2.0, 2.0, 662.0, 1.0, 2.0, 1.0, 1.0, 0.0, 1.0, 1.0, 41.0, 2.0, 2.0, 1.0, 2.0, 1.0, 1.0, 1.0]",1,False,False,0,18.504,0.755,rf,0.15920373454733883,0.2046018672736694
credit,1,42,4,40,4,"[1, 47, 2, 0, 10722, 1, 2, 1, 1, 0, 1, 1, 35, 2, 2, 1, 2, 2, 1, 1]",0,1,"[1.0, 4.0, 0.0, 0.0, 250.0, 1.0, 2.0, 1.0, 1.0, 0.0, 1.0, 1.0, 50.0, 2.0, 2.0, 1.0, 2.0, 2.0, 0.0, 1.0]",1,False,False,0,19.018,0.755,rf,0.1445303982530165,0.19726519912650825
credit,1,42,4,67,0,"[1, 15, 2, 0, 1403, 1, 3, 2, 1, 0, 4, 3, 28, 2, 1, 1, 3, 2, 0, 1]",0,1,"[1.0, 15.0, 2.0, 0.0, 2511.0, 1.0, 1.0, 1.0, 1.0, 0.0, 4.0, 3.0, 23.0, 2.0, 1.0, 1.0, 3.0, 2.0, 0.0, 1.0]",1,False,False,0,17.621,0.755,rf,0.048857694870086614,0.12442884743504332
credit,1,42,4,67,1,"[1, 15, 2, 0, 1403, 1, 3, 2, 1, 0, 4, 3, 28, 2, 1, 1, 3, 2, 0, 1]",0,1,"[1.0, 15.0, 2.0, 0.0, 2511.0, 1.0, 1.0, 1.0, 1.0, 0.0, 4.0, 3.0, 23.0, 2.0, 1.0, 1.0, 3.0, 2.0, 0.0, 1.0]",1,False,False,0,59.661,0.755,rf,0.048857694870086614,0.12442884743504332
credit,1,42,4,67,2,"[1, 15, 2, 0, 1403, 1, 3, 2, 1, 0, 4, 3, 28, 2, 1, 1, 3, 2, 0, 1]",0,1,"[1.0, 15.0, 2.0, 0.0, 2511.0, 1.0, 1.0, 1.0, 1.0, 0.0, 4.0, 3.0, 23.0, 2.0, 1.0, 1.0, 3.0, 2.0, 0.0, 1.0]",1,False,False,0,61.477,0.755,rf,0.048857694870086614,0.12442884743504332
credit,1,42,4,67,3,"[1, 15, 2, 0, 1403, 1, 3, 2, 1, 0, 4, 3, 28, 2, 1, 1, 3, 2, 0, 1]",0,1,"[1.0, 15.0, 2.0, 0.0, 2511.0, 1.0, 1.0, 1.0, 1.0, 0.0, 4.0, 3.0, 23.0, 2.0, 1.0, 1.0, 3.0, 2.0, 0.0, 1.0]",1,False,False,0,17.742,0.755,rf,0.048857694870086614,0.12442884743504332
credit,1,42,4,67,4,"[1, 15, 2, 0, 1403, 1, 3, 2, 1, 0, 4, 3, 28, 2, 1, 1, 3, 2, 0, 1]",0,1,"[1.0, 15.0, 2.0, 0.0, 2511.0, 1.0, 1.0, 1.0, 1.0, 0.0, 4.0, 3.0, 23.0, 2.0, 1.0, 1.0, 3.0, 2.0, 0.0, 1.0]",1,False,False,0,61.874,0.755,rf,0.048857694870086614,0.12442884743504332
credit,1,42,4,82,0,"[2, 39, 3, 6, 11760, 2, 4, 2, 2, 0, 3, 4, 32, 2, 1, 1, 3, 2, 1, 1]",0,1,"[2.0, 24.0, 3.0, 8.0, 6967.0, 2.0, 4.0, 4.0, 2.0, 0.0, 4.0, 3.0, 36.0, 2.0, 1.0, 1.0, 4.0, 2.0, 1.0, 1.0]",1,False,False,0,60.547,0.755,rf,0.15939294914501445,0.27969647457250724
credit,1,42,4,82,1,"[2, 39, 3, 6, 11760, 2, 4, 2, 2, 0, 3, 4, 32, 2, 1, 1, 3, 2, 1, 1]",0,1,"[2.0, 24.0, 3.0, 8.0, 6967.0, 2.0, 4.0, 4.0, 2.0, 0.0, 4.0, 3.0, 36.0, 2.0, 1.0, 1.0, 4.0, 2.0, 1.0, 1.0]",1,False,False,0,18.23,0.755,rf,0.15939294914501445,0.27969647457250724
credit,1,42,4,82,2,"[2, 39, 3, 6, 11760, 2, 4, 2, 2, 0, 3, 4, 32, 2, 1, 1, 3, 2, 1, 1]",0,1,"[2.0, 24.0, 3.0, 8.0, 6967.0, 2.0, 4.0, 4.0, 2.0, 0.0, 4.0, 3.0, 36.0, 2.0, 1.0, 1.0, 4.0, 2.0, 1.0, 1.0]",1,False,False,0,17.88,0.755,rf,0.15939294914501445,0.27969647457250724
credit,1,42,4,82,3,"[2, 39, 3, 6, 11760, 2, 4, 2, 2, 0, 3, 4, 32, 2, 1, 1, 3, 2, 1, 1]",0,1,"[2.0, 24.0, 3.0, 8.0, 6967.0, 2.0, 4.0, 4.0, 2.0, 0.0, 4.0, 3.0, 36.0, 2.0, 1.0, 1.0, 4.0, 2.0, 1.0, 1.0]",1,False,False,0,17.847,0.755,rf,0.15939294914501445,0.27969647457250724
credit,1,42,4,82,4,"[2, 39, 3, 6, 11760, 2, 4, 2, 2, 0, 3, 4, 32, 2, 1, 1, 3, 2, 1, 1]",0,1,"[2.0, 24.0, 3.0, 8.0, 6967.0, 2.0, 4.0, 4.0, 2.0, 0.0, 4.0, 3.0, 36.0, 2.0, 1.0, 1.0, 4.0, 2.0, 1.0, 1.0]",1,False,False,0,18.478,0.755,rf,0.15939294914501445,0.27969647457250724
credit,1,42,4,83,0,"[1, 12, 2, 6, 1200, 5, 3, 4, 1, 0, 4, 2, 23, 0, 1, 1, 3, 2, 1, 1]",0,1,"[1.0, 4.0, 2.0, 2.0, 1200.0, 5.0, 2.0, 2.0, 1.0, 0.0, 4.0, 2.0, 27.0, 0.0, 1.0, 2.0, 3.0, 2.0, 1.0, 1.0]",1,False,False,0,60.299,0.755,rf,0.12156432748538011,0.21078216374269007
credit,1,42,4,83,1,"[1, 12, 2, 6, 1200, 5, 3, 4, 1, 0, 4, 2, 23, 0, 1, 1, 3, 2, 1, 1]",0,1,"[3.0, 15.0, 2.0, 6.0, 392.0, 1.0, 2.0, 4.0, 1.0, 0.0, 4.0, 2.0, 23.0, 2.0, 1.0, 1.0, 3.0, 2.0, 1.0, 1.0]",1,False,False,0,61.01,0.755,rf,0.14996223628691982,0.22498111814345995
credit,1,42,4,83,2,"[1, 12, 2, 6, 1200, 5, 3, 4, 1, 0, 4, 2, 23, 0, 1, 1, 3, 2, 1, 1]",0,1,"[1.0, 12.0, 4.0, 6.0, 1200.0, 5.0, 1.0, 4.0, 0.0, 0.0, 4.0, 1.0, 19.0, 0.0, 2.0, 1.0, 3.0, 2.0, 1.0, 1.0]",1,False,False,0,58.837,0.755,rf,0.14517543859649124,0.22258771929824564
credit,1,42,4,83,3,"[1, 12, 2, 6, 1200, 5, 3, 4, 1, 0, 4, 2, 23, 0, 1, 1, 3, 2, 1, 1]",0,1,"[3.0, 15.0, 2.0, 6.0, 392.0, 1.0, 2.0, 4.0, 1.0, 0.0, 4.0, 2.0, 23.0, 2.0, 1.0, 1.0, 3.0, 2.0, 1.0, 1.0]",1,False,False,0,58.853,0.755,rf,0.14996223628691982,0.22498111814345995
