dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss
garments,2,42,2,1,0,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 414.23432055563063, 0.0, 0.0, 0.0, 30.5]",2,False,False,0,0.945,nn,0.6903765690376569,0.00843135001286182,0.04588234167309757
garments,2,42,2,1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 413.62243654119624, 0.0, 0.0, 0.0, 30.5]",2,False,False,0,0.944,nn,0.6903765690376569,0.008417186031046209,0.04587525968218977
garments,2,42,2,1,2,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 413.6033427671816, 0.0, 0.0, 0.0, 30.5]",2,False,False,0,0.94,nn,0.6903765690376569,0.00841674404553661,0.04587503868943497
garments,2,42,2,1,3,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 413.74533233001074, 0.0, 0.0, 0.0, 30.5]",2,False,False,0,0.939,nn,0.6903765690376569,0.00842003084097247,0.0458766820871529
garments,2,42,2,1,4,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 415.7704647577136, 0.0, 0.0, 0.0, 30.5]",2,False,False,0,0.94,nn,0.6903765690376569,0.008466908906428556,0.04590012111988094
garments,2,42,2,2,0,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 141.67146706400348, 0.0, 0.0, 0.0, 57.5]",2,False,False,0,0.954,nn,0.6903765690376569,0.0022377654412963767,0.04278554938731485
garments,2,42,2,2,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 142.23815476043302, 0.0, 0.0, 0.0, 57.5]",2,False,False,0,0.949,nn,0.6903765690376569,0.0022508832120470604,0.04279210827269019
garments,2,42,2,2,2,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 142.8112051407621, 0.0, 0.0, 0.0, 57.5]",2,False,False,0,0.948,nn,0.6903765690376569,0.0022641482671472706,0.0427987408002403
garments,2,42,2,2,3,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 144.06083645867, 0.0, 0.0, 0.0, 57.5]",2,False,False,0,0.944,nn,0.6903765690376569,0.002293074918024768,0.04281320412567905
garments,2,42,2,2,4,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 142.57746206318302, 0.0, 0.0, 0.0, 57.5]",2,False,False,0,0.942,nn,0.6903765690376569,0.0022587375477588663,0.042796035440546096
