dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc
garments,2,42,0,1,0,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 1649.4505388456232, 0.0, 0.0, 0.0, 55.0]",2,True,False,0,0.803,nn,0.6166666666666667
garments,2,42,0,1,1,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 1648.991054357356, 0.0, 0.0, 0.0, 55.0]",2,True,False,0,0.803,nn,0.6166666666666667
garments,2,42,0,1,2,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 1649.3695650251307, 0.0, 0.0, 0.0, 55.0]",2,True,False,0,0.803,nn,0.6166666666666667
garments,2,42,0,1,3,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 1649.8257827168002, 0.0, 0.0, 0.0, 55.0]",2,True,False,0,0.8,nn,0.6166666666666667
garments,2,42,0,1,4,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 1649.3063211327226, 0.0, 0.0, 0.0, 55.0]",2,True,False,0,0.802,nn,0.6166666666666667
garments,2,42,0,2,0,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 2215.2732354672994, 0.0, 0.0, 0.0, 57.5]",2,True,False,0,0.806,nn,0.6166666666666667
garments,2,42,0,2,1,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 2214.0171273549854, 0.0, 0.0, 0.0, 57.5]",2,True,False,0,0.805,nn,0.6166666666666667
garments,2,42,0,2,2,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 2214.0221308935447, 0.0, 0.0, 0.0, 57.5]",2,True,False,0,0.804,nn,0.6166666666666667
garments,2,42,0,2,3,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 2214.2026734850465, 0.0, 0.0, 0.0, 57.5]",2,True,False,0,0.804,nn,0.6166666666666667
garments,2,42,0,2,4,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 2213.959363133579, 0.0, 0.0, 0.0, 57.5]",2,True,False,0,0.803,nn,0.6166666666666667
garments,2,42,0,5,0,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 2822.9195172544632, 0.0, 0.0, 0.0, 59.0]",2,True,False,0,0.8,nn,0.6166666666666667
garments,2,42,0,5,1,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 2823.0509236583125, 0.0, 0.0, 0.0, 59.0]",2,True,False,0,0.798,nn,0.6166666666666667
garments,2,42,0,5,2,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 2825.145934218763, 0.0, 0.0, 0.0, 59.0]",2,True,False,0,0.801,nn,0.6166666666666667
garments,2,42,0,5,3,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 2822.9870529436707, 0.0, 0.0, 0.0, 59.0]",2,True,False,0,0.797,nn,0.6166666666666667
garments,2,42,0,5,4,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 2822.2928101881425, 0.0, 0.0, 0.0, 59.0]",2,True,False,0,0.795,nn,0.6166666666666667
garments,2,42,0,6,0,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 1769.6508738770415, 0.0, 0.0, 0.0, 56.0]",2,True,False,0,0.807,nn,0.6166666666666667
garments,2,42,0,6,1,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 1767.8796294104884, 0.0, 0.0, 0.0, 56.0]",2,True,False,0,0.804,nn,0.6166666666666667
garments,2,42,0,6,2,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 1770.2539825803694, 0.0, 0.0, 0.0, 56.0]",2,True,False,0,0.809,nn,0.6166666666666667
garments,2,42,0,6,3,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 1771.258431523551, 0.0, 0.0, 0.0, 56.0]",2,True,False,0,0.805,nn,0.6166666666666667
garments,2,42,0,6,4,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 1768.0949730340612, 0.0, 0.0, 0.0, 56.0]",2,True,False,0,0.806,nn,0.6166666666666667
garments,2,42,0,10,0,"[0.0, 1.0, 2.0, 6.0, 0.8, 25.9, 7020.0, 60.0, 0.0, 0.0, 0.0, 56.5]",1,2,"[0.0, 1.0, 2.0, 6.0, 0.8, 25.9, 7020.0, 1615.5653498515646, 0.0, 0.0, 0.0, 56.5]",2,True,False,0,0.807,nn,0.6166666666666667
garments,2,42,0,10,1,"[0.0, 1.0, 2.0, 6.0, 0.8, 25.9, 7020.0, 60.0, 0.0, 0.0, 0.0, 56.5]",1,2,"[0.0, 1.0, 2.0, 6.0, 0.8, 25.9, 7020.0, 1615.5814798145655, 0.0, 0.0, 0.0, 56.5]",2,True,False,0,0.805,nn,0.6166666666666667
garments,2,42,0,10,2,"[0.0, 1.0, 2.0, 6.0, 0.8, 25.9, 7020.0, 60.0, 0.0, 0.0, 0.0, 56.5]",1,2,"[0.0, 1.0, 2.0, 6.0, 0.8, 25.9, 7020.0, 1614.7901631262623, 0.0, 0.0, 0.0, 56.5]",2,True,False,0,0.809,nn,0.6166666666666667
garments,2,42,0,10,3,"[0.0, 1.0, 2.0, 6.0, 0.8, 25.9, 7020.0, 60.0, 0.0, 0.0, 0.0, 56.5]",1,2,"[0.0, 1.0, 2.0, 6.0, 0.8, 25.9, 7020.0, 1615.4639934114027, 0.0, 0.0, 0.0, 56.5]",2,True,False,0,0.806,nn,0.6166666666666667
garments,2,42,0,10,4,"[0.0, 1.0, 2.0, 6.0, 0.8, 25.9, 7020.0, 60.0, 0.0, 0.0, 0.0, 56.5]",1,2,"[0.0, 1.0, 2.0, 6.0, 0.8, 25.9, 7020.0, 1615.9750540734397, 0.0, 0.0, 0.0, 56.5]",2,True,False,0,0.803,nn,0.6166666666666667
garments,2,42,0,11,0,"[0.0, 1.0, 2.0, 9.0, 0.7, 28.08, 6900.0, 40.0, 0.0, 0.0, 0.0, 57.5]",1,0,"[0.0, 1.0, 2.0, 9.0, 0.7, 28.08, 6900.0, 2621.419103978455, 0.0, 0.0, 0.0, 57.5]",2,True,False,0,0.797,nn,0.6166666666666667
garments,2,42,0,11,1,"[0.0, 1.0, 2.0, 9.0, 0.7, 28.08, 6900.0, 40.0, 0.0, 0.0, 0.0, 57.5]",1,0,"[0.0, 1.0, 2.0, 9.0, 0.7, 28.08, 6900.0, 2617.2465784502447, 0.0, 0.0, 0.0, 57.5]",2,True,False,0,0.795,nn,0.6166666666666667
garments,2,42,0,11,2,"[0.0, 1.0, 2.0, 9.0, 0.7, 28.08, 6900.0, 40.0, 0.0, 0.0, 0.0, 57.5]",1,0,"[0.0, 1.0, 2.0, 9.0, 0.7, 28.08, 6900.0, 2616.8112111946884, 0.0, 0.0, 0.0, 57.5]",2,True,False,0,0.794,nn,0.6166666666666667
garments,2,42,0,11,3,"[0.0, 1.0, 2.0, 9.0, 0.7, 28.08, 6900.0, 40.0, 0.0, 0.0, 0.0, 57.5]",1,0,"[0.0, 1.0, 2.0, 9.0, 0.7, 28.08, 6900.0, 2617.418528515898, 0.0, 0.0, 0.0, 57.5]",2,True,False,0,0.794,nn,0.6166666666666667
garments,2,42,0,11,4,"[0.0, 1.0, 2.0, 9.0, 0.7, 28.08, 6900.0, 40.0, 0.0, 0.0, 0.0, 57.5]",1,0,"[0.0, 1.0, 2.0, 9.0, 0.7, 28.08, 6900.0, 2617.7021162998053, 0.0, 0.0, 0.0, 57.5]",2,True,False,0,0.792,nn,0.6166666666666667
garments,2,42,0,14,0,"[0.0, 1.0, 0.0, 6.0, 0.8, 25.9, 6780.0, 50.0, 0.0, 0.0, 0.0, 56.5]",1,1,"[0.0, 1.0, 0.0, 6.0, 0.8, 25.9, 6780.0, 1240.135070254114, 0.0, 0.0, 0.0, 56.5]",2,True,False,0,0.806,nn,0.6166666666666667
garments,2,42,0,14,1,"[0.0, 1.0, 0.0, 6.0, 0.8, 25.9, 6780.0, 50.0, 0.0, 0.0, 0.0, 56.5]",1,1,"[0.0, 1.0, 0.0, 6.0, 0.8, 25.9, 6780.0, 1239.4384001507458, 0.0, 0.0, 0.0, 56.5]",2,True,False,0,0.804,nn,0.6166666666666667
garments,2,42,0,14,2,"[0.0, 1.0, 0.0, 6.0, 0.8, 25.9, 6780.0, 50.0, 0.0, 0.0, 0.0, 56.5]",1,1,"[0.0, 1.0, 0.0, 6.0, 0.8, 25.9, 6780.0, 1239.9076549853758, 0.0, 0.0, 0.0, 56.5]",2,True,False,0,0.806,nn,0.6166666666666667
garments,2,42,0,14,3,"[0.0, 1.0, 0.0, 6.0, 0.8, 25.9, 6780.0, 50.0, 0.0, 0.0, 0.0, 56.5]",1,1,"[0.0, 1.0, 0.0, 6.0, 0.8, 25.9, 6780.0, 1240.0298067884048, 0.0, 0.0, 0.0, 56.5]",2,True,False,0,0.805,nn,0.6166666666666667
garments,2,42,0,14,4,"[0.0, 1.0, 0.0, 6.0, 0.8, 25.9, 6780.0, 50.0, 0.0, 0.0, 0.0, 56.5]",1,1,"[0.0, 1.0, 0.0, 6.0, 0.8, 25.9, 6780.0, 1238.9077493852922, 0.0, 0.0, 0.0, 56.5]",2,True,False,0,0.801,nn,0.6166666666666667
garments,2,42,0,15,0,"[0.0, 1.0, 0.0, 5.0, 0.8, 11.61, 7200.0, 50.0, 0.0, 0.0, 0.0, 32.0]",1,1,"[0.0, 1.0, 0.0, 5.0, 0.8, 11.61, 7200.0, 276.9004925887652, 0.0, 0.0, 0.0, 32.0]",2,True,False,0,0.81,nn,0.6166666666666667
