dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss
garments,2,42,0,1,0,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 1713.632294737678, 0.0, 0.0, 0.0, 55.0]",2,True,False,4,3.8,nn,0.6166666666666667,0.0388803771930018,0.061106855263167566
garments,2,42,0,1,1,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 1732.2704507171543, 0.0, 0.0, 0.0, 55.0]",2,True,False,4,3.806,nn,0.6166666666666667,0.03931181598882301,0.06132257466107817
garments,2,42,0,1,2,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 1781.7167790225953, 0.0, 0.0, 0.0, 55.0]",2,True,False,4,3.807,nn,0.6166666666666667,0.040456406921819336,0.06189487012757633
garments,2,42,0,1,3,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 1796.0627874508154, 0.0, 0.0, 0.0, 55.0]",2,True,False,4,3.802,nn,0.6166666666666667,0.040788490450250355,0.062060911891791845
garments,2,42,0,1,4,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 1743.324745385748, 0.0, 0.0, 0.0, 55.0]",2,True,False,4,3.799,nn,0.6166666666666667,0.0395677024394849,0.061450517886409116
garments,2,42,0,2,0,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 2223.1405388147546, 0.0, 0.0, 0.0, 57.5]",2,True,False,4,3.769,nn,0.6166666666666667,0.050419919879971166,0.06687662660665225
garments,2,42,0,2,1,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 2215.134345150696, 0.0, 0.0, 0.0, 57.5]",2,True,False,4,3.778,nn,0.6166666666666667,0.05023459132293277,0.06678396232813305
garments,2,42,0,2,2,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 2224.7943962953955, 0.0, 0.0, 0.0, 57.5]",2,True,False,4,3.778,nn,0.6166666666666667,0.05045820361794896,0.06689576847564115
garments,2,42,0,2,3,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 2253.8916605321538, 0.0, 0.0, 0.0, 57.5]",2,True,False,4,3.781,nn,0.6166666666666667,0.051131751401207265,0.0672325423672703
garments,2,42,0,2,4,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 2220.507505088358, 0.0, 0.0, 0.0, 57.5]",2,True,False,4,3.798,nn,0.6166666666666667,0.05035897002519347,0.0668461516792634
garments,2,42,0,5,0,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 2827.2302262018547, 0.0, 0.0, 0.0, 59.0]",2,True,False,4,3.858,nn,0.6166666666666667,0.06428773671763552,0.07381053502548443
garments,2,42,0,5,1,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 2822.2456750269394, 0.0, 0.0, 0.0, 59.0]",2,True,False,4,3.818,nn,0.6166666666666667,0.06417235358858656,0.07375284346095995
garments,2,42,0,5,2,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 2838.535840028928, 0.0, 0.0, 0.0, 59.0]",2,True,False,4,3.811,nn,0.6166666666666667,0.06454944074141036,0.07394138703737185
garments,2,42,0,5,3,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 2824.844730992519, 0.0, 0.0, 0.0, 59.0]",2,True,False,4,3.814,nn,0.6166666666666667,0.06423251692112313,0.07378292512722823
garments,2,42,0,5,4,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 2850.8270812550336, 0.0, 0.0, 0.0, 59.0]",2,True,False,4,3.811,nn,0.6166666666666667,0.06483396021423689,0.07408364677378511
garments,2,42,0,6,0,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 1778.6490021497518, 0.0, 0.0, 0.0, 56.0]",2,True,False,4,3.954,nn,0.6166666666666667,0.0402928009756887,0.061813067154511014
garments,2,42,0,6,1,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 1786.7360631842348, 0.0, 0.0, 0.0, 56.0]",2,True,False,4,3.956,nn,0.6166666666666667,0.040480001462598024,0.06190666739796567
garments,2,42,0,6,2,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 1768.850797092417, 0.0, 0.0, 0.0, 56.0]",2,True,False,4,3.949,nn,0.6166666666666667,0.04006599067343558,0.061699662003384455
garments,2,42,0,6,3,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 1782.7740540628695, 0.0, 0.0, 0.0, 56.0]",2,True,False,4,3.962,nn,0.6166666666666667,0.04038828828849235,0.06186081081091284
garments,2,42,0,6,4,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 1775.4118530835435, 0.0, 0.0, 0.0, 56.0]",2,True,False,4,3.986,nn,0.6166666666666667,0.040217866969526464,0.061775600151429896
garments,2,42,0,10,0,"[0.0, 1.0, 2.0, 6.0, 0.8, 25.9, 7020.0, 60.0, 0.0, 0.0, 0.0, 56.5]",1,2,"[0.0, 1.0, 2.0, 6.0, 0.8, 25.9, 7020.0, 1629.5000806243538, 0.0, 0.0, 0.0, 56.5]",2,True,False,4,3.959,nn,0.6166666666666667,0.036331020384823,0.059832176859078164
garments,2,42,0,10,1,"[0.0, 1.0, 2.0, 6.0, 0.8, 25.9, 7020.0, 60.0, 0.0, 0.0, 0.0, 56.5]",1,2,"[0.0, 1.0, 2.0, 6.0, 0.8, 25.9, 7020.0, 1616.3986791542832, 0.0, 0.0, 0.0, 56.5]",2,True,False,4,3.987,nn,0.6166666666666667,0.03602774720264544,0.059680540267989385
garments,2,42,0,10,2,"[0.0, 1.0, 2.0, 6.0, 0.8, 25.9, 7020.0, 60.0, 0.0, 0.0, 0.0, 56.5]",1,2,"[0.0, 1.0, 2.0, 6.0, 0.8, 25.9, 7020.0, 1625.0029962832316, 0.0, 0.0, 0.0, 56.5]",2,True,False,4,4.031,nn,0.6166666666666667,0.036226921210259985,0.05978012727179666
garments,2,42,0,10,3,"[0.0, 1.0, 2.0, 6.0, 0.8, 25.9, 7020.0, 60.0, 0.0, 0.0, 0.0, 56.5]",1,2,"[0.0, 1.0, 2.0, 6.0, 0.8, 25.9, 7020.0, 1633.3151437073477, 0.0, 0.0, 0.0, 56.5]",2,True,False,4,3.964,nn,0.6166666666666667,0.03641933203026268,0.059876332681798004
garments,2,42,0,10,4,"[0.0, 1.0, 2.0, 6.0, 0.8, 25.9, 7020.0, 60.0, 0.0, 0.0, 0.0, 56.5]",1,2,"[0.0, 1.0, 2.0, 6.0, 0.8, 25.9, 7020.0, 1661.41757942007, 0.0, 0.0, 0.0, 56.5]",2,True,False,4,3.97,nn,0.6166666666666667,0.037069851375464584,0.06020159235439895
