dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss,sparsity
garments,2,42,3,0,0,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 412.2886516119048, 0.0, 0.0, 0.0, 56.0]",2,True,False,4,2.87,nn,0.7698744769874477,0.008386311379905203,0.04585982235661926,0.9166666666666666
garments,2,42,3,0,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 343.3805441863743, 0.0, 0.0, 0.0, 56.0]",2,True,False,4,2.877,nn,0.7698744769874477,0.006791216300610517,0.04506227481697192,0.9166666666666666
garments,2,42,3,0,2,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 450.61551424188474, 0.0, 0.0, 0.0, 56.0]",2,True,False,4,2.882,nn,0.7698744769874477,0.009273507274117701,0.046303420303725515,0.9166666666666666
garments,2,42,3,0,3,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 372.919960180095, 0.0, 0.0, 0.0, 56.0]",2,True,False,4,2.873,nn,0.7698744769874477,0.00747499907824294,0.04540416620578813,0.9166666666666666
garments,2,42,3,0,4,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 313.6651148284603, 0.0, 0.0, 0.0, 56.0]",2,True,False,4,2.872,nn,0.7698744769874477,0.006103359139547692,0.04471834623644051,0.9166666666666666
garments,2,42,3,1,0,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 118.39672502171999, 0.0, 0.0, 0.0, 56.0]",2,True,False,4,2.749,nn,0.7698744769874477,0.0018610353014287032,0.042597184317381014,0.9166666666666666
garments,2,42,3,1,1,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 147.625970471411, 0.0, 0.0, 0.0, 56.0]",2,True,False,4,2.754,nn,0.7698744769874477,0.002537638205356736,0.042935485769345035,0.9166666666666666
garments,2,42,3,1,2,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 142.71306247078988, 0.0, 0.0, 0.0, 56.0]",2,True,False,4,2.743,nn,0.7698744769874477,0.0024239134831201357,0.042878623408226735,0.9166666666666666
garments,2,42,3,1,3,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 92.93957499779864, 0.0, 0.0, 0.0, 56.0]",2,True,False,4,2.754,nn,0.7698744769874477,0.001271749421245339,0.04230254137728933,0.9166666666666666
garments,2,42,3,1,4,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 144.778664066251, 0.0, 0.0, 0.0, 56.0]",2,True,False,4,2.748,nn,0.7698744769874477,0.002471728334866921,0.042902530834100124,0.9166666666666666
garments,2,42,3,2,0,"[0.0, 0.0, 3.0, 10.0, 0.7, 4.15, 1440.0, 0.0, 0.0, 0.0, 0.0, 12.0]",0,0,"[0.0, 0.0, 3.0, 10.0, 0.7, 4.15, 1440.0, 1877.774661266681, 0.0, 0.0, 0.0, 12.0]",2,True,False,4,2.719,nn,0.7698744769874477,0.04346700604783983,0.06340016969058658,0.9166666666666666
garments,2,42,3,2,1,"[0.0, 0.0, 3.0, 10.0, 0.7, 4.15, 1440.0, 0.0, 0.0, 0.0, 0.0, 12.0]",0,0,"[0.0, 0.0, 3.0, 10.0, 0.7, 4.15, 1440.0, 1641.1995581879246, 0.0, 0.0, 0.0, 12.0]",2,True,False,4,2.721,nn,0.7698744769874477,0.037990730513609364,0.060662031923471346,0.9166666666666666
garments,2,42,3,2,2,"[0.0, 0.0, 3.0, 10.0, 0.7, 4.15, 1440.0, 0.0, 0.0, 0.0, 0.0, 12.0]",0,0,"[0.0, 0.0, 3.0, 10.0, 0.7, 4.15, 1440.0, 1707.7880273882506, 0.0, 0.0, 0.0, 12.0]",2,True,False,4,2.721,nn,0.7698744769874477,0.03953213026361691,0.061432731798475124,0.9166666666666666
garments,2,42,3,2,3,"[0.0, 0.0, 3.0, 10.0, 0.7, 4.15, 1440.0, 0.0, 0.0, 0.0, 0.0, 12.0]",0,0,"[0.0, 0.0, 3.0, 10.0, 0.7, 4.15, 1440.0, 1688.9134251944965, 0.0, 0.0, 0.0, 12.0]",2,True,False,4,2.719,nn,0.7698744769874477,0.03909521817579853,0.06121427575456593,0.9166666666666666
garments,2,42,3,2,4,"[0.0, 0.0, 3.0, 10.0, 0.7, 4.15, 1440.0, 0.0, 0.0, 0.0, 0.0, 12.0]",0,0,"[0.0, 0.0, 3.0, 10.0, 0.7, 4.15, 1440.0, 1697.0757640102247, 0.0, 0.0, 0.0, 12.0]",2,True,False,4,2.721,nn,0.7698744769874477,0.03928416120394038,0.06130874726863686,0.9166666666666666
garments,2,42,3,3,0,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,1,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 1471.6888165554117, 0.0, 0.0, 0.0, 8.0]",2,True,False,4,2.87,nn,0.7698744769874477,0.03406687075359749,0.05870010204346541,0.9166666666666666
garments,2,42,3,3,1,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,1,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 1539.4891300317254, 0.0, 0.0, 0.0, 8.0]",2,True,False,4,2.875,nn,0.7698744769874477,0.03563632245443808,0.059484827893885706,0.9166666666666666
garments,2,42,3,3,2,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,1,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 1494.021146039592, 0.0, 0.0, 0.0, 8.0]",2,True,False,4,2.872,nn,0.7698744769874477,0.03458382282499055,0.05895857807916194,0.9166666666666666
garments,2,42,3,3,3,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,1,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 1503.8649596471262, 0.0, 0.0, 0.0, 8.0]",2,True,False,4,2.876,nn,0.7698744769874477,0.03481168888072051,0.05907251110702692,0.9166666666666666
garments,2,42,3,3,4,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,1,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 1517.7581423853626, 0.0, 0.0, 0.0, 8.0]",2,True,False,4,2.874,nn,0.7698744769874477,0.035133290332994505,0.05923331183316392,0.9166666666666666
garments,2,42,3,4,0,"[0.0, 0.0, 1.0, 6.0, 0.8, 3.94, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 1.0, 6.0, 0.8, 3.94, 960.0, 494.90498248675397, 0.0, 0.0, 0.0, 8.0]",2,True,False,4,2.882,nn,0.7698744769874477,0.011456133853860045,0.04739473359359669,0.9166666666666666
