dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss,sparsity
garments,2,42,2,1,0,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 415.39202781626256, 0.0, 0.0, 0.0, 30.5]",2,True,True,0,0.81,nn,0.6903765690376569,0.008458148792043114,0.04589574106268822,0.9166666666666666
garments,2,42,2,1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 415.3732812529189, 0.0, 0.0, 0.0, 30.5]",2,True,True,0,0.806,nn,0.6903765690376569,0.008457714843817566,0.045895524088575446,0.9166666666666666
garments,2,42,2,1,2,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 415.0896792925862, 0.0, 0.0, 0.0, 30.5]",2,True,True,0,0.806,nn,0.6903765690376569,0.00845114998362468,0.04589224165847901,0.9166666666666666
garments,2,42,2,1,3,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 420.3817993685139, 0.0, 0.0, 0.0, 30.5]",2,True,True,0,0.804,nn,0.6903765690376569,0.008573652763160043,0.04595349304824668,0.9166666666666666
garments,2,42,2,1,4,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 413.7263544755775, 0.0, 0.0, 0.0, 30.5]",2,True,True,0,0.806,nn,0.6903765690376569,0.008419591538786516,0.045876462436059924,0.9166666666666666
garments,2,42,2,2,0,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 147.6975574416152, 0.0, 0.0, 0.0, 57.5]",2,True,True,0,0.795,nn,0.6903765690376569,0.002377258274111463,0.042855295803722396,0.9166666666666666
garments,2,42,2,2,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 141.66278279160332, 0.0, 0.0, 0.0, 57.5]",2,True,True,0,0.795,nn,0.6903765690376569,0.002237564416472299,0.042785448874902814,0.9166666666666666
garments,2,42,2,2,2,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 145.3061479689021, 0.0, 0.0, 0.0, 57.5]",2,True,True,0,0.794,nn,0.6903765690376569,0.002321901573354215,0.04282761745334377,0.9166666666666666
garments,2,42,2,2,3,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 145.03639348870558, 0.0, 0.0, 0.0, 57.5]",2,True,True,0,0.795,nn,0.6903765690376569,0.0023156572566829996,0.04282449529500816,0.9166666666666666
garments,2,42,2,2,4,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 144.39838013329725, 0.0, 0.0, 0.0, 57.5]",2,True,True,0,0.796,nn,0.6903765690376569,0.0023008884290115104,0.04281711088117242,0.9166666666666666
