dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss
garments,2,42,2,1,0,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 632.2691989405648, 0.0, 0.0, 0.0, 30.5]",2,True,True,4,2.774,nn,0.6903765690376569,0.013478453679179742,0.048405893506256535
garments,2,42,2,1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 858.5385487540717, 0.0, 0.0, 0.0, 30.5]",2,True,True,4,2.778,nn,0.6903765690376569,0.018716170110047954,0.051024751721690645
garments,2,42,2,1,2,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 649.5968490728909, 0.0, 0.0, 0.0, 30.5]",2,True,True,4,2.774,nn,0.6903765690376569,0.013879556691502103,0.04860644501241772
garments,2,42,2,1,3,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 830.2619942910814, 0.0, 0.0, 0.0, 30.5]",2,True,True,4,2.776,nn,0.6903765690376569,0.018061620238219472,0.0506974767857764
garments,2,42,2,1,4,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 10.0, 0.8, 11.41, 3660.0, 755.3921361009749, 0.0, 0.0, 0.0, 30.5]",2,True,True,4,2.779,nn,0.6903765690376569,0.016328521669004045,0.04983092750116869
garments,2,42,2,2,0,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 263.37393371248595, 0.0, 0.0, 0.0, 57.5]",2,True,True,4,2.746,nn,0.6903765690376569,0.005054952169270508,0.044194142751301915
garments,2,42,2,2,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 195.30452721739232, 0.0, 0.0, 0.0, 57.5]",2,True,True,4,2.746,nn,0.6903765690376569,0.003479271463365563,0.043406302398349444
garments,2,42,2,2,2,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 229.32464071806658, 0.0, 0.0, 0.0, 57.5]",2,True,True,4,2.748,nn,0.6903765690376569,0.0042667740906959855,0.043800053712014654
garments,2,42,2,2,3,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 176.50083086298298, 0.0, 0.0, 0.0, 57.5]",2,True,True,4,2.748,nn,0.6903765690376569,0.0030440007144209025,0.043188667023877116
garments,2,42,2,2,4,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 2.0, 0.75, 28.08, 6900.0, 217.37427054456236, 0.0, 0.0, 0.0, 57.5]",2,True,True,4,2.752,nn,0.6903765690376569,0.003990145151494499,0.04366173924241391
