dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc
garments,2,42,3,0,0,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 565.5685536460979, 0.0, 0.0, 0.0, 56.0]",2,True,True,4,3.503,nn,0.7698744769874477
garments,2,42,3,0,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 530.0987668635121, 0.0, 0.0, 0.0, 56.0]",2,True,True,4,3.504,nn,0.7698744769874477
garments,2,42,3,0,2,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 453.8459753489094, 0.0, 0.0, 0.0, 56.0]",2,True,True,4,3.486,nn,0.7698744769874477
garments,2,42,3,0,3,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 531.6345660205154, 0.0, 0.0, 0.0, 56.0]",2,True,True,4,3.484,nn,0.7698744769874477
garments,2,42,3,0,4,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 548.7957276308366, 0.0, 0.0, 0.0, 56.0]",2,True,True,4,3.529,nn,0.7698744769874477
garments,2,42,3,1,0,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 167.56735052534555, 0.0, 0.0, 0.0, 56.0]",2,True,True,4,3.556,nn,0.7698744769874477
garments,2,42,3,1,1,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 157.57336701890995, 0.0, 0.0, 0.0, 56.0]",2,True,True,4,3.525,nn,0.7698744769874477
garments,2,42,3,1,2,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 93.47782194536109, 0.0, 0.0, 0.0, 56.0]",2,True,True,4,3.522,nn,0.7698744769874477
garments,2,42,3,1,3,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 151.44763365268045, 0.0, 0.0, 0.0, 56.0]",2,True,True,4,3.521,nn,0.7698744769874477
garments,2,42,3,1,4,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 97.59707079130482, 0.0, 0.0, 0.0, 56.0]",2,True,True,4,3.523,nn,0.7698744769874477
garments,2,42,3,2,0,"[0.0, 0.0, 3.0, 10.0, 0.7, 4.15, 1440.0, 0.0, 0.0, 0.0, 0.0, 12.0]",0,0,"[0.0, 0.0, 3.0, 10.0, 0.7, 4.15, 1440.0, 1801.8704568026728, 0.0, 0.0, 0.0, 12.0]",2,True,True,4,3.492,nn,0.7698744769874477
garments,2,42,3,2,1,"[0.0, 0.0, 3.0, 10.0, 0.7, 4.15, 1440.0, 0.0, 0.0, 0.0, 0.0, 12.0]",0,0,"[0.0, 0.0, 3.0, 10.0, 0.7, 4.15, 1440.0, 1672.206502940761, 0.0, 0.0, 0.0, 12.0]",2,True,True,4,3.474,nn,0.7698744769874477
garments,2,42,3,2,2,"[0.0, 0.0, 3.0, 10.0, 0.7, 4.15, 1440.0, 0.0, 0.0, 0.0, 0.0, 12.0]",0,0,"[0.0, 0.0, 3.0, 10.0, 0.7, 4.15, 1440.0, 1753.3941420487727, 0.0, 0.0, 0.0, 12.0]",2,True,True,4,3.483,nn,0.7698744769874477
garments,2,42,3,2,3,"[0.0, 0.0, 3.0, 10.0, 0.7, 4.15, 1440.0, 0.0, 0.0, 0.0, 0.0, 12.0]",0,0,"[0.0, 0.0, 3.0, 10.0, 0.7, 4.15, 1440.0, 1794.5438184469442, 0.0, 0.0, 0.0, 12.0]",2,True,True,4,3.497,nn,0.7698744769874477
garments,2,42,3,2,4,"[0.0, 0.0, 3.0, 10.0, 0.7, 4.15, 1440.0, 0.0, 0.0, 0.0, 0.0, 12.0]",0,0,"[0.0, 0.0, 3.0, 10.0, 0.7, 4.15, 1440.0, 1894.2809027030187, 0.0, 0.0, 0.0, 12.0]",2,True,True,4,3.494,nn,0.7698744769874477
garments,2,42,3,3,0,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,1,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 1485.6088051762322, 0.0, 0.0, 0.0, 8.0]",2,True,True,4,3.738,nn,0.7698744769874477
garments,2,42,3,3,1,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,1,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 1451.3336187255486, 0.0, 0.0, 0.0, 8.0]",2,True,True,4,3.736,nn,0.7698744769874477
