dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss
garments,2,42,4,0,0,"[0.0, 1.0, 3.0, 11.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 11.0, 0.9137374706460886, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",2,False,False,0,0.204,nn,0.7154811715481172,0.012637496738454278,0.047985415035893805
garments,2,42,4,0,1,"[0.0, 1.0, 3.0, 11.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 11.0, 0.9095213503554513, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",2,False,False,0,0.201,nn,0.7154811715481172,0.012169038928383476,0.0477511861308584
garments,2,42,4,0,2,"[0.0, 1.0, 3.0, 11.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 11.0, 0.9057420860216188, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",2,False,False,0,0.271,nn,0.7154811715481172,0.011749120669068747,0.04754122700120104
garments,2,42,4,0,3,"[0.0, 1.0, 3.0, 11.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 11.0, 0.8981055408502828, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",2,False,False,0,0.233,nn,0.7154811715481172,0.01090061565003142,0.047116974491682374
garments,2,42,4,0,4,"[0.0, 1.0, 3.0, 11.0, 0.8, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",1,1,"[0.0, 1.0, 3.0, 11.0, 0.9134230748945413, 11.41, 3660.0, 50.0, 0.0, 0.0, 0.0, 30.5]",2,False,False,0,0.203,nn,0.7154811715481172,0.012602563877171253,0.04796794860525229
garments,2,42,4,1,0,"[0.0, 1.0, 3.0, 9.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 1.0, 3.0, 9.0, 0.9150611665809143, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",2,False,False,0,0.299,nn,0.7154811715481172,0.01834012962010159,0.05083673147671746
garments,2,42,4,1,1,"[0.0, 1.0, 3.0, 9.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 1.0, 3.0, 9.0, 0.9131598088503419, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",2,False,False,0,0.316,nn,0.7154811715481172,0.018128867650037985,0.05073110049168566
garments,2,42,4,1,2,"[0.0, 1.0, 3.0, 9.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 1.0, 3.0, 9.0, 0.9196594372423877, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",2,False,False,0,0.292,nn,0.7154811715481172,0.018851048582487526,0.05109219095791043
garments,2,42,4,1,3,"[0.0, 1.0, 3.0, 9.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 1.0, 3.0, 9.0, 0.9249033351647651, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",2,False,False,0,0.316,nn,0.7154811715481172,0.01943370390719612,0.051383518620264725
garments,2,42,4,1,4,"[0.0, 1.0, 3.0, 9.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 1.0, 3.0, 9.0, 0.9302230844362578, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",2,False,False,0,0.293,nn,0.7154811715481172,0.020024787159584195,0.05167906024645876
