dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss,sparsity
garments,2,42,0,1,0,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 1.0, 3.0, 1.0, 0.976108, 19.87, 6000.0, 34.0, 1.0783989999999999, 0.0, 0.0, 20.256]",2,False,False,0,13.321,nn,0.6166666666666667,0.05466845763468013,0.15233422881734007,0.75
garments,2,42,0,1,1,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 1.0, 3.0, 1.0, 1.236944, 19.87, 6000.0, -183.488, 0.0, 0.0, 0.0, 51.133572]",2,False,False,0,13.155,nn,0.6166666666666667,0.062393902356902356,0.15619695117845117,0.75
garments,2,42,0,1,2,"[0.0, 1.0, 3.0, 1.0, 0.75, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 55.0]",1,1,"[0.0, 1.0, 3.0, 1.0, 1.212, 19.87, 6000.0, 34.0, 0.0, 0.0, 0.0, 36.19708]",2,False,False,0,12.852,nn,0.6166666666666667,0.06716070707070707,0.11691368686868686,0.8333333333333334
garments,2,42,0,2,0,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 0.7679929999999999, 11.674, 6900.0, 45.0, 0.0, -0.064, 0.0, 35.410672]",2,False,False,0,12.906,nn,0.6166666666666667,0.04447641092080221,0.18890487212706777,0.6666666666666667
garments,2,42,0,2,1,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 1.1761629999999998, 28.08, 6900.0, 45.0, 24.735195, 0.0, 0.0, 36.200883]",2,False,False,0,13.029,nn,0.6166666666666667,0.07215088160774408,0.16107544080387204,0.75
garments,2,42,0,2,2,"[0.0, 1.0, 3.0, 0.0, 0.75, 28.08, 6900.0, 45.0, 0.0, 0.0, 0.0, 57.5]",1,1,"[0.0, 1.0, 3.0, 0.0, 1.212, 28.08, 6900.0, 0.512, 17.03351, -0.512, 0.0, 57.5]",2,False,False,0,13.648,nn,0.6166666666666667,0.05794801203703704,0.19564067268518517,0.6666666666666667
garments,2,42,0,5,0,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 1.0, 7.0, 1.2136529999999999, 10.016933, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",2,False,False,0,12.675,nn,0.6166666666666667,0.06935719371980675,0.1180119301932367,0.8333333333333334
garments,2,42,0,5,1,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 1.0, 7.0, 1.262, 26.16, 7080.0, 50.0, 0.0, -0.512, 0.0, 51.767284000000004]",2,False,False,0,13.211,nn,0.6166666666666667,0.05827481144781144,0.15413740572390572,0.75
garments,2,42,0,5,2,"[0.0, 1.0, 1.0, 7.0, 0.8, 26.16, 7080.0, 50.0, 0.0, 0.0, 0.0, 59.0]",1,1,"[0.0, 1.0, 1.0, 7.0, 1.212, 26.16, 7080.0, 50.0, 0.0, -0.512, 0.0, 32.012]",2,False,False,0,13.052,nn,0.6166666666666667,0.06934828282828281,0.1596741414141414,0.75
garments,2,42,0,6,0,"[0.0, 1.0, 1.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 1.0, 6.0, 0.956, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 1.52314]",2,False,False,0,13.182,nn,0.6166666666666667,0.06318927609427608,0.11492797138047137,0.8333333333333334
