dataset,desired_class,overall_seed,fold_idx,test_sample_idx,rep_idx,x,pred_class_x,true_class_x,z,pred_class_z,check_plausibility,opt_C_robust,opt_K_robust,run_time,blackbox,blackbox_test_acc,gower_dist,loss,sparsity
garments,2,42,3,0,0,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,False,False,0,1.591,nn,0.7698744769874477,0.0,1.0,1.0
garments,2,42,3,0,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,False,False,0,1.574,nn,0.7698744769874477,0.0,1.0,1.0
garments,2,42,3,0,2,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,False,False,0,1.571,nn,0.7698744769874477,0.0,1.0,1.0
garments,2,42,3,0,3,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,False,False,0,1.566,nn,0.7698744769874477,0.0,1.0,1.0
garments,2,42,3,0,4,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 5.0, 0.8, 25.9, 1920.0, 50.0, 0.0, 0.0, 0.0, 56.0]",1,False,False,0,1.559,nn,0.7698744769874477,0.0,1.0,1.0
garments,2,42,3,1,0,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 6.0, 0.8400000000000001, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",2,False,False,0,0.87,nn,0.7698744769874477,0.004444444444444448,0.04388888888888889,0.9166666666666666
garments,2,42,3,1,1,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 6.0, 0.8400000000000001, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",2,False,False,0,0.867,nn,0.7698744769874477,0.004444444444444448,0.04388888888888889,0.9166666666666666
garments,2,42,3,1,2,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 6.0, 0.8400000000000001, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",2,False,False,0,0.868,nn,0.7698744769874477,0.004444444444444448,0.04388888888888889,0.9166666666666666
garments,2,42,3,1,3,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 6.0, 0.8400000000000001, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",2,False,False,0,0.872,nn,0.7698744769874477,0.004444444444444448,0.04388888888888889,0.9166666666666666
garments,2,42,3,1,4,"[0.0, 1.0, 3.0, 6.0, 0.8, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",1,1,"[0.0, 1.0, 3.0, 6.0, 0.8400000000000001, 25.9, 6720.0, 38.0, 0.0, 0.0, 0.0, 56.0]",2,False,False,0,0.869,nn,0.7698744769874477,0.004444444444444448,0.04388888888888889,0.9166666666666666
garments,2,42,3,2,0,"[0.0, 0.0, 3.0, 10.0, 0.7, 4.15, 1440.0, 0.0, 0.0, 0.0, 0.0, 12.0]",0,0,"[0.0, 0.0, 3.0, 10.0, 0.7000000000000026, 4.150000000000016, 1440.0000000000055, 1.8947806286936004e-17, 1.8947806286936004e-17, 1.8947806286936004e-17, 0.0, 12.000000000000046]",0,False,False,0,0.726,nn,0.7698744769874477,3.756873881806222e-16,1.2916666666666667,0.41666666666666674
garments,2,42,3,2,1,"[0.0, 0.0, 3.0, 10.0, 0.7, 4.15, 1440.0, 0.0, 0.0, 0.0, 0.0, 12.0]",0,0,"[0.0, 0.0, 3.0, 10.0, 0.7000000000000026, 4.150000000000016, 1440.0000000000055, 1.8947806286936004e-17, 1.8947806286936004e-17, 1.8947806286936004e-17, 0.0, 12.000000000000046]",0,False,False,0,0.722,nn,0.7698744769874477,3.756873881806222e-16,1.2916666666666667,0.41666666666666674
garments,2,42,3,2,2,"[0.0, 0.0, 3.0, 10.0, 0.7, 4.15, 1440.0, 0.0, 0.0, 0.0, 0.0, 12.0]",0,0,"[0.0, 0.0, 3.0, 10.0, 0.7000000000000026, 4.150000000000016, 1440.0000000000055, 1.8947806286936004e-17, 1.8947806286936004e-17, 1.8947806286936004e-17, 0.0, 12.000000000000046]",0,False,False,0,0.72,nn,0.7698744769874477,3.756873881806222e-16,1.2916666666666667,0.41666666666666674
garments,2,42,3,2,3,"[0.0, 0.0, 3.0, 10.0, 0.7, 4.15, 1440.0, 0.0, 0.0, 0.0, 0.0, 12.0]",0,0,"[0.0, 0.0, 3.0, 10.0, 0.7000000000000026, 4.150000000000016, 1440.0000000000055, 1.8947806286936004e-17, 1.8947806286936004e-17, 1.8947806286936004e-17, 0.0, 12.000000000000046]",0,False,False,0,0.72,nn,0.7698744769874477,3.756873881806222e-16,1.2916666666666667,0.41666666666666674
garments,2,42,3,2,4,"[0.0, 0.0, 3.0, 10.0, 0.7, 4.15, 1440.0, 0.0, 0.0, 0.0, 0.0, 12.0]",0,0,"[0.0, 0.0, 3.0, 10.0, 0.7000000000000026, 4.150000000000016, 1440.0000000000055, 1.8947806286936004e-17, 1.8947806286936004e-17, 1.8947806286936004e-17, 0.0, 12.000000000000046]",0,False,False,0,0.721,nn,0.7698744769874477,3.756873881806222e-16,1.2916666666666667,0.41666666666666674
garments,2,42,3,3,0,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,1,"[0.0, 0.0, 1.0, 9.0, 0.7000000000000013, 4.150000000000008, 960.0000000000018, 9.473903143468002e-18, 9.473903143468002e-18, 9.473903143468002e-18, 0.0, 8.000000000000014]",0,False,False,0,0.726,nn,0.7698744769874477,1.7744340058615324e-16,1.2916666666666667,0.41666666666666674
garments,2,42,3,3,1,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,1,"[0.0, 0.0, 1.0, 9.0, 0.7000000000000013, 4.150000000000008, 960.0000000000018, 9.473903143468002e-18, 9.473903143468002e-18, 9.473903143468002e-18, 0.0, 8.000000000000014]",0,False,False,0,0.731,nn,0.7698744769874477,1.7744340058615324e-16,1.2916666666666667,0.41666666666666674
garments,2,42,3,3,2,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,1,"[0.0, 0.0, 1.0, 9.0, 0.7000000000000013, 4.150000000000008, 960.0000000000018, 9.473903143468002e-18, 9.473903143468002e-18, 9.473903143468002e-18, 0.0, 8.000000000000014]",0,False,False,0,0.717,nn,0.7698744769874477,1.7744340058615324e-16,1.2916666666666667,0.41666666666666674
garments,2,42,3,3,3,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,1,"[0.0, 0.0, 1.0, 9.0, 0.7000000000000013, 4.150000000000008, 960.0000000000018, 9.473903143468002e-18, 9.473903143468002e-18, 9.473903143468002e-18, 0.0, 8.000000000000014]",0,False,False,0,0.717,nn,0.7698744769874477,1.7744340058615324e-16,1.2916666666666667,0.41666666666666674
garments,2,42,3,3,4,"[0.0, 0.0, 1.0, 9.0, 0.7, 4.15, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,1,"[0.0, 0.0, 1.0, 9.0, 0.7000000000000013, 4.150000000000008, 960.0000000000018, 9.473903143468002e-18, 9.473903143468002e-18, 9.473903143468002e-18, 0.0, 8.000000000000014]",0,False,False,0,0.723,nn,0.7698744769874477,1.7744340058615324e-16,1.2916666666666667,0.41666666666666674
garments,2,42,3,4,0,"[0.0, 0.0, 1.0, 6.0, 0.8, 3.94, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 1.0, 6.0, 0.8, 3.94, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,False,False,0,1.622,nn,0.7698744769874477,0.0,1.0,1.0
garments,2,42,3,4,1,"[0.0, 0.0, 1.0, 6.0, 0.8, 3.94, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 1.0, 6.0, 0.8, 3.94, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,False,False,0,1.611,nn,0.7698744769874477,0.0,1.0,1.0
garments,2,42,3,4,2,"[0.0, 0.0, 1.0, 6.0, 0.8, 3.94, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 1.0, 6.0, 0.8, 3.94, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,False,False,0,1.606,nn,0.7698744769874477,0.0,1.0,1.0
garments,2,42,3,4,3,"[0.0, 0.0, 1.0, 6.0, 0.8, 3.94, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 1.0, 6.0, 0.8, 3.94, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,False,False,0,1.604,nn,0.7698744769874477,0.0,1.0,1.0
garments,2,42,3,4,4,"[0.0, 0.0, 1.0, 6.0, 0.8, 3.94, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 1.0, 6.0, 0.8, 3.94, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,False,False,0,1.606,nn,0.7698744769874477,0.0,1.0,1.0
garments,2,42,3,6,0,"[0.0, 1.0, 2.0, 10.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 1.0, 2.0, 10.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,False,False,0,1.538,nn,0.7698744769874477,0.0,1.0,1.0
garments,2,42,3,6,1,"[0.0, 1.0, 2.0, 10.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 1.0, 2.0, 10.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,False,False,0,1.534,nn,0.7698744769874477,0.0,1.0,1.0
garments,2,42,3,6,2,"[0.0, 1.0, 2.0, 10.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 1.0, 2.0, 10.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,False,False,0,1.531,nn,0.7698744769874477,0.0,1.0,1.0
garments,2,42,3,6,3,"[0.0, 1.0, 2.0, 10.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 1.0, 2.0, 10.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,False,False,0,1.531,nn,0.7698744769874477,0.0,1.0,1.0
garments,2,42,3,6,4,"[0.0, 1.0, 2.0, 10.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,1,"[0.0, 1.0, 2.0, 10.0, 0.75, 19.31, 6480.0, 45.0, 0.0, 0.0, 0.0, 54.0]",1,False,False,0,1.529,nn,0.7698744769874477,0.0,1.0,1.0
garments,2,42,3,7,0,"[0.0, 0.0, 2.0, 7.0, 0.8, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 2.0, 7.0, 0.8, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,False,False,0,1.761,nn,0.7698744769874477,0.0,1.0,1.0
garments,2,42,3,7,1,"[0.0, 0.0, 2.0, 7.0, 0.8, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,0,"[0.0, 0.0, 2.0, 7.0, 0.8, 2.9, 960.0, 0.0, 0.0, 0.0, 0.0, 8.0]",0,False,False,0,1.758,nn,0.7698744769874477,0.0,1.0,1.0
